QUARTER,TIME_REMAINING,CHICAGO_ACTION,HOUSTON_ACTION,CHICAGO_SCORE,HOUSTON_SCORE
3,10:23.0,,Personal foul by J. Parker (drawn by C. Capela),51,58
3,10:19.0,,Turnover by C. Paul (offensive foul),51,58
3,10:19.0,,Offensive foul by C. Paul (drawn by J. Holiday),51,58
3,10:05.0,J. Holiday misses 2-pt hook shot from 5 ft,,51,58
3,10:04.0,,Defensive rebound by C. Capela,51,58
3,9:56.0,,C. Capela makes 2-pt layup from 1 ft (assist by J. Harden),51,60
3,9:41.0,J. Parker misses 2-pt hook shot from 9 ft,,51,60
3,9:39.0,,Defensive rebound by J. Ennis,51,60
3,9:34.0,,J. Ennis makes 2-pt layup from 1 ft (assist by C. Paul),51,62
3,9:26.0,R. Arcidiacono makes 2-pt layup from 1 ft (assist by J. Holiday),,53,62
3,9:16.0,,Turnover by J. Harden (bad pass; steal by J. Holiday),53,62
3,9:13.0,J. Holiday makes 2-pt dunk from 1 ft,,55,62
3,8:52.0,,J. Ennis misses 2-pt layup from 7 ft (block by Z. LaVine),55,62
3,8:49.0,Defensive rebound by W. Carter,,55,62
3,8:49.0,J. Parker makes 2-pt layup from 1 ft (assist by Z. LaVine),,57,62
3,8:49.0,Shooting foul by J. Harden (drawn by J. Parker),,57,62
3,8:49.0,J. Parker makes free throw 1 of 1,,58,62
3,8:32.0,,J. Ennis misses 3-pt jump shot from 23 ft,58,62
3,8:30.0,Defensive rebound by J. Parker,,58,62
3,8:28.0,Turnover by J. Holiday (bad pass),,58,62
3,8:13.0,,J. Harden misses 2-pt layup from 2 ft (block by J. Holiday),58,62
3,8:10.0,Defensive rebound by J. Holiday,,58,62
3,8:05.0,R. Arcidiacono misses 3-pt jump shot from 23 ft,,58,62
3,8:02.0,,Defensive rebound by P. Tucker,58,62
3,7:48.0,,P. Tucker misses 3-pt jump shot from 23 ft,58,62
3,7:45.0,Defensive rebound by J. Parker,,58,62
3,7:42.0,R. Arcidiacono misses 3-pt jump shot from 24 ft,,58,62
3,7:38.0,,Defensive rebound by C. Paul,58,62
3,7:35.0,,Shooting foul by Z. LaVine (drawn by C. Capela),58,62
3,7:35.0,,C. Capela makes free throw 1 of 2,58,63
3,7:35.0,,C. Capela misses free throw 2 of 2,58,63
3,7:35.0,Defensive rebound by J. Parker,,58,63
3,7:20.0,Turnover by Z. LaVine (lost ball; steal by J. Ennis),,58,63
3,7:18.0,,Shooting foul by R. Arcidiacono (drawn by J. Ennis),58,63
3,7:18.0,,J. Ennis makes free throw 1 of 2,58,64
3,7:18.0,,J. Ennis misses free throw 2 of 2,58,64
3,7:18.0,Defensive rebound by J. Parker,,58,64
3,7:01.0,Turnover by J. Holiday (bad pass; steal by P. Tucker),,58,64
3,7:01.0,,Personal foul by J. Holiday (drawn by P. Tucker),58,64
3,7:01.0,L. Markkanen enters the game for J. Holiday,,58,64
3,6:52.0,,J. Ennis makes 3-pt jump shot from 23 ft (assist by C. Paul),58,67
3,6:51.0,Chicago full timeout,,58,67
3,6:51.0,,E. Gordon enters the game for C. Paul,58,67
3,6:38.0,L. Markkanen makes 2-pt layup from 2 ft (assist by Z. LaVine),,60,67
3,6:18.0,,P. Tucker makes 3-pt jump shot from 22 ft (assist by J. Harden),60,70
3,6:02.0,L. Markkanen misses 3-pt jump shot from 27 ft,,60,70
3,5:59.0,,Defensive rebound by J. Harden,60,70
3,5:54.0,,Turnover by J. Harden (bad pass),60,70
3,5:34.0,J. Parker misses 2-pt jump shot from 18 ft,,60,70
3,5:31.0,Offensive rebound by J. Parker,,60,70
3,5:27.0,L. Markkanen misses 2-pt jump shot from 9 ft,,60,70
3,5:25.0,,Defensive rebound by C. Capela,60,70
3,5:19.0,,Shooting foul by J. Parker (drawn by C. Capela),60,70
3,5:19.0,,C. Capela misses free throw 1 of 2,60,70
3,5:19.0,,Offensive rebound by Team,60,70
