QUARTER,TIME_REMAINING,INDIANA_ACTION,SAN ANTONIO_ACTION,INDIANA_SCORE,SAN ANTONIO_SCORE
1,4:31.0,,P. Gasol enters the game for R. Gay,14,15
1,4:31.0,,P. Mills enters the game for J. Poeltl,14,15
1,4:15.0,,L. Aldridge misses 2-pt layup from 5 ft,14,15
1,4:14.0,,Offensive rebound by L. Aldridge,14,15
1,4:14.0,,L. Aldridge misses 2-pt layup at rim,14,15
1,4:12.0,Defensive rebound by T. Young,,14,15
1,4:06.0,V. Oladipo makes 3-pt jump shot from 25 ft (assist by D. Collison),,17,15
1,3:46.0,,L. Aldridge makes 2-pt layup from 3 ft (assist by P. Gasol),17,17
1,3:38.0,Indiana full timeout,,17,17
1,3:38.0,T. Evans enters the game for B. Bogdanović,,17,17
1,3:38.0,C. Joseph enters the game for D. Collison,,17,17
1,3:38.0,D. Sabonis enters the game for T. Young,,17,17
1,3:38.0,,D. Bertāns enters the game for L. Aldridge,17,17
1,3:24.0,Turnover by V. Oladipo (bad pass),,17,17
1,3:15.0,,M. Belinelli misses 2-pt layup from 4 ft (block by T. Evans),17,17
1,3:11.0,Defensive rebound by D. Sabonis,,17,17
1,3:10.0,Personal foul by D. Bertāns (drawn by M. Turner),,17,17
1,3:10.0,T. Leaf enters the game for M. Turner,,17,17
1,2:59.0,C. Joseph makes 3-pt jump shot from 26 ft (assist by V. Oladipo),,20,17
1,2:38.0,,Turnover by P. Gasol (lost ball; steal by T. Evans),20,17
1,2:33.0,C. Joseph misses 2-pt layup from 3 ft,,20,17
1,2:29.0,Offensive rebound by D. Sabonis,,20,17
1,2:27.0,T. Evans makes 3-pt jump shot from 25 ft (assist by D. Sabonis),,23,17
1,2:10.0,,M. Belinelli makes 3-pt jump shot from 26 ft (assist by P. Gasol),23,20
1,1:58.0,T. Evans misses 3-pt jump shot from 25 ft,,23,20
1,1:58.0,,Defensive rebound by P. Gasol,23,20
1,1:45.0,,D. Bertāns makes 2-pt jump shot from 21 ft (assist by D. DeRozan),23,22
1,1:20.0,C. Joseph makes 3-pt jump shot from 23 ft (assist by T. Evans),,26,22
1,0:55.0,,P. Gasol misses 2-pt jump shot from 9 ft,26,22
1,0:55.0,Defensive rebound by C. Joseph,,26,22
1,0:37.0,D. Sabonis makes 2-pt layup from 3 ft (assist by T. Leaf),,28,22
1,0:18.0,,P. Gasol misses 2-pt jump shot from 8 ft (block by D. Sabonis),28,22
1,0:13.0,Defensive rebound by D. Sabonis,,28,22
1,0:05.0,Personal foul by D. DeRozan (drawn by V. Oladipo),,28,22
1,0:00.0,V. Oladipo misses 2-pt layup from 4 ft (block by P. Gasol),,28,22
1,0:00.0,,Defensive rebound by D. Bertāns,28,22
2,11:39.0,C. Joseph makes 3-pt jump shot from 25 ft (assist by T. Leaf),,31,22
2,11:28.0,,Offensive foul by P. Mills (drawn by C. Joseph),31,22
2,11:28.0,,Turnover by P. Mills (offensive foul),31,22
2,11:17.0,D. Sabonis makes 2-pt layup from 4 ft (assist by D. McDermott),,33,22
2,11:17.0,Shooting foul by P. Gasol (drawn by D. Sabonis),,33,22
2,11:17.0,,J. Poeltl enters the game for P. Gasol,33,22
2,11:17.0,D. Sabonis makes free throw 1 of 1,,34,22
2,11:08.0,,M. Belinelli misses 2-pt layup from 6 ft,34,22
2,11:05.0,,Offensive rebound by J. Poeltl,34,22
2,11:05.0,,J. Poeltl misses 2-pt layup from 1 ft,34,22
2,11:04.0,Defensive rebound by C. Joseph,,34,22
2,10:54.0,T. Evans misses 2-pt layup from 4 ft,,34,22
2,10:52.0,,Defensive rebound by P. Mills,34,22
2,10:48.0,,P. Mills misses 3-pt jump shot from 25 ft,34,22
2,10:47.0,,Offensive rebound by R. Gay,34,22
2,10:45.0,,R. Gay makes 2-pt jump shot from 5 ft,34,24
2,10:32.0,D. McDermott makes 3-pt jump shot from 25 ft (assist by C. Joseph),,37,24
2,10:22.0,,Personal foul by D. McDermott (drawn by P. Mills),37,24
2,10:22.0,T. Young enters the game for T. Leaf,,37,24
2,10:22.0,,L. Aldridge enters the game for D. Bertāns,37,24
2,10:20.0,,M. Belinelli makes 2-pt jump shot from 9 ft (assist by R. Gay),37,26
2,10:11.0,D. McDermott misses 3-pt jump shot from 26 ft,,37,26
2,10:11.0,Offensive rebound by Team,,37,26
2,10:11.0,Personal foul by J. Poeltl (drawn by D. Sabonis),,37,26
2,10:11.0,,B. Forbes enters the game for P. Mills,37,26
2,10:06.0,Personal foul by B. Forbes (drawn by D. Sabonis),,37,26
2,9:51.0,T. Young misses 2-pt layup from 3 ft,,37,26
2,9:47.0,,Defensive rebound by R. Gay,37,26
2,9:44.0,,Personal foul by D. McDermott (drawn by J. Poeltl),37,26
2,9:43.0,,Personal foul by D. McDermott (drawn by M. Belinelli),37,26
2,9:29.0,,R. Gay misses 2-pt jump shot from 10 ft,37,26
2,9:28.0,,Offensive rebound by L. Aldridge,37,26
2,9:27.0,,Turnover by L. Aldridge (bad pass; steal by C. Joseph),37,26
2,9:22.0,D. McDermott makes 2-pt dunk from 1 ft (assist by T. Evans),,39,26
2,9:10.0,,L. Aldridge misses 2-pt jump shot from 9 ft,39,26
2,9:10.0,Defensive rebound by D. Sabonis,,39,26
2,8:53.0,D. Sabonis misses 2-pt hook shot from 3 ft,,39,26
2,8:50.0,,Defensive rebound by J. Poeltl,39,26
2,8:44.0,,M. Belinelli misses 3-pt jump shot from 27 ft,39,26
2,8:44.0,Defensive rebound by D. Sabonis,,39,26
2,8:37.0,Personal foul by M. Belinelli (drawn by T. Young),,39,26
2,8:37.0,,Technical foul by M. Belinelli,39,26
2,8:37.0,D. McDermott makes technical free throw,,40,26
2,8:37.0,,D. Bertāns enters the game for J. Poeltl,40,26
2,8:25.0,D. Sabonis makes 2-pt dunk from 2 ft (assist by T. Evans),,42,26
2,7:58.0,,M. Belinelli misses 2-pt layup from 5 ft,42,26
2,7:58.0,,Offensive rebound by D. Bertāns,42,26
2,7:58.0,,Shooting foul by D. Sabonis (drawn by D. Bertāns),42,26
2,7:58.0,,D. Bertāns makes free throw 1 of 2,42,27
2,7:58.0,,D. DeRozan enters the game for M. Belinelli,42,27
2,7:58.0,,D. Bertāns makes free throw 2 of 2,42,28
2,7:46.0,D. McDermott misses 2-pt jump shot from 20 ft,,42,28
2,7:42.0,,Defensive rebound by R. Gay,42,28
2,7:38.0,,Personal foul by D. Sabonis (drawn by L. Aldridge),42,28
2,7:38.0,,L. Aldridge makes free throw 1 of 2,42,29
2,7:38.0,B. Bogdanović enters the game for D. McDermott,,42,29
2,7:38.0,M. Turner enters the game for D. Sabonis,,42,29
2,7:38.0,,L. Aldridge makes free throw 2 of 2,42,30
2,7:19.0,T. Evans makes 3-pt jump shot from 25 ft,,45,30
2,6:55.0,,B. Forbes misses 2-pt jump shot from 21 ft,45,30
2,6:50.0,Defensive rebound by C. Joseph,,45,30
2,6:44.0,B. Bogdanović misses 3-pt jump shot from 23 ft,,45,30
2,6:40.0,,Defensive rebound by D. Bertāns,45,30
2,6:28.0,,D. Bertāns makes 3-pt jump shot from 26 ft (assist by D. DeRozan),45,33
2,6:20.0,,San Antonio full timeout,45,33
2,6:20.0,,P. Mills enters the game for R. Gay,45,33
2,6:04.0,T. Evans misses 3-pt jump shot from 27 ft,,45,33
2,5:51.0,,Defensive rebound by D. DeRozan,45,33
2,5:49.0,,Shooting foul by T. Young (drawn by B. Forbes),45,33
2,5:49.0,,P. Gasol enters the game for L. Aldridge,45,33
2,5:49.0,,B. Forbes makes free throw 1 of 3,45,34
2,5:49.0,,B. Forbes makes free throw 2 of 3,45,35
2,5:49.0,V. Oladipo enters the game for T. Evans,,45,35
2,5:49.0,,B. Forbes makes free throw 3 of 3,45,36
2,5:24.0,T. Young misses 2-pt jump shot from 16 ft,,45,36
2,5:18.0,,Defensive rebound by D. DeRozan,45,36
2,5:10.0,,D. Bertāns misses 3-pt jump shot from 28 ft,45,36
2,5:05.0,Defensive rebound by B. Bogdanović,,45,36
2,4:53.0,B. Bogdanović makes 2-pt layup from 3 ft,,47,36
2,4:41.0,,D. DeRozan makes 2-pt layup from 3 ft,47,38
2,4:29.0,Personal foul by B. Forbes (drawn by T. Young),,47,38
2,4:29.0,T. Young makes free throw 1 of 2,,48,38
2,4:29.0,D. Collison enters the game for C. Joseph,,48,38
2,4:29.0,,L. Aldridge enters the game for D. Bertāns,48,38
2,4:29.0,,Violation by Team (delay of game),48,38
2,4:29.0,T. Young misses free throw 2 of 2,,48,38
2,4:26.0,,Defensive rebound by L. Aldridge,48,38
2,4:07.0,,L. Aldridge misses 2-pt jump shot from 17 ft,48,38
2,4:04.0,Defensive rebound by B. Bogdanović,,48,38
2,4:02.0,V. Oladipo makes 2-pt layup from 4 ft,,50,38
2,4:02.0,Shooting foul by D. DeRozan (drawn by V. Oladipo),,50,38
2,4:02.0,V. Oladipo makes free throw 1 of 1,,51,38
2,3:50.0,,P. Gasol misses 2-pt jump shot from 19 ft,51,38
2,3:44.0,Defensive rebound by T. Young,,51,38
2,3:32.0,V. Oladipo misses 3-pt jump shot from 26 ft,,51,38
2,3:28.0,Offensive rebound by V. Oladipo,,51,38
2,3:27.0,D. Collison makes 3-pt jump shot from 26 ft (assist by V. Oladipo),,54,38
2,3:13.0,,L. Aldridge makes 2-pt layup from 3 ft (assist by B. Forbes),54,40
2,3:13.0,,Shooting foul by D. Collison (drawn by L. Aldridge),54,40
2,3:13.0,,L. Aldridge makes free throw 1 of 1,54,41
2,2:59.0,V. Oladipo makes 2-pt jump shot from 16 ft,,56,41
2,2:59.0,,D. Bertāns enters the game for P. Gasol,56,41
2,2:53.0,Indiana full timeout,,56,41
2,2:37.0,,D. DeRozan misses 2-pt jump shot from 6 ft,56,41
2,2:33.0,,Offensive rebound by L. Aldridge,56,41
2,2:30.0,,D. DeRozan makes 2-pt layup from 3 ft (assist by L. Aldridge),56,43
2,2:10.0,M. Turner makes 2-pt jump shot from 20 ft,,58,43
2,1:57.0,,D. DeRozan makes 2-pt jump shot from 5 ft,58,45
2,1:36.0,D. Collison misses 3-pt jump shot from 23 ft,,58,45
2,1:32.0,,Defensive rebound by D. DeRozan,58,45
2,1:27.0,,D. DeRozan makes 2-pt jump shot from 8 ft,58,47
2,1:03.0,B. Bogdanović misses 2-pt layup from 4 ft (block by L. Aldridge),,58,47
2,0:59.0,,Defensive rebound by L. Aldridge,58,47
2,0:57.0,,B. Forbes makes 3-pt jump shot from 25 ft (assist by D. DeRozan),58,50
2,0:36.0,T. Young makes 2-pt layup from 3 ft,,60,50
2,0:15.0,,D. DeRozan misses 2-pt jump shot from 7 ft (block by M. Turner),60,50
2,0:10.0,Defensive rebound by V. Oladipo,,60,50
2,0:10.0,D. Collison makes 2-pt layup from 3 ft (assist by V. Oladipo),,62,50
2,0:02.0,,Turnover by P. Mills (bad pass; steal by D. Collison),62,50
2,0:00.0,D. Collison misses 3-pt jump shot from 40 ft,,62,50
2,0:00.0,Offensive rebound by Team,,62,50
3,11:44.0,Turnover by D. Collison (traveling),,62,50
3,11:33.0,,R. Gay makes 3-pt jump shot from 25 ft (assist by B. Forbes),62,53
3,11:08.0,V. Oladipo misses 3-pt jump shot from 27 ft,,62,53
3,11:07.0,,Defensive rebound by Team,62,53
3,10:49.0,,D. DeRozan misses 2-pt jump shot from 11 ft,62,53
3,10:44.0,,Offensive rebound by J. Poeltl,62,53
3,10:40.0,,B. Forbes misses 2-pt jump shot from 8 ft,62,53
3,10:36.0,Defensive rebound by T. Young,,62,53
3,10:27.0,T. Young makes 2-pt hook shot from 6 ft (assist by V. Oladipo),,64,53
3,10:15.0,,Personal foul by T. Young (drawn by D. DeRozan),64,53
3,10:08.0,,R. Gay misses 2-pt jump shot from 20 ft,64,53
3,10:05.0,,Offensive rebound by L. Aldridge,64,53
3,9:54.0,,L. Aldridge misses 2-pt jump shot from 19 ft,64,53
3,9:46.0,,Offensive rebound by R. Gay,64,53
3,9:46.0,,R. Gay makes 2-pt layup at rim,64,55
3,9:37.0,B. Bogdanović makes 3-pt jump shot from 28 ft (assist by D. Collison),,67,55
3,9:22.0,,Turnover by B. Forbes (bad pass; steal by V. Oladipo),67,55
3,9:20.0,V. Oladipo makes 2-pt dunk from 2 ft,,69,55
3,9:20.0,Shooting foul by D. DeRozan (drawn by V. Oladipo),,69,55
3,9:20.0,,P. Gasol enters the game for J. Poeltl,69,55
3,9:20.0,V. Oladipo makes free throw 1 of 1,,70,55
3,9:06.0,,P. Gasol misses 2-pt jump shot from 16 ft,70,55
3,8:59.0,Defensive rebound by M. Turner,,70,55
3,8:56.0,V. Oladipo misses 3-pt jump shot from 25 ft,,70,55
3,8:53.0,,Defensive rebound by R. Gay,70,55
3,8:46.0,,L. Aldridge misses 2-pt hook shot from 5 ft,70,55
3,8:42.0,Defensive rebound by T. Young,,70,55
3,8:40.0,Personal foul by R. Gay (drawn by T. Young),,70,55
3,8:32.0,D. Collison misses 2-pt layup from 2 ft,,70,55
3,8:28.0,,Defensive rebound by R. Gay,70,55
3,8:23.0,,Shooting foul by T. Young (drawn by L. Aldridge),70,55
3,8:23.0,,L. Aldridge makes free throw 1 of 2,70,56
3,8:23.0,,L. Aldridge makes free throw 2 of 2,70,57
3,8:03.0,M. Turner misses 2-pt jump shot from 14 ft,,70,57
3,7:58.0,,Defensive rebound by L. Aldridge,70,57
3,7:50.0,,R. Gay misses 2-pt jump shot from 7 ft,70,57
3,7:50.0,,Offensive rebound by P. Gasol,70,57
3,7:50.0,,P. Gasol makes 2-pt layup at rim,70,59
3,7:50.0,Indiana full timeout,,70,59
3,7:50.0,,P. Mills enters the game for B. Forbes,70,59
3,7:37.0,Offensive foul by M. Turner (drawn by P. Mills),,70,59
3,7:37.0,Turnover by M. Turner (offensive foul),,70,59
3,7:27.0,,D. DeRozan misses 2-pt jump shot from 7 ft,70,59
3,7:22.0,,Offensive rebound by L. Aldridge,70,59
3,7:22.0,,L. Aldridge misses 2-pt layup at rim,70,59
3,7:21.0,,Offensive rebound by P. Mills,70,59
3,7:18.0,,L. Aldridge misses 2-pt jump shot from 17 ft,70,59
3,7:14.0,Defensive rebound by M. Turner,,70,59
3,6:54.0,B. Bogdanović misses 3-pt jump shot from 26 ft,,70,59
3,6:51.0,,Defensive rebound by L. Aldridge,70,59
3,6:46.0,,Shooting foul by B. Bogdanović (drawn by D. DeRozan),70,59
3,6:46.0,,D. DeRozan makes free throw 1 of 2,70,60
3,6:46.0,,D. DeRozan misses free throw 2 of 2,70,60
3,6:44.0,Defensive rebound by M. Turner,,70,60
3,6:27.0,B. Bogdanović makes 2-pt layup from 3 ft (assist by V. Oladipo),,72,60
3,6:12.0,,Turnover by R. Gay (bad pass),72,60
3,6:12.0,,D. Cunningham enters the game for P. Gasol,72,60
3,6:00.0,D. Collison misses 2-pt jump shot from 20 ft,,72,60
3,5:55.0,,Defensive rebound by R. Gay,72,60
3,5:41.0,,D. DeRozan makes 2-pt jump shot from 12 ft,72,62
3,5:22.0,B. Bogdanović misses 3-pt jump shot from 30 ft,,72,62
3,5:16.0,,Defensive rebound by R. Gay,72,62
3,5:06.0,,D. DeRozan misses 2-pt jump shot from 22 ft,72,62
3,5:04.0,Defensive rebound by T. Young,,72,62
3,5:01.0,Shooting foul by D. Cunningham (drawn by V. Oladipo),,72,62
3,5:01.0,V. Oladipo makes free throw 1 of 2,,73,62
3,5:01.0,,M. Belinelli enters the game for R. Gay,73,62
3,5:01.0,V. Oladipo makes free throw 2 of 2,,74,62
3,4:49.0,,D. DeRozan misses 3-pt jump shot from 23 ft,74,62
3,4:46.0,Defensive rebound by V. Oladipo,,74,62
3,4:41.0,Turnover by V. Oladipo (lost ball; steal by M. Belinelli),,74,62
3,4:30.0,,D. DeRozan makes 2-pt layup from 1 ft,74,64
3,4:12.0,M. Turner makes 2-pt layup from 4 ft (assist by V. Oladipo),,76,64
3,3:59.0,,D. DeRozan makes 2-pt layup from 2 ft,76,66
3,3:59.0,,Shooting foul by M. Turner (drawn by D. DeRozan),76,66
3,3:59.0,C. Joseph enters the game for B. Bogdanović,,76,66
3,3:59.0,D. Sabonis enters the game for T. Young,,76,66
3,3:59.0,,P. Gasol enters the game for L. Aldridge,76,66
3,3:59.0,,D. DeRozan makes free throw 1 of 1,76,67
3,3:44.0,V. Oladipo misses 2-pt jump shot from 20 ft,,76,67
3,3:42.0,,Defensive rebound by Team,76,67
3,3:42.0,T. Evans enters the game for D. Collison,,76,67
3,3:30.0,,Turnover by D. DeRozan (lost ball; steal by D. Sabonis),76,67
3,3:12.0,D. Sabonis makes 2-pt layup from 2 ft (assist by M. Turner),,78,67
3,3:12.0,,San Antonio full timeout,78,67
3,3:12.0,,R. Gay enters the game for D. DeRozan,78,67
3,3:00.0,,P. Gasol misses 2-pt layup from 2 ft,78,67
3,2:56.0,Defensive rebound by M. Turner,,78,67
3,2:46.0,M. Turner makes 2-pt jump shot from 14 ft,,80,67
3,2:28.0,,P. Gasol makes 2-pt layup from 6 ft,80,69
3,2:10.0,T. Evans misses 2-pt jump shot from 20 ft,,80,69
3,2:07.0,,Defensive rebound by P. Mills,80,69
3,1:53.0,,D. Cunningham misses 3-pt jump shot from 26 ft,80,69
3,1:49.0,Defensive rebound by C. Joseph,,80,69
3,1:45.0,V. Oladipo makes 2-pt layup from 2 ft (assist by C. Joseph),,82,69
3,1:28.0,,R. Gay misses 2-pt jump shot from 9 ft,82,69
3,1:28.0,Defensive rebound by D. Sabonis,,82,69
3,1:19.0,V. Oladipo makes 3-pt jump shot from 26 ft (assist by D. Sabonis),,85,69
3,0:56.0,,M. Belinelli misses 3-pt jump shot from 26 ft,85,69
3,0:56.0,Defensive rebound by M. Turner,,85,69
3,0:50.0,Personal foul by D. Cunningham (drawn by D. Sabonis),,85,69
3,0:50.0,T. Leaf enters the game for V. Oladipo,,85,69
3,0:50.0,D. McDermott enters the game for M. Turner,,85,69
3,0:35.0,C. Joseph misses 3-pt jump shot from 26 ft,,85,69
3,0:31.0,,Defensive rebound by M. Belinelli,85,69
3,0:25.0,,M. Belinelli makes 2-pt layup from 2 ft,85,71
3,0:05.0,D. Sabonis makes 3-pt jump shot from 26 ft (assist by T. Evans),,88,71
3,0:00.0,,M. Belinelli misses 3-pt jump shot from 48 ft,88,71
3,0:00.0,,Offensive rebound by Team,88,71
4,11:45.0,,Turnover by R. Gay (bad pass; steal by D. Sabonis),88,71
4,11:27.0,T. Leaf misses 2-pt jump shot from 7 ft,,88,71
4,11:23.0,,Defensive rebound by R. Gay,88,71
4,11:15.0,,R. Gay misses 2-pt jump shot from 11 ft,88,71
4,11:12.0,Defensive rebound by D. Sabonis,,88,71
4,10:57.0,D. McDermott makes 2-pt layup from 5 ft (assist by T. Evans),,90,71
4,10:42.0,,B. Forbes misses 2-pt layup from 4 ft,90,71
4,10:38.0,,Offensive rebound by P. Mills,90,71
4,10:36.0,,Turnover by P. Mills (bad pass; steal by T. Evans),90,71
4,10:22.0,T. Evans makes 2-pt jump shot from 21 ft,,92,71
4,10:08.0,,D. DeRozan misses 2-pt jump shot from 6 ft,92,71
4,10:06.0,,Offensive rebound by L. Aldridge,92,71
4,10:06.0,,L. Aldridge misses 2-pt layup at rim,92,71
4,10:06.0,,Offensive rebound by Team,92,71
4,10:06.0,Loose ball foul by D. Sabonis (drawn by L. Aldridge),,92,71
4,10:01.0,,D. DeRozan misses 2-pt jump shot from 5 ft,92,71
4,10:01.0,Defensive rebound by Team,,92,71
4,9:51.0,T. Evans misses 2-pt jump shot from 6 ft,,92,71
4,9:44.0,Offensive rebound by D. Sabonis,,92,71
4,9:44.0,D. Sabonis misses 2-pt layup from 1 ft,,92,71
4,9:42.0,,Defensive rebound by B. Forbes,92,71
4,9:38.0,,Personal foul by C. Joseph (drawn by P. Mills),92,71
4,9:38.0,,M. Belinelli enters the game for R. Gay,92,71
4,9:38.0,,D. Bertāns enters the game for P. Mills,92,71
4,9:31.0,,B. Forbes makes 2-pt jump shot from 17 ft,92,73
4,9:20.0,D. McDermott misses 3-pt jump shot from 27 ft,,92,73
4,9:16.0,Offensive rebound by T. Leaf,,92,73
4,9:06.0,C. Joseph misses 2-pt jump shot from 7 ft,,92,73
4,9:03.0,,Defensive rebound by D. Bertāns,92,73
4,8:58.0,,L. Aldridge makes 2-pt layup from 1 ft (assist by B. Forbes),92,75
4,8:58.0,Violation by Team (def goaltending),,92,75
4,8:44.0,D. Sabonis makes 2-pt dunk from 1 ft (assist by D. McDermott),,94,75
4,8:28.0,,Personal foul by D. Sabonis (drawn by L. Aldridge),94,75
4,8:19.0,,Personal foul by T. Evans (drawn by L. Aldridge),94,75
4,8:11.0,,D. DeRozan makes 2-pt layup from 2 ft (assist by D. Bertāns),94,77
4,7:54.0,T. Evans misses 2-pt jump shot from 9 ft,,94,77
4,7:54.0,Offensive rebound by D. Sabonis,,94,77
4,7:48.0,D. Sabonis makes 2-pt layup from 1 ft,,96,77
4,7:41.0,,L. Aldridge misses 2-pt jump shot from 20 ft,96,77
4,7:37.0,Defensive rebound by T. Leaf,,96,77
4,7:29.0,T. Leaf misses 2-pt jump shot from 8 ft,,96,77
4,7:26.0,,Defensive rebound by L. Aldridge,96,77
4,7:20.0,,B. Forbes makes 2-pt jump shot from 21 ft,96,79
4,7:17.0,Indiana full timeout,,96,79
4,7:17.0,V. Oladipo enters the game for T. Leaf,,96,79
4,7:17.0,T. Young enters the game for D. McDermott,,96,79
4,7:17.0,,P. Mills enters the game for D. DeRozan,96,79
4,7:04.0,Personal foul by L. Aldridge (drawn by T. Evans),,96,79
4,6:53.0,T. Evans misses 2-pt jump shot from 22 ft,,96,79
4,6:48.0,,Defensive rebound by L. Aldridge,96,79
4,6:42.0,,B. Forbes misses 3-pt jump shot from 26 ft,96,79
4,6:39.0,Defensive rebound by C. Joseph,,96,79
4,6:23.0,T. Young makes 2-pt layup from 3 ft (assist by C. Joseph),,98,79
4,6:14.0,,Offensive foul by D. Bertāns (drawn by V. Oladipo),98,79
4,6:14.0,,Turnover by D. Bertāns (offensive foul),98,79
4,6:03.0,T. Evans makes 3-pt jump shot from 26 ft (assist by D. Sabonis),,101,79
4,5:47.0,,L. Aldridge misses 3-pt jump shot from 26 ft,101,79
4,5:45.0,Defensive rebound by C. Joseph,,101,79
4,5:35.0,C. Joseph makes 3-pt jump shot from 27 ft (assist by V. Oladipo),,104,79
4,5:31.0,,San Antonio full timeout,104,79
4,5:31.0,,D. Cunningham enters the game for L. Aldridge,104,79
4,5:31.0,,C. Metu enters the game for M. Belinelli,104,79
4,5:31.0,,Q. Pondexter enters the game for P. Mills,104,79
4,5:14.0,,Shooting foul by T. Evans (drawn by D. Cunningham),104,79
4,5:14.0,,D. Cunningham makes free throw 1 of 2,104,80
4,5:14.0,,D. Cunningham makes free throw 2 of 2,104,81
4,4:50.0,C. Joseph misses 3-pt jump shot from 24 ft,,104,81
4,4:46.0,,Defensive rebound by D. Cunningham,104,81
4,4:41.0,,C. Metu makes 2-pt dunk from 1 ft (assist by B. Forbes),104,83
4,4:23.0,T. Evans makes 3-pt jump shot from 26 ft (assist by C. Joseph),,107,83
4,4:04.0,,D. Bertāns misses 3-pt jump shot from 26 ft,107,83
4,4:01.0,Defensive rebound by D. Sabonis,,107,83
4,3:45.0,T. Evans makes 3-pt jump shot from 26 ft (assist by D. Sabonis),,110,83
4,3:25.0,,C. Metu misses 2-pt jump shot from 14 ft,110,83
4,3:23.0,Defensive rebound by V. Oladipo,,110,83
4,3:07.0,T. Evans makes 2-pt layup from 4 ft (assist by V. Oladipo),,112,83
4,2:57.0,,Turnover by Q. Pondexter (bad pass; steal by V. Oladipo),112,83
4,2:51.0,Indiana full timeout,,112,83
4,2:51.0,A. Holiday enters the game for T. Evans,,112,83
4,2:51.0,T. Leaf enters the game for C. Joseph,,112,83
4,2:51.0,D. McDermott enters the game for V. Oladipo,,112,83
4,2:51.0,K. O'Quinn enters the game for D. Sabonis,,112,83
4,2:51.0,E. Sumner enters the game for T. Young,,112,83
4,2:51.0,,D. Eubanks enters the game for D. Bertāns,112,83
4,2:45.0,Turnover by A. Holiday (out of bounds lost ball),,112,83
4,2:45.0,,M. Belinelli enters the game for B. Forbes,112,83
4,2:29.0,,M. Belinelli makes 2-pt layup from 1 ft (assist by C. Metu),112,85
4,2:29.0,,Shooting foul by T. Leaf (drawn by M. Belinelli),112,85
4,2:29.0,,M. Belinelli makes free throw 1 of 1,112,86
4,2:12.0,Turnover by E. Sumner (bad pass; steal by Q. Pondexter),,112,86
4,2:01.0,,M. Belinelli makes 3-pt jump shot from 40 ft,112,89
4,1:51.0,T. Leaf misses 2-pt layup from 5 ft (block by M. Belinelli),,112,89
4,1:51.0,Offensive rebound by Team,,112,89
