QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,INDIANA_ACTION,GOLDEN STATE_SCORE,INDIANA_SCORE
2,7:05.0,,Turnover by D. Sabonis (offensive foul),50,31
2,7:05.0,Technical foul by J. Bell,,50,31
2,7:05.0,,D. McDermott makes technical free throw,50,32
2,7:05.0,,M. Turner enters the game for D. Sabonis,50,32
2,6:57.0,S. Livingston misses 2-pt jump shot from 12 ft,,50,32
2,6:54.0,,Defensive rebound by T. Young,50,32
2,6:42.0,,D. McDermott misses 3-pt jump shot from 23 ft (block by S. Livingston),50,32
2,6:38.0,,Offensive rebound by D. McDermott,50,32
2,6:35.0,,C. Joseph makes 2-pt layup at rim (assist by A. Holiday),50,34
2,6:22.0,S. Curry makes 2-pt jump shot from 20 ft (assist by J. Bell),,52,34
2,6:14.0,,Personal foul by M. Derrickson (drawn by T. Young),52,34
2,6:14.0,K. Durant enters the game for K. Thompson,,52,34
2,6:14.0,,B. Bogdanović enters the game for C. Joseph,52,34
2,6:14.0,,D. Collison enters the game for D. McDermott,52,34
2,6:08.0,,Turnover by T. Young (bad pass; steal by S. Livingston),52,34
2,6:02.0,M. Derrickson makes 2-pt layup from 2 ft (assist by K. Durant),,54,34
2,5:47.0,,T. Young misses 2-pt jump shot from 11 ft,54,34
2,5:47.0,Defensive rebound by S. Livingston,,54,34
2,5:41.0,S. Curry makes 3-pt jump shot from 27 ft (assist by S. Livingston),,57,34
2,5:26.0,,D. Collison makes 2-pt layup from 1 ft,57,36
2,5:12.0,Offensive foul by J. Bell (drawn by A. Holiday),,57,36
2,5:12.0,Turnover by J. Bell (offensive foul),,57,36
2,5:12.0,A. Iguodala enters the game for J. Bell,,57,36
2,5:12.0,K. Looney enters the game for S. Livingston,,57,36
2,5:12.0,,E. Sumner enters the game for A. Holiday,57,36
2,4:54.0,,T. Young misses 3-pt jump shot from 29 ft,57,36
2,4:51.0,Defensive rebound by Team,,57,36
2,4:40.0,M. Derrickson misses 3-pt jump shot from 29 ft,,57,36
2,4:37.0,,Defensive rebound by B. Bogdanović,57,36
2,4:35.0,,T. Young makes 2-pt dunk at rim (assist by B. Bogdanović),57,38
2,4:25.0,S. Curry makes 2-pt layup from 2 ft,,59,38
2,4:13.0,,E. Sumner misses 2-pt jump shot from 2 ft,59,38
2,4:11.0,,Offensive rebound by E. Sumner,59,38
2,4:11.0,,E. Sumner misses 2-pt layup from 1 ft,59,38
2,4:11.0,Defensive rebound by Team,,59,38
2,3:50.0,K. Durant misses 2-pt jump shot from 12 ft,,59,38
2,3:47.0,,Defensive rebound by T. Young,59,38
2,3:41.0,,M. Turner makes 2-pt jump shot from 20 ft (assist by D. Collison),59,40
2,3:32.0,Personal foul by D. Collison (drawn by S. Curry),,59,40
2,3:32.0,K. Thompson enters the game for M. Derrickson,,59,40
2,3:24.0,S. Curry makes 3-pt jump shot from 23 ft (assist by A. Iguodala),,62,40
2,3:08.0,,Turnover by D. Collison (lost ball; steal by S. Curry),62,40
2,3:01.0,S. Curry misses 2-pt jump shot from 24 ft,,62,40
2,3:00.0,Offensive rebound by A. Iguodala,,62,40
2,2:56.0,K. Durant misses 2-pt dunk from 1 ft,,62,40
2,2:54.0,,Defensive rebound by E. Sumner,62,40
2,2:48.0,,Personal foul by A. Iguodala (drawn by B. Bogdanović),62,40
2,2:36.0,,M. Turner makes 2-pt jump shot from 16 ft,62,42
2,2:24.0,K. Looney makes 2-pt dunk from 1 ft (assist by K. Durant),,64,42
2,2:00.0,,E. Sumner misses 2-pt layup from 1 ft,64,42
2,1:58.0,Defensive rebound by A. Iguodala,,64,42
2,1:50.0,K. Durant misses 2-pt jump shot from 19 ft,,64,42
2,1:47.0,,Defensive rebound by M. Turner,64,42
2,1:42.0,,D. Collison makes 2-pt layup from 2 ft,64,44
2,1:34.0,Turnover by K. Durant (bad pass; steal by E. Sumner),,64,44
2,1:29.0,,B. Bogdanović makes 2-pt layup from 1 ft,64,46
2,1:28.0,Golden State full timeout,,64,46
2,1:14.0,K. Durant misses 2-pt jump shot from 6 ft,,64,46
2,1:09.0,,Defensive rebound by M. Turner,64,46
2,1:01.0,,B. Bogdanović misses 2-pt jump shot from 11 ft,64,46
2,0:58.0,Defensive rebound by K. Looney,,64,46
2,0:51.0,Turnover by K. Looney (out of bounds lost ball),,64,46
2,0:36.0,,M. Turner misses 2-pt jump shot from 6 ft (block by K. Looney),64,46
2,0:33.0,Defensive rebound by S. Curry,,64,46
2,0:27.0,K. Looney makes 2-pt dunk from 2 ft (assist by A. Iguodala),,66,46
2,0:06.0,,M. Turner makes 2-pt dunk from 1 ft,66,48
2,0:00.0,S. Curry makes 3-pt jump shot from 27 ft,,69,48
3,11:47.0,D. Cousins makes 2-pt layup at rim (assist by K. Durant),,71,48
3,11:33.0,,Offensive foul by M. Turner (drawn by K. Durant),71,48
3,11:33.0,,Turnover by M. Turner (offensive foul),71,48
3,11:19.0,Turnover by K. Durant (bad pass; steal by M. Turner),,71,48
3,11:05.0,,D. Collison makes 3-pt jump shot from 24 ft (assist by T. Young),71,51
3,10:50.0,J. Bell makes 2-pt layup from 1 ft (assist by D. Cousins),,73,51
3,10:33.0,,D. Collison misses 2-pt jump shot from 18 ft,73,51
3,10:31.0,Defensive rebound by D. Cousins,,73,51
3,10:26.0,Turnover by K. Thompson (step out of bounds),,73,51
3,10:07.0,,T. Young makes 2-pt jump shot from 6 ft (assist by D. Collison),73,53
3,9:53.0,K. Thompson makes 3-pt jump shot from 27 ft (assist by J. Bell),,76,53
3,9:38.0,,B. Bogdanović misses 2-pt layup from 3 ft,76,53
3,9:35.0,Defensive rebound by D. Cousins,,76,53
3,9:21.0,J. Bell makes 2-pt layup at rim (assist by K. Durant),,78,53
3,9:02.0,Violation by Team (kicked ball),,78,53
3,8:55.0,,M. Turner misses 3-pt jump shot from 27 ft,78,53
3,8:51.0,Defensive rebound by D. Cousins,,78,53
3,8:48.0,Turnover by K. Durant (lost ball; steal by E. Sumner),,78,53
3,8:48.0,,Personal take foul by K. Thompson (drawn by E. Sumner),78,53
3,8:39.0,,M. Turner makes 2-pt jump shot from 20 ft (assist by D. Collison),78,55
3,8:30.0,K. Thompson misses 2-pt jump shot from 18 ft,,78,55
3,8:27.0,,Defensive rebound by M. Turner,78,55
3,8:23.0,,D. Collison misses 2-pt layup from 2 ft (block by J. Bell),78,55
3,8:19.0,Defensive rebound by S. Curry,,78,55
3,8:19.0,Loose ball foul by S. Curry (drawn by E. Sumner),,78,55
3,8:19.0,Turnover by S. Curry (turnover),,78,55
3,8:03.0,,T. Young makes 3-pt jump shot from 24 ft (assist by D. Collison),78,58
3,7:52.0,K. Thompson misses 2-pt layup from 1 ft (block by M. Turner),,78,58
3,7:49.0,Offensive rebound by J. Bell,,78,58
3,7:47.0,K. Thompson misses 3-pt jump shot from 23 ft,,78,58
3,7:42.0,Offensive rebound by K. Durant,,78,58
3,7:42.0,K. Durant misses 2-pt layup from 1 ft,,78,58
3,7:41.0,Offensive rebound by J. Bell,,78,58
3,7:40.0,J. Bell makes 2-pt hook shot from 2 ft,,80,58
3,7:24.0,,Turnover by T. Young (bad pass; steal by K. Thompson),80,58
3,7:17.0,K. Durant makes 2-pt dunk from 5 ft (assist by J. Bell),,82,58
3,7:17.0,Shooting foul by T. Young (drawn by K. Durant),,82,58
3,7:17.0,K. Durant makes free throw 1 of 1,,83,58
3,7:17.0,,Indiana full timeout,83,58
3,7:09.0,,B. Bogdanović makes 3-pt jump shot from 23 ft (assist by D. Collison),83,61
3,6:53.0,D. Cousins misses 3-pt jump shot from 24 ft,,83,61
3,6:50.0,Offensive rebound by J. Bell,,83,61
3,6:46.0,K. Durant makes 2-pt jump shot from 14 ft,,85,61
3,6:28.0,,T. Young makes 2-pt hook shot from 7 ft (assist by M. Turner),85,63
3,6:14.0,Turnover by S. Curry (bad pass; steal by M. Turner),,85,63
3,6:09.0,,B. Bogdanović makes 3-pt jump shot from 24 ft (assist by T. Young),85,66
3,6:07.0,Golden State full timeout,,85,66
3,6:07.0,A. Iguodala enters the game for J. Bell,,85,66
3,6:07.0,K. Looney enters the game for D. Cousins,,85,66
3,5:59.0,Turnover by A. Iguodala (bad pass),,85,66
3,5:49.0,,D. Collison makes 2-pt layup at rim,85,68
3,5:31.0,K. Thompson misses 2-pt layup from 4 ft (block by E. Sumner),,85,68
3,5:31.0,Offensive rebound by Team,,85,68
3,5:24.0,K. Looney makes 2-pt dunk from 1 ft (assist by A. Iguodala),,87,68
3,5:06.0,,M. Turner misses 2-pt jump shot from 17 ft,87,68
3,5:03.0,Defensive rebound by S. Curry,,87,68
3,4:57.0,K. Durant misses 3-pt jump shot from 27 ft,,87,68
3,4:54.0,,Defensive rebound by B. Bogdanović,87,68
3,4:48.0,,D. Collison misses 3-pt jump shot from 24 ft,87,68
3,4:43.0,,Offensive rebound by T. Young,87,68
3,4:42.0,,E. Sumner misses 3-pt jump shot from 26 ft,87,68
3,4:39.0,,Offensive rebound by T. Young,87,68
3,4:38.0,,T. Young misses 2-pt layup from 4 ft,87,68
3,4:36.0,,Offensive rebound by T. Young,87,68
3,4:31.0,,B. Bogdanović misses 2-pt layup from 2 ft (block by A. Iguodala),87,68
3,4:31.0,Defensive rebound by Team,,87,68
3,4:15.0,S. Curry makes 3-pt jump shot from 28 ft (assist by K. Durant),,90,68
3,3:59.0,,M. Turner makes 2-pt jump shot from 19 ft (assist by D. Collison),90,70
3,3:49.0,S. Curry misses 3-pt jump shot from 26 ft,,90,70
3,3:47.0,Offensive rebound by K. Looney,,90,70
3,3:45.0,K. Thompson makes 3-pt jump shot from 23 ft (assist by K. Looney),,93,70
3,3:27.0,,B. Bogdanović misses 3-pt jump shot from 28 ft,93,70
3,3:23.0,Defensive rebound by A. Iguodala,,93,70
3,3:18.0,K. Looney makes 2-pt layup from 1 ft (assist by K. Thompson),,95,70
3,3:18.0,Shooting foul by D. Collison (drawn by K. Looney),,95,70
3,3:18.0,A. McKinnie enters the game for K. Thompson,,95,70
3,3:18.0,,C. Joseph enters the game for D. Collison,95,70
3,3:18.0,,D. Sabonis enters the game for T. Young,95,70
3,3:18.0,K. Looney makes free throw 1 of 1,,96,70
3,3:09.0,,M. Turner makes 2-pt jump shot from 14 ft (assist by C. Joseph),96,72
3,2:52.0,K. Looney makes 2-pt layup at rim (assist by S. Curry),,98,72
3,2:52.0,,D. McDermott enters the game for M. Turner,98,72
3,2:25.0,,B. Bogdanović misses 3-pt jump shot from 29 ft,98,72
3,2:22.0,Defensive rebound by S. Curry,,98,72
3,2:04.0,S. Curry misses 3-pt jump shot from 24 ft,,98,72
3,2:00.0,,Defensive rebound by D. Sabonis,98,72
3,1:49.0,,E. Sumner misses 2-pt layup from 2 ft,98,72
3,1:46.0,,Offensive rebound by D. Sabonis,98,72
3,1:46.0,,D. Sabonis makes 2-pt layup at rim,98,74
3,1:36.0,K. Durant misses 2-pt jump shot from 15 ft,,98,74
3,1:32.0,,Defensive rebound by D. McDermott,98,74
3,1:21.0,,Shooting foul by S. Curry (drawn by C. Joseph),98,74
3,1:21.0,,C. Joseph makes free throw 1 of 2,98,75
3,1:21.0,Q. Cook enters the game for S. Curry,,98,75
3,1:21.0,,A. Holiday enters the game for B. Bogdanović,98,75
3,1:21.0,,T. Leaf enters the game for E. Sumner,98,75
3,1:21.0,,C. Joseph makes free throw 2 of 2,98,76
3,1:05.0,K. Durant makes 3-pt jump shot from 28 ft (assist by A. Iguodala),,101,76
3,0:53.0,,D. McDermott misses 2-pt layup from 1 ft,101,76
3,0:50.0,Defensive rebound by A. McKinnie,,101,76
3,0:43.0,K. Durant misses 2-pt jump shot from 8 ft,,101,76
3,0:40.0,Offensive rebound by K. Looney,,101,76
3,0:39.0,Personal foul by A. Holiday (drawn by K. Looney),,101,76
3,0:30.0,K. Durant misses 2-pt layup from 3 ft,,101,76
3,0:28.0,Offensive rebound by K. Looney,,101,76
3,0:27.0,Q. Cook misses 3-pt jump shot from 24 ft,,101,76
3,0:25.0,,Defensive rebound by D. McDermott,101,76
3,0:07.0,,A. Holiday makes 3-pt jump shot from 26 ft,101,79
3,0:00.0,K. Durant misses 2-pt jump shot from 10 ft,,101,79
3,0:00.0,Offensive rebound by Team,,101,79
4,11:40.0,,D. Sabonis makes 2-pt jump shot from 6 ft (assist by T. Leaf),101,81
4,11:23.0,D. Cousins makes 2-pt layup at rim (assist by K. Thompson),,103,81
4,11:07.0,,D. Sabonis misses 2-pt hook shot from 4 ft,103,81
4,11:04.0,Defensive rebound by Q. Cook,,103,81
4,10:55.0,D. Cousins makes 2-pt layup from 2 ft,,105,81
4,10:38.0,,A. Holiday misses 2-pt jump shot from 20 ft,105,81
4,10:35.0,Defensive rebound by Q. Cook,,105,81
4,10:33.0,Shooting foul by A. Holiday (drawn by D. Cousins),,105,81
4,10:33.0,D. Cousins makes free throw 1 of 2,,106,81
4,10:33.0,D. Cousins makes free throw 2 of 2,,107,81
4,10:24.0,,D. Sabonis misses 2-pt layup from 1 ft (block by A. Iguodala),107,81
4,10:24.0,,Offensive rebound by Team,107,81
4,10:14.0,,T. Leaf makes 2-pt layup from 2 ft,107,83
4,10:14.0,,Shooting foul by A. Iguodala (drawn by T. Leaf),107,83
4,10:14.0,,T. Leaf misses free throw 1 of 1,107,83
4,10:13.0,Defensive rebound by Team,,107,83
4,10:02.0,K. Thompson makes 2-pt layup from 1 ft (assist by D. Cousins),,109,83
4,9:50.0,,D. Sabonis misses 2-pt jump shot from 19 ft,109,83
4,9:47.0,Defensive rebound by A. Iguodala,,109,83
4,9:32.0,D. Cousins makes 2-pt dunk from 1 ft (assist by S. Livingston),,111,83
4,9:16.0,,A. Holiday makes 3-pt jump shot from 29 ft (assist by C. Joseph),111,86
4,9:07.0,Technical foul by D. Burke,,111,86
4,9:07.0,K. Thompson misses technical free throw,,111,86
4,9:07.0,Offensive rebound by Team,,111,86
4,9:01.0,Shooting foul by D. Sabonis (drawn by D. Cousins),,111,86
4,9:01.0,D. Cousins misses free throw 1 of 2,,111,86
4,9:01.0,Offensive rebound by Team,,111,86
4,9:01.0,D. Cousins makes free throw 2 of 2,,112,86
4,8:43.0,,T. Leaf makes 2-pt jump shot from 4 ft (assist by D. Sabonis),112,88
4,8:26.0,D. Cousins makes 2-pt jump shot from 5 ft (assist by A. Iguodala),,114,88
4,8:26.0,Shooting foul by D. Sabonis (drawn by D. Cousins),,114,88
4,8:26.0,D. Cousins makes free throw 1 of 1,,115,88
4,8:12.0,,T. Leaf makes 2-pt layup from 1 ft (assist by D. Sabonis),115,90
4,7:48.0,K. Thompson misses 3-pt jump shot from 26 ft,,115,90
4,7:45.0,,Defensive rebound by T. Leaf,115,90
4,7:33.0,,Personal foul by D. Cousins (drawn by D. Sabonis),115,90
4,7:27.0,,Turnover by D. Sabonis (out of bounds lost ball),115,90
4,7:12.0,K. Thompson misses 2-pt jump shot from 14 ft,,115,90
4,7:09.0,,Defensive rebound by A. Holiday,115,90
4,7:04.0,,C. Joseph misses 3-pt jump shot from 22 ft,115,90
4,7:01.0,Defensive rebound by A. Iguodala,,115,90
4,7:01.0,Golden State full timeout,,115,90
4,7:01.0,D. Lee enters the game for K. Thompson,,115,90
4,6:47.0,Offensive foul by D. Cousins (drawn by A. Holiday),,115,90
4,6:47.0,Turnover by D. Cousins (offensive foul),,115,90
4,6:34.0,,Personal foul by Q. Cook (drawn by A. Holiday),115,90
4,6:22.0,,D. McDermott makes 2-pt layup from 1 ft (assist by D. Sabonis),115,92
4,6:03.0,S. Livingston makes 2-pt jump shot from 14 ft,,117,92
4,5:51.0,,C. Joseph misses 2-pt layup from 2 ft (block by S. Livingston),117,92
4,5:48.0,Defensive rebound by S. Livingston,,117,92
4,5:31.0,Q. Cook misses 3-pt jump shot from 26 ft,,117,92
4,5:28.0,,Defensive rebound by D. McDermott,117,92
4,5:22.0,,D. McDermott misses 3-pt jump shot from 28 ft,117,92
4,5:19.0,,Offensive rebound by D. Sabonis,117,92
4,5:13.0,,A. Holiday makes 3-pt jump shot from 23 ft (assist by C. Joseph),117,95
4,4:52.0,D. Lee makes 2-pt jump shot from 20 ft (assist by S. Livingston),,119,95
4,4:50.0,,Indiana full timeout,119,95
4,4:50.0,M. Derrickson enters the game for D. Cousins,,119,95
4,4:50.0,K. Looney enters the game for A. Iguodala,,119,95
4,4:50.0,A. McKinnie enters the game for S. Livingston,,119,95
4,4:50.0,,K. O'Quinn enters the game for C. Joseph,119,95
4,4:50.0,,E. Sumner enters the game for D. Sabonis,119,95
4,4:38.0,,Turnover by K. O'Quinn (bad pass; steal by K. Looney),119,95
4,4:22.0,K. Looney misses 2-pt jump shot from 12 ft,,119,95
4,4:20.0,,Defensive rebound by K. O'Quinn,119,95
4,4:13.0,,T. Leaf misses 2-pt jump shot from 13 ft,119,95
4,4:11.0,,Offensive rebound by Team,119,95
4,4:08.0,,D. McDermott misses 2-pt jump shot from 12 ft,119,95
4,4:05.0,Defensive rebound by D. Lee,,119,95
4,3:50.0,M. Derrickson makes 3-pt jump shot from 24 ft (assist by K. Looney),,122,95
4,3:31.0,,Turnover by A. Holiday (lost ball; steal by Q. Cook),122,95
4,3:26.0,A. McKinnie misses 2-pt layup at rim,,122,95
