QUARTER,TIME_REMAINING,BROOKLYN_ACTION,PORTLAND_ACTION,BROOKLYN_SCORE,PORTLAND_SCORE
1,6:57.0,R. Kurucs misses 3-pt jump shot from 25 ft,,16,12
1,6:53.0,,Defensive rebound by D. Lillard,16,12
1,6:44.0,,J. Nurkić misses 2-pt hook shot from 3 ft,16,12
1,6:42.0,,Offensive rebound by M. Harkless,16,12
1,6:42.0,,M. Harkless makes 2-pt layup at rim,16,14
1,6:30.0,D. Russell makes 2-pt jump shot from 16 ft,,18,14
1,6:14.0,,J. Nurkić makes 2-pt hook shot from 2 ft,18,16
1,6:14.0,S. Dinwiddie enters the game for D. Carroll,,18,16
1,6:00.0,Personal foul by D. Lillard (drawn by D. Russell),,18,16
1,5:51.0,D. Russell misses 3-pt jump shot from 25 ft,,18,16
1,5:50.0,,Defensive rebound by Team,18,16
1,5:38.0,,J. Nurkić misses 2-pt jump shot from 20 ft,18,16
1,5:36.0,Defensive rebound by D. Russell,,18,16
1,5:23.0,D. Russell misses 2-pt jump shot from 8 ft,,18,16
1,5:20.0,,Defensive rebound by J. Nurkić,18,16
1,5:12.0,,D. Lillard makes 3-pt jump shot from 26 ft,18,19
1,5:12.0,Brooklyn full timeout,,18,19
1,5:12.0,,R. Hood enters the game for J. Layman,18,19
1,4:59.0,D. Russell misses 2-pt jump shot from 9 ft,,18,19
1,4:58.0,Offensive rebound by J. Allen,,18,19
1,4:56.0,J. Allen misses 2-pt hook shot from 3 ft,,18,19
1,4:54.0,Offensive rebound by D. Russell,,18,19
1,4:47.0,J. Allen misses 2-pt layup from 2 ft,,18,19
1,4:45.0,,Defensive rebound by A. Aminu,18,19
1,4:36.0,,Shooting foul by S. Dinwiddie (drawn by J. Nurkić),18,19
1,4:36.0,,J. Nurkić makes free throw 1 of 2,18,20
1,4:36.0,,J. Nurkić misses free throw 2 of 2,18,20
1,4:34.0,Defensive rebound by J. Allen,,18,20
1,4:23.0,J. Harris misses 2-pt layup from 1 ft (block by J. Nurkić),,18,20
1,4:23.0,,Defensive rebound by Team,18,20
1,4:23.0,E. Davis enters the game for J. Allen,,18,20
1,4:23.0,J. Dudley enters the game for R. Kurucs,,18,20
1,4:23.0,C. LeVert enters the game for D. Russell,,18,20
1,4:05.0,,R. Hood makes 2-pt jump shot from 21 ft (assist by D. Lillard),18,22
1,3:48.0,J. Harris misses 2-pt jump shot from 20 ft,,18,22
1,3:46.0,,Defensive rebound by A. Aminu,18,22
1,3:46.0,,S. Curry enters the game for M. Harkless,18,22
1,3:46.0,,E. Freedom enters the game for J. Nurkić,18,22
1,3:33.0,,E. Freedom makes 3-pt jump shot from 25 ft (assist by D. Lillard),18,25
1,3:10.0,J. Dudley misses 2-pt jump shot from 20 ft,,18,25
1,3:08.0,Offensive rebound by E. Davis,,18,25
1,3:05.0,S. Dinwiddie makes 3-pt jump shot from 22 ft (assist by J. Harris),,21,25
1,2:40.0,,A. Aminu makes 2-pt jump shot from 17 ft (assist by E. Freedom),21,27
1,2:15.0,J. Dudley makes 2-pt layup at rim (assist by C. LeVert),,23,27
1,2:02.0,,Personal foul by S. Dinwiddie (drawn by D. Lillard),23,27
1,2:02.0,D. Carroll enters the game for J. Harris,,23,27
1,2:02.0,,Z. Collins enters the game for A. Aminu,23,27
1,1:54.0,,S. Curry makes 3-pt jump shot from 24 ft (assist by D. Lillard),23,30
1,1:42.0,Personal foul by D. Lillard (drawn by S. Dinwiddie),,23,30
1,1:26.0,S. Dinwiddie misses 3-pt jump shot from 26 ft,,23,30
1,1:24.0,Offensive rebound by E. Davis,,23,30
1,1:21.0,J. Dudley makes 2-pt layup at rim (assist by C. LeVert),,25,30
1,1:09.0,,D. Lillard misses 3-pt jump shot from 25 ft,25,30
1,1:07.0,Defensive rebound by E. Davis,,25,30
1,1:02.0,Offensive foul by E. Davis (drawn by R. Hood),,25,30
1,1:02.0,Turnover by E. Davis (offensive foul),,25,30
1,0:40.0,,Z. Collins misses 2-pt jump shot from 6 ft,25,30
1,0:39.0,,Offensive rebound by E. Freedom,25,30
1,0:39.0,,E. Freedom misses 2-pt layup at rim,25,30
1,0:39.0,,Offensive rebound by Team,25,30
1,0:39.0,Loose ball foul by J. Dudley (drawn by E. Freedom),,25,30
1,0:33.0,,E. Freedom misses 3-pt jump shot from 25 ft,25,30
1,0:31.0,Defensive rebound by E. Davis,,25,30
1,0:20.0,Personal foul by Z. Collins (drawn by D. Carroll),,25,30
1,0:20.0,D. Carroll makes free throw 1 of 2,,26,30
1,0:20.0,D. Carroll makes free throw 2 of 2,,27,30
1,0:03.0,,Personal foul by J. Dudley (drawn by D. Lillard),27,30
1,0:03.0,,D. Lillard misses free throw 1 of 2,27,30
1,0:03.0,,Offensive rebound by Team,27,30
1,0:03.0,,D. Lillard makes free throw 2 of 2,27,31
1,0:00.0,Turnover by S. Dinwiddie (out of bounds lost ball),,27,31
2,11:37.0,,R. Hood misses 2-pt jump shot from 20 ft,27,31
2,11:37.0,,Offensive rebound by Team,27,31
2,11:31.0,,Z. Collins makes 2-pt hook shot from 3 ft (assist by E. Freedom),27,33
2,11:17.0,J. Dudley makes 3-pt jump shot from 25 ft (assist by C. LeVert),,30,33
2,11:17.0,Shooting foul by Z. Collins (drawn by J. Dudley),,30,33
2,11:17.0,J. Dudley makes free throw 1 of 1,,31,33
2,11:00.0,,R. Hood misses 3-pt jump shot from 26 ft,31,33
2,10:53.0,,Offensive rebound by E. Freedom,31,33
2,10:53.0,,E. Freedom makes 2-pt layup at rim,31,35
2,10:33.0,Shooting foul by S. Curry (drawn by C. LeVert),,31,35
2,10:33.0,C. LeVert makes free throw 1 of 2,,32,35
2,10:33.0,C. LeVert makes free throw 2 of 2,,33,35
2,10:19.0,,S. Curry misses 3-pt jump shot from 25 ft,33,35
2,10:15.0,Defensive rebound by D. Russell,,33,35
2,10:09.0,E. Davis makes 2-pt layup from 1 ft (assist by J. Dudley),,35,35
2,10:09.0,Shooting foul by E. Freedom (drawn by E. Davis),,35,35
2,10:09.0,,Portland full timeout,35,35
2,10:09.0,E. Davis misses free throw 1 of 1,,35,35
2,10:07.0,,Defensive rebound by Z. Collins,35,35
2,9:50.0,,Personal foul by C. LeVert (drawn by S. Curry),35,35
2,9:40.0,,E. Turner makes 2-pt dunk from 2 ft (assist by R. Hood),35,37
2,9:22.0,D. Carroll misses 3-pt jump shot from 25 ft,,35,37
2,9:19.0,,Defensive rebound by E. Freedom,35,37
2,9:14.0,,S. Curry misses 2-pt jump shot from 20 ft,35,37
2,9:12.0,,Offensive rebound by Z. Collins,35,37
2,9:01.0,,R. Hood misses 2-pt jump shot from 22 ft,35,37
2,8:58.0,Defensive rebound by J. Dudley,,35,37
2,8:50.0,D. Russell misses 2-pt jump shot from 17 ft,,35,37
2,8:49.0,,Defensive rebound by Z. Collins,35,37
2,8:49.0,,Personal foul by D. Carroll (drawn by Z. Collins),35,37
2,8:49.0,S. Dinwiddie enters the game for J. Dudley,,35,37
2,8:39.0,,S. Curry misses 3-pt jump shot from 24 ft,35,37
2,8:37.0,Defensive rebound by Team,,35,37
2,8:18.0,C. LeVert makes 2-pt layup from 1 ft,,37,37
2,8:02.0,,Z. Collins makes 3-pt jump shot from 26 ft (assist by R. Hood),37,40
2,7:51.0,D. Russell misses 2-pt jump shot from 16 ft,,37,40
2,7:48.0,Offensive rebound by C. LeVert,,37,40
2,7:39.0,D. Russell makes 2-pt layup from 2 ft,,39,40
2,7:27.0,,Z. Collins makes 3-pt jump shot from 24 ft (assist by S. Curry),39,43
2,7:27.0,Brooklyn full timeout,,39,43
2,7:21.0,Personal foul by S. Curry (drawn by C. LeVert),,39,43
2,7:10.0,C. LeVert makes 2-pt jump shot from 13 ft,,41,43
2,6:46.0,,S. Curry makes 2-pt layup from 2 ft (assist by E. Turner),41,45
2,6:37.0,D. Russell misses 3-pt jump shot from 26 ft,,41,45
2,6:34.0,,Defensive rebound by Z. Collins,41,45
2,6:21.0,,Turnover by R. Hood (bad pass; steal by C. LeVert),41,45
2,6:18.0,D. Carroll makes 2-pt layup from 1 ft (assist by S. Dinwiddie),,43,45
2,6:18.0,Shooting foul by E. Turner (drawn by D. Carroll),,43,45
2,6:18.0,J. Harris enters the game for C. LeVert,,43,45
2,6:18.0,D. Carroll makes free throw 1 of 1,,44,45
2,6:04.0,,R. Hood makes 2-pt jump shot from 21 ft (assist by Z. Collins),44,47
2,5:50.0,D. Carroll misses 3-pt jump shot from 26 ft,,44,47
2,5:47.0,Offensive rebound by E. Davis,,44,47
2,5:44.0,D. Russell makes 3-pt jump shot from 25 ft,,47,47
2,5:17.0,,Z. Collins misses 3-pt jump shot from 25 ft,47,47
2,5:14.0,,Offensive rebound by E. Freedom,47,47
2,5:10.0,,Z. Collins makes 2-pt dunk from 2 ft (assist by E. Freedom),47,49
2,4:54.0,Turnover by E. Davis (bad pass; steal by R. Hood),,47,49
2,4:50.0,,R. Hood makes 2-pt layup from 2 ft,47,51
2,4:32.0,Shooting foul by Z. Collins (drawn by D. Russell),,47,51
2,4:32.0,D. Russell misses free throw 1 of 3,,47,51
2,4:32.0,Offensive rebound by Team,,47,51
2,4:32.0,J. Allen enters the game for D. Carroll,,47,51
2,4:32.0,R. Kurucs enters the game for E. Davis,,47,51
2,4:32.0,,M. Harkless enters the game for Z. Collins,47,51
2,4:32.0,,D. Lillard enters the game for E. Freedom,47,51
2,4:32.0,,J. Nurkić enters the game for E. Turner,47,51
2,4:32.0,D. Russell misses free throw 2 of 3,,47,51
2,4:32.0,Offensive rebound by Team,,47,51
2,4:32.0,D. Russell makes free throw 3 of 3,,48,51
2,4:16.0,,S. Curry makes 2-pt jump shot from 14 ft (assist by J. Nurkić),48,53
2,4:08.0,D. Russell makes 2-pt jump shot from 2 ft,,50,53
2,3:58.0,,D. Lillard misses 3-pt jump shot from 26 ft,50,53
2,3:55.0,,Offensive rebound by M. Harkless,50,53
2,3:44.0,,J. Nurkić makes 2-pt layup from 2 ft (assist by D. Lillard),50,55
2,3:33.0,J. Allen makes 2-pt dunk at rim (assist by D. Russell),,52,55
2,3:22.0,,J. Nurkić misses 2-pt jump shot from 7 ft,52,55
2,3:18.0,Defensive rebound by J. Harris,,52,55
2,3:13.0,D. Russell misses 3-pt jump shot from 26 ft,,52,55
2,3:11.0,,Defensive rebound by J. Nurkić,52,55
2,3:01.0,,S. Curry makes 2-pt jump shot from 19 ft (assist by J. Nurkić),52,57
2,2:33.0,R. Kurucs makes 3-pt jump shot from 25 ft (assist by D. Russell),,55,57
2,2:03.0,,R. Hood misses 3-pt jump shot from 25 ft,55,57
2,1:59.0,Defensive rebound by R. Kurucs,,55,57
2,1:53.0,Shooting foul by J. Nurkić (drawn by D. Russell),,55,57
2,1:53.0,D. Russell makes free throw 1 of 2,,56,57
2,1:53.0,,A. Aminu enters the game for R. Hood,56,57
2,1:53.0,D. Russell misses free throw 2 of 2,,56,57
2,1:50.0,,Defensive rebound by J. Nurkić,56,57
2,1:37.0,,J. Nurkić makes 2-pt jump shot from 8 ft (assist by M. Harkless),56,59
2,1:23.0,R. Kurucs misses 2-pt layup from 2 ft,,56,59
2,1:20.0,,Defensive rebound by A. Aminu,56,59
2,1:15.0,,A. Aminu misses 2-pt layup from 2 ft,56,59
2,1:12.0,Defensive rebound by J. Allen,,56,59
2,1:07.0,R. Kurucs misses 2-pt layup from 2 ft,,56,59
2,1:06.0,,Defensive rebound by J. Nurkić,56,59
2,1:06.0,,Technical foul by A. Aminu,56,59
2,1:06.0,S. Dinwiddie makes technical free throw,,57,59
2,1:06.0,C. LeVert enters the game for D. Russell,,57,59
2,0:54.0,,M. Harkless misses 2-pt layup from 2 ft,57,59
2,0:53.0,Defensive rebound by C. LeVert,,57,59
2,0:42.0,S. Dinwiddie makes 3-pt jump shot from 25 ft (assist by C. LeVert),,60,59
2,0:31.0,,S. Curry makes 3-pt jump shot from 24 ft (assist by D. Lillard),60,62
2,0:20.0,Personal foul by S. Curry (drawn by C. LeVert),,60,62
2,0:20.0,C. LeVert makes free throw 1 of 2,,61,62
2,0:20.0,C. LeVert makes free throw 2 of 2,,62,62
2,0:04.0,,Personal foul by S. Dinwiddie (drawn by S. Curry),62,62
2,0:04.0,D. Carroll enters the game for S. Dinwiddie,,62,62
2,0:00.0,,S. Curry misses 2-pt jump shot from 18 ft,62,62
2,0:00.0,,Offensive rebound by Team,62,62
3,11:36.0,,A. Aminu misses 3-pt jump shot from 25 ft,62,62
3,11:34.0,Defensive rebound by R. Kurucs,,62,62
3,11:28.0,D. Russell makes 2-pt layup from 2 ft,,64,62
3,11:18.0,,D. Lillard misses 3-pt jump shot from 27 ft,64,62
3,11:16.0,Defensive rebound by D. Russell,,64,62
3,10:57.0,J. Allen misses 2-pt layup from 1 ft (block by J. Nurkić),,64,62
3,10:57.0,Offensive rebound by Team,,64,62
3,10:53.0,J. Allen makes 2-pt layup at rim,,66,62
3,10:28.0,,J. Nurkić makes 2-pt hook shot from 6 ft (assist by A. Aminu),66,64
3,10:18.0,D. Russell makes 2-pt jump shot from 19 ft,,68,64
3,10:03.0,,J. Nurkić makes 2-pt hook shot from 5 ft (assist by A. Aminu),68,66
3,9:54.0,Turnover by D. Russell (bad pass; steal by J. Nurkić),,68,66
3,9:43.0,,M. Harkless misses 3-pt jump shot from 25 ft,68,66
3,9:40.0,Defensive rebound by J. Allen,,68,66
3,9:36.0,Shooting foul by M. Harkless (drawn by D. Carroll),,68,66
3,9:36.0,D. Carroll misses free throw 1 of 2,,68,66
3,9:36.0,Offensive rebound by Team,,68,66
3,9:36.0,D. Carroll makes free throw 2 of 2,,69,66
3,9:21.0,,A. Aminu makes 2-pt dunk from 1 ft (assist by J. Nurkić),69,68
3,9:09.0,Shooting foul by A. Aminu (drawn by J. Harris),,69,68
3,9:09.0,J. Harris makes free throw 1 of 2,,70,68
3,9:09.0,J. Harris makes free throw 2 of 2,,71,68
3,8:57.0,,D. Lillard misses 3-pt jump shot from 25 ft,71,68
3,8:56.0,Defensive rebound by J. Allen,,71,68
3,8:44.0,D. Carroll misses 3-pt jump shot from 25 ft,,71,68
3,8:41.0,,Defensive rebound by J. Nurkić,71,68
3,8:29.0,,A. Aminu misses 2-pt layup from 1 ft (block by R. Kurucs),71,68
3,8:27.0,Defensive rebound by J. Harris,,71,68
3,8:21.0,Turnover by D. Carroll (bad pass),,71,68
3,7:58.0,,J. Nurkić misses 2-pt hook shot from 8 ft,71,68
3,7:56.0,Defensive rebound by R. Kurucs,,71,68
3,7:50.0,Shooting foul by J. Nurkić (drawn by J. Allen),,71,68
3,7:50.0,J. Allen misses free throw 1 of 2,,71,68
3,7:50.0,Offensive rebound by Team,,71,68
3,7:50.0,J. Allen misses free throw 2 of 2,,71,68
3,7:46.0,,Defensive rebound by A. Aminu,71,68
3,7:36.0,,A. Aminu misses 3-pt jump shot from 23 ft,71,68
3,7:33.0,,Offensive rebound by D. Lillard,71,68
3,7:29.0,,M. Harkless makes 3-pt jump shot from 25 ft (assist by D. Lillard),71,71
3,7:14.0,D. Russell makes 3-pt jump shot from 25 ft (assist by J. Allen),,74,71
3,7:05.0,,Shooting foul by J. Allen (drawn by J. Nurkić),74,71
3,7:05.0,,J. Nurkić makes free throw 1 of 2,74,72
3,7:05.0,S. Dinwiddie enters the game for D. Carroll,,74,72
3,7:05.0,,J. Nurkić makes free throw 2 of 2,74,73
3,6:57.0,D. Russell misses 3-pt jump shot from 25 ft,,74,73
3,6:55.0,,Defensive rebound by M. Harkless,74,73
3,6:45.0,,D. Lillard misses 2-pt layup from 1 ft,74,73
3,6:44.0,Defensive rebound by R. Kurucs,,74,73
3,6:38.0,R. Kurucs misses 2-pt layup from 2 ft (block by J. Nurkić),,74,73
3,6:37.0,,Defensive rebound by J. Nurkić,74,73
3,6:28.0,,J. Nurkić makes 2-pt jump shot from 20 ft (assist by D. Lillard),74,75
3,6:11.0,Personal foul by M. Harkless (drawn by J. Allen),,74,75
3,6:11.0,,Portland full timeout,74,75
3,6:04.0,J. Allen makes 2-pt dunk at rim (assist by D. Russell),,76,75
3,5:44.0,,J. Nurkić makes 2-pt hook shot from 2 ft (assist by J. Layman),76,77
3,5:32.0,Shooting foul by J. Nurkić (drawn by J. Allen),,76,77
3,5:32.0,J. Allen makes free throw 1 of 2,,77,77
3,5:32.0,J. Dudley enters the game for R. Kurucs,,77,77
3,5:32.0,C. LeVert enters the game for D. Russell,,77,77
3,5:32.0,,R. Hood enters the game for J. Layman,77,77
3,5:32.0,,E. Freedom enters the game for J. Nurkić,77,77
3,5:32.0,J. Allen makes free throw 2 of 2,,78,77
3,5:19.0,,A. Aminu misses 3-pt jump shot from 25 ft,78,77
3,5:15.0,Defensive rebound by J. Dudley,,78,77
3,5:11.0,S. Dinwiddie misses 3-pt jump shot from 23 ft,,78,77
3,5:09.0,,Defensive rebound by A. Aminu,78,77
3,5:00.0,,R. Hood makes 2-pt jump shot from 3 ft,78,79
3,4:47.0,C. LeVert misses 2-pt layup from 3 ft,,78,79
3,4:46.0,,Defensive rebound by A. Aminu,78,79
3,4:35.0,,D. Lillard makes 3-pt jump shot from 27 ft,78,82
3,4:34.0,Brooklyn full timeout,,78,82
3,4:34.0,E. Davis enters the game for J. Allen,,78,82
3,4:25.0,Personal foul by R. Hood (drawn by J. Harris),,78,82
3,4:25.0,J. Harris misses free throw 1 of 2,,78,82
3,4:25.0,Offensive rebound by Team,,78,82
3,4:25.0,J. Harris misses free throw 2 of 2,,78,82
3,4:23.0,,Defensive rebound by M. Harkless,78,82
3,4:09.0,,D. Lillard misses 3-pt jump shot from 28 ft,78,82
3,4:06.0,Defensive rebound by E. Davis,,78,82
3,4:01.0,J. Dudley makes 3-pt jump shot from 25 ft (assist by C. LeVert),,81,82
3,3:45.0,,E. Freedom makes 3-pt jump shot from 25 ft (assist by M. Harkless),81,85
3,3:31.0,J. Harris makes 2-pt jump shot from 3 ft,,83,85
3,3:17.0,,D. Lillard makes 2-pt jump shot from 19 ft,83,87
3,3:06.0,C. LeVert makes 3-pt jump shot from 25 ft,,86,87
3,2:53.0,,D. Lillard misses 3-pt jump shot from 28 ft,86,87
3,2:51.0,Defensive rebound by J. Dudley,,86,87
3,2:46.0,C. LeVert misses 3-pt jump shot from 27 ft,,86,87
3,2:43.0,,Defensive rebound by E. Freedom,86,87
3,2:32.0,,A. Aminu misses 3-pt jump shot from 26 ft,86,87
3,2:31.0,,Offensive rebound by E. Freedom,86,87
3,2:31.0,,Personal foul by E. Davis (drawn by E. Freedom),86,87
3,2:31.0,D. Carroll enters the game for J. Harris,,86,87
3,2:31.0,,Z. Collins enters the game for A. Aminu,86,87
3,2:31.0,,S. Curry enters the game for M. Harkless,86,87
3,2:17.0,,Turnover by Team (shot clock),86,87
3,2:00.0,S. Dinwiddie misses 3-pt jump shot from 23 ft,,86,87
3,1:58.0,,Defensive rebound by E. Freedom,86,87
3,1:44.0,,Shooting foul by E. Davis (drawn by Z. Collins),86,87
3,1:44.0,,Z. Collins makes free throw 1 of 2,86,88
3,1:44.0,,Z. Collins misses free throw 2 of 2,86,88
3,1:42.0,Defensive rebound by E. Davis,,86,88
3,1:32.0,Turnover by C. LeVert (lost ball; steal by R. Hood),,86,88
3,1:28.0,,R. Hood makes 2-pt layup from 1 ft,86,90
3,1:01.0,Shooting foul by R. Hood (drawn by S. Dinwiddie),,86,90
3,1:01.0,S. Dinwiddie makes free throw 1 of 2,,87,90
3,1:01.0,S. Dinwiddie makes free throw 2 of 2,,88,90
3,0:42.0,,S. Curry makes 3-pt jump shot from 25 ft (assist by D. Lillard),88,93
3,0:34.0,S. Dinwiddie misses 2-pt layup from 1 ft,,88,93
3,0:34.0,,Defensive rebound by Team,88,93
3,0:34.0,Loose ball foul by E. Davis (drawn by E. Freedom),,88,93
3,0:34.0,,E. Freedom makes free throw 1 of 2,88,94
3,0:34.0,,E. Freedom makes free throw 2 of 2,88,95
3,0:27.0,S. Dinwiddie misses 2-pt layup from 3 ft,,88,95
3,0:26.0,Offensive rebound by E. Davis,,88,95
3,0:26.0,Shooting foul by E. Freedom (drawn by E. Davis),,88,95
3,0:26.0,E. Davis makes free throw 1 of 2,,89,95
3,0:26.0,E. Davis makes free throw 2 of 2,,90,95
3,0:02.0,,Turnover by Team (shot clock),90,95
4,11:40.0,C. LeVert makes 2-pt layup from 3 ft,,92,95
4,11:28.0,,S. Curry misses 3-pt jump shot from 25 ft,92,95
4,11:25.0,Defensive rebound by E. Davis,,92,95
4,11:12.0,S. Dinwiddie makes 2-pt layup from 1 ft,,94,95
4,11:01.0,,Z. Collins misses 3-pt jump shot from 25 ft,94,95
4,11:00.0,Defensive rebound by E. Davis,,94,95
4,10:49.0,S. Dinwiddie makes 2-pt jump shot from 12 ft,,96,95
4,10:34.0,,Shooting foul by E. Davis (drawn by Z. Collins),96,95
4,10:34.0,,Z. Collins misses free throw 1 of 2,96,95
4,10:34.0,,Offensive rebound by Team,96,95
4,10:34.0,,Z. Collins makes free throw 2 of 2,96,96
4,10:19.0,C. LeVert misses 2-pt layup from 2 ft (block by E. Turner),,96,96
4,10:19.0,Offensive rebound by Team,,96,96
4,10:11.0,J. Dudley makes 2-pt jump shot from 15 ft (assist by C. LeVert),,98,96
4,9:53.0,,R. Hood makes 2-pt jump shot from 22 ft (assist by Z. Collins),98,98
4,9:43.0,Shooting foul by E. Freedom (drawn by S. Dinwiddie),,98,98
4,9:43.0,S. Dinwiddie makes free throw 1 of 2,,99,98
4,9:43.0,S. Dinwiddie makes free throw 2 of 2,,100,98
4,9:22.0,,E. Freedom misses 2-pt layup from 1 ft,100,98
4,9:19.0,,Offensive rebound by E. Freedom,100,98
4,9:19.0,,E. Freedom misses 2-pt layup from 1 ft,100,98
4,9:19.0,Defensive rebound by J. Dudley,,100,98
4,9:08.0,Shooting foul by E. Freedom (drawn by C. LeVert),,100,98
4,9:08.0,C. LeVert makes free throw 1 of 2,,101,98
4,9:08.0,,D. Lillard enters the game for Z. Collins,101,98
4,9:08.0,C. LeVert misses free throw 2 of 2,,101,98
4,9:06.0,,Defensive rebound by E. Freedom,101,98
4,8:45.0,,R. Hood misses 3-pt jump shot from 26 ft,101,98
4,8:42.0,Defensive rebound by E. Davis,,101,98
4,8:36.0,Shooting foul by R. Hood (drawn by S. Dinwiddie),,101,98
4,8:36.0,S. Dinwiddie makes free throw 1 of 2,,102,98
4,8:36.0,S. Dinwiddie makes free throw 2 of 2,,103,98
4,8:24.0,,D. Lillard makes 2-pt layup at rim,103,100
4,8:14.0,S. Dinwiddie misses 3-pt jump shot from 25 ft,,103,100
4,8:12.0,,Defensive rebound by E. Freedom,103,100
4,8:05.0,,R. Hood misses 3-pt jump shot from 23 ft,103,100
4,8:02.0,,Offensive rebound by D. Lillard,103,100
4,8:00.0,,D. Lillard misses 2-pt jump shot from 2 ft,103,100
4,7:58.0,Defensive rebound by S. Dinwiddie,,103,100
4,7:54.0,D. Carroll makes 3-pt jump shot from 23 ft (assist by C. LeVert),,106,100
4,7:29.0,,E. Freedom makes 2-pt layup from 1 ft (assist by E. Turner),106,102
4,7:15.0,E. Davis makes 2-pt hook shot from 3 ft,,108,102
4,7:13.0,,Portland full timeout,108,102
4,7:13.0,J. Harris enters the game for D. Carroll,,108,102
4,7:13.0,D. Russell enters the game for S. Dinwiddie,,108,102
4,7:13.0,,M. Harkless enters the game for E. Freedom,108,102
4,7:13.0,,J. Nurkić enters the game for E. Turner,108,102
4,6:54.0,,S. Curry misses 2-pt jump shot from 18 ft,108,102
4,6:52.0,Defensive rebound by E. Davis,,108,102
4,6:43.0,D. Russell makes 2-pt jump shot from 18 ft,,110,102
4,6:30.0,,D. Lillard misses 2-pt jump shot from 17 ft,110,102
4,6:28.0,Defensive rebound by C. LeVert,,110,102
4,6:07.0,C. LeVert makes 2-pt jump shot from 17 ft (assist by D. Russell),,112,102
4,5:50.0,,J. Nurkić misses 2-pt jump shot from 13 ft,112,102
4,5:47.0,Defensive rebound by E. Davis,,112,102
4,5:42.0,D. Russell misses 3-pt jump shot from 25 ft,,112,102
4,5:39.0,,Defensive rebound by J. Nurkić,112,102
4,5:32.0,,D. Lillard makes 3-pt jump shot from 26 ft,112,105
4,5:13.0,J. Harris misses 3-pt jump shot from 25 ft,,112,105
4,5:12.0,,Defensive rebound by D. Lillard,112,105
4,5:04.0,,D. Lillard misses 3-pt jump shot from 25 ft,112,105
4,5:03.0,Defensive rebound by E. Davis,,112,105
4,4:49.0,D. Russell misses 3-pt jump shot from 25 ft,,112,105
4,4:47.0,,Defensive rebound by S. Curry,112,105
4,4:36.0,,M. Harkless misses 2-pt layup from 1 ft (block by E. Davis),112,105
4,4:34.0,Defensive rebound by D. Russell,,112,105
4,4:34.0,Brooklyn full timeout,,112,105
