QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,INDIANA_ACTION,LA CLIPPERS_SCORE,INDIANA_SCORE
1,7:00.0,S. Thornwell makes 2-pt layup from 3 ft (assist by S. Gilgeous-Alexander),,17,14
1,6:42.0,,D. Collison makes 2-pt layup from 1 ft (assist by T. Evans),17,16
1,6:28.0,S. Thornwell makes 2-pt layup from 1 ft (assist by S. Gilgeous-Alexander),,19,16
1,6:14.0,,D. Collison makes 2-pt jump shot from 19 ft,19,18
1,6:07.0,LA Clippers full timeout,,19,18
1,6:07.0,J. Motley enters the game for D. Gallinari,,19,18
1,5:59.0,S. Gilgeous-Alexander makes 2-pt layup from 1 ft,,21,18
1,5:50.0,,Turnover by T. Evans (bad pass; steal by P. Beverley),21,18
1,5:44.0,J. Motley makes 2-pt layup from 1 ft (assist by S. Gilgeous-Alexander),,23,18
1,5:44.0,Shooting foul by M. Turner (drawn by J. Motley),,23,18
1,5:44.0,J. Motley misses free throw 1 of 1,,23,18
1,5:43.0,,Defensive rebound by B. Bogdanović,23,18
1,5:30.0,,T. Young misses 2-pt jump shot from 6 ft,23,18
1,5:28.0,Defensive rebound by Team,,23,18
1,5:19.0,Turnover by S. Gilgeous-Alexander (bad pass; steal by M. Turner),,23,18
1,5:16.0,,T. Evans makes 2-pt layup from 1 ft (assist by M. Turner),23,20
1,5:16.0,,Shooting foul by J. Motley (drawn by T. Evans),23,20
1,5:16.0,,T. Evans makes free throw 1 of 1,23,21
1,5:05.0,P. Beverley makes 2-pt jump shot from 6 ft (assist by S. Gilgeous-Alexander),,25,21
1,4:44.0,,T. Young makes 3-pt jump shot from 27 ft (assist by T. Evans),25,24
1,4:16.0,Turnover by Team (shot clock),,25,24
1,4:16.0,,D. Sabonis enters the game for T. Young,25,24
1,4:02.0,,T. Evans misses 2-pt layup from 3 ft,25,24
1,4:00.0,,Offensive rebound by D. Sabonis,25,24
1,3:49.0,,M. Turner makes 2-pt jump shot from 11 ft,25,26
1,3:26.0,M. Harrell misses 2-pt jump shot from 7 ft,,25,26
1,3:24.0,Offensive rebound by S. Gilgeous-Alexander,,25,26
1,3:17.0,P. Beverley makes 2-pt jump shot from 11 ft,,27,26
1,3:04.0,,Turnover by D. Collison (bad pass; steal by M. Harrell),27,26
1,2:56.0,S. Thornwell misses 3-pt jump shot from 22 ft,,27,26
1,2:52.0,,Defensive rebound by D. Collison,27,26
1,2:50.0,,D. Collison makes 2-pt layup at rim,27,28
1,2:50.0,Violation by Team (def goaltending),,27,28
1,2:40.0,Offensive foul by J. Motley (drawn by M. Turner),,27,28
1,2:40.0,Turnover by J. Motley (offensive foul),,27,28
1,2:40.0,,Indiana full timeout,27,28
1,2:40.0,J. Robinson enters the game for P. Beverley,,27,28
1,2:40.0,T. Wallace enters the game for S. Gilgeous-Alexander,,27,28
1,2:40.0,L. Williams enters the game for S. Thornwell,,27,28
1,2:40.0,,A. Holiday enters the game for B. Bogdanović,27,28
1,2:40.0,,C. Joseph enters the game for D. Collison,27,28
1,2:40.0,,E. Sumner enters the game for T. Evans,27,28
1,2:17.0,,D. Sabonis makes 2-pt hook shot from 7 ft,27,30
1,2:00.0,L. Williams makes 2-pt jump shot from 6 ft (assist by M. Harrell),,29,30
1,1:47.0,,A. Holiday misses 2-pt jump shot from 17 ft,29,30
1,1:45.0,Defensive rebound by J. Motley,,29,30
1,1:39.0,Turnover by T. Wallace (bad pass; steal by M. Turner),,29,30
1,1:34.0,,M. Turner makes 2-pt layup at rim,29,32
1,1:21.0,T. Wallace makes 2-pt jump shot from 13 ft (assist by M. Harrell),,31,32
1,1:09.0,,A. Holiday misses 3-pt jump shot from 28 ft,31,32
1,1:06.0,Defensive rebound by J. Motley,,31,32
1,0:58.0,J. Motley misses 3-pt jump shot from 27 ft,,31,32
1,0:55.0,,Defensive rebound by C. Joseph,31,32
1,0:51.0,,Personal foul by J. Motley (drawn by D. Sabonis),31,32
1,0:51.0,S. Thornwell enters the game for M. Harrell,,31,32
1,0:51.0,,T. Leaf enters the game for M. Turner,31,32
1,0:32.0,,D. Sabonis makes 2-pt jump shot from 17 ft (assist by A. Holiday),31,34
1,0:09.0,T. Wallace misses 2-pt jump shot from 11 ft,,31,34
1,0:08.0,Offensive rebound by Team,,31,34
1,0:08.0,Turnover by Team (shot clock),,31,34
1,0:02.0,,C. Joseph makes 2-pt jump shot from 15 ft,31,36
2,11:47.0,,Offensive foul by D. Sabonis (drawn by J. Robinson),31,36
2,11:47.0,,Turnover by D. Sabonis (offensive foul),31,36
2,11:38.0,L. Williams misses 2-pt jump shot from 15 ft,,31,36
2,11:35.0,,Defensive rebound by A. Holiday,31,36
2,11:31.0,,Turnover by A. Holiday (lost ball; steal by S. Thornwell),31,36
2,11:27.0,S. Thornwell misses 2-pt layup from 1 ft,,31,36
2,11:26.0,Offensive rebound by Team,,31,36
2,11:25.0,J. Robinson misses 2-pt jump shot from 18 ft,,31,36
2,11:22.0,,Defensive rebound by T. Leaf,31,36
2,11:14.0,,T. Leaf makes 2-pt dunk from 1 ft (assist by A. Holiday),31,38
2,10:52.0,J. Motley makes 2-pt dunk from 1 ft,,33,38
2,10:29.0,,Turnover by D. Sabonis (bad pass; steal by S. Thornwell),33,38
2,10:23.0,J. Robinson misses 3-pt jump shot from 28 ft,,33,38
2,10:21.0,,Defensive rebound by D. Sabonis,33,38
2,10:13.0,,D. Sabonis misses 2-pt jump shot from 20 ft,33,38
2,10:09.0,Defensive rebound by L. Williams,,33,38
2,9:59.0,J. Motley makes 2-pt layup at rim (assist by T. Wallace),,35,38
2,9:39.0,,T. Leaf makes 2-pt layup at rim,35,40
2,9:28.0,L. Williams makes 2-pt jump shot from 11 ft,,37,40
2,9:16.0,,Personal foul by J. Robinson (drawn by A. Holiday),37,40
2,9:16.0,D. Gallinari enters the game for S. Thornwell,,37,40
2,9:01.0,,E. Sumner misses 2-pt jump shot from 11 ft,37,40
2,8:58.0,Defensive rebound by J. Motley,,37,40
2,8:47.0,Personal foul by E. Sumner (drawn by L. Williams),,37,40
2,8:47.0,,T. Young enters the game for T. Leaf,37,40
2,8:40.0,L. Williams makes 2-pt jump shot from 12 ft,,39,40
2,8:25.0,,A. Holiday misses 2-pt jump shot from 6 ft,39,40
2,8:22.0,Defensive rebound by J. Motley,,39,40
2,8:05.0,T. Wallace misses 2-pt jump shot from 17 ft,,39,40
2,8:03.0,,Defensive rebound by D. Sabonis,39,40
2,7:56.0,,E. Sumner misses 3-pt jump shot from 28 ft,39,40
2,7:52.0,Defensive rebound by L. Williams,,39,40
2,7:47.0,L. Williams misses 2-pt jump shot from 19 ft,,39,40
2,7:45.0,,Defensive rebound by D. Sabonis,39,40
2,7:34.0,,T. Young makes 3-pt jump shot from 24 ft (assist by D. Sabonis),39,43
2,7:32.0,LA Clippers full timeout,,39,43
2,7:32.0,M. Harrell enters the game for J. Motley,,39,43
2,7:32.0,,B. Bogdanović enters the game for A. Holiday,39,43
2,7:32.0,,D. Collison enters the game for E. Sumner,39,43
2,7:26.0,M. Harrell makes 2-pt layup from 1 ft,,41,43
2,7:13.0,,C. Joseph makes 2-pt jump shot from 13 ft,41,45
2,6:49.0,J. Robinson makes 3-pt jump shot from 24 ft (assist by L. Williams),,44,45
2,6:36.0,,C. Joseph makes 2-pt jump shot from 12 ft,44,47
2,6:22.0,T. Wallace makes 2-pt layup from 1 ft,,46,47
2,6:07.0,,T. Young makes 2-pt jump shot from 1 ft,46,49
2,5:54.0,Turnover by M. Harrell (bad pass),,46,49
2,5:54.0,P. Beverley enters the game for T. Wallace,,46,49
2,5:54.0,,M. Turner enters the game for D. Sabonis,46,49
2,5:39.0,,M. Turner makes 3-pt jump shot from 26 ft (assist by D. Collison),46,52
2,5:29.0,Personal foul by T. Young (drawn by D. Gallinari),,46,52
2,5:27.0,Turnover by L. Williams (bad pass; steal by T. Young),,46,52
2,5:24.0,,T. Young makes 2-pt dunk at rim,46,54
2,5:11.0,Personal foul by B. Bogdanović (drawn by D. Gallinari),,46,54
2,5:02.0,M. Harrell misses 2-pt layup from 2 ft,,46,54
2,4:59.0,,Defensive rebound by C. Joseph,46,54
2,4:51.0,,C. Joseph misses 2-pt jump shot from 18 ft,46,54
2,4:47.0,,Offensive rebound by D. Collison,46,54
2,4:46.0,,B. Bogdanović makes 3-pt jump shot from 23 ft (assist by D. Collison),46,57
2,4:36.0,L. Williams misses 2-pt layup from 2 ft (block by M. Turner),,46,57
2,4:33.0,,Defensive rebound by T. Young,46,57
2,4:31.0,,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by T. Young),46,60
2,4:30.0,LA Clippers full timeout,,46,60
2,4:30.0,S. Thornwell enters the game for J. Robinson,,46,60
2,4:17.0,D. Gallinari misses 3-pt jump shot from 28 ft,,46,60
2,4:13.0,Offensive rebound by P. Beverley,,46,60
2,4:12.0,D. Gallinari misses 2-pt jump shot from 17 ft,,46,60
2,4:09.0,,Defensive rebound by B. Bogdanović,46,60
2,3:55.0,,B. Bogdanović misses 3-pt jump shot from 23 ft,46,60
2,3:53.0,Defensive rebound by P. Beverley,,46,60
2,3:46.0,M. Harrell makes 2-pt dunk from 1 ft (assist by P. Beverley),,48,60
2,3:24.0,,T. Young makes 2-pt layup from 1 ft (assist by C. Joseph),48,62
2,3:00.0,L. Williams misses 2-pt jump shot from 10 ft,,48,62
2,2:59.0,,Defensive rebound by Team,48,62
2,2:59.0,S. Gilgeous-Alexander enters the game for D. Gallinari,,48,62
2,2:59.0,J. Motley enters the game for L. Williams,,48,62
2,2:59.0,,T. Evans enters the game for C. Joseph,48,62
2,2:36.0,,B. Bogdanović misses 2-pt layup from 1 ft (block by M. Harrell),48,62
2,2:32.0,Defensive rebound by P. Beverley,,48,62
2,2:29.0,J. Motley misses 2-pt dunk at rim (block by M. Turner),,48,62
2,2:26.0,,Defensive rebound by D. Collison,48,62
2,2:17.0,,B. Bogdanović makes 2-pt layup at rim (assist by T. Young),48,64
2,2:05.0,Turnover by S. Gilgeous-Alexander (bad pass; steal by T. Young),,48,64
2,2:01.0,,D. Collison misses 2-pt layup from 4 ft (block by P. Beverley),48,64
2,1:59.0,Defensive rebound by Team,,48,64
2,1:55.0,P. Beverley makes 3-pt jump shot from 23 ft (assist by S. Gilgeous-Alexander),,51,64
2,1:41.0,,T. Evans makes 2-pt layup from 1 ft,51,66
2,1:29.0,,Violation by Team (kicked ball),51,66
2,1:23.0,M. Harrell makes 2-pt dunk at rim (assist by P. Beverley),,53,66
2,1:11.0,,Personal foul by M. Harrell (drawn by T. Evans),53,66
2,0:56.0,,D. Collison makes 2-pt jump shot from 18 ft,53,68
2,0:48.0,S. Gilgeous-Alexander misses 2-pt layup from 1 ft (block by M. Turner),,53,68
2,0:45.0,,Defensive rebound by T. Young,53,68
2,0:43.0,,T. Evans makes 2-pt layup from 1 ft (assist by D. Collison),53,70
2,0:43.0,,Shooting foul by S. Thornwell (drawn by T. Evans),53,70
2,0:43.0,L. Williams enters the game for J. Motley,,53,70
2,0:43.0,,C. Joseph enters the game for D. Collison,53,70
2,0:43.0,,T. Evans makes free throw 1 of 1,53,71
2,0:33.0,M. Harrell misses 2-pt layup from 2 ft (block by M. Turner),,53,71
2,0:31.0,,Defensive rebound by Team,53,71
2,0:29.0,,B. Bogdanović misses 2-pt jump shot from 8 ft (block by S. Gilgeous-Alexander),53,71
2,0:26.0,Defensive rebound by S. Thornwell,,53,71
2,0:01.0,P. Beverley misses 2-pt jump shot from 8 ft,,53,71
2,0:01.0,,Defensive rebound by T. Young,53,71
3,11:41.0,,B. Bogdanović makes 2-pt jump shot from 3 ft (assist by M. Turner),53,73
3,11:24.0,S. Thornwell misses 3-pt jump shot from 26 ft,,53,73
3,11:21.0,,Defensive rebound by T. Evans,53,73
3,11:09.0,,Turnover by T. Evans (bad pass; steal by S. Thornwell),53,73
3,11:01.0,Turnover by M. Harrell (bad pass; steal by B. Bogdanović),,53,73
3,10:56.0,,Offensive foul by T. Evans (drawn by M. Harrell),53,73
3,10:56.0,,Turnover by T. Evans (offensive foul),53,73
3,10:39.0,Turnover by S. Thornwell (bad pass; steal by T. Young),,53,73
3,10:33.0,,B. Bogdanović misses 3-pt jump shot from 24 ft,53,73
3,10:30.0,Defensive rebound by S. Thornwell,,53,73
3,10:23.0,M. Harrell misses 2-pt layup from 2 ft,,53,73
3,10:21.0,,Defensive rebound by T. Young,53,73
3,10:20.0,,Personal take foul by P. Beverley (drawn by T. Young),53,73
3,10:13.0,,Personal foul by S. Gilgeous-Alexander (drawn by M. Turner),53,73
3,10:07.0,,D. Collison makes 2-pt jump shot from 13 ft,53,75
3,9:43.0,D. Gallinari misses 2-pt jump shot from 19 ft,,53,75
3,9:40.0,,Defensive rebound by B. Bogdanović,53,75
3,9:31.0,,T. Evans misses 3-pt jump shot from 23 ft,53,75
3,9:28.0,Defensive rebound by D. Gallinari,,53,75
3,9:13.0,Turnover by M. Harrell (bad pass; steal by B. Bogdanović),,53,75
3,8:54.0,,M. Turner makes 2-pt jump shot from 9 ft (assist by T. Young),53,77
3,8:38.0,Shooting foul by T. Evans (drawn by S. Gilgeous-Alexander),,53,77
3,8:38.0,S. Gilgeous-Alexander makes free throw 1 of 2,,54,77
3,8:38.0,S. Gilgeous-Alexander makes free throw 2 of 2,,55,77
3,8:28.0,,D. Collison misses 2-pt jump shot from 18 ft,55,77
3,8:25.0,Defensive rebound by D. Gallinari,,55,77
3,8:16.0,M. Harrell makes 2-pt dunk from 2 ft (assist by P. Beverley),,57,77
3,7:59.0,,Offensive foul by T. Young (drawn by S. Thornwell),57,77
3,7:59.0,,Turnover by T. Young (offensive foul),57,77
3,7:59.0,L. Williams enters the game for S. Gilgeous-Alexander,,57,77
3,7:59.0,,C. Joseph enters the game for T. Evans,57,77
3,7:36.0,D. Gallinari misses 2-pt jump shot from 11 ft,,57,77
3,7:34.0,,Defensive rebound by M. Turner,57,77
3,7:21.0,,C. Joseph misses 3-pt jump shot from 27 ft,57,77
3,7:18.0,Defensive rebound by D. Gallinari,,57,77
3,7:07.0,M. Harrell makes 2-pt jump shot from 7 ft (assist by S. Thornwell),,59,77
3,6:46.0,,B. Bogdanović misses 3-pt jump shot from 32 ft,59,77
3,6:41.0,,Offensive rebound by T. Young,59,77
3,6:41.0,,Personal foul by M. Harrell (drawn by C. Joseph),59,77
3,6:41.0,,Indiana full timeout,59,77
3,6:41.0,J. Motley enters the game for D. Gallinari,,59,77
3,6:28.0,,T. Young misses 2-pt jump shot from 16 ft,59,77
3,6:25.0,Defensive rebound by P. Beverley,,59,77
3,6:13.0,Turnover by M. Harrell (bad pass; steal by B. Bogdanović),,59,77
3,6:08.0,,B. Bogdanović makes 2-pt layup from 2 ft,59,79
3,5:56.0,Turnover by J. Motley (traveling),,59,79
3,5:47.0,,M. Turner makes 3-pt jump shot from 26 ft (assist by C. Joseph),59,82
3,5:34.0,L. Williams makes 2-pt jump shot from 17 ft,,61,82
3,5:20.0,,Personal foul by J. Motley (drawn by T. Young),61,82
3,5:20.0,J. Robinson enters the game for S. Thornwell,,61,82
3,5:14.0,,B. Bogdanović makes 2-pt jump shot from 2 ft (assist by C. Joseph),61,84
3,5:14.0,,Shooting foul by J. Robinson (drawn by B. Bogdanović),61,84
3,5:14.0,,B. Bogdanović makes free throw 1 of 1,61,85
3,5:01.0,M. Harrell makes 2-pt dunk from 2 ft (assist by J. Robinson),,63,85
3,4:49.0,,T. Young misses 3-pt jump shot from 28 ft,63,85
3,4:46.0,Defensive rebound by P. Beverley,,63,85
3,4:41.0,Personal foul by D. Collison (drawn by P. Beverley),,63,85
3,4:41.0,,D. Sabonis enters the game for T. Young,63,85
3,4:35.0,L. Williams misses 2-pt layup from 1 ft (block by M. Turner),,63,85
3,4:34.0,Offensive rebound by Team,,63,85
3,4:32.0,P. Beverley makes 2-pt layup from 3 ft (assist by L. Williams),,65,85
3,4:15.0,,C. Joseph makes 3-pt jump shot from 26 ft (assist by D. Collison),65,88
3,3:58.0,J. Robinson misses 2-pt layup from 3 ft (block by M. Turner),,65,88
3,3:56.0,Offensive rebound by M. Harrell,,65,88
3,3:56.0,M. Harrell makes 2-pt dunk at rim,,67,88
3,3:48.0,,D. Collison misses 3-pt jump shot from 23 ft,67,88
3,3:44.0,,Offensive rebound by B. Bogdanović,67,88
3,3:43.0,,B. Bogdanović makes 2-pt layup from 1 ft,67,90
3,3:29.0,Turnover by M. Harrell (lost ball; steal by D. Collison),,67,90
3,3:26.0,,Personal take foul by L. Williams (drawn by D. Collison),67,90
3,3:26.0,,D. Collison makes free throw 1 of 2,67,91
3,3:26.0,T. Wallace enters the game for P. Beverley,,67,91
3,3:26.0,,E. Sumner enters the game for B. Bogdanović,67,91
3,3:26.0,,D. Collison makes free throw 2 of 2,67,92
3,3:20.0,Turnover by L. Williams (bad pass; steal by C. Joseph),,67,92
3,3:16.0,,E. Sumner misses 2-pt layup from 1 ft (block by M. Harrell),67,92
3,3:14.0,,Offensive rebound by Team,67,92
3,3:14.0,Loose ball foul by J. Robinson (drawn by D. Collison),,67,92
3,3:14.0,,D. Collison makes free throw 1 of 2,67,93
3,3:14.0,,D. Collison makes free throw 2 of 2,67,94
3,3:07.0,L. Williams makes 2-pt jump shot from 5 ft,,69,94
3,2:54.0,,Offensive foul by M. Turner (drawn by M. Harrell),69,94
3,2:54.0,,Turnover by M. Turner (offensive foul),69,94
3,2:54.0,LA Clippers full timeout,,69,94
3,2:54.0,S. Gilgeous-Alexander enters the game for L. Williams,,69,94
3,2:42.0,Turnover by T. Wallace (bad pass; steal by M. Turner),,69,94
3,2:25.0,,C. Joseph misses 3-pt jump shot from 25 ft,69,94
3,2:21.0,Defensive rebound by T. Wallace,,69,94
3,2:17.0,Shooting foul by E. Sumner (drawn by T. Wallace),,69,94
3,2:17.0,T. Wallace misses free throw 1 of 2,,69,94
3,2:17.0,Offensive rebound by Team,,69,94
3,2:17.0,,A. Holiday enters the game for D. Collison,69,94
3,2:17.0,T. Wallace misses free throw 2 of 2,,69,94
3,2:15.0,Offensive rebound by J. Motley,,69,94
3,2:13.0,J. Robinson misses 3-pt jump shot from 30 ft,,69,94
3,2:10.0,Offensive rebound by T. Wallace,,69,94
3,2:05.0,Shooting foul by C. Joseph (drawn by M. Harrell),,69,94
3,2:05.0,M. Harrell makes free throw 1 of 2,,70,94
3,2:05.0,M. Harrell misses free throw 2 of 2,,70,94
3,2:04.0,,Defensive rebound by C. Joseph,70,94
3,1:47.0,,Turnover by D. Sabonis (lost ball; steal by J. Robinson),70,94
3,1:36.0,Shooting foul by D. Sabonis (drawn by T. Wallace),,70,94
3,1:36.0,T. Wallace makes free throw 1 of 2,,71,94
3,1:36.0,Á. Delgado enters the game for M. Harrell,,71,94
3,1:36.0,,T. Leaf enters the game for M. Turner,71,94
3,1:36.0,T. Wallace misses free throw 2 of 2,,71,94
3,1:34.0,Offensive rebound by Team,,71,94
3,1:28.0,J. Robinson misses 2-pt jump shot from 19 ft,,71,94
3,1:26.0,Offensive rebound by T. Wallace,,71,94
3,1:20.0,Turnover by S. Gilgeous-Alexander (bad pass),,71,94
3,1:05.0,,E. Sumner misses 3-pt jump shot from 26 ft,71,94
3,1:01.0,Defensive rebound by Team,,71,94
3,0:48.0,J. Motley misses 2-pt layup from 3 ft (block by T. Leaf),,71,94
3,0:45.0,,Defensive rebound by D. Sabonis,71,94
3,0:43.0,,A. Holiday makes 2-pt layup from 2 ft (assist by D. Sabonis),71,96
3,0:39.0,Personal foul by T. Leaf (drawn by J. Motley),,71,96
3,0:39.0,J. Motley makes free throw 1 of 2,,72,96
3,0:39.0,J. Motley makes free throw 2 of 2,,73,96
3,0:32.0,,A. Holiday misses 2-pt jump shot from 18 ft,73,96
3,0:31.0,Defensive rebound by Á. Delgado,,73,96
3,0:09.0,S. Gilgeous-Alexander misses 3-pt jump shot from 24 ft,,73,96
3,0:06.0,,Defensive rebound by C. Joseph,73,96
3,0:00.0,,C. Joseph makes 2-pt jump shot from 12 ft,73,98
4,11:47.0,Personal foul by K. O'Quinn (drawn by D. Gallinari),,73,98
4,11:40.0,J. Robinson misses 3-pt jump shot from 27 ft,,73,98
4,11:37.0,,Defensive rebound by A. Holiday,73,98
4,11:28.0,,Personal foul by S. Gilgeous-Alexander (drawn by C. Joseph),73,98
4,11:21.0,,C. Joseph misses 2-pt jump shot from 16 ft,73,98
4,11:19.0,,Offensive rebound by C. Joseph,73,98
4,11:13.0,,B. Bogdanović misses 2-pt layup from 3 ft (block by D. Gallinari),73,98
4,11:13.0,,Offensive rebound by Team,73,98
4,11:07.0,,A. Holiday misses 2-pt jump shot from 12 ft,73,98
4,11:05.0,Defensive rebound by D. Gallinari,,73,98
4,10:51.0,Á. Delgado misses 2-pt layup from 1 ft,,73,98
4,10:48.0,,Defensive rebound by D. Sabonis,73,98
4,10:41.0,,A. Holiday misses 3-pt jump shot from 27 ft,73,98
4,10:37.0,Defensive rebound by J. Robinson,,73,98
4,10:29.0,D. Gallinari makes 3-pt jump shot from 26 ft (assist by J. Robinson),,76,98
4,10:09.0,,D. Sabonis makes 2-pt jump shot from 15 ft,76,100
4,9:53.0,D. Gallinari misses 3-pt jump shot from 29 ft,,76,100
4,9:51.0,,Defensive rebound by C. Joseph,76,100
4,9:45.0,,Personal foul by Á. Delgado (drawn by D. Sabonis),76,100
4,9:45.0,J. Motley enters the game for D. Gallinari,,76,100
4,9:38.0,,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by C. Joseph),76,103
4,9:14.0,T. Wallace makes 2-pt jump shot from 6 ft,,78,103
4,9:01.0,,D. Sabonis misses 2-pt jump shot from 19 ft,78,103
4,8:58.0,Defensive rebound by T. Wallace,,78,103
4,8:54.0,J. Robinson misses 3-pt jump shot from 28 ft,,78,103
4,8:51.0,,Defensive rebound by C. Joseph,78,103
4,8:35.0,,D. Sabonis makes 2-pt layup from 1 ft (assist by B. Bogdanović),78,105
4,8:12.0,J. Motley makes 2-pt jump shot from 13 ft (assist by J. Robinson),,80,105
4,7:52.0,,Turnover by A. Holiday (bad pass; steal by J. Robinson),80,105
4,7:47.0,J. Robinson misses 2-pt layup from 4 ft,,80,105
4,7:45.0,,Defensive rebound by B. Bogdanović,80,105
4,7:39.0,,Turnover by C. Joseph (bad pass; steal by J. Robinson),80,105
4,7:38.0,Personal take foul by B. Bogdanović (drawn by J. Robinson),,80,105
4,7:25.0,J. Motley misses 2-pt jump shot from 8 ft,,80,105
4,7:22.0,Offensive rebound by Á. Delgado,,80,105
4,7:18.0,LA Clippers full timeout,,80,105
4,7:17.0,Turnover by S. Gilgeous-Alexander (bad pass; steal by D. Sabonis),,80,105
4,7:01.0,,B. Bogdanović makes 2-pt layup from 3 ft,80,107
4,6:47.0,J. Motley misses 2-pt layup from 2 ft,,80,107
4,6:45.0,,Defensive rebound by D. Sabonis,80,107
4,6:34.0,,Turnover by K. O'Quinn (bad pass; steal by J. Robinson),80,107
4,6:27.0,T. Wallace makes 2-pt layup from 1 ft,,82,107
4,6:11.0,,K. O'Quinn misses 2-pt jump shot from 15 ft,82,107
4,6:06.0,Defensive rebound by T. Wallace,,82,107
4,5:57.0,T. Wallace misses 2-pt jump shot from 14 ft,,82,107
4,5:54.0,,Defensive rebound by B. Bogdanović,82,107
4,5:46.0,,C. Joseph makes 2-pt layup from 1 ft,82,109
4,5:30.0,Shooting foul by K. O'Quinn (drawn by S. Gilgeous-Alexander),,82,109
4,5:30.0,S. Gilgeous-Alexander makes free throw 1 of 2,,83,109
4,5:30.0,,E. Sumner enters the game for B. Bogdanović,83,109
4,5:30.0,S. Gilgeous-Alexander makes free throw 2 of 2,,84,109
4,5:14.0,,E. Sumner makes 2-pt layup at rim (assist by C. Joseph),84,111
4,5:14.0,,Shooting foul by S. Gilgeous-Alexander (drawn by E. Sumner),84,111
4,5:14.0,S. Thornwell enters the game for S. Gilgeous-Alexander,,84,111
4,5:14.0,,T. Leaf enters the game for D. Sabonis,84,111
4,5:14.0,,E. Sumner misses free throw 1 of 1,84,111
4,5:13.0,Defensive rebound by T. Wallace,,84,111
4,4:59.0,J. Robinson makes 2-pt jump shot from 18 ft,,86,111
4,4:39.0,,K. O'Quinn misses 2-pt jump shot from 16 ft,86,111
4,4:36.0,Defensive rebound by J. Motley,,86,111
4,4:26.0,Á. Delgado misses 2-pt layup from 1 ft (block by K. O'Quinn),,86,111
4,4:23.0,,Defensive rebound by K. O'Quinn,86,111
4,4:22.0,,Turnover by K. O'Quinn (bad pass),86,111
4,4:20.0,J. Robinson misses 2-pt jump shot from 19 ft,,86,111
4,4:19.0,,Defensive rebound by K. O'Quinn,86,111
4,4:06.0,,A. Holiday misses 2-pt jump shot from 20 ft,86,111
4,4:03.0,Defensive rebound by J. Robinson,,86,111
4,3:58.0,T. Wallace misses 2-pt layup from 1 ft (block by E. Sumner),,86,111
4,3:57.0,Offensive rebound by Team,,86,111
4,3:53.0,Shooting foul by K. O'Quinn (drawn by J. Robinson),,86,111
4,3:53.0,J. Robinson makes free throw 1 of 2,,87,111
4,3:53.0,J. Robinson makes free throw 2 of 2,,88,111
4,3:30.0,,Turnover by A. Holiday (bad pass; steal by S. Thornwell),88,111
4,3:25.0,T. Wallace misses 2-pt layup from 2 ft (block by K. O'Quinn),,88,111
4,3:24.0,Offensive rebound by Team,,88,111
4,3:13.0,J. Robinson misses 3-pt jump shot from 24 ft,,88,111
4,3:09.0,,Defensive rebound by A. Holiday,88,111
