QUARTER,TIME_REMAINING,MEMPHIS_ACTION,TORONTO_ACTION,MEMPHIS_SCORE,TORONTO_SCORE
3,6:18.0,Memphis full timeout,,55,77
3,6:18.0,J. Carter enters the game for M. Conley,,55,77
3,6:18.0,I. Rabb enters the game for J. Jackson,,55,77
3,5:54.0,J. Carter misses 2-pt jump shot from 18 ft (block by F. VanVleet),,55,77
3,5:54.0,Offensive rebound by Team,,55,77
3,5:54.0,Turnover by Team (shot clock),,55,77
3,5:42.0,,D. Green makes 3-pt jump shot from 25 ft (assist by F. VanVleet),55,80
3,5:27.0,Personal foul by K. Lowry (drawn by O. Casspi),,55,80
3,5:27.0,Y. Watanabe enters the game for G. Temple,,55,80
3,5:22.0,I. Rabb misses 2-pt jump shot from 16 ft,,55,80
3,5:19.0,,Defensive rebound by P. Siakam,55,80
3,5:13.0,,D. Green makes 3-pt jump shot from 24 ft (assist by P. Siakam),55,83
3,4:59.0,O. Casspi misses 3-pt jump shot from 26 ft,,55,83
3,4:57.0,,Defensive rebound by P. Siakam,55,83
3,4:34.0,,K. Lowry misses 3-pt jump shot from 24 ft,55,83
3,4:31.0,Defensive rebound by I. Rabb,,55,83
3,4:22.0,J. Carter misses 3-pt jump shot from 28 ft,,55,83
3,4:18.0,Offensive rebound by Team,,55,83
3,4:18.0,Violation by Team (kicked ball),,55,83
3,4:05.0,,Personal foul by O. Casspi (drawn by D. Green),55,83
3,3:56.0,,D. Green misses 3-pt jump shot from 26 ft,55,83
3,3:51.0,,Offensive rebound by K. Lowry,55,83
3,3:47.0,,D. Green misses 3-pt jump shot from 25 ft,55,83
3,3:44.0,,Offensive rebound by S. Ibaka,55,83
3,3:43.0,,S. Ibaka makes 2-pt dunk from 1 ft,55,85
3,3:21.0,I. Rabb makes 2-pt dunk from 1 ft (assist by S. Mack),,57,85
3,3:10.0,,P. Siakam makes 2-pt jump shot from 4 ft,57,87
3,2:53.0,I. Rabb makes 2-pt hook shot from 5 ft (assist by S. Mack),,59,87
3,2:53.0,Shooting foul by P. Siakam (drawn by I. Rabb),,59,87
3,2:53.0,I. Rabb makes free throw 1 of 1,,60,87
3,2:30.0,,F. VanVleet misses 2-pt layup from 2 ft (block by O. Casspi),60,87
3,2:26.0,Defensive rebound by I. Rabb,,60,87
3,2:25.0,Turnover by I. Rabb (lost ball; steal by F. VanVleet),,60,87
3,2:21.0,,D. Green makes 3-pt jump shot from 26 ft (assist by F. VanVleet),60,90
3,2:13.0,Personal take foul by F. VanVleet (drawn by S. Mack),,60,90
3,2:13.0,S. Mack makes free throw 1 of 2,,61,90
3,2:13.0,,G. Monroe enters the game for D. Green,61,90
3,2:13.0,,N. Powell enters the game for S. Ibaka,61,90
3,2:13.0,,D. Wright enters the game for F. VanVleet,61,90
3,2:13.0,S. Mack makes free throw 2 of 2,,62,90
3,1:54.0,,G. Monroe misses 2-pt layup from 2 ft,62,90
3,1:52.0,Defensive rebound by S. Mack,,62,90
3,1:47.0,O. Casspi misses 2-pt layup from 4 ft,,62,90
3,1:45.0,,Defensive rebound by G. Monroe,62,90
3,1:29.0,,D. Wright makes 3-pt jump shot from 26 ft (assist by G. Monroe),62,93
3,1:16.0,I. Rabb misses 2-pt jump shot from 20 ft,,62,93
3,1:13.0,,Defensive rebound by G. Monroe,62,93
3,1:00.0,,G. Monroe misses 2-pt layup from 3 ft (block by I. Rabb),62,93
3,0:58.0,Defensive rebound by O. Casspi,,62,93
3,0:44.0,O. Casspi misses 3-pt jump shot from 27 ft,,62,93
3,0:40.0,,Defensive rebound by K. Lowry,62,93
3,0:38.0,,Personal foul by O. Casspi (drawn by G. Monroe),62,93
3,0:35.0,,K. Lowry makes 3-pt jump shot from 26 ft (assist by N. Powell),62,96
3,0:24.0,Turnover by O. Casspi (bad pass; steal by K. Lowry),,62,96
3,0:21.0,,N. Powell makes 2-pt dunk from 1 ft (assist by K. Lowry),62,98
3,0:03.0,Turnover by J. Carter (bad pass; steal by K. Lowry),,62,98
3,0:00.0,,K. Lowry makes 2-pt layup from 1 ft,62,100
4,11:40.0,Personal foul by C. Miles (drawn by J. Carter),,62,100
4,11:26.0,J. Jackson misses 2-pt layup from 3 ft,,62,100
4,11:23.0,Offensive rebound by I. Rabb,,62,100
4,11:19.0,Turnover by I. Rabb (bad pass; steal by N. Powell),,62,100
4,11:14.0,,P. McCaw makes 2-pt layup at rim (assist by N. Powell),62,102
4,10:53.0,J. Holiday misses 3-pt jump shot from 26 ft,,62,102
4,10:50.0,,Defensive rebound by P. McCaw,62,102
4,10:47.0,Violation by Team (kicked ball),,62,102
4,10:39.0,,Turnover by G. Monroe (bad pass),62,102
4,10:39.0,,Loose ball foul by G. Monroe (drawn by J. Holiday),62,102
4,10:23.0,J. Holiday makes 2-pt jump shot from 14 ft (assist by J. Jackson),,64,102
4,10:08.0,,N. Powell makes 2-pt layup from 1 ft,64,104
4,9:55.0,Y. Watanabe makes 3-pt jump shot from 27 ft (assist by J. Holiday),,67,104
4,9:39.0,,C. Miles misses 2-pt layup from 1 ft,67,104
4,9:36.0,Defensive rebound by J. Carter,,67,104
4,9:30.0,Y. Watanabe misses 3-pt jump shot from 24 ft,,67,104
4,9:29.0,,Defensive rebound by P. McCaw,67,104
4,9:18.0,,C. Miles misses 3-pt jump shot from 26 ft,67,104
4,9:15.0,Defensive rebound by I. Rabb,,67,104
4,9:04.0,Shooting foul by D. Wright (drawn by I. Rabb),,67,104
4,9:04.0,I. Rabb makes free throw 1 of 2,,68,104
4,9:04.0,,C. Boucher enters the game for G. Monroe,68,104
4,9:04.0,I. Rabb makes free throw 2 of 2,,69,104
4,8:49.0,,D. Wright makes 2-pt jump shot from 1 ft (assist by P. McCaw),69,106
4,8:42.0,Turnover by J. Carter (lost ball; steal by D. Wright),,69,106
4,8:30.0,,C. Miles misses 2-pt layup from 1 ft,69,106
4,8:28.0,Defensive rebound by I. Rabb,,69,106
4,8:22.0,J. Jackson makes 2-pt layup from 2 ft (assist by I. Rabb),,71,106
4,8:09.0,,C. Boucher makes 3-pt jump shot from 26 ft (assist by D. Wright),71,109
4,7:49.0,J. Holiday makes 3-pt jump shot from 24 ft (assist by Y. Watanabe),,74,109
4,7:37.0,,Turnover by D. Wright (bad pass),74,109
4,7:21.0,I. Rabb misses 2-pt jump shot from 13 ft,,74,109
4,7:18.0,,Defensive rebound by C. Boucher,74,109
4,7:10.0,,C. Boucher misses 3-pt jump shot from 25 ft,74,109
4,7:08.0,Defensive rebound by J. Jackson,,74,109
4,7:01.0,J. Jackson misses 2-pt layup from 4 ft,,74,109
4,7:00.0,Offensive rebound by Team,,74,109
4,7:00.0,Memphis full timeout,,74,109
4,6:58.0,J. Holiday misses 2-pt jump shot from 15 ft,,74,109
4,6:55.0,,Defensive rebound by C. Boucher,74,109
4,6:37.0,,C. Miles misses 3-pt jump shot from 25 ft,74,109
4,6:34.0,Defensive rebound by J. Jackson,,74,109
4,6:26.0,J. Jackson misses 3-pt jump shot from 26 ft (block by C. Boucher),,74,109
4,6:23.0,Offensive rebound by J. Jackson,,74,109
4,6:14.0,I. Rabb misses 2-pt jump shot from 8 ft,,74,109
4,6:12.0,Offensive rebound by J. Jackson,,74,109
4,6:12.0,J. Jackson misses 2-pt layup from 1 ft,,74,109
4,6:11.0,Offensive rebound by I. Rabb,,74,109
4,6:11.0,I. Rabb misses 2-pt layup from 2 ft,,74,109
4,6:10.0,Offensive rebound by I. Rabb,,74,109
4,6:08.0,I. Rabb makes 2-pt layup from 1 ft,,76,109
4,5:47.0,,D. Wright misses 3-pt jump shot from 26 ft,76,109
4,5:44.0,Defensive rebound by I. Rabb,,76,109
4,5:37.0,J. Carter misses 3-pt jump shot from 26 ft,,76,109
4,5:34.0,Offensive rebound by J. Carter,,76,109
4,5:33.0,J. Jackson makes 3-pt jump shot from 26 ft (assist by J. Carter),,79,109
4,5:19.0,,N. Powell makes 2-pt layup from 1 ft,79,111
4,5:11.0,J. Holiday makes 2-pt jump shot from 19 ft (assist by J. Carter),,81,111
4,5:02.0,,N. Powell makes 3-pt jump shot from 23 ft (assist by D. Wright),81,114
4,4:50.0,Turnover by Y. Watanabe (traveling),,81,114
4,4:50.0,O. Casspi enters the game for J. Jackson,,81,114
4,4:50.0,S. Mack enters the game for I. Rabb,,81,114
4,4:50.0,,J. Loyd enters the game for C. Miles,81,114
4,4:50.0,,M. Richardson enters the game for N. Powell,81,114
4,4:40.0,,C. Boucher misses 2-pt jump shot from 6 ft,81,114
4,4:38.0,,Offensive rebound by Team,81,114
4,4:26.0,,D. Wright makes 2-pt layup from 1 ft,81,116
4,4:01.0,Turnover by O. Casspi (lost ball; steal by D. Wright),,81,116
4,3:44.0,,J. Loyd misses 2-pt jump shot from 14 ft,81,116
4,3:44.0,Defensive rebound by O. Casspi,,81,116
4,3:39.0,Y. Watanabe misses 2-pt layup from 2 ft (block by D. Wright),,81,116
4,3:36.0,,Defensive rebound by C. Boucher,81,116
4,3:30.0,,Turnover by P. McCaw (bad pass; steal by J. Holiday),81,116
4,3:16.0,Y. Watanabe misses 2-pt jump shot from 11 ft,,81,116
4,3:14.0,,Defensive rebound by J. Loyd,81,116
4,3:01.0,,C. Boucher misses 2-pt jump shot from 16 ft,81,116
4,2:58.0,Defensive rebound by Y. Watanabe,,81,116
4,2:47.0,S. Mack makes 3-pt jump shot from 28 ft,,84,116
4,2:24.0,,M. Richardson makes 3-pt jump shot from 26 ft (assist by J. Loyd),84,119
4,2:07.0,Turnover by S. Mack (bad pass; steal by P. McCaw),,84,119
4,2:05.0,,Personal foul by S. Mack (drawn by P. McCaw),84,119
4,2:05.0,,Toronto full timeout,84,119
4,1:56.0,,Turnover by P. McCaw (bad pass; steal by J. Carter),84,119
4,1:52.0,J. Carter misses 2-pt layup from 2 ft (block by D. Wright),,84,119
4,1:52.0,,Defensive rebound by J. Loyd,84,119
