QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,SACRAMENTO_ACTION,PHILADELPHIA_SCORE,SACRAMENTO_SCORE
1,6:41.0,,W. Cauley-Stein makes 2-pt jump shot from 16 ft (assist by D. Fox),9,14
1,6:27.0,L. Shamet misses 3-pt jump shot from 25 ft,,9,14
1,6:25.0,Offensive rebound by B. Simmons,,9,14
1,6:23.0,B. Simmons makes 2-pt layup from 8 ft,,11,14
1,6:15.0,,I. Shumpert misses 2-pt jump shot from 17 ft,11,14
1,6:15.0,Defensive rebound by T. McConnell,,11,14
1,6:07.0,C. Brewer makes 2-pt layup from 2 ft (assist by B. Simmons),,13,14
1,5:57.0,,Shooting foul by J. Bolden (drawn by D. Fox),13,14
1,5:57.0,,D. Fox makes free throw 1 of 2,13,15
1,5:57.0,,B. Bogdanović enters the game for I. Shumpert,13,15
1,5:57.0,,D. Fox misses free throw 2 of 2,13,15
1,5:55.0,Defensive rebound by Team,,13,15
1,5:47.0,B. Simmons makes 2-pt dunk from 1 ft (assist by T. McConnell),,15,15
1,5:26.0,,M. Bagley misses 2-pt layup from 4 ft,15,15
1,5:26.0,,Offensive rebound by Team,15,15
1,5:26.0,,Sacramento full timeout,15,15
1,5:26.0,,H. Giles enters the game for W. Cauley-Stein,15,15
1,5:15.0,,B. Bogdanović misses 2-pt jump shot from 7 ft,15,15
1,5:13.0,,Offensive rebound by M. Bagley,15,15
1,5:11.0,,M. Bagley misses 2-pt jump shot from 6 ft (block by J. Bolden),15,15
1,5:09.0,,Offensive rebound by M. Bagley,15,15
1,5:05.0,,M. Bagley misses 2-pt jump shot from 9 ft,15,15
1,5:01.0,Defensive rebound by T. McConnell,,15,15
1,5:01.0,Turnover by T. McConnell (bad pass; steal by D. Fox),,15,15
1,4:58.0,,B. Hield makes 3-pt jump shot from 26 ft (assist by D. Fox),15,18
1,4:44.0,B. Simmons misses 2-pt layup from 3 ft,,15,18
1,4:41.0,Offensive rebound by T. McConnell,,15,18
1,4:38.0,C. Brewer misses 3-pt jump shot from 25 ft,,15,18
1,4:34.0,,Defensive rebound by M. Bagley,15,18
1,4:29.0,,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by B. Hield),15,21
1,4:02.0,B. Simmons misses 2-pt hook shot from 7 ft,,15,21
1,4:00.0,,Defensive rebound by H. Giles,15,21
1,3:57.0,,B. Hield makes 2-pt jump shot from 9 ft (assist by H. Giles),15,23
1,3:43.0,L. Shamet misses 3-pt jump shot from 26 ft,,15,23
1,3:43.0,,Defensive rebound by B. Hield,15,23
1,3:36.0,,D. Fox makes 2-pt jump shot from 5 ft,15,25
1,3:36.0,Philadelphia full timeout,,15,25
1,3:36.0,J. Butler enters the game for C. Brewer,,15,25
1,3:36.0,J. Embiid enters the game for L. Shamet,,15,25
1,3:36.0,S. Milton enters the game for B. Simmons,,15,25
1,3:26.0,Personal foul by H. Giles (drawn by J. Embiid),,15,25
1,3:17.0,J. Bolden misses 3-pt jump shot from 25 ft,,15,25
1,3:13.0,,Defensive rebound by D. Fox,15,25
1,2:58.0,,B. Hield makes 3-pt jump shot from 26 ft (assist by M. Bagley),15,28
1,2:40.0,Personal foul by B. Bogdanović (drawn by J. Embiid),,15,28
1,2:32.0,Turnover by J. Embiid (bad pass),,15,28
1,2:25.0,,Turnover by D. Fox (bad pass; steal by J. Butler),15,28
1,2:22.0,J. Butler makes 2-pt dunk from 1 ft,,17,28
1,2:14.0,,Personal foul by S. Milton (drawn by D. Fox),17,28
1,2:11.0,,Turnover by D. Fox (lost ball; steal by T. McConnell),17,28
1,2:07.0,T. McConnell makes 2-pt layup from 2 ft,,19,28
1,1:50.0,,M. Bagley makes 2-pt hook shot from 6 ft,19,30
1,1:34.0,S. Milton misses 3-pt jump shot from 26 ft,,19,30
1,1:31.0,,Defensive rebound by H. Giles,19,30
1,1:19.0,,B. Bogdanović misses 3-pt jump shot from 24 ft,19,30
1,1:17.0,Defensive rebound by T. McConnell,,19,30
1,1:14.0,Shooting foul by D. Fox (drawn by J. Embiid),,19,30
1,1:14.0,J. Embiid makes free throw 1 of 2,,20,30
1,1:14.0,,Y. Ferrell enters the game for D. Fox,20,30
1,1:14.0,,J. Jackson enters the game for B. Hield,20,30
1,1:14.0,J. Embiid makes free throw 2 of 2,,21,30
1,1:00.0,,B. Bogdanović misses 2-pt jump shot from 22 ft,21,30
1,0:56.0,Defensive rebound by S. Milton,,21,30
1,0:49.0,T. McConnell misses 2-pt jump shot from 16 ft,,21,30
1,0:46.0,,Defensive rebound by M. Bagley,21,30
1,0:42.0,,J. Jackson misses 2-pt layup from 1 ft,21,30
1,0:38.0,,Offensive rebound by M. Bagley,21,30
1,0:38.0,,M. Bagley misses 2-pt layup at rim,21,30
1,0:38.0,Defensive rebound by S. Milton,,21,30
1,0:36.0,J. Butler makes 2-pt layup from 2 ft (assist by S. Milton),,23,30
1,0:25.0,,Shooting foul by J. Bolden (drawn by H. Giles),23,30
1,0:25.0,,H. Giles makes free throw 1 of 2,23,31
1,0:25.0,,H. Giles makes free throw 2 of 2,23,32
1,0:03.0,J. Embiid misses 2-pt layup from 2 ft,,23,32
1,0:02.0,Offensive rebound by J. Butler,,23,32
1,0:02.0,J. Butler makes 2-pt jump shot from 2 ft,,25,32
1,0:02.0,Shooting foul by Y. Ferrell (drawn by J. Butler),,25,32
1,0:02.0,J. Butler makes free throw 1 of 1,,26,32
2,11:41.0,Turnover by S. Milton (lost ball; steal by Y. Ferrell),,26,32
2,11:34.0,,Turnover by M. Bagley (bad pass),26,32
2,11:22.0,J. Embiid makes 2-pt layup from 2 ft (assist by T. McConnell),,28,32
2,11:07.0,,Personal foul by S. Milton (drawn by M. Bagley),28,32
2,10:54.0,,M. Bagley makes 2-pt jump shot from 11 ft,28,34
2,10:39.0,M. Muscala misses 2-pt jump shot from 20 ft,,28,34
2,10:39.0,,Defensive rebound by J. Jackson,28,34
2,10:29.0,,M. Bagley misses 2-pt layup from 3 ft,28,34
2,10:27.0,Defensive rebound by J. Embiid,,28,34
2,10:21.0,S. Milton makes 2-pt layup from 2 ft (assist by J. Butler),,30,34
2,10:04.0,,Y. Ferrell makes 2-pt jump shot from 19 ft,30,36
2,9:52.0,S. Milton misses 3-pt jump shot from 23 ft,,30,36
2,9:50.0,,Defensive rebound by M. Bagley,30,36
2,9:42.0,,M. Bagley misses 2-pt jump shot from 5 ft,30,36
2,9:40.0,Defensive rebound by M. Muscala,,30,36
2,9:33.0,Shooting foul by J. Jackson (drawn by J. Embiid),,30,36
2,9:33.0,J. Embiid makes free throw 1 of 2,,31,36
2,9:33.0,B. Simmons enters the game for T. McConnell,,31,36
2,9:33.0,,W. Cauley-Stein enters the game for H. Giles,31,36
2,9:33.0,J. Embiid makes free throw 2 of 2,,32,36
2,9:24.0,,B. Bogdanović misses 3-pt jump shot from 25 ft,32,36
2,9:19.0,Defensive rebound by S. Milton,,32,36
2,9:12.0,J. Butler makes 2-pt layup from 3 ft,,34,36
2,9:02.0,,M. Bagley misses 3-pt jump shot from 25 ft,34,36
2,8:59.0,Defensive rebound by J. Butler,,34,36
2,8:51.0,J. Butler makes 2-pt layup from 1 ft,,36,36
2,8:39.0,,Shooting foul by M. Muscala (drawn by J. Jackson),36,36
2,8:39.0,,J. Jackson makes free throw 1 of 2,36,37
2,8:39.0,,J. Jackson makes free throw 2 of 2,36,38
2,8:17.0,M. Muscala misses 3-pt jump shot from 23 ft,,36,38
2,8:15.0,,Defensive rebound by W. Cauley-Stein,36,38
2,7:58.0,,Turnover by W. Cauley-Stein (lost ball; steal by J. Embiid),36,38
2,7:52.0,J. Embiid misses 2-pt layup from 3 ft,,36,38
2,7:50.0,Offensive rebound by J. Embiid,,36,38
2,7:50.0,J. Embiid makes 2-pt layup from 1 ft,,38,38
2,7:50.0,,Sacramento full timeout,38,38
2,7:50.0,J. Bolden enters the game for J. Butler,,38,38
2,7:50.0,C. Brewer enters the game for J. Embiid,,38,38
2,7:50.0,,D. Fox enters the game for Y. Ferrell,38,38
2,7:50.0,,I. Shumpert enters the game for J. Jackson,38,38
2,7:42.0,,Personal foul by C. Brewer (drawn by W. Cauley-Stein),38,38
2,7:28.0,,M. Bagley makes 2-pt hook shot from 7 ft (assist by B. Bogdanović),38,40
2,7:11.0,B. Simmons makes 2-pt layup from 2 ft (assist by C. Brewer),,40,40
2,7:01.0,,B. Bogdanović makes 2-pt jump shot from 5 ft (assist by D. Fox),40,42
2,6:41.0,B. Simmons misses 2-pt jump shot from 8 ft,,40,42
2,6:38.0,,Defensive rebound by M. Bagley,40,42
2,6:34.0,,B. Bogdanović misses 3-pt jump shot from 24 ft,40,42
2,6:31.0,,Offensive rebound by W. Cauley-Stein,40,42
2,6:26.0,,I. Shumpert misses 3-pt jump shot from 25 ft,40,42
2,6:26.0,Defensive rebound by Team,,40,42
2,6:26.0,L. Shamet enters the game for S. Milton,,40,42
2,6:09.0,C. Brewer misses 2-pt layup from 2 ft,,40,42
2,6:07.0,Offensive rebound by C. Brewer,,40,42
2,6:04.0,L. Shamet misses 3-pt jump shot from 25 ft,,40,42
2,6:02.0,Offensive rebound by C. Brewer,,40,42
2,5:59.0,C. Brewer makes 2-pt layup from 2 ft,,42,42
2,5:46.0,,W. Cauley-Stein makes 2-pt hook shot from 5 ft,42,44
2,5:46.0,,Shooting foul by J. Bolden (drawn by W. Cauley-Stein),42,44
2,5:46.0,,B. Hield enters the game for B. Bogdanović,42,44
2,5:46.0,,W. Cauley-Stein misses free throw 1 of 1,42,44
2,5:44.0,Defensive rebound by J. Bolden,,42,44
2,5:29.0,Turnover by C. Brewer (bad pass; steal by M. Bagley),,42,44
2,5:23.0,,Turnover by M. Bagley (out of bounds lost ball),42,44
2,5:08.0,Turnover by C. Brewer (bad pass; steal by D. Fox),,42,44
2,5:07.0,,Personal foul by C. Brewer (drawn by D. Fox),42,44
2,5:07.0,,D. Fox makes free throw 1 of 2,42,45
2,5:07.0,J. Butler enters the game for J. Bolden,,42,45
2,5:07.0,J. Embiid enters the game for C. Brewer,,42,45
2,5:07.0,T. McConnell enters the game for M. Muscala,,42,45
2,5:07.0,,D. Fox makes free throw 2 of 2,42,46
2,4:56.0,Shooting foul by W. Cauley-Stein (drawn by J. Embiid),,42,46
2,4:56.0,J. Embiid makes free throw 1 of 2,,43,46
2,4:56.0,J. Embiid misses free throw 2 of 2,,43,46
2,4:53.0,,Defensive rebound by I. Shumpert,43,46
2,4:44.0,,W. Cauley-Stein makes 2-pt layup from 4 ft (assist by D. Fox),43,48
2,4:27.0,B. Simmons misses 2-pt hook shot from 6 ft,,43,48
2,4:24.0,Offensive rebound by J. Embiid,,43,48
2,4:23.0,J. Embiid makes 2-pt hook shot from 1 ft,,45,48
2,4:15.0,,B. Hield misses 2-pt jump shot from 13 ft,45,48
2,4:12.0,Defensive rebound by B. Simmons,,45,48
2,4:05.0,J. Embiid misses 2-pt layup from 2 ft,,45,48
2,4:03.0,Offensive rebound by J. Embiid,,45,48
2,4:02.0,J. Embiid makes 2-pt layup from 1 ft,,47,48
2,4:02.0,,N. Bjelica enters the game for M. Bagley,47,48
2,3:40.0,,B. Hield makes 2-pt jump shot from 18 ft,47,50
2,3:38.0,Philadelphia full timeout,,47,50
2,3:16.0,Turnover by T. McConnell (traveling),,47,50
2,3:03.0,,W. Cauley-Stein makes 2-pt dunk from 2 ft (assist by B. Hield),47,52
2,2:44.0,T. McConnell makes 2-pt layup from 2 ft,,49,52
2,2:32.0,,D. Fox misses 2-pt jump shot from 10 ft,49,52
2,2:29.0,Defensive rebound by J. Embiid,,49,52
2,2:24.0,Shooting foul by N. Bjelica (drawn by B. Simmons),,49,52
2,2:24.0,Violation by Team (delay of game),,49,52
2,2:24.0,B. Simmons misses free throw 1 of 2,,49,52
2,2:24.0,Offensive rebound by Team,,49,52
2,2:24.0,B. Simmons makes free throw 2 of 2,,50,52
2,2:11.0,,I. Shumpert makes 2-pt layup from 2 ft,50,54
2,2:11.0,Violation by Team (def goaltending),,50,54
2,2:11.0,,Shooting foul by L. Shamet (drawn by I. Shumpert),50,54
2,2:11.0,,I. Shumpert makes free throw 1 of 1,50,55
2,2:09.0,Turnover by J. Embiid (bad pass; steal by D. Fox),,50,55
2,2:04.0,,D. Fox misses 2-pt layup from 3 ft,50,55
2,2:02.0,Defensive rebound by J. Embiid,,50,55
2,1:59.0,Offensive foul by B. Simmons (drawn by B. Hield),,50,55
2,1:59.0,Turnover by B. Simmons (offensive foul),,50,55
2,1:59.0,,B. Bogdanović enters the game for N. Bjelica,50,55
2,1:40.0,,D. Fox makes 2-pt jump shot from 19 ft,50,57
2,1:14.0,J. Embiid misses 2-pt jump shot from 12 ft,,50,57
2,1:13.0,Offensive rebound by Team,,50,57
2,1:13.0,Turnover by Team (shot clock),,50,57
2,0:59.0,,Shooting foul by J. Butler (drawn by D. Fox),50,57
2,0:59.0,,D. Fox makes free throw 1 of 2,50,58
2,0:59.0,,D. Fox makes free throw 2 of 2,50,59
2,0:38.0,T. McConnell misses 3-pt jump shot from 24 ft,,50,59
2,0:35.0,,Defensive rebound by I. Shumpert,50,59
2,0:30.0,,I. Shumpert makes 3-pt jump shot from 25 ft,50,62
2,0:13.0,Shooting foul by B. Hield (drawn by J. Embiid),,50,62
2,0:13.0,,Violation by Team (delay of game),50,62
2,0:13.0,J. Embiid makes free throw 1 of 2,,51,62
2,0:13.0,J. Embiid makes free throw 2 of 2,,52,62
2,0:00.0,,B. Bogdanović misses 3-pt jump shot from 26 ft,52,62
2,0:00.0,,Offensive rebound by Team,52,62
3,11:47.0,J. Butler misses 2-pt jump shot from 19 ft,,52,62
3,11:43.0,Offensive rebound by B. Simmons,,52,62
3,11:43.0,J. Embiid makes 2-pt layup from 1 ft (assist by B. Simmons),,54,62
3,11:43.0,Shooting foul by B. Hield (drawn by J. Embiid),,54,62
3,11:43.0,,Y. Ferrell enters the game for D. Fox,54,62
3,11:43.0,J. Embiid makes free throw 1 of 1,,55,62
3,11:21.0,,Turnover by B. Hield (bad pass),55,62
3,11:04.0,Shooting foul by B. Hield (drawn by J. Embiid),,55,62
3,11:04.0,J. Embiid makes free throw 1 of 2,,56,62
3,11:04.0,J. Embiid makes free throw 2 of 2,,57,62
3,10:50.0,,N. Bjelica makes 3-pt jump shot from 25 ft (assist by W. Cauley-Stein),57,65
3,10:35.0,M. Muscala misses 3-pt jump shot from 26 ft,,57,65
3,10:32.0,,Defensive rebound by W. Cauley-Stein,57,65
3,10:15.0,,N. Bjelica misses 2-pt hook shot from 6 ft (block by J. Embiid),57,65
3,10:10.0,,Offensive rebound by N. Bjelica,57,65
3,10:09.0,,B. Hield misses 3-pt jump shot from 26 ft,57,65
3,10:06.0,Defensive rebound by B. Simmons,,57,65
3,9:58.0,B. Simmons misses 2-pt layup from 6 ft,,57,65
3,9:56.0,,Defensive rebound by N. Bjelica,57,65
3,9:43.0,,I. Shumpert misses 2-pt layup from 3 ft (block by J. Embiid),57,65
3,9:39.0,,Offensive rebound by N. Bjelica,57,65
3,9:38.0,,N. Bjelica makes 2-pt layup from 3 ft,57,67
3,9:34.0,Offensive foul by J. Butler (drawn by Y. Ferrell),,57,67
3,9:34.0,Turnover by J. Butler (offensive foul),,57,67
3,9:19.0,,W. Cauley-Stein makes 2-pt dunk from 1 ft (assist by I. Shumpert),57,69
3,8:57.0,Turnover by B. Simmons (bad pass; steal by W. Cauley-Stein),,57,69
3,8:51.0,,Turnover by N. Bjelica (lost ball; steal by M. Muscala),57,69
3,8:48.0,Personal foul by Y. Ferrell (drawn by J. Butler),,57,69
3,8:37.0,J. Embiid makes 2-pt layup from 2 ft,,59,69
3,8:19.0,,Y. Ferrell makes 2-pt jump shot from 9 ft,59,71
3,8:02.0,L. Shamet makes 2-pt layup from 2 ft,,61,71
3,7:46.0,,Y. Ferrell misses 2-pt jump shot from 4 ft,61,71
3,7:43.0,Defensive rebound by J. Embiid,,61,71
3,7:35.0,B. Simmons makes 2-pt layup from 2 ft,,63,71
3,7:35.0,,Sacramento full timeout,63,71
3,7:21.0,,Turnover by I. Shumpert (bad pass; steal by J. Butler),63,71
3,7:14.0,M. Muscala misses 3-pt jump shot from 25 ft,,63,71
3,7:10.0,Offensive rebound by J. Embiid,,63,71
3,7:10.0,J. Embiid misses 2-pt layup from 2 ft,,63,71
3,7:08.0,,Defensive rebound by W. Cauley-Stein,63,71
3,6:54.0,,B. Hield misses 2-pt jump shot from 20 ft,63,71
3,6:52.0,,Offensive rebound by B. Hield,63,71
3,6:48.0,,I. Shumpert misses 3-pt jump shot from 25 ft,63,71
3,6:43.0,,Offensive rebound by W. Cauley-Stein,63,71
3,6:38.0,,B. Hield makes 3-pt jump shot from 23 ft (assist by I. Shumpert),63,74
3,6:21.0,Turnover by J. Embiid (bad pass; steal by Y. Ferrell),,63,74
3,6:17.0,,B. Hield makes 2-pt dunk from 2 ft (assist by Y. Ferrell),63,76
3,6:07.0,Philadelphia full timeout,,63,76
3,6:07.0,J. Bolden enters the game for J. Embiid,,63,76
3,6:07.0,T. McConnell enters the game for M. Muscala,,63,76
3,6:07.0,,M. Bagley enters the game for N. Bjelica,63,76
3,6:07.0,,D. Fox enters the game for Y. Ferrell,63,76
3,5:58.0,B. Simmons makes 2-pt dunk from 1 ft (assist by J. Butler),,65,76
3,5:39.0,,M. Bagley misses 3-pt jump shot from 24 ft,65,76
3,5:36.0,Defensive rebound by J. Butler,,65,76
3,5:29.0,B. Simmons makes 2-pt dunk from 1 ft (assist by J. Butler),,67,76
3,5:15.0,,B. Hield makes 3-pt jump shot from 25 ft (assist by W. Cauley-Stein),67,79
3,4:57.0,Personal take foul by M. Bagley (drawn by B. Simmons),,67,79
3,4:57.0,,H. Giles enters the game for W. Cauley-Stein,67,79
3,4:46.0,J. Bolden misses 3-pt jump shot from 25 ft,,67,79
3,4:43.0,,Defensive rebound by M. Bagley,67,79
3,4:40.0,,Turnover by M. Bagley (out of bounds lost ball),67,79
3,4:31.0,L. Shamet makes 3-pt jump shot from 25 ft (assist by B. Simmons),,70,79
3,4:07.0,,B. Hield misses 2-pt jump shot from 15 ft,70,79
3,4:02.0,Defensive rebound by T. McConnell,,70,79
3,3:56.0,J. Bolden misses 3-pt jump shot from 26 ft,,70,79
3,3:53.0,,Defensive rebound by M. Bagley,70,79
3,3:47.0,,B. Hield misses 3-pt jump shot from 25 ft,70,79
3,3:44.0,Defensive rebound by B. Simmons,,70,79
3,3:32.0,T. McConnell makes 3-pt jump shot from 25 ft (assist by J. Butler),,73,79
3,3:06.0,,Turnover by I. Shumpert (bad pass),73,79
3,3:06.0,J. Embiid enters the game for J. Bolden,,73,79
3,3:06.0,F. Korkmaz enters the game for J. Butler,,73,79
3,3:06.0,,B. Bogdanović enters the game for I. Shumpert,73,79
3,2:49.0,J. Embiid misses 2-pt jump shot from 16 ft,,73,79
3,2:46.0,,Defensive rebound by M. Bagley,73,79
3,2:41.0,,Personal foul by T. McConnell (drawn by D. Fox),73,79
3,2:35.0,,Shooting foul by T. McConnell (drawn by D. Fox),73,79
3,2:35.0,,D. Fox makes free throw 1 of 2,73,80
3,2:35.0,,D. Fox makes free throw 2 of 2,73,81
3,2:15.0,Shooting foul by D. Fox (drawn by L. Shamet),,73,81
3,2:15.0,L. Shamet misses free throw 1 of 3,,73,81
3,2:15.0,Offensive rebound by Team,,73,81
3,2:15.0,L. Shamet makes free throw 2 of 3,,74,81
3,2:15.0,L. Shamet misses free throw 3 of 3,,74,81
3,2:11.0,,Defensive rebound by H. Giles,74,81
3,1:58.0,,Turnover by D. Fox (bad pass; steal by T. McConnell),74,81
3,1:50.0,Personal foul by D. Fox (drawn by J. Embiid),,74,81
3,1:50.0,J. Embiid misses free throw 1 of 2,,74,81
3,1:50.0,Offensive rebound by Team,,74,81
3,1:50.0,J. Embiid makes free throw 2 of 2,,75,81
3,1:39.0,,D. Fox makes 2-pt jump shot from 10 ft,75,83
3,1:39.0,,Shooting foul by T. McConnell (drawn by D. Fox),75,83
3,1:39.0,,D. Fox makes free throw 1 of 1,75,84
3,1:24.0,T. McConnell misses 2-pt jump shot from 14 ft,,75,84
3,1:17.0,,Defensive rebound by B. Bogdanović,75,84
3,1:17.0,J. Embiid misses 2-pt dunk from 2 ft,,75,84
3,1:17.0,Offensive rebound by J. Embiid,,75,84
3,1:12.0,,B. Bogdanović misses 3-pt jump shot from 26 ft,75,84
3,1:08.0,Defensive rebound by B. Simmons,,75,84
3,1:06.0,F. Korkmaz misses 2-pt layup from 2 ft,,75,84
3,1:04.0,,Defensive rebound by D. Fox,75,84
3,1:00.0,,H. Giles makes 2-pt dunk from 2 ft (assist by D. Fox),75,86
3,0:46.0,Personal foul by M. Bagley (drawn by B. Simmons),,75,86
3,0:46.0,B. Simmons makes free throw 1 of 2,,76,86
3,0:46.0,B. Simmons makes free throw 2 of 2,,77,86
3,0:34.0,,Turnover by B. Hield (bad pass; steal by F. Korkmaz),77,86
3,0:30.0,F. Korkmaz misses 2-pt layup from 3 ft,,77,86
3,0:29.0,Offensive rebound by J. Embiid,,77,86
3,0:29.0,J. Embiid misses 2-pt layup from 2 ft,,77,86
3,0:29.0,Offensive rebound by J. Embiid,,77,86
3,0:27.0,J. Embiid makes 2-pt layup from 1 ft,,79,86
3,0:05.0,,H. Giles misses 2-pt layup from 2 ft,79,86
3,0:02.0,,Offensive rebound by H. Giles,79,86
3,0:02.0,,H. Giles misses 2-pt layup from 1 ft,79,86
3,0:01.0,Defensive rebound by T. McConnell,,79,86
3,0:00.0,T. McConnell misses 3-pt jump shot from 25 ft,,79,86
3,0:00.0,Offensive rebound by Team,,79,86
4,11:44.0,,Offensive foul by H. Giles (drawn by S. Milton),79,86
4,11:44.0,,Turnover by H. Giles (offensive foul),79,86
4,11:22.0,J. Embiid misses 2-pt jump shot from 16 ft (block by J. Jackson),,79,86
4,11:20.0,,Defensive rebound by H. Giles,79,86
4,11:14.0,,D. Fox misses 2-pt jump shot from 20 ft,79,86
4,11:13.0,,Offensive rebound by Team,79,86
4,11:13.0,Loose ball foul by J. Butler (drawn by H. Giles),,79,86
4,11:07.0,,B. Bogdanović misses 3-pt jump shot from 26 ft,79,86
4,11:03.0,Defensive rebound by J. Embiid,,79,86
4,10:58.0,J. Embiid misses 3-pt jump shot from 25 ft,,79,86
4,10:54.0,,Defensive rebound by B. Bogdanović,79,86
4,10:48.0,,B. Bogdanović makes 2-pt jump shot from 10 ft,79,88
4,10:48.0,,Shooting foul by T. McConnell (drawn by B. Bogdanović),79,88
4,10:48.0,,B. Bogdanović makes free throw 1 of 1,79,89
4,10:36.0,J. Butler makes 3-pt jump shot from 26 ft,,82,89
4,10:36.0,Shooting foul by J. Jackson (drawn by J. Butler),,82,89
4,10:36.0,J. Butler makes free throw 1 of 1,,83,89
4,10:19.0,,H. Giles misses 2-pt hook shot from 7 ft,83,89
4,10:15.0,Defensive rebound by B. Simmons,,83,89
4,10:13.0,J. Butler misses 3-pt jump shot from 26 ft,,83,89
4,10:09.0,,Defensive rebound by H. Giles,83,89
4,10:08.0,,M. Bagley makes 2-pt dunk from 2 ft (assist by D. Fox),83,91
4,10:08.0,,W. Cauley-Stein enters the game for H. Giles,83,91
4,9:42.0,J. Butler misses 3-pt jump shot from 26 ft,,83,91
4,9:37.0,,Defensive rebound by M. Bagley,83,91
4,9:34.0,,Turnover by D. Fox (bad pass),83,91
4,9:10.0,S. Milton makes 2-pt jump shot from 9 ft (assist by J. Butler),,85,91
4,8:52.0,,B. Bogdanović misses 2-pt layup from 3 ft,85,91
4,8:50.0,Defensive rebound by S. Milton,,85,91
4,8:46.0,B. Simmons makes 2-pt layup from 2 ft (assist by S. Milton),,87,91
4,8:46.0,,Sacramento full timeout,87,91
4,8:28.0,,M. Bagley misses 2-pt hook shot from 8 ft,87,91
4,8:26.0,Defensive rebound by J. Butler,,87,91
4,8:21.0,J. Butler makes 2-pt hook shot from 5 ft,,89,91
4,8:01.0,,Turnover by J. Jackson (lost ball; steal by T. McConnell),89,91
4,7:54.0,S. Milton makes 2-pt jump shot from 12 ft (assist by T. McConnell),,91,91
4,7:30.0,,D. Fox misses 2-pt jump shot from 3 ft,91,91
4,7:28.0,Defensive rebound by J. Embiid,,91,91
4,7:23.0,S. Milton misses 3-pt jump shot from 23 ft,,91,91
4,7:18.0,,Defensive rebound by J. Jackson,91,91
