QUARTER,TIME_REMAINING,DENVER_ACTION,CLEVELAND_ACTION,DENVER_SCORE,CLEVELAND_SCORE
1,2:54.0,,Defensive rebound by J. Clarkson,13,20
1,2:52.0,,Cleveland full timeout,13,20
1,2:52.0,J. Hernangómez enters the game for G. Harris,,13,20
1,2:52.0,,K. Korver enters the game for S. Dekker,13,20
1,2:50.0,,J. Clarkson makes 2-pt jump shot from 18 ft (assist by K. Korver),13,22
1,2:32.0,Personal foul by J. Clarkson (drawn by J. Hernangómez),,13,22
1,2:20.0,Turnover by T. Lyles (bad pass; steal by L. Nance),,13,22
1,1:57.0,,J. Clarkson makes 2-pt jump shot from 13 ft,13,24
1,1:46.0,M. Morris makes 2-pt jump shot from 14 ft,,15,24
1,1:30.0,,C. Osman misses 3-pt jump shot from 25 ft,15,24
1,1:27.0,Defensive rebound by M. Morris,,15,24
1,1:14.0,T. Lyles misses 2-pt jump shot from 13 ft,,15,24
1,1:11.0,,Defensive rebound by K. Korver,15,24
1,1:06.0,,Turnover by C. Sexton (out of bounds lost ball),15,24
1,0:44.0,M. Beasley misses 3-pt jump shot from 26 ft,,15,24
1,0:41.0,,Defensive rebound by C. Osman,15,24
1,0:21.0,,C. Osman makes 3-pt jump shot from 26 ft (assist by L. Nance),15,27
1,0:09.0,Personal foul by C. Sexton (drawn by M. Morris),,15,27
1,0:02.0,Turnover by M. Morris (bad pass; steal by C. Sexton),,15,27
2,11:42.0,,Turnover by C. Sexton (bad pass),15,27
2,11:31.0,J. Murray makes 2-pt jump shot from 14 ft,,17,27
2,11:14.0,,Shooting foul by M. Plumlee (drawn by L. Nance),17,27
2,11:14.0,,L. Nance makes free throw 1 of 2,17,28
2,11:14.0,,L. Nance makes free throw 2 of 2,17,29
2,10:56.0,J. Hernangómez misses 3-pt jump shot from 23 ft,,17,29
2,10:52.0,Offensive rebound by M. Plumlee,,17,29
2,10:50.0,T. Lyles misses 3-pt jump shot from 26 ft,,17,29
2,10:50.0,Offensive rebound by Team,,17,29
2,10:50.0,,Loose ball foul by L. Nance (drawn by M. Plumlee),17,29
2,10:45.0,Personal foul by C. Sexton (drawn by J. Hernangómez),,17,29
2,10:34.0,J. Murray makes 2-pt layup from 3 ft,,19,29
2,10:17.0,,L. Nance misses 2-pt layup from 1 ft,19,29
2,10:10.0,,Offensive rebound by L. Nance,19,29
2,10:10.0,,L. Nance misses 2-pt dunk from 1 ft,19,29
2,10:10.0,Defensive rebound by M. Plumlee,,19,29
2,10:07.0,T. Lyles makes 2-pt layup from 1 ft (assist by M. Plumlee),,21,29
2,10:06.0,,Cleveland full timeout,21,29
2,9:55.0,,J. Clarkson misses 2-pt jump shot from 16 ft,21,29
2,9:54.0,Defensive rebound by J. Hernangómez,,21,29
2,9:47.0,J. Hernangómez makes 3-pt jump shot from 27 ft (assist by J. Murray),,24,29
2,9:31.0,,L. Nance makes 2-pt layup from 1 ft (assist by C. Sexton),24,31
2,9:20.0,M. Plumlee makes 2-pt dunk from 2 ft (assist by M. Beasley),,26,31
2,8:54.0,,C. Sexton misses 2-pt layup from 1 ft,26,31
2,8:52.0,Defensive rebound by T. Lyles,,26,31
2,8:46.0,J. Murray misses 2-pt layup from 1 ft,,26,31
2,8:46.0,Offensive rebound by Team,,26,31
2,8:46.0,,G. Hill enters the game for K. Korver,26,31
2,8:46.0,,R. Hood enters the game for C. Sexton,26,31
2,8:42.0,Personal foul by R. Hood (drawn by J. Hernangómez),,26,31
2,8:31.0,M. Plumlee misses 2-pt jump shot from 2 ft (block by L. Nance),,26,31
2,8:31.0,Offensive rebound by Team,,26,31
2,8:31.0,J. Hernangómez misses 3-pt jump shot from 38 ft (block by J. Clarkson),,26,31
2,8:29.0,,Defensive rebound by Team,26,31
2,8:29.0,Loose ball foul by J. Hernangómez (drawn by J. Clarkson),,26,31
2,8:17.0,,Offensive foul by G. Hill (drawn by T. Lyles),26,31
2,8:17.0,,Turnover by G. Hill (offensive foul),26,31
2,7:59.0,J. Hernangómez makes 3-pt jump shot from 27 ft (assist by M. Beasley),,29,31
2,7:43.0,,J. Clarkson misses 2-pt jump shot from 10 ft,29,31
2,7:41.0,,Offensive rebound by J. Clarkson,29,31
2,7:40.0,,J. Clarkson makes 2-pt layup from 1 ft,29,33
2,7:11.0,M. Beasley makes 3-pt jump shot from 26 ft (assist by M. Plumlee),,32,33
2,6:57.0,,L. Nance misses 2-pt layup at rim,32,33
2,6:57.0,,Offensive rebound by J. Clarkson,32,33
2,6:57.0,,J. Clarkson makes 2-pt layup from 1 ft,32,35
2,6:57.0,,Shooting foul by T. Lyles (drawn by J. Clarkson),32,35
2,6:57.0,G. Harris enters the game for J. Murray,,32,35
2,6:57.0,,S. Dekker enters the game for L. Nance,32,35
2,6:57.0,,T. Thompson enters the game for D. Nwaba,32,35
2,6:57.0,,J. Clarkson makes free throw 1 of 1,32,36
2,6:46.0,G. Harris misses 2-pt layup from 1 ft,,32,36
2,6:46.0,,Defensive rebound by Team,32,36
2,6:46.0,,C. Osman enters the game for J. Clarkson,32,36
2,6:32.0,,T. Thompson misses 2-pt layup from 1 ft (block by J. Hernangómez),32,36
2,6:30.0,Defensive rebound by M. Plumlee,,32,36
2,6:21.0,T. Lyles misses 3-pt jump shot from 23 ft,,32,36
2,6:18.0,,Defensive rebound by R. Hood,32,36
2,6:08.0,,Turnover by C. Osman (bad pass; steal by M. Plumlee),32,36
2,5:55.0,Shooting foul by G. Hill (drawn by J. Hernangómez),,32,36
2,5:55.0,J. Hernangómez makes free throw 1 of 2,,33,36
2,5:55.0,N. Jokić enters the game for M. Plumlee,,33,36
2,5:55.0,J. Hernangómez makes free throw 2 of 2,,34,36
2,5:34.0,,G. Hill makes 2-pt layup from 1 ft,34,38
2,5:26.0,T. Lyles makes 2-pt layup at rim,,36,38
2,5:19.0,,C. Osman misses 2-pt layup from 2 ft (block by N. Jokić),36,38
2,5:17.0,Defensive rebound by Team,,36,38
2,5:03.0,T. Lyles makes 2-pt layup from 3 ft,,38,38
2,4:48.0,,Personal foul by M. Beasley (drawn by T. Thompson),38,38
2,4:31.0,,G. Hill misses 2-pt hook shot from 3 ft,38,38
2,4:30.0,,Offensive rebound by G. Hill,38,38
2,4:19.0,,G. Hill misses 2-pt jump shot from 21 ft (block by G. Harris),38,38
2,4:19.0,,Offensive rebound by Team,38,38
2,4:15.0,,C. Osman misses 2-pt layup from 6 ft (block by G. Harris),38,38
2,4:13.0,,Offensive rebound by Team,38,38
2,4:11.0,,Turnover by Team (shot clock),38,38
2,3:57.0,G. Harris misses 2-pt layup from 2 ft (block by R. Hood),,38,38
2,3:54.0,,Defensive rebound by R. Hood,38,38
2,3:52.0,,R. Hood misses 2-pt layup from 3 ft,38,38
2,3:52.0,,Offensive rebound by Team,38,38
2,3:52.0,P. Millsap enters the game for M. Beasley,,38,38
2,3:52.0,J. Murray enters the game for T. Lyles,,38,38
2,3:40.0,,Turnover by C. Osman (lost ball),38,38
2,3:40.0,,Loose ball foul by C. Osman (drawn by J. Hernangómez),38,38
2,3:40.0,J. Hernangómez misses free throw 1 of 2,,38,38
2,3:40.0,Offensive rebound by Team,,38,38
2,3:40.0,J. Hernangómez makes free throw 2 of 2,,39,38
2,3:22.0,,G. Hill misses 2-pt jump shot from 4 ft,39,38
2,3:19.0,Defensive rebound by J. Murray,,39,38
2,3:09.0,Turnover by J. Murray (bad pass; steal by R. Hood),,39,38
2,2:57.0,,S. Dekker misses 3-pt jump shot from 26 ft,39,38
2,2:55.0,Defensive rebound by N. Jokić,,39,38
2,2:50.0,J. Hernangómez makes 3-pt jump shot from 29 ft (assist by N. Jokić),,42,38
2,2:28.0,,Turnover by S. Dekker (lost ball; steal by P. Millsap),42,38
2,2:24.0,J. Murray makes 2-pt layup from 2 ft (assist by G. Harris),,44,38
2,2:16.0,,Cleveland full timeout,44,38
2,2:16.0,,C. Sexton enters the game for G. Hill,44,38
2,2:00.0,,R. Hood misses 2-pt jump shot from 16 ft,44,38
2,1:58.0,Defensive rebound by G. Harris,,44,38
2,1:39.0,P. Millsap misses 2-pt layup from 4 ft,,44,38
2,1:37.0,,Defensive rebound by C. Osman,44,38
2,1:33.0,,C. Osman misses 2-pt layup from 1 ft,44,38
2,1:29.0,Defensive rebound by N. Jokić,,44,38
2,1:27.0,G. Harris makes 2-pt layup from 2 ft,,46,38
2,1:27.0,Shooting foul by R. Hood (drawn by G. Harris),,46,38
2,1:27.0,G. Harris makes free throw 1 of 1,,47,38
2,1:12.0,,C. Sexton misses 2-pt jump shot from 21 ft,47,38
2,1:09.0,Defensive rebound by G. Harris,,47,38
2,1:02.0,G. Harris misses 3-pt jump shot from 28 ft,,47,38
2,0:57.0,,Defensive rebound by S. Dekker,47,38
2,0:46.0,,Personal foul by P. Millsap (drawn by R. Hood),47,38
2,0:46.0,,R. Hood makes free throw 1 of 2,47,39
2,0:46.0,,R. Hood makes free throw 2 of 2,47,40
2,0:34.0,Personal foul by S. Dekker (drawn by P. Millsap),,47,40
2,0:34.0,P. Millsap misses free throw 1 of 2,,47,40
2,0:34.0,Offensive rebound by Team,,47,40
2,0:34.0,,J. Clarkson enters the game for S. Dekker,47,40
2,0:34.0,,L. Nance enters the game for R. Hood,47,40
2,0:34.0,P. Millsap makes free throw 2 of 2,,48,40
2,0:23.0,,Turnover by C. Sexton (bad pass; steal by G. Harris),48,40
2,0:20.0,Shooting foul by J. Clarkson (drawn by G. Harris),,48,40
2,0:20.0,G. Harris makes free throw 1 of 2,,49,40
2,0:20.0,T. Lyles enters the game for P. Millsap,,49,40
2,0:20.0,G. Harris makes free throw 2 of 2,,50,40
2,0:01.0,,J. Clarkson misses 2-pt jump shot from 20 ft,50,40
2,0:01.0,,Offensive rebound by L. Nance,50,40
2,0:00.0,,L. Nance makes 2-pt layup from 1 ft,50,42
3,11:44.0,,Turnover by G. Hill (bad pass; steal by N. Jokić),50,42
3,11:29.0,G. Harris misses 2-pt layup from 1 ft,,50,42
3,11:26.0,Offensive rebound by P. Millsap,,50,42
3,11:22.0,G. Harris misses 3-pt jump shot from 23 ft,,50,42
3,11:19.0,Offensive rebound by T. Craig,,50,42
3,11:06.0,N. Jokić makes 2-pt layup at rim,,52,42
3,10:40.0,,S. Dekker misses 3-pt jump shot from 25 ft,52,42
3,10:37.0,Defensive rebound by T. Craig,,52,42
3,10:32.0,Turnover by N. Jokić (bad pass; steal by S. Dekker),,52,42
3,10:31.0,,Personal take foul by N. Jokić (drawn by S. Dekker),52,42
3,10:10.0,,C. Osman makes 2-pt layup from 2 ft (assist by T. Thompson),52,44
3,9:43.0,N. Jokić misses 2-pt jump shot from 7 ft,,52,44
3,9:39.0,Offensive rebound by T. Craig,,52,44
3,9:39.0,T. Craig misses 2-pt layup from 1 ft,,52,44
3,9:39.0,Offensive rebound by T. Craig,,52,44
3,9:33.0,T. Craig makes 2-pt layup from 1 ft,,54,44
3,9:24.0,,Shooting foul by P. Millsap (drawn by T. Thompson),54,44
3,9:24.0,,T. Thompson makes free throw 1 of 2,54,45
3,9:24.0,,T. Thompson makes free throw 2 of 2,54,46
3,9:10.0,J. Murray makes 2-pt jump shot from 15 ft (assist by N. Jokić),,56,46
3,8:45.0,,C. Osman misses 3-pt jump shot from 28 ft,56,46
3,8:43.0,Defensive rebound by P. Millsap,,56,46
3,8:38.0,Shooting foul by G. Hill (drawn by P. Millsap),,56,46
3,8:38.0,P. Millsap makes free throw 1 of 2,,57,46
3,8:38.0,P. Millsap makes free throw 2 of 2,,58,46
3,8:18.0,,T. Thompson makes 2-pt layup from 1 ft (assist by R. Hood),58,48
3,7:58.0,P. Millsap makes 2-pt jump shot from 16 ft,,60,48
3,7:42.0,,R. Hood misses 3-pt jump shot from 25 ft,60,48
3,7:39.0,Defensive rebound by P. Millsap,,60,48
3,7:33.0,P. Millsap makes 2-pt layup from 1 ft,,62,48
3,7:33.0,,Cleveland full timeout,62,48
3,7:20.0,,R. Hood makes 2-pt jump shot from 16 ft (assist by G. Hill),62,50
3,7:03.0,P. Millsap makes 2-pt jump shot from 9 ft (assist by J. Murray),,64,50
3,6:58.0,,S. Dekker makes 2-pt dunk from 2 ft (assist by G. Hill),64,52
3,6:33.0,G. Harris makes 2-pt jump shot from 14 ft,,66,52
3,6:13.0,,S. Dekker makes 2-pt layup from 1 ft,66,54
3,5:59.0,J. Murray makes 2-pt jump shot from 21 ft (assist by N. Jokić),,68,54
3,5:44.0,,C. Osman makes 2-pt layup from 3 ft,68,56
3,5:44.0,,Shooting foul by N. Jokić (drawn by C. Osman),68,56
3,5:44.0,Denver full timeout,,68,56
3,5:44.0,,C. Osman makes free throw 1 of 1,68,57
3,5:21.0,P. Millsap makes 2-pt layup at rim,,70,57
3,5:04.0,,Shooting foul by T. Craig (drawn by R. Hood),70,57
3,5:04.0,,R. Hood makes free throw 1 of 2,70,58
3,5:04.0,,R. Hood makes free throw 2 of 2,70,59
3,4:55.0,Personal foul by S. Dekker (drawn by P. Millsap),,70,59
3,4:55.0,M. Morris enters the game for J. Murray,,70,59
3,4:53.0,Personal foul by T. Thompson (drawn by N. Jokić),,70,59
3,4:40.0,T. Craig makes 2-pt layup at rim (assist by G. Harris),,72,59
3,4:14.0,,T. Thompson misses 2-pt layup from 2 ft,72,59
3,4:10.0,,Offensive rebound by S. Dekker,72,59
3,4:10.0,,S. Dekker misses 2-pt layup at rim,72,59
3,4:09.0,Defensive rebound by N. Jokić,,72,59
3,4:05.0,M. Morris makes 3-pt jump shot from 25 ft,,75,59
3,3:50.0,,G. Hill makes 3-pt jump shot from 27 ft (assist by T. Thompson),75,62
3,3:36.0,G. Harris misses 2-pt jump shot from 15 ft,,75,62
3,3:32.0,Offensive rebound by T. Craig,,75,62
3,3:26.0,T. Craig makes 3-pt jump shot from 27 ft (assist by G. Harris),,78,62
3,3:07.0,,C. Osman misses 3-pt jump shot from 26 ft,78,62
3,3:04.0,Defensive rebound by P. Millsap,,78,62
3,3:00.0,Personal foul by G. Hill (drawn by P. Millsap),,78,62
3,3:00.0,T. Lyles enters the game for N. Jokić,,78,62
3,3:00.0,M. Plumlee enters the game for P. Millsap,,78,62
3,3:00.0,,J. Clarkson enters the game for S. Dekker,78,62
3,3:00.0,,L. Nance enters the game for G. Hill,78,62
3,3:00.0,,C. Sexton enters the game for C. Osman,78,62
3,2:46.0,M. Plumlee misses 2-pt hook shot from 10 ft,,78,62
3,2:44.0,,Defensive rebound by L. Nance,78,62
3,2:24.0,,J. Clarkson misses 3-pt jump shot from 27 ft,78,62
3,2:19.0,Defensive rebound by T. Craig,,78,62
3,2:07.0,G. Harris misses 3-pt jump shot from 26 ft,,78,62
3,2:07.0,,Defensive rebound by Team,78,62
3,2:07.0,J. Hernangómez enters the game for T. Craig,,78,62
3,2:07.0,,K. Korver enters the game for R. Hood,78,62
3,1:53.0,,L. Nance makes 2-pt dunk from 2 ft (assist by T. Thompson),78,64
3,1:37.0,T. Lyles misses 2-pt layup at rim,,78,64
3,1:35.0,,Defensive rebound by K. Korver,78,64
3,1:31.0,,K. Korver misses 3-pt jump shot from 26 ft,78,64
3,1:31.0,Defensive rebound by T. Lyles,,78,64
3,1:18.0,T. Lyles misses 3-pt jump shot from 26 ft,,78,64
3,1:14.0,Offensive rebound by J. Hernangómez,,78,64
3,1:04.0,G. Harris makes 3-pt jump shot from 24 ft,,81,64
3,0:48.0,,C. Sexton misses 2-pt jump shot from 12 ft,81,64
3,0:48.0,Defensive rebound by T. Lyles,,81,64
3,0:29.0,M. Plumlee makes 2-pt hook shot from 8 ft,,83,64
3,0:09.0,,Shooting foul by M. Plumlee (drawn by J. Clarkson),83,64
3,0:09.0,,J. Clarkson makes free throw 1 of 2,83,65
3,0:09.0,M. Beasley enters the game for G. Harris,,83,65
3,0:09.0,,J. Clarkson makes free throw 2 of 2,83,66
3,0:00.0,M. Morris misses 2-pt jump shot from 16 ft,,83,66
3,0:00.0,Offensive rebound by Team,,83,66
4,11:38.0,T. Lyles misses 2-pt jump shot from 12 ft,,83,66
4,11:36.0,,Defensive rebound by Team,83,66
4,11:36.0,Loose ball foul by M. Plumlee (drawn by J. Clarkson),,83,66
4,11:10.0,,C. Sexton misses 2-pt jump shot from 16 ft,83,66
4,11:08.0,,Offensive rebound by C. Sexton,83,66
4,10:56.0,,J. Clarkson makes 2-pt layup from 2 ft (assist by C. Sexton),83,68
4,10:43.0,J. Hernangómez makes 2-pt jump shot from 10 ft (assist by M. Plumlee),,85,68
4,10:43.0,Shooting foul by L. Nance (drawn by J. Hernangómez),,85,68
4,10:43.0,J. Hernangómez makes free throw 1 of 1,,86,68
4,10:31.0,,Turnover by K. Korver (bad pass),86,68
4,10:09.0,M. Beasley misses 2-pt jump shot from 17 ft,,86,68
4,10:05.0,Offensive rebound by J. Hernangómez,,86,68
4,10:05.0,Turnover by J. Hernangómez (bad pass; steal by K. Korver),,86,68
4,10:00.0,,C. Sexton makes 2-pt layup from 2 ft,86,70
4,9:52.0,M. Plumlee makes 2-pt hook shot from 13 ft,,88,70
4,9:52.0,Shooting foul by L. Nance (drawn by M. Plumlee),,88,70
4,9:52.0,M. Plumlee makes free throw 1 of 1,,89,70
4,9:41.0,,Personal foul by M. Morris (drawn by C. Sexton),89,70
4,9:24.0,,J. Clarkson misses 3-pt jump shot from 26 ft,89,70
4,9:22.0,Defensive rebound by J. Hernangómez,,89,70
4,9:16.0,T. Lyles makes 2-pt layup from 1 ft (assist by M. Morris),,91,70
4,9:03.0,,J. Clarkson misses 2-pt layup from 1 ft,91,70
4,9:01.0,Defensive rebound by T. Lyles,,91,70
4,8:48.0,T. Lyles misses 2-pt layup from 2 ft,,91,70
4,8:46.0,Offensive rebound by T. Lyles,,91,70
4,8:43.0,Turnover by T. Lyles (lost ball; steal by L. Nance),,91,70
4,8:40.0,,Turnover by C. Sexton (lost ball; steal by J. Hernangómez),91,70
4,8:36.0,Shooting foul by L. Nance (drawn by T. Lyles),,91,70
4,8:36.0,,Violation by Team (delay of game),91,70
4,8:36.0,T. Lyles makes free throw 1 of 2,,92,70
4,8:36.0,T. Lyles makes free throw 2 of 2,,93,70
4,8:19.0,,Turnover by S. Dekker (lost ball; steal by M. Morris),93,70
4,8:15.0,Turnover by M. Beasley (offensive foul),,93,70
4,8:15.0,Offensive foul by M. Beasley (drawn by K. Korver),,93,70
4,8:02.0,,J. Clarkson makes 2-pt jump shot from 19 ft,93,72
4,8:00.0,Denver full timeout,,93,72
4,7:46.0,M. Morris makes 2-pt layup at rim,,95,72
4,7:30.0,,Turnover by K. Korver (bad pass; steal by T. Lyles),95,72
4,7:25.0,M. Beasley misses 2-pt layup from 2 ft,,95,72
4,7:19.0,Offensive rebound by T. Lyles,,95,72
4,7:19.0,T. Lyles makes 2-pt layup from 1 ft,,97,72
4,7:06.0,,L. Nance misses 2-pt jump shot from 22 ft,97,72
4,7:05.0,,Offensive rebound by S. Dekker,97,72
4,6:58.0,,C. Sexton makes 2-pt jump shot from 14 ft,97,74
4,6:48.0,M. Morris misses 2-pt jump shot from 5 ft,,97,74
4,6:47.0,Offensive rebound by Team,,97,74
4,6:47.0,,R. Hood enters the game for S. Dekker,97,74
4,6:47.0,,C. Osman enters the game for K. Korver,97,74
4,6:45.0,M. Beasley misses 3-pt jump shot from 25 ft,,97,74
4,6:40.0,,Defensive rebound by C. Sexton,97,74
4,6:29.0,,L. Nance misses 2-pt layup from 1 ft (block by M. Plumlee),97,74
4,6:24.0,,Offensive rebound by J. Clarkson,97,74
4,6:21.0,,J. Clarkson misses 3-pt jump shot from 23 ft,97,74
4,6:18.0,Defensive rebound by T. Lyles,,97,74
4,6:13.0,M. Beasley makes 2-pt dunk from 1 ft (assist by T. Lyles),,99,74
4,5:54.0,,J. Clarkson makes 2-pt layup from 1 ft (assist by R. Hood),99,76
4,5:44.0,Personal foul by J. Clarkson (drawn by J. Hernangómez),,99,76
4,5:44.0,,T. Thompson enters the game for L. Nance,99,76
4,5:38.0,M. Morris misses 2-pt jump shot from 14 ft,,99,76
4,5:36.0,,Defensive rebound by R. Hood,99,76
4,5:30.0,,R. Hood misses 3-pt jump shot from 27 ft,99,76
4,5:27.0,Defensive rebound by T. Lyles,,99,76
4,5:16.0,J. Hernangómez misses 2-pt jump shot from 10 ft,,99,76
4,5:14.0,,Defensive rebound by T. Thompson,99,76
4,5:06.0,,C. Osman misses 3-pt jump shot from 26 ft,99,76
4,5:02.0,Defensive rebound by M. Plumlee,,99,76
4,4:47.0,J. Hernangómez makes 3-pt jump shot from 26 ft (assist by M. Beasley),,102,76
4,4:46.0,,Cleveland full timeout,102,76
4,4:46.0,,S. Dekker enters the game for J. Clarkson,102,76
4,4:46.0,,K. Korver enters the game for R. Hood,102,76
4,4:46.0,,D. Nwaba enters the game for C. Osman,102,76
4,4:46.0,,A. Žižić enters the game for T. Thompson,102,76
4,4:30.0,,A. Žižić makes 2-pt dunk from 1 ft (assist by S. Dekker),102,78
4,4:14.0,M. Plumlee makes 2-pt hook shot from 12 ft (assist by M. Beasley),,104,78
4,3:56.0,,Shooting foul by M. Plumlee (drawn by A. Žižić),104,78
4,3:56.0,,A. Žižić misses free throw 1 of 2,104,78
4,3:56.0,,Offensive rebound by Team,104,78
4,3:56.0,T. Lydon enters the game for M. Plumlee,,104,78
4,3:56.0,,A. Žižić makes free throw 2 of 2,104,79
4,3:39.0,J. Hernangómez misses 3-pt jump shot from 28 ft,,104,79
4,3:32.0,,Defensive rebound by K. Korver,104,79
4,3:23.0,,D. Nwaba makes 2-pt jump shot from 12 ft (assist by K. Korver),104,81
4,3:03.0,Turnover by J. Hernangómez (bad pass; steal by S. Dekker),,104,81
4,3:00.0,,S. Dekker makes 2-pt dunk from 1 ft,104,83
4,2:38.0,T. Lyles misses 2-pt jump shot from 12 ft,,104,83
4,2:36.0,,Defensive rebound by D. Nwaba,104,83
4,2:32.0,,S. Dekker misses 2-pt layup from 2 ft (block by T. Lyles),104,83
4,2:32.0,,Offensive rebound by Team,104,83
4,2:32.0,D. Akoon-Purcell enters the game for T. Lyles,,104,83
4,2:30.0,,C. Sexton makes 2-pt layup from 1 ft (assist by D. Nwaba),104,85
4,2:30.0,,Shooting foul by D. Akoon-Purcell (drawn by C. Sexton),104,85
4,2:30.0,Denver full timeout,,104,85
4,2:30.0,,C. Sexton makes free throw 1 of 1,104,86
4,2:16.0,Shooting foul by A. Žižić (drawn by J. Hernangómez),,104,86
4,2:16.0,J. Hernangómez makes free throw 1 of 2,,105,86
4,2:16.0,J. Hernangómez makes free throw 2 of 2,,106,86
4,1:54.0,,Turnover by K. Korver (lost ball; steal by M. Morris),106,86
4,1:48.0,M. Beasley misses 3-pt jump shot from 24 ft,,106,86
4,1:44.0,Offensive rebound by M. Morris,,106,86
4,1:31.0,M. Morris misses 2-pt jump shot from 15 ft,,106,86
4,1:28.0,Offensive rebound by D. Akoon-Purcell,,106,86
4,1:27.0,Shooting foul by D. Nwaba (drawn by T. Lydon),,106,86
