QUARTER,TIME_REMAINING,BROOKLYN_ACTION,TORONTO_ACTION,BROOKLYN_SCORE,TORONTO_SCORE
2,7:37.0,Defensive rebound by S. Dinwiddie,,42,40
2,7:34.0,Shooting foul by K. Lowry (drawn by E. Davis),,42,40
2,7:34.0,E. Davis misses free throw 1 of 2,,42,40
2,7:34.0,Offensive rebound by Team,,42,40
2,7:34.0,,K. Leonard enters the game for G. Monroe,42,40
2,7:34.0,,P. Siakam enters the game for F. VanVleet,42,40
2,7:34.0,E. Davis makes free throw 2 of 2,,43,40
2,7:21.0,,P. Siakam makes 2-pt jump shot from 10 ft (assist by K. Lowry),43,42
2,7:05.0,D. Russell misses 2-pt jump shot from 10 ft,,43,42
2,7:03.0,,Defensive rebound by O. Anunoby,43,42
2,6:59.0,,P. Siakam makes 2-pt layup from 2 ft (assist by O. Anunoby),43,44
2,6:59.0,,Shooting foul by E. Davis (drawn by P. Siakam),43,44
2,6:59.0,,P. Siakam misses free throw 1 of 1,43,44
2,6:56.0,Defensive rebound by S. Dinwiddie,,43,44
2,6:34.0,Offensive foul by J. Harris (drawn by K. Lowry),,43,44
2,6:34.0,Turnover by J. Harris (offensive foul),,43,44
2,6:10.0,,Shooting foul by J. Harris (drawn by K. Lowry),43,44
2,6:10.0,,K. Lowry makes free throw 1 of 2,43,45
2,6:10.0,J. Allen enters the game for E. Davis,,43,45
2,6:10.0,R. Kurucs enters the game for J. Harris,,43,45
2,6:10.0,,K. Lowry misses free throw 2 of 2,43,45
2,6:09.0,Defensive rebound by Team,,43,45
2,5:55.0,S. Dinwiddie misses 2-pt jump shot from 8 ft,,43,45
2,5:52.0,,Defensive rebound by O. Anunoby,43,45
2,5:45.0,,Shooting foul by D. Carroll (drawn by P. Siakam),43,45
2,5:45.0,,P. Siakam makes free throw 1 of 2,43,46
2,5:45.0,,D. Green enters the game for O. Anunoby,43,46
2,5:45.0,,S. Ibaka enters the game for K. Lowry,43,46
2,5:45.0,,P. Siakam misses free throw 2 of 2,43,46
2,5:42.0,Defensive rebound by J. Allen,,43,46
2,5:25.0,D. Russell misses 2-pt layup from 5 ft,,43,46
2,5:21.0,,Defensive rebound by K. Leonard,43,46
2,5:19.0,,Turnover by K. Leonard (lost ball; steal by D. Russell),43,46
2,5:09.0,R. Kurucs misses 3-pt jump shot from 24 ft,,43,46
2,5:06.0,Offensive rebound by D. Carroll,,43,46
2,5:05.0,Turnover by D. Carroll (bad pass; steal by D. Green),,43,46
2,5:00.0,,D. Green misses 3-pt jump shot from 27 ft,43,46
2,4:57.0,Defensive rebound by R. Kurucs,,43,46
2,4:57.0,Turnover by R. Kurucs (out of bounds lost ball),,43,46
2,4:57.0,T. Graham enters the game for D. Carroll,,43,46
2,4:57.0,S. Napier enters the game for D. Russell,,43,46
2,4:48.0,,D. Wright misses 2-pt layup from 2 ft (block by J. Allen),43,46
2,4:45.0,Defensive rebound by S. Dinwiddie,,43,46
2,4:38.0,,Loose ball foul by P. Siakam (drawn by J. Allen),43,46
2,4:30.0,S. Dinwiddie misses 2-pt jump shot from 4 ft,,43,46
2,4:28.0,Offensive rebound by J. Allen,,43,46
2,4:19.0,Shooting foul by D. Green (drawn by S. Dinwiddie),,43,46
2,4:19.0,S. Dinwiddie makes free throw 1 of 2,,44,46
2,4:19.0,S. Dinwiddie makes free throw 2 of 2,,45,46
2,4:02.0,,P. Siakam misses 3-pt jump shot from 23 ft,45,46
2,3:58.0,Defensive rebound by J. Allen,,45,46
2,3:48.0,S. Napier makes 3-pt jump shot from 26 ft,,48,46
2,3:39.0,,K. Leonard makes 3-pt jump shot from 25 ft (assist by D. Wright),48,49
2,3:13.0,J. Allen makes 2-pt dunk from 1 ft (assist by S. Napier),,50,49
2,2:55.0,,S. Ibaka makes 2-pt hook shot from 9 ft (assist by P. Siakam),50,51
2,2:45.0,Turnover by S. Dinwiddie (lost ball; steal by D. Green),,50,51
2,2:41.0,,D. Wright makes 3-pt jump shot from 25 ft (assist by S. Ibaka),50,54
2,2:26.0,S. Napier misses 3-pt jump shot from 26 ft,,50,54
2,2:23.0,,Defensive rebound by K. Leonard,50,54
2,2:20.0,,K. Leonard misses 3-pt jump shot from 25 ft,50,54
2,2:16.0,,Offensive rebound by P. Siakam,50,54
2,2:14.0,,S. Ibaka misses 3-pt jump shot from 26 ft,50,54
2,2:09.0,,Offensive rebound by K. Leonard,50,54
2,2:09.0,,K. Leonard makes 2-pt layup at rim,50,56
2,1:58.0,Personal foul by S. Ibaka (drawn by R. Kurucs),,50,56
2,1:58.0,,Toronto full timeout,50,56
2,1:58.0,R. Kurucs makes free throw 1 of 2,,51,56
2,1:58.0,R. Kurucs makes free throw 2 of 2,,52,56
2,1:47.0,,Turnover by S. Ibaka (traveling),52,56
2,1:35.0,T. Graham misses 3-pt jump shot from 23 ft,,52,56
2,1:32.0,,Defensive rebound by K. Leonard,52,56
2,1:27.0,,D. Green makes 3-pt jump shot from 25 ft (assist by K. Leonard),52,59
2,1:03.0,S. Dinwiddie misses 2-pt jump shot from 19 ft,,52,59
2,1:01.0,,Defensive rebound by D. Wright,52,59
2,1:01.0,,F. VanVleet enters the game for P. Siakam,52,59
2,0:54.0,,K. Leonard makes 2-pt jump shot from 2 ft (assist by D. Green),52,61
2,0:42.0,S. Napier misses 2-pt jump shot from 16 ft,,52,61
2,0:39.0,,Defensive rebound by S. Ibaka,52,61
2,0:34.0,,F. VanVleet makes 3-pt jump shot from 26 ft,52,64
2,0:19.0,Shooting foul by K. Leonard (drawn by J. Allen),,52,64
2,0:19.0,J. Allen makes free throw 1 of 2,,53,64
2,0:19.0,J. Allen misses free throw 2 of 2,,53,64
2,0:17.0,,Defensive rebound by S. Ibaka,53,64
2,0:00.0,,D. Wright misses 2-pt layup from 5 ft,53,64
2,0:00.0,Defensive rebound by J. Allen,,53,64
3,11:42.0,,Personal foul by T. Graham (drawn by K. Leonard),53,64
3,11:29.0,,K. Leonard misses 2-pt layup from 3 ft,53,64
3,11:28.0,,Offensive rebound by K. Leonard,53,64
3,11:21.0,,S. Ibaka misses 2-pt jump shot from 21 ft,53,64
3,11:20.0,Defensive rebound by Team,,53,64
3,11:20.0,,Loose ball foul by P. Siakam (drawn by J. Allen),53,64
3,11:09.0,D. Russell makes 2-pt layup at rim,,55,64
3,10:54.0,,P. Siakam makes 2-pt layup from 1 ft,55,66
3,10:46.0,Turnover by R. Kurucs (bad pass),,55,66
3,10:34.0,,S. Ibaka misses 3-pt jump shot from 26 ft,55,66
3,10:30.0,Defensive rebound by J. Allen,,55,66
3,10:21.0,J. Allen misses 2-pt hook shot from 5 ft,,55,66
3,10:16.0,Offensive rebound by J. Allen,,55,66
3,10:16.0,J. Allen makes 2-pt dunk at rim,,57,66
3,10:09.0,,Personal foul by T. Graham (drawn by K. Leonard),57,66
3,10:05.0,,K. Leonard misses 2-pt layup from 2 ft,57,66
3,10:00.0,,Offensive rebound by K. Leonard,57,66
3,10:00.0,,K. Leonard makes 2-pt layup from 1 ft,57,68
3,9:50.0,Turnover by D. Russell (bad pass),,57,68
3,9:46.0,,D. Green makes 3-pt jump shot from 27 ft (assist by K. Lowry),57,71
3,9:45.0,Brooklyn full timeout,,57,71
3,9:27.0,J. Harris misses 2-pt layup from 3 ft (block by D. Green),,57,71
3,9:24.0,,Defensive rebound by K. Leonard,57,71
3,9:23.0,,P. Siakam makes 2-pt dunk from 1 ft (assist by K. Leonard),57,73
3,9:08.0,J. Allen makes 2-pt dunk from 1 ft (assist by D. Russell),,59,73
3,8:55.0,,P. Siakam makes 2-pt layup from 1 ft,59,75
3,8:39.0,Shooting foul by D. Green (drawn by J. Harris),,59,75
3,8:39.0,J. Harris makes free throw 1 of 2,,60,75
3,8:39.0,J. Harris makes free throw 2 of 2,,61,75
3,8:27.0,,Turnover by K. Leonard (bad pass),61,75
3,8:22.0,Personal foul by K. Lowry (drawn by J. Harris),,61,75
3,8:16.0,D. Russell makes 2-pt jump shot from 18 ft,,63,75
3,7:59.0,,S. Ibaka makes 2-pt hook shot from 8 ft (assist by K. Lowry),63,77
3,7:48.0,J. Harris makes 2-pt layup from 2 ft (assist by D. Russell),,65,77
3,7:38.0,,P. Siakam misses 2-pt layup from 2 ft,65,77
3,7:38.0,,Offensive rebound by Team,65,77
3,7:38.0,Loose ball foul by T. Graham (drawn by K. Lowry),,65,77
3,7:38.0,D. Carroll enters the game for R. Kurucs,,65,77
3,7:34.0,,P. Siakam misses 3-pt jump shot from 27 ft,65,77
3,7:31.0,Defensive rebound by D. Carroll,,65,77
3,7:26.0,Turnover by D. Russell (lost ball; steal by D. Green),,65,77
3,7:17.0,,S. Ibaka makes 2-pt hook shot from 4 ft (assist by K. Lowry),65,79
3,7:01.0,T. Graham misses 3-pt jump shot from 27 ft,,65,79
3,6:57.0,,Defensive rebound by S. Ibaka,65,79
3,6:52.0,,S. Ibaka misses 2-pt hook shot from 5 ft,65,79
3,6:50.0,,Offensive rebound by K. Leonard,65,79
3,6:49.0,,K. Leonard misses 2-pt layup from 2 ft (block by J. Allen),65,79
3,6:46.0,,Offensive rebound by S. Ibaka,65,79
3,6:45.0,,S. Ibaka makes 2-pt layup from 3 ft,65,81
3,6:45.0,Brooklyn full timeout,,65,81
3,6:45.0,S. Dinwiddie enters the game for T. Graham,,65,81
3,6:32.0,D. Carroll makes 3-pt jump shot from 23 ft (assist by D. Russell),,68,81
3,6:23.0,,K. Lowry misses 3-pt jump shot from 27 ft,68,81
3,6:20.0,Defensive rebound by J. Harris,,68,81
3,6:17.0,J. Harris misses 2-pt layup from 2 ft (block by D. Green),,68,81
3,6:14.0,Offensive rebound by J. Allen,,68,81
3,6:12.0,D. Carroll misses 3-pt jump shot from 25 ft,,68,81
3,6:12.0,Offensive rebound by Team,,68,81
3,6:12.0,,Loose ball foul by K. Lowry (drawn by J. Allen),68,81
3,5:58.0,D. Carroll misses 2-pt hook shot from 3 ft,,68,81
3,5:56.0,,Defensive rebound by S. Ibaka,68,81
3,5:51.0,,K. Leonard misses 3-pt jump shot from 26 ft,68,81
3,5:48.0,Defensive rebound by J. Harris,,68,81
3,5:42.0,J. Harris misses 3-pt jump shot from 25 ft,,68,81
3,5:39.0,,Defensive rebound by K. Lowry,68,81
3,5:35.0,,K. Leonard makes 3-pt jump shot from 26 ft (assist by D. Green),68,84
3,5:16.0,D. Russell makes 2-pt jump shot from 16 ft,,70,84
3,4:58.0,,S. Ibaka misses 2-pt jump shot from 14 ft,70,84
3,4:54.0,Defensive rebound by J. Allen,,70,84
3,4:41.0,D. Russell makes 2-pt jump shot from 8 ft,,72,84
3,4:20.0,,S. Ibaka misses 2-pt jump shot from 14 ft,72,84
3,4:17.0,Defensive rebound by J. Allen,,72,84
