QUARTER,TIME_REMAINING,MEMPHIS_ACTION,SAN ANTONIO_ACTION,MEMPHIS_SCORE,SAN ANTONIO_SCORE
1,4:49.0,Turnover by G. Temple (lost ball; steal by D. Bertāns),,15,10
1,4:45.0,,L. Aldridge makes 2-pt layup from 1 ft (assist by D. Bertāns),15,12
1,4:33.0,Personal foul by L. Aldridge (drawn by M. Gasol),,15,12
1,4:33.0,D. Brooks enters the game for M. Conley,,15,12
1,4:33.0,J. Carter enters the game for G. Temple,,15,12
1,4:33.0,,B. Forbes enters the game for L. Aldridge,15,12
1,4:33.0,,J. Poeltl enters the game for D. DeRozan,15,12
1,4:24.0,Turnover by J. Carter (bad pass; steal by B. Forbes),,15,12
1,4:18.0,,Turnover by B. Forbes (lost ball; steal by J. Carter),15,12
1,4:09.0,D. Brooks makes 2-pt layup from 4 ft (assist by M. Gasol),,17,12
1,3:55.0,,D. Bertāns makes 3-pt jump shot from 26 ft (assist by B. Forbes),17,15
1,3:30.0,M. Gasol makes 2-pt jump shot from 13 ft,,19,15
1,3:17.0,,D. White makes 2-pt layup from 2 ft,19,17
1,3:07.0,K. Anderson misses 2-pt layup from 2 ft (block by D. White),,19,17
1,3:02.0,,Defensive rebound by M. Belinelli,19,17
1,2:59.0,,Turnover by M. Belinelli (lost ball; steal by K. Anderson),19,17
1,2:56.0,Memphis full timeout,,19,17
1,2:56.0,J. Holiday enters the game for K. Anderson,,19,17
1,2:56.0,J. Noah enters the game for M. Gasol,,19,17
1,2:56.0,,P. Mills enters the game for D. White,19,17
1,2:37.0,J. Green misses 2-pt jump shot from 9 ft,,19,17
1,2:37.0,Offensive rebound by Team,,19,17
1,2:37.0,,Loose ball foul by D. Bertāns (drawn by J. Noah),19,17
1,2:32.0,J. Holiday misses 2-pt jump shot from 15 ft,,19,17
1,2:30.0,,Defensive rebound by D. Bertāns,19,17
1,2:19.0,,Shooting foul by J. Carter (drawn by B. Forbes),19,17
1,2:19.0,,B. Forbes makes free throw 1 of 2,19,18
1,2:19.0,,B. Forbes makes free throw 2 of 2,19,19
1,2:09.0,J. Green misses 2-pt layup from 4 ft (block by D. Bertāns),,19,19
1,2:05.0,Offensive rebound by J. Green,,19,19
1,2:02.0,D. Brooks misses 3-pt jump shot from 26 ft,,19,19
1,1:59.0,,Defensive rebound by M. Belinelli,19,19
1,1:58.0,,M. Belinelli makes 2-pt jump shot from 20 ft (assist by J. Poeltl),19,21
1,1:58.0,,Shooting foul by D. Brooks (drawn by M. Belinelli),19,21
1,1:58.0,,M. Belinelli makes free throw 1 of 1,19,22
1,1:42.0,J. Carter makes 3-pt jump shot from 28 ft (assist by D. Brooks),,22,22
1,1:30.0,,J. Poeltl makes 2-pt layup from 3 ft (assist by P. Mills),22,24
1,1:19.0,J. Holiday misses 2-pt jump shot from 18 ft,,22,24
1,1:19.0,,Defensive rebound by J. Poeltl,22,24
1,1:14.0,,Personal foul by J. Carter (drawn by M. Belinelli),22,24
1,1:14.0,,M. Belinelli makes free throw 1 of 2,22,25
1,1:14.0,,M. Belinelli makes free throw 2 of 2,22,26
1,1:03.0,Def 3 sec tech foul by Team,,22,26
1,1:03.0,D. Brooks misses technical free throw,,22,26
1,1:03.0,Offensive rebound by Team,,22,26
1,0:53.0,Shooting foul by B. Forbes (drawn by J. Noah),,22,26
1,0:53.0,J. Noah misses free throw 1 of 2,,22,26
1,0:53.0,Offensive rebound by Team,,22,26
1,0:53.0,J. Noah makes free throw 2 of 2,,23,26
1,0:42.0,,Turnover by P. Mills (bad pass; steal by J. Carter),23,26
1,0:33.0,J. Carter misses 2-pt jump shot from 17 ft,,23,26
1,0:29.0,,Defensive rebound by D. Bertāns,23,26
1,0:11.0,,Personal foul by D. Brooks (drawn by J. Poeltl),23,26
1,0:11.0,,J. Poeltl misses free throw 1 of 2,23,26
1,0:11.0,,Offensive rebound by Team,23,26
1,0:11.0,M. Conley enters the game for J. Carter,,23,26
1,0:11.0,,D. White enters the game for P. Mills,23,26
1,0:11.0,,J. Poeltl makes free throw 2 of 2,23,27
1,0:01.0,M. Conley makes 2-pt jump shot from 12 ft,,25,27
1,0:01.0,,D. Bertāns misses 3-pt jump shot from 62 ft,25,27
1,0:01.0,,Offensive rebound by Team,25,27
2,11:36.0,M. Conley misses 2-pt jump shot from 16 ft,,25,27
2,11:33.0,Offensive rebound by M. Conley,,25,27
2,11:30.0,D. Brooks misses 2-pt jump shot from 15 ft,,25,27
2,11:30.0,Offensive rebound by Team,,25,27
2,11:29.0,,Loose ball foul by J. Poeltl (drawn by J. Noah),25,27
2,11:22.0,J. Noah misses 2-pt hook shot from 6 ft,,25,27
2,11:22.0,,Defensive rebound by D. Bertāns,25,27
2,11:22.0,Technical foul by J. Noah,,25,27
2,11:22.0,,D. DeRozan makes technical free throw,25,28
2,11:12.0,,Personal foul by J. Holiday (drawn by D. DeRozan),25,28
2,11:00.0,,Turnover by D. DeRozan (bad pass; steal by J. Green),25,28
2,10:52.0,J. Green makes 2-pt layup from 2 ft (assist by M. Conley),,27,28
2,10:52.0,Shooting foul by M. Belinelli (drawn by J. Green),,27,28
2,10:52.0,J. Green makes free throw 1 of 1,,28,28
2,10:42.0,,Personal foul by D. Brooks (drawn by D. Bertāns),28,28
2,10:42.0,K. Anderson enters the game for D. Brooks,,28,28
2,10:42.0,,R. Gay enters the game for D. Bertāns,28,28
2,10:33.0,,D. DeRozan makes 2-pt jump shot from 12 ft,28,30
2,10:18.0,J. Noah misses 2-pt jump shot from 12 ft,,28,30
2,10:12.0,Offensive rebound by J. Green,,28,30
2,10:12.0,J. Green misses 2-pt layup at rim,,28,30
2,10:11.0,,Defensive rebound by D. DeRozan,28,30
2,10:05.0,,Shooting foul by M. Conley (drawn by P. Mills),28,30
2,10:05.0,,P. Mills makes free throw 1 of 3,28,31
2,10:05.0,,P. Mills misses free throw 2 of 3,28,31
2,10:05.0,,Offensive rebound by Team,28,31
2,10:05.0,,B. Forbes enters the game for M. Belinelli,28,31
2,10:05.0,,P. Mills makes free throw 3 of 3,28,32
2,9:54.0,J. Holiday misses 2-pt jump shot from 8 ft,,28,32
2,9:51.0,,Defensive rebound by J. Poeltl,28,32
2,9:30.0,,B. Forbes misses 3-pt jump shot from 26 ft,28,32
2,9:28.0,Defensive rebound by J. Noah,,28,32
2,9:20.0,Turnover by J. Noah (bad pass; steal by P. Mills),,28,32
2,9:16.0,,P. Mills makes 2-pt layup from 2 ft,28,34
2,9:10.0,Memphis full timeout,,28,34
2,9:10.0,M. Gasol enters the game for J. Green,,28,34
2,9:10.0,J. Jackson enters the game for J. Holiday,,28,34
2,9:10.0,G. Temple enters the game for J. Noah,,28,34
2,9:10.0,,L. Aldridge enters the game for J. Poeltl,28,34
2,9:02.0,M. Conley makes 3-pt jump shot from 26 ft (assist by K. Anderson),,31,34
2,8:46.0,,D. DeRozan makes 2-pt dunk at rim (assist by P. Mills),31,36
2,8:26.0,G. Temple misses 3-pt jump shot from 25 ft,,31,36
2,8:23.0,,Defensive rebound by R. Gay,31,36
2,8:18.0,,R. Gay misses 2-pt layup from 3 ft,31,36
2,8:17.0,Defensive rebound by M. Gasol,,31,36
2,8:14.0,G. Temple misses 2-pt layup from 2 ft,,31,36
2,8:11.0,,Defensive rebound by L. Aldridge,31,36
2,7:52.0,,R. Gay makes 2-pt jump shot from 8 ft (assist by L. Aldridge),31,38
2,7:35.0,M. Conley misses 3-pt jump shot from 27 ft,,31,38
2,7:35.0,,Defensive rebound by P. Mills,31,38
2,7:15.0,,P. Mills makes 3-pt jump shot from 27 ft (assist by L. Aldridge),31,41
2,6:52.0,Turnover by K. Anderson (bad pass; steal by R. Gay),,31,41
2,6:49.0,,P. Mills makes 2-pt layup from 3 ft (assist by R. Gay),31,43
2,6:49.0,Memphis full timeout,,31,43
2,6:49.0,,D. White enters the game for P. Mills,31,43
2,6:34.0,M. Gasol misses 2-pt jump shot from 14 ft,,31,43
2,6:32.0,,Defensive rebound by D. DeRozan,31,43
2,6:13.0,,R. Gay misses 2-pt jump shot from 19 ft,31,43
2,6:11.0,Defensive rebound by K. Anderson,,31,43
2,5:58.0,J. Jackson makes 2-pt dunk at rim (assist by K. Anderson),,33,43
2,5:42.0,,D. White makes 2-pt jump shot from 19 ft,33,45
2,5:22.0,M. Gasol makes 2-pt jump shot from 14 ft (assist by M. Conley),,35,45
2,5:08.0,,L. Aldridge misses 2-pt jump shot from 14 ft (block by M. Gasol),35,45
2,5:04.0,Defensive rebound by K. Anderson,,35,45
2,5:01.0,Turnover by J. Jackson (lost ball; steal by L. Aldridge),,35,45
2,4:51.0,,R. Gay makes 2-pt jump shot from 16 ft,35,47
2,4:30.0,J. Jackson misses 2-pt jump shot from 6 ft,,35,47
2,4:29.0,,Defensive rebound by R. Gay,35,47
2,4:14.0,,R. Gay misses 2-pt jump shot from 7 ft,35,47
2,4:11.0,,Offensive rebound by R. Gay,35,47
2,4:11.0,,R. Gay misses 2-pt layup from 1 ft,35,47
2,4:09.0,Defensive rebound by G. Temple,,35,47
2,4:08.0,Turnover by G. Temple (lost ball; steal by L. Aldridge),,35,47
2,3:58.0,,B. Forbes makes 2-pt layup from 3 ft (assist by L. Aldridge),35,49
2,3:50.0,Shooting foul by D. DeRozan (drawn by K. Anderson),,35,49
2,3:50.0,Offensive rebound by Team,,35,49
2,3:50.0,K. Anderson misses free throw 1 of 2,,35,49
2,3:50.0,J. Green enters the game for J. Jackson,,35,49
2,3:50.0,,M. Belinelli enters the game for B. Forbes,35,49
2,3:50.0,Technical foul by G. Popovich,,35,49
2,3:50.0,M. Conley makes technical free throw,,36,49
2,3:50.0,K. Anderson makes free throw 2 of 2,,37,49
2,3:34.0,,D. DeRozan misses 2-pt layup from 3 ft (block by K. Anderson),37,49
2,3:30.0,Defensive rebound by M. Gasol,,37,49
2,3:27.0,Turnover by J. Green (step out of bounds),,37,49
2,3:17.0,,Shooting foul by K. Anderson (drawn by D. DeRozan),37,49
2,3:17.0,,D. DeRozan makes free throw 1 of 2,37,50
2,3:17.0,,D. Bertāns enters the game for R. Gay,37,50
2,3:17.0,,D. DeRozan makes free throw 2 of 2,37,51
2,3:06.0,Shooting foul by D. White (drawn by M. Conley),,37,51
2,3:06.0,M. Conley makes free throw 1 of 3,,38,51
2,3:06.0,M. Conley makes free throw 2 of 3,,39,51
2,3:06.0,M. Conley makes free throw 3 of 3,,40,51
2,2:49.0,,L. Aldridge makes 2-pt jump shot from 14 ft,40,53
2,2:49.0,,Shooting foul by M. Gasol (drawn by L. Aldridge),40,53
2,2:49.0,,L. Aldridge makes free throw 1 of 1,40,54
2,2:29.0,G. Temple misses 2-pt jump shot from 14 ft,,40,54
2,2:26.0,,Defensive rebound by D. White,40,54
2,2:19.0,,D. DeRozan misses 2-pt layup from 11 ft (block by K. Anderson),40,54
2,2:17.0,,Offensive rebound by D. DeRozan,40,54
2,2:14.0,,D. DeRozan misses 2-pt jump shot from 11 ft,40,54
2,2:12.0,Defensive rebound by J. Green,,40,54
2,2:02.0,M. Gasol misses 2-pt hook shot from 18 ft,,40,54
2,2:00.0,,Defensive rebound by D. DeRozan,40,54
2,1:55.0,,L. Aldridge makes 2-pt layup from 3 ft (assist by D. DeRozan),40,56
2,1:33.0,G. Temple misses 3-pt jump shot from 25 ft,,40,56
2,1:32.0,,Defensive rebound by D. DeRozan,40,56
2,1:28.0,,Personal foul by J. Green (drawn by D. Bertāns),40,56
2,1:28.0,,D. Bertāns makes free throw 1 of 2,40,57
2,1:28.0,J. Noah enters the game for M. Gasol,,40,57
2,1:28.0,,B. Forbes enters the game for D. DeRozan,40,57
2,1:28.0,,P. Mills enters the game for D. White,40,57
2,1:28.0,,D. Bertāns misses free throw 2 of 2,40,57
2,1:26.0,Defensive rebound by J. Noah,,40,57
2,1:05.0,J. Green misses 2-pt hook shot from 5 ft,,40,57
2,1:03.0,,Defensive rebound by L. Aldridge,40,57
2,0:53.0,,B. Forbes makes 3-pt jump shot from 24 ft (assist by P. Mills),40,60
2,0:43.0,K. Anderson makes 2-pt jump shot from 10 ft,,42,60
2,0:34.0,,P. Mills makes 3-pt jump shot from 27 ft (assist by L. Aldridge),42,63
2,0:27.0,Turnover by G. Temple (offensive foul),,42,63
2,0:27.0,Offensive foul by G. Temple (drawn by P. Mills),,42,63
2,0:21.0,,Personal foul by J. Noah (drawn by L. Aldridge),42,63
2,0:21.0,,L. Aldridge makes free throw 1 of 2,42,64
2,0:21.0,M. Gasol enters the game for J. Noah,,42,64
2,0:21.0,,L. Aldridge misses free throw 2 of 2,42,64
2,0:17.0,Defensive rebound by M. Gasol,,42,64
2,0:04.0,Shooting foul by L. Aldridge (drawn by M. Gasol),,42,64
2,0:04.0,M. Gasol makes free throw 1 of 2,,43,64
2,0:04.0,M. Gasol makes free throw 2 of 2,,44,64
2,0:00.0,,Turnover by P. Mills (bad pass),44,64
3,11:43.0,J. Jackson makes 2-pt hook shot from 4 ft (assist by M. Conley),,46,64
3,11:27.0,,R. Gay makes 3-pt jump shot from 26 ft (assist by B. Forbes),46,67
3,11:04.0,M. Conley makes 2-pt layup from 4 ft (assist by M. Gasol),,48,67
3,10:42.0,,R. Gay makes 2-pt layup from 3 ft (assist by L. Aldridge),48,69
3,10:26.0,Shooting foul by L. Aldridge (drawn by J. Jackson),,48,69
3,10:26.0,J. Jackson makes free throw 1 of 2,,49,69
3,10:26.0,J. Jackson makes free throw 2 of 2,,50,69
3,10:01.0,,Turnover by Team (shot clock),50,69
3,9:45.0,Personal foul by D. White (drawn by G. Temple),,50,69
3,9:30.0,G. Temple makes 2-pt jump shot from 15 ft (assist by M. Gasol),,52,69
3,9:17.0,,D. White makes 2-pt layup from 1 ft (assist by D. DeRozan),52,71
3,8:58.0,Turnover by M. Conley (bad pass; steal by D. White),,52,71
3,8:58.0,,Personal foul by M. Conley (drawn by R. Gay),52,71
3,8:41.0,,L. Aldridge misses 2-pt jump shot from 17 ft,52,71
3,8:39.0,Defensive rebound by J. Jackson,,52,71
3,8:23.0,M. Conley makes 2-pt jump shot from 11 ft (assist by G. Temple),,54,71
3,8:07.0,,B. Forbes misses 2-pt jump shot from 14 ft,54,71
3,8:06.0,Defensive rebound by J. Jackson,,54,71
3,7:51.0,J. Jackson makes 3-pt jump shot from 26 ft (assist by M. Gasol),,57,71
3,7:31.0,,Turnover by R. Gay (bad pass; steal by J. Jackson),57,71
3,7:23.0,M. Gasol misses 3-pt jump shot from 27 ft,,57,71
3,7:21.0,,Defensive rebound by R. Gay,57,71
3,7:19.0,,Shooting foul by M. Conley (drawn by D. White),57,71
3,7:19.0,,D. White makes free throw 1 of 2,57,72
3,7:19.0,,D. White makes free throw 2 of 2,57,73
3,6:56.0,K. Anderson makes 2-pt jump shot from 5 ft (assist by M. Gasol),,59,73
3,6:42.0,,D. DeRozan makes 2-pt layup from 4 ft,59,75
3,6:18.0,Turnover by G. Temple (lost ball; steal by D. DeRozan),,59,75
3,6:18.0,,Personal foul by G. Temple (drawn by L. Aldridge),59,75
3,6:18.0,,San Antonio full timeout,59,75
3,6:18.0,J. Carter enters the game for M. Conley,,59,75
3,6:02.0,,D. DeRozan misses 2-pt jump shot from 19 ft,59,75
3,6:00.0,Defensive rebound by M. Gasol,,59,75
3,5:43.0,J. Carter misses 3-pt jump shot from 26 ft,,59,75
3,5:42.0,,Defensive rebound by R. Gay,59,75
3,5:40.0,,Turnover by R. Gay (bad pass; steal by K. Anderson),59,75
3,5:29.0,Turnover by M. Gasol (bad pass; steal by R. Gay),,59,75
3,5:20.0,,D. DeRozan misses 2-pt jump shot from 16 ft,59,75
3,5:17.0,Defensive rebound by J. Jackson,,59,75
3,5:05.0,K. Anderson makes 2-pt jump shot from 21 ft,,61,75
3,4:46.0,,Shooting foul by K. Anderson (drawn by D. DeRozan),61,75
3,4:46.0,,D. DeRozan makes free throw 1 of 2,61,76
3,4:46.0,J. Green enters the game for J. Jackson,,61,76
3,4:46.0,,M. Belinelli enters the game for L. Aldridge,61,76
3,4:46.0,,P. Mills enters the game for B. Forbes,61,76
3,4:46.0,,J. Poeltl enters the game for D. White,61,76
3,4:46.0,,D. DeRozan misses free throw 2 of 2,61,76
3,4:43.0,Defensive rebound by J. Green,,61,76
3,4:24.0,M. Gasol misses 3-pt jump shot from 26 ft,,61,76
3,4:21.0,,Defensive rebound by R. Gay,61,76
3,4:16.0,,M. Belinelli misses 3-pt jump shot from 23 ft,61,76
3,4:14.0,Defensive rebound by J. Green,,61,76
3,3:59.0,Turnover by M. Gasol (bad pass),,61,76
3,3:59.0,,D. Bertāns enters the game for R. Gay,61,76
3,3:45.0,,D. Bertāns misses 3-pt jump shot from 27 ft,61,76
3,3:43.0,Defensive rebound by M. Gasol,,61,76
3,3:40.0,Offensive foul by J. Green (drawn by M. Belinelli),,61,76
3,3:40.0,Turnover by J. Green (offensive foul),,61,76
3,3:40.0,D. Brooks enters the game for M. Gasol,,61,76
3,3:40.0,J. Jackson enters the game for G. Temple,,61,76
3,3:29.0,,J. Poeltl makes 2-pt dunk from 1 ft (assist by D. DeRozan),61,78
3,3:14.0,K. Anderson misses 2-pt jump shot from 19 ft,,61,78
3,3:12.0,,Defensive rebound by M. Belinelli,61,78
3,2:58.0,,J. Poeltl makes 2-pt dunk from 1 ft (assist by P. Mills),61,80
3,2:49.0,Personal foul by D. Bertāns (drawn by J. Green),,61,80
3,2:49.0,Memphis full timeout,,61,80
3,2:49.0,J. Holiday enters the game for K. Anderson,,61,80
3,2:49.0,,D. Cunningham enters the game for D. DeRozan,61,80
3,2:38.0,J. Green makes 3-pt jump shot from 26 ft,,64,80
3,2:26.0,,J. Poeltl makes 2-pt dunk from 1 ft (assist by D. Cunningham),64,82
3,2:12.0,J. Carter misses 2-pt jump shot from 2 ft,,64,82
3,2:10.0,,Defensive rebound by J. Poeltl,64,82
3,2:03.0,,M. Belinelli misses 2-pt jump shot from 14 ft,64,82
3,2:00.0,Defensive rebound by J. Jackson,,64,82
3,1:53.0,J. Jackson misses 3-pt jump shot from 26 ft,,64,82
3,1:50.0,,Defensive rebound by D. Bertāns,64,82
3,1:38.0,,Shooting foul by J. Carter (drawn by M. Belinelli),64,82
3,1:38.0,,M. Belinelli makes free throw 1 of 2,64,83
3,1:38.0,,M. Belinelli makes free throw 2 of 2,64,84
3,1:31.0,Personal foul by M. Belinelli (drawn by J. Jackson),,64,84
3,1:24.0,Offensive foul by J. Carter (drawn by P. Mills),,64,84
3,1:24.0,Turnover by J. Carter (offensive foul),,64,84
3,1:16.0,Violation by Team (kicked ball),,64,84
3,1:09.0,,M. Belinelli makes 2-pt jump shot from 17 ft,64,86
3,0:50.0,J. Green misses 2-pt jump shot from 16 ft,,64,86
3,0:48.0,,Defensive rebound by J. Poeltl,64,86
3,0:39.0,,J. Poeltl makes 2-pt layup from 2 ft (assist by M. Belinelli),64,88
3,0:28.0,Personal foul by M. Belinelli (drawn by J. Green),,64,88
3,0:28.0,J. Green makes free throw 1 of 2,,65,88
3,0:28.0,J. Green makes free throw 2 of 2,,66,88
3,0:07.0,,Turnover by J. Poeltl (bad pass; steal by J. Jackson),66,88
3,0:02.0,D. Brooks misses 2-pt layup from 3 ft (block by J. Poeltl),,66,88
3,0:02.0,,Defensive rebound by J. Poeltl,66,88
3,0:01.0,,D. Bertāns misses 3-pt jump shot from 59 ft,66,88
3,0:01.0,,Offensive rebound by Team,66,88
4,11:46.0,,D. Bertāns misses 3-pt jump shot from 26 ft,66,88
4,11:44.0,Defensive rebound by J. Carter,,66,88
4,11:30.0,Turnover by D. Brooks (bad pass),,66,88
4,11:18.0,,D. Cunningham makes 2-pt dunk from 1 ft (assist by J. Poeltl),66,90
4,11:02.0,D. Brooks makes 2-pt layup from 2 ft (assist by J. Carter),,68,90
4,10:40.0,,D. Cunningham misses 2-pt hook shot from 4 ft,68,90
4,10:38.0,Defensive rebound by J. Green,,68,90
4,10:24.0,D. Brooks makes 3-pt jump shot from 26 ft (assist by J. Jackson),,71,90
4,10:05.0,,M. Belinelli misses 3-pt jump shot from 26 ft,71,90
4,10:02.0,Defensive rebound by J. Jackson,,71,90
4,9:57.0,J. Jackson makes 2-pt hook shot from 15 ft,,73,90
4,9:57.0,Shooting foul by J. Poeltl (drawn by J. Jackson),,73,90
4,9:57.0,,B. Forbes enters the game for M. Belinelli,73,90
4,9:57.0,,D. White enters the game for P. Mills,73,90
4,9:57.0,J. Jackson misses free throw 1 of 1,,73,90
4,9:55.0,,Defensive rebound by J. Poeltl,73,90
4,9:40.0,,Turnover by J. Poeltl (lost ball; steal by J. Jackson),73,90
4,9:27.0,D. Brooks misses 2-pt jump shot from 7 ft,,73,90
4,9:27.0,Offensive rebound by J. Jackson,,73,90
4,9:27.0,Personal foul by J. Poeltl (drawn by J. Jackson),,73,90
4,9:20.0,J. Jackson makes 2-pt layup from 9 ft (assist by J. Holiday),,75,90
4,9:20.0,,San Antonio full timeout,75,90
4,9:20.0,,L. Aldridge enters the game for D. Bertāns,75,90
4,9:20.0,,D. DeRozan enters the game for D. Cunningham,75,90
4,9:20.0,,R. Gay enters the game for J. Poeltl,75,90
4,8:54.0,,B. Forbes misses 3-pt jump shot from 29 ft,75,90
4,8:52.0,Defensive rebound by J. Green,,75,90
4,8:41.0,Personal foul by L. Aldridge (drawn by J. Jackson),,75,90
4,8:28.0,D. Brooks makes 2-pt jump shot from 11 ft (assist by J. Carter),,77,90
4,8:19.0,,Personal foul by J. Green (drawn by D. DeRozan),77,90
4,8:07.0,,R. Gay misses 2-pt jump shot from 16 ft,77,90
4,8:05.0,Defensive rebound by J. Carter,,77,90
4,7:59.0,J. Carter misses 2-pt jump shot from 4 ft,,77,90
4,7:57.0,,Defensive rebound by R. Gay,77,90
4,7:45.0,,B. Forbes misses 3-pt jump shot from 26 ft,77,90
4,7:45.0,Defensive rebound by J. Carter,,77,90
4,7:38.0,D. Brooks makes 3-pt jump shot from 26 ft (assist by J. Carter),,80,90
4,7:21.0,,Personal foul by D. Brooks (drawn by R. Gay),80,90
4,7:21.0,,P. Mills enters the game for D. White,80,90
4,7:11.0,,Shooting foul by J. Jackson (drawn by L. Aldridge),80,90
4,7:11.0,,L. Aldridge makes free throw 1 of 2,80,91
4,7:11.0,,L. Aldridge makes free throw 2 of 2,80,92
4,7:03.0,D. Brooks misses 3-pt jump shot from 27 ft,,80,92
4,7:01.0,,Defensive rebound by R. Gay,80,92
4,6:49.0,,L. Aldridge makes 2-pt jump shot from 12 ft,80,94
4,6:33.0,J. Jackson misses 3-pt jump shot from 27 ft,,80,94
4,6:32.0,,Defensive rebound by Team,80,94
4,6:22.0,,Personal foul by J. Jackson (drawn by L. Aldridge),80,94
4,6:09.0,,R. Gay misses 2-pt jump shot from 22 ft,80,94
4,6:07.0,Defensive rebound by J. Holiday,,80,94
4,5:59.0,J. Green misses 3-pt jump shot from 25 ft,,80,94
4,5:56.0,,Defensive rebound by D. DeRozan,80,94
4,5:47.0,,Turnover by D. DeRozan (bad pass; steal by J. Carter),80,94
4,5:41.0,D. Brooks makes 3-pt jump shot from 23 ft (assist by J. Holiday),,83,94
4,5:28.0,,Shooting foul by J. Green (drawn by L. Aldridge),83,94
4,5:28.0,,L. Aldridge misses free throw 1 of 2,83,94
4,5:28.0,,Offensive rebound by Team,83,94
4,5:28.0,,D. Bertāns enters the game for R. Gay,83,94
4,5:28.0,,L. Aldridge makes free throw 2 of 2,83,95
4,5:07.0,J. Carter makes 3-pt jump shot from 29 ft,,86,95
4,4:49.0,,Shooting foul by J. Green (drawn by L. Aldridge),86,95
4,4:49.0,,L. Aldridge makes free throw 1 of 2,86,96
