QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,CHICAGO_ACTION,NEW ORLEANS_SCORE,CHICAGO_SCORE
2,5:05.0,,L. Markkanen makes 3-pt jump shot from 26 ft (assist by Z. LaVine),49,59
2,4:47.0,F. Jackson misses 2-pt jump shot from 6 ft (block by Z. LaVine),,49,59
2,4:47.0,Offensive rebound by Team,,49,59
2,4:44.0,J. Randle makes 3-pt jump shot from 23 ft (assist by J. Holiday),,52,59
2,4:22.0,,Shooting foul by D. Miller (drawn by L. Markkanen),52,59
2,4:22.0,,L. Markkanen makes free throw 1 of 2,52,60
2,4:22.0,,L. Markkanen makes free throw 2 of 2,52,61
2,4:15.0,J. Okafor makes 2-pt layup from 1 ft (assist by J. Holiday),,54,61
2,4:15.0,Shooting foul by R. Lopez (drawn by J. Okafor),,54,61
2,4:15.0,J. Okafor makes free throw 1 of 1,,55,61
2,4:04.0,,Personal foul by F. Jackson (drawn by K. Dunn),55,61
2,3:55.0,,Z. LaVine misses 2-pt jump shot from 14 ft,55,61
2,3:50.0,Defensive rebound by J. Holiday,,55,61
2,3:46.0,D. Miller misses 3-pt jump shot from 23 ft,,55,61
2,3:41.0,,Defensive rebound by K. Dunn,55,61
2,3:29.0,,Z. LaVine makes 3-pt jump shot from 23 ft (assist by S. Harrison),55,64
2,3:14.0,J. Holiday makes 2-pt jump shot from 9 ft,,57,64
2,2:56.0,,Z. LaVine misses 3-pt jump shot from 26 ft,57,64
2,2:54.0,Defensive rebound by J. Okafor,,57,64
2,2:44.0,J. Randle misses 2-pt jump shot from 6 ft (block by Z. LaVine),,57,64
2,2:43.0,,Defensive rebound by S. Harrison,57,64
2,2:43.0,,Personal take foul by J. Holiday (drawn by S. Harrison),57,64
2,2:43.0,,W. Selden enters the game for S. Harrison,57,64
2,2:32.0,,L. Markkanen misses 3-pt jump shot from 26 ft,57,64
2,2:30.0,Defensive rebound by D. Miller,,57,64
2,2:22.0,F. Jackson misses 2-pt layup from 2 ft,,57,64
2,2:20.0,Offensive rebound by F. Jackson,,57,64
2,2:16.0,F. Jackson makes 2-pt layup from 2 ft,,59,64
2,1:56.0,,L. Markkanen misses 3-pt jump shot from 27 ft,59,64
2,1:51.0,Defensive rebound by J. Holiday,,59,64
2,1:40.0,J. Holiday misses 3-pt jump shot from 25 ft,,59,64
2,1:38.0,Offensive rebound by F. Jackson,,59,64
2,1:35.0,F. Jackson makes 3-pt jump shot from 23 ft (assist by D. Miller),,62,64
2,1:21.0,,R. Lopez misses 2-pt layup from 2 ft,62,64
2,1:18.0,Defensive rebound by J. Okafor,,62,64
2,1:15.0,J. Randle misses 2-pt layup from 1 ft (block by K. Dunn),,62,64
2,1:15.0,Offensive rebound by Team,,62,64
2,1:07.0,J. Randle misses 3-pt jump shot from 25 ft,,62,64
2,1:03.0,,Defensive rebound by Z. LaVine,62,64
2,0:59.0,,Personal foul by F. Jackson (drawn by R. Lopez),62,64
2,0:59.0,,R. Lopez misses free throw 1 of 2,62,64
2,0:59.0,,Offensive rebound by Team,62,64
2,0:59.0,,C. Felício enters the game for L. Markkanen,62,64
2,0:59.0,,R. Lopez makes free throw 2 of 2,62,65
2,0:43.0,J. Holiday makes 2-pt layup from 2 ft,,64,65
2,0:26.0,,C. Felício misses 2-pt hook shot from 2 ft,64,65
2,0:26.0,Defensive rebound by Team,,64,65
2,0:02.0,J. Holiday misses 2-pt jump shot from 22 ft,,64,65
2,0:02.0,,Defensive rebound by Z. LaVine,64,65
3,11:38.0,J. Okafor misses 2-pt jump shot from 10 ft,,64,65
3,11:36.0,Offensive rebound by F. Jackson,,64,65
3,11:33.0,K. Williams misses 2-pt layup from 2 ft,,64,65
3,11:32.0,,Defensive rebound by Team,64,65
3,11:09.0,,Shooting foul by J. Okafor (drawn by Z. LaVine),64,65
3,11:09.0,,Z. LaVine misses free throw 1 of 2,64,65
3,11:09.0,,Offensive rebound by Team,64,65
3,11:09.0,,Z. LaVine makes free throw 2 of 2,64,66
3,10:52.0,J. Okafor makes 2-pt dunk at rim (assist by D. Miller),,66,66
3,10:31.0,,K. Dunn misses 2-pt jump shot from 5 ft,66,66
3,10:25.0,Defensive rebound by J. Okafor,,66,66
3,10:19.0,J. Holiday misses 3-pt jump shot from 25 ft,,66,66
3,10:16.0,,Defensive rebound by L. Markkanen,66,66
3,10:02.0,,L. Markkanen misses 2-pt jump shot from 16 ft,66,66
3,9:59.0,Defensive rebound by J. Okafor,,66,66
3,9:52.0,J. Okafor makes 2-pt layup from 2 ft,,68,66
3,9:36.0,,Offensive foul by W. Selden (drawn by K. Williams),68,66
3,9:36.0,,Turnover by W. Selden (offensive foul),68,66
3,9:28.0,Personal foul by K. Dunn (drawn by J. Holiday),,68,66
3,9:20.0,D. Miller misses 3-pt jump shot from 23 ft,,68,66
3,9:17.0,,Defensive rebound by L. Markkanen,68,66
3,9:07.0,,W. Selden misses 2-pt layup from 9 ft (block by D. Miller),68,66
3,9:04.0,Defensive rebound by K. Williams,,68,66
3,9:03.0,K. Williams makes 2-pt layup from 1 ft,,70,66
3,9:03.0,Shooting foul by L. Markkanen (drawn by K. Williams),,70,66
3,9:03.0,K. Williams misses free throw 1 of 1,,70,66
3,8:59.0,,Defensive rebound by Z. LaVine,70,66
3,8:50.0,,Z. LaVine misses 2-pt jump shot from 14 ft (block by F. Jackson),70,66
3,8:50.0,,Offensive rebound by Team,70,66
3,8:50.0,,Chicago full timeout,70,66
3,8:50.0,,T. Luwawu-Cabarrot enters the game for W. Selden,70,66
3,8:42.0,,K. Dunn misses 3-pt jump shot from 26 ft,70,66
3,8:39.0,,Offensive rebound by Z. LaVine,70,66
3,8:28.0,,T. Luwawu-Cabarrot misses 3-pt jump shot from 26 ft,70,66
3,8:22.0,,Offensive rebound by K. Dunn,70,66
3,8:10.0,,Shooting foul by D. Miller (drawn by L. Markkanen),70,66
3,8:10.0,,L. Markkanen makes free throw 1 of 3,70,67
3,8:10.0,,L. Markkanen makes free throw 2 of 3,70,68
3,8:10.0,,L. Markkanen makes free throw 3 of 3,70,69
3,7:47.0,Shooting foul by T. Luwawu-Cabarrot (drawn by J. Holiday),,70,69
3,7:47.0,J. Holiday makes free throw 1 of 2,,71,69
3,7:47.0,J. Holiday makes free throw 2 of 2,,72,69
3,7:28.0,,L. Markkanen makes 3-pt jump shot from 23 ft (assist by K. Dunn),72,72
3,7:23.0,Personal foul by T. Luwawu-Cabarrot (drawn by D. Miller),,72,72
3,7:12.0,J. Holiday misses 2-pt layup from 3 ft (block by R. Lopez),,72,72
3,7:10.0,,Defensive rebound by Z. LaVine,72,72
3,7:09.0,,T. Luwawu-Cabarrot misses 2-pt dunk from 1 ft,72,72
3,7:08.0,Defensive rebound by F. Jackson,,72,72
3,7:08.0,Turnover by F. Jackson (step out of bounds),,72,72
3,7:01.0,,Def 3 sec tech foul by Team,72,72
3,7:01.0,,Z. LaVine makes technical free throw,72,73
3,6:52.0,,Z. LaVine makes 2-pt layup from 1 ft,72,75
3,6:41.0,F. Jackson misses 2-pt jump shot from 15 ft,,72,75
3,6:39.0,,Defensive rebound by Z. LaVine,72,75
3,6:32.0,,Z. LaVine misses 2-pt jump shot from 15 ft,72,75
3,6:28.0,Defensive rebound by K. Williams,,72,75
3,6:19.0,J. Holiday misses 2-pt layup from 2 ft,,72,75
3,6:17.0,Offensive rebound by J. Holiday,,72,75
3,6:15.0,Shooting foul by R. Lopez (drawn by J. Okafor),,72,75
3,6:15.0,J. Okafor misses free throw 1 of 2,,72,75
3,6:15.0,Offensive rebound by Team,,72,75
3,6:15.0,I. Clark enters the game for F. Jackson,,72,75
3,6:15.0,J. Okafor misses free throw 2 of 2,,72,75
3,6:12.0,,Defensive rebound by L. Markkanen,72,75
3,6:03.0,,Turnover by K. Dunn (out of bounds lost ball),72,75
3,6:03.0,C. Diallo enters the game for J. Okafor,,72,75
3,5:51.0,D. Miller makes 3-pt jump shot from 24 ft (assist by J. Holiday),,75,75
3,5:34.0,,Z. LaVine misses 2-pt jump shot from 5 ft,75,75
3,5:31.0,Defensive rebound by C. Diallo,,75,75
3,5:24.0,C. Diallo makes 2-pt dunk from 1 ft (assist by J. Holiday),,77,75
3,5:02.0,,R. Lopez misses 2-pt hook shot from 4 ft,77,75
3,5:00.0,Defensive rebound by C. Diallo,,77,75
3,4:54.0,J. Holiday makes 3-pt jump shot from 26 ft,,80,75
3,4:53.0,,Chicago full timeout,80,75
3,4:53.0,,R. Arcidiacono enters the game for K. Dunn,80,75
3,4:53.0,,C. Felício enters the game for Z. LaVine,80,75
3,4:53.0,,S. Harrison enters the game for R. Lopez,80,75
3,4:44.0,,Turnover by C. Felício (traveling),80,75
3,4:31.0,Turnover by D. Miller (bad pass; steal by S. Harrison),,80,75
3,4:29.0,,Shooting foul by K. Williams (drawn by S. Harrison),80,75
3,4:29.0,,S. Harrison makes free throw 1 of 2,80,76
3,4:29.0,J. Randle enters the game for K. Williams,,80,76
3,4:29.0,,S. Harrison makes free throw 2 of 2,80,77
3,4:10.0,J. Holiday misses 3-pt jump shot from 25 ft,,80,77
3,4:08.0,,Defensive rebound by T. Luwawu-Cabarrot,80,77
3,3:55.0,,T. Luwawu-Cabarrot misses 3-pt jump shot from 24 ft,80,77
3,3:53.0,Defensive rebound by J. Holiday,,80,77
3,3:51.0,C. Diallo makes 2-pt layup from 2 ft (assist by J. Holiday),,82,77
3,3:51.0,Shooting foul by S. Harrison (drawn by C. Diallo),,82,77
3,3:51.0,C. Diallo misses free throw 1 of 1,,82,77
3,3:48.0,,Defensive rebound by L. Markkanen,82,77
3,3:29.0,,R. Arcidiacono misses 3-pt jump shot from 23 ft,82,77
3,3:24.0,Defensive rebound by I. Clark,,82,77
3,3:11.0,J. Holiday makes 2-pt layup from 2 ft,,84,77
3,2:58.0,,Personal foul by I. Clark (drawn by T. Luwawu-Cabarrot),84,77
3,2:58.0,T. Frazier enters the game for J. Holiday,,84,77
3,2:40.0,,C. Felício misses 2-pt hook shot from 6 ft,84,77
3,2:36.0,,Offensive rebound by L. Markkanen,84,77
3,2:36.0,,L. Markkanen makes 2-pt layup from 1 ft,84,79
3,2:35.0,Turnover by T. Frazier (back court),,84,79
3,2:20.0,,S. Harrison misses 2-pt layup from 7 ft,84,79
3,2:19.0,,Offensive rebound by C. Felício,84,79
3,2:19.0,,C. Felício misses 2-pt layup from 1 ft,84,79
3,2:19.0,Defensive rebound by Team,,84,79
3,1:55.0,T. Frazier makes 2-pt layup at rim,,86,79
3,1:40.0,,S. Harrison makes 3-pt jump shot from 23 ft (assist by R. Arcidiacono),86,82
3,1:16.0,C. Diallo makes 2-pt layup from 1 ft (assist by J. Randle),,88,82
3,1:00.0,,T. Luwawu-Cabarrot misses 3-pt jump shot from 22 ft,88,82
3,0:58.0,Defensive rebound by C. Diallo,,88,82
3,0:54.0,New Orleans full timeout,,88,82
3,0:54.0,K. Williams enters the game for D. Miller,,88,82
3,0:54.0,,W. Selden enters the game for L. Markkanen,88,82
3,0:46.0,J. Randle misses 3-pt jump shot from 25 ft,,88,82
3,0:41.0,Offensive rebound by C. Diallo,,88,82
3,0:35.0,Shooting foul by W. Selden (drawn by T. Frazier),,88,82
3,0:35.0,T. Frazier makes free throw 1 of 2,,89,82
3,0:35.0,T. Frazier misses free throw 2 of 2,,89,82
3,0:32.0,Offensive rebound by T. Frazier,,89,82
3,0:25.0,J. Randle misses 2-pt layup from 3 ft (block by S. Harrison),,89,82
3,0:25.0,Offensive rebound by T. Frazier,,89,82
3,0:25.0,T. Frazier makes 2-pt layup from 2 ft,,91,82
3,0:00.0,,S. Harrison misses 2-pt jump shot from 6 ft,91,82
3,0:00.0,Defensive rebound by K. Williams,,91,82
4,11:47.0,,T. Luwawu-Cabarrot makes 3-pt jump shot from 28 ft (assist by C. Felício),91,85
4,11:27.0,Shooting foul by T. Luwawu-Cabarrot (drawn by C. Diallo),,91,85
4,11:27.0,C. Diallo makes free throw 1 of 2,,92,85
4,11:27.0,C. Diallo makes free throw 2 of 2,,93,85
4,11:08.0,,Personal foul by C. Diallo (drawn by C. Felício),93,85
4,10:55.0,,W. Selden makes 3-pt jump shot from 27 ft (assist by R. Arcidiacono),93,88
4,10:31.0,Turnover by T. Frazier (bad pass; steal by R. Arcidiacono),,93,88
4,10:26.0,,T. Luwawu-Cabarrot misses 2-pt layup from 3 ft (block by K. Williams),93,88
4,10:22.0,Defensive rebound by I. Clark,,93,88
4,10:18.0,Turnover by I. Clark (lost ball; steal by S. Harrison),,93,88
4,10:13.0,,Turnover by S. Harrison (bad pass; steal by T. Frazier),93,88
4,9:56.0,Turnover by J. Randle (lost ball; steal by S. Harrison),,93,88
4,9:52.0,,S. Harrison makes 2-pt layup at rim,93,90
4,9:29.0,Shooting foul by T. Luwawu-Cabarrot (drawn by K. Williams),,93,90
4,9:29.0,K. Williams misses free throw 1 of 3,,93,90
4,9:29.0,Offensive rebound by Team,,93,90
4,9:29.0,,K. Dunn enters the game for T. Luwawu-Cabarrot,93,90
4,9:29.0,,L. Markkanen enters the game for W. Selden,93,90
4,9:29.0,K. Williams makes free throw 2 of 3,,94,90
4,9:29.0,K. Williams makes free throw 3 of 3,,95,90
4,9:07.0,,S. Harrison makes 2-pt jump shot from 6 ft,95,92
4,9:07.0,,Shooting foul by I. Clark (drawn by S. Harrison),95,92
4,9:07.0,,S. Harrison misses free throw 1 of 1,95,92
4,9:05.0,Defensive rebound by J. Randle,,95,92
4,8:57.0,K. Williams misses 3-pt jump shot from 27 ft,,95,92
4,8:54.0,Offensive rebound by T. Frazier,,95,92
4,8:42.0,J. Randle makes 3-pt jump shot from 26 ft (assist by K. Williams),,98,92
4,8:14.0,,S. Harrison misses 3-pt jump shot from 25 ft (block by K. Williams),98,92
4,8:09.0,Defensive rebound by C. Diallo,,98,92
4,8:08.0,Personal foul by S. Harrison (drawn by T. Frazier),,98,92
4,8:08.0,J. Holiday enters the game for I. Clark,,98,92
4,8:08.0,,Z. LaVine enters the game for R. Arcidiacono,98,92
4,7:52.0,K. Williams misses 2-pt layup from 1 ft,,98,92
4,7:50.0,Offensive rebound by J. Randle,,98,92
4,7:48.0,J. Randle makes 2-pt layup from 1 ft,,100,92
4,7:32.0,,C. Felício makes 2-pt dunk from 1 ft (assist by K. Dunn),100,94
4,7:26.0,C. Diallo makes 2-pt dunk from 1 ft (assist by J. Holiday),,102,94
4,7:10.0,,L. Markkanen misses 3-pt jump shot from 27 ft,102,94
4,7:10.0,Defensive rebound by C. Diallo,,102,94
4,6:56.0,J. Holiday makes 3-pt jump shot from 26 ft (assist by J. Randle),,105,94
4,6:56.0,,Chicago full timeout,105,94
4,6:56.0,,R. Lopez enters the game for C. Felício,105,94
4,6:40.0,,Personal foul by C. Diallo (drawn by R. Lopez),105,94
4,6:28.0,,K. Dunn misses 3-pt jump shot from 26 ft,105,94
4,6:25.0,Defensive rebound by J. Holiday,,105,94
4,6:17.0,J. Holiday misses 3-pt jump shot from 27 ft,,105,94
4,6:14.0,,Defensive rebound by K. Dunn,105,94
4,6:08.0,,K. Dunn makes 2-pt layup from 1 ft,105,96
4,5:46.0,J. Randle misses 2-pt layup from 2 ft,,105,96
4,5:46.0,Offensive rebound by J. Randle,,105,96
4,5:40.0,J. Randle makes 2-pt layup at rim,,107,96
4,5:33.0,,K. Dunn makes 2-pt jump shot from 6 ft,107,98
4,5:13.0,J. Randle makes 3-pt jump shot from 22 ft (assist by J. Holiday),,110,98
4,4:54.0,,K. Dunn makes 2-pt layup from 1 ft,110,100
4,4:38.0,T. Frazier misses 2-pt layup from 2 ft (block by R. Lopez),,110,100
4,4:35.0,,Defensive rebound by L. Markkanen,110,100
4,4:28.0,,Z. LaVine misses 3-pt jump shot from 25 ft,110,100
4,4:25.0,Defensive rebound by J. Holiday,,110,100
4,4:21.0,New Orleans full timeout,,110,100
4,4:05.0,J. Randle makes 3-pt jump shot from 26 ft (assist by T. Frazier),,113,100
4,3:50.0,,Z. LaVine misses 2-pt layup from 3 ft,113,100
4,3:49.0,Defensive rebound by J. Randle,,113,100
4,3:33.0,J. Holiday misses 3-pt jump shot from 26 ft,,113,100
4,3:30.0,,Defensive rebound by R. Lopez,113,100
4,3:21.0,,R. Lopez makes 2-pt layup from 2 ft (assist by S. Harrison),113,102
4,3:06.0,Shooting foul by R. Lopez (drawn by J. Randle),,113,102
4,3:06.0,J. Randle misses free throw 1 of 2,,113,102
4,3:06.0,Offensive rebound by Team,,113,102
4,3:06.0,J. Okafor enters the game for C. Diallo,,113,102
4,3:06.0,J. Randle misses free throw 2 of 2,,113,102
4,3:03.0,,Defensive rebound by Z. LaVine,113,102
4,2:53.0,,Z. LaVine misses 3-pt jump shot from 26 ft,113,102
4,2:49.0,,Offensive rebound by L. Markkanen,113,102
4,2:40.0,,L. Markkanen makes 3-pt jump shot from 26 ft (assist by K. Dunn),113,105
