QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,BOSTON_ACTION,SAN ANTONIO_SCORE,BOSTON_SCORE
1,3:05.0,M. Belinelli makes 3-pt jump shot from 26 ft,,24,18
1,2:54.0,,K. Irving misses 3-pt jump shot from 25 ft,24,18
1,2:52.0,Defensive rebound by D. Bertāns,,24,18
1,2:42.0,L. Aldridge misses 2-pt jump shot from 12 ft,,24,18
1,2:39.0,,Defensive rebound by M. Morris,24,18
1,2:36.0,,Boston full timeout,24,18
1,2:36.0,,T. Rozier enters the game for M. Smart,24,18
1,2:22.0,,Shooting foul by L. Aldridge (drawn by J. Brown),24,18
1,2:22.0,,J. Brown makes free throw 1 of 2,24,19
1,2:22.0,,J. Brown makes free throw 2 of 2,24,20
1,2:05.0,P. Mills makes 3-pt jump shot from 27 ft (assist by L. Aldridge),,27,20
1,1:53.0,,K. Irving makes 2-pt jump shot from 13 ft,27,22
1,1:36.0,L. Aldridge misses 2-pt hook shot from 6 ft,,27,22
1,1:34.0,Offensive rebound by L. Aldridge,,27,22
1,1:34.0,,G. Hayward enters the game for M. Morris,27,22
1,1:28.0,L. Aldridge misses 2-pt jump shot from 14 ft,,27,22
1,1:27.0,,Defensive rebound by A. Baynes,27,22
1,1:13.0,,J. Brown misses 2-pt jump shot from 16 ft,27,22
1,1:10.0,,Offensive rebound by G. Hayward,27,22
1,1:09.0,,G. Hayward makes 2-pt layup from 4 ft,27,24
1,0:53.0,L. Aldridge makes 2-pt dunk from 1 ft (assist by D. Bertāns),,29,24
1,0:37.0,,J. Brown misses 3-pt jump shot from 25 ft,29,24
1,0:36.0,Defensive rebound by R. Gay,,29,24
1,0:24.0,R. Gay makes 2-pt jump shot from 6 ft,,31,24
1,0:05.0,,Personal foul by P. Mills (drawn by K. Irving),31,24
1,0:05.0,J. Poeltl enters the game for L. Aldridge,,31,24
1,0:00.0,,J. Brown misses 3-pt jump shot from 25 ft,31,24
1,0:00.0,,Offensive rebound by Team,31,24
2,11:46.0,,S. Ojeleye misses 3-pt jump shot from 23 ft,31,24
2,11:41.0,,Offensive rebound by G. Hayward,31,24
2,11:40.0,,G. Hayward makes 2-pt layup from 1 ft,31,26
2,11:26.0,D. Bertāns misses 3-pt jump shot from 23 ft,,31,26
2,11:24.0,,Defensive rebound by T. Rozier,31,26
2,11:18.0,,T. Rozier misses 2-pt jump shot from 12 ft,31,26
2,11:15.0,Defensive rebound by D. Bertāns,,31,26
2,11:06.0,J. Poeltl makes 2-pt layup from 2 ft (assist by P. Mills),,33,26
2,10:56.0,,G. Hayward misses 2-pt jump shot from 19 ft,33,26
2,10:54.0,Defensive rebound by J. Poeltl,,33,26
2,10:48.0,P. Mills makes 3-pt jump shot from 26 ft,,36,26
2,10:29.0,,T. Rozier misses 2-pt layup from 2 ft,36,26
2,10:28.0,Defensive rebound by R. Gay,,36,26
2,10:28.0,Personal foul by D. Theis (drawn by R. Gay),,36,26
2,10:11.0,M. Belinelli misses 3-pt jump shot from 26 ft,,36,26
2,10:10.0,,Defensive rebound by G. Hayward,36,26
2,10:01.0,,G. Hayward makes 2-pt jump shot from 13 ft,36,28
2,9:43.0,Turnover by R. Gay (out of bounds lost ball),,36,28
2,9:32.0,,Shooting foul by M. Belinelli (drawn by G. Hayward),36,28
2,9:32.0,,G. Hayward makes free throw 1 of 2,36,29
2,9:32.0,D. DeRozan enters the game for D. Bertāns,,36,29
2,9:32.0,,G. Hayward makes free throw 2 of 2,36,30
2,9:17.0,R. Gay misses 3-pt jump shot from 24 ft,,36,30
2,9:14.0,Offensive rebound by J. Poeltl,,36,30
2,9:13.0,J. Poeltl misses 2-pt layup at rim,,36,30
2,9:12.0,Offensive rebound by M. Belinelli,,36,30
2,9:10.0,P. Mills misses 3-pt jump shot from 26 ft,,36,30
2,9:08.0,Offensive rebound by R. Gay,,36,30
2,9:01.0,M. Belinelli makes 2-pt jump shot from 14 ft (assist by P. Mills),,38,30
2,8:48.0,,Shooting foul by J. Poeltl (drawn by G. Hayward),38,30
2,8:48.0,,G. Hayward makes free throw 1 of 2,38,31
2,8:48.0,,G. Hayward makes free throw 2 of 2,38,32
2,8:48.0,San Antonio full timeout,,38,32
2,8:25.0,R. Gay misses 2-pt jump shot from 5 ft,,38,32
2,8:23.0,,Defensive rebound by T. Rozier,38,32
2,8:20.0,,Turnover by T. Rozier (out of bounds lost ball),38,32
2,8:20.0,D. White enters the game for P. Mills,,38,32
2,8:03.0,D. DeRozan makes 2-pt jump shot from 20 ft,,40,32
2,7:50.0,,Shooting foul by R. Gay (drawn by J. Brown),40,32
2,7:50.0,,J. Brown misses free throw 1 of 2,40,32
2,7:50.0,,Offensive rebound by Team,40,32
2,7:50.0,B. Forbes enters the game for M. Belinelli,,40,32
2,7:50.0,,M. Smart enters the game for S. Ojeleye,40,32
2,7:50.0,,J. Brown makes free throw 2 of 2,40,33
2,7:39.0,D. White makes 2-pt layup from 2 ft (assist by D. DeRozan),,42,33
2,7:25.0,,D. Theis misses 3-pt jump shot from 26 ft,42,33
2,7:23.0,Defensive rebound by R. Gay,,42,33
2,7:14.0,D. DeRozan makes 2-pt jump shot from 21 ft (assist by R. Gay),,44,33
2,7:00.0,,J. Brown misses 3-pt jump shot from 25 ft,44,33
2,6:58.0,,Offensive rebound by D. Theis,44,33
2,6:53.0,,D. Theis makes 3-pt jump shot from 25 ft (assist by G. Hayward),44,36
2,6:25.0,R. Gay makes 2-pt jump shot from 20 ft,,46,36
2,6:08.0,,Turnover by D. Theis (traveling),46,36
2,6:08.0,L. Aldridge enters the game for R. Gay,,46,36
2,6:08.0,D. Bertāns enters the game for J. Poeltl,,46,36
2,6:08.0,,M. Morris enters the game for G. Hayward,46,36
2,5:57.0,L. Aldridge makes 2-pt jump shot from 17 ft (assist by D. DeRozan),,48,36
2,5:49.0,,Boston full timeout,48,36
2,5:49.0,,A. Baynes enters the game for T. Rozier,48,36
2,5:49.0,,K. Irving enters the game for D. Theis,48,36
2,5:43.0,,K. Irving misses 2-pt jump shot from 21 ft,48,36
2,5:42.0,Defensive rebound by L. Aldridge,,48,36
2,5:29.0,B. Forbes misses 3-pt jump shot from 26 ft,,48,36
2,5:28.0,,Defensive rebound by A. Baynes,48,36
2,5:21.0,,M. Morris makes 3-pt jump shot from 26 ft (assist by K. Irving),48,39
2,5:07.0,D. DeRozan misses 2-pt jump shot from 16 ft,,48,39
2,5:05.0,,Defensive rebound by K. Irving,48,39
2,4:59.0,,K. Irving misses 2-pt layup from 1 ft,48,39
2,4:57.0,Defensive rebound by L. Aldridge,,48,39
2,4:52.0,B. Forbes misses 3-pt jump shot from 26 ft,,48,39
2,4:49.0,,Defensive rebound by A. Baynes,48,39
2,4:42.0,,Shooting foul by B. Forbes (drawn by M. Smart),48,39
2,4:42.0,,M. Smart misses free throw 1 of 2,48,39
2,4:42.0,,Offensive rebound by Team,48,39
2,4:42.0,,M. Smart makes free throw 2 of 2,48,40
2,4:33.0,L. Aldridge makes 2-pt layup from 1 ft (assist by D. White),,50,40
2,4:22.0,,Turnover by K. Irving (out of bounds lost ball),50,40
2,4:08.0,Shooting foul by A. Baynes (drawn by L. Aldridge),,50,40
2,4:08.0,L. Aldridge makes free throw 1 of 2,,51,40
2,4:08.0,M. Belinelli enters the game for B. Forbes,,51,40
2,4:08.0,,G. Hayward enters the game for J. Brown,51,40
2,4:08.0,L. Aldridge makes free throw 2 of 2,,52,40
2,3:49.0,,M. Morris misses 2-pt layup from 1 ft,52,40
2,3:45.0,Defensive rebound by M. Belinelli,,52,40
2,3:32.0,Offensive foul by D. Bertāns (drawn by M. Smart),,52,40
2,3:32.0,Turnover by D. Bertāns (offensive foul),,52,40
2,3:19.0,,K. Irving makes 2-pt jump shot from 18 ft,52,42
2,3:17.0,San Antonio full timeout,,52,42
2,3:17.0,R. Gay enters the game for D. Bertāns,,52,42
2,3:17.0,,D. Theis enters the game for A. Baynes,52,42
2,3:09.0,D. DeRozan misses 2-pt jump shot from 20 ft,,52,42
2,3:07.0,,Defensive rebound by M. Smart,52,42
2,3:01.0,,M. Smart misses 3-pt jump shot from 26 ft,52,42
2,2:59.0,Defensive rebound by L. Aldridge,,52,42
2,2:52.0,M. Belinelli misses 3-pt jump shot from 26 ft,,52,42
2,2:50.0,,Defensive rebound by Team,52,42
2,2:36.0,,D. Theis misses 2-pt jump shot from 18 ft,52,42
2,2:35.0,,Offensive rebound by D. Theis,52,42
2,2:32.0,,G. Hayward misses 3-pt jump shot from 25 ft,52,42
2,2:31.0,Defensive rebound by L. Aldridge,,52,42
2,2:18.0,D. DeRozan makes 2-pt jump shot from 8 ft,,54,42
2,2:07.0,,G. Hayward misses 2-pt jump shot from 10 ft (block by D. DeRozan),54,42
2,2:04.0,Defensive rebound by L. Aldridge,,54,42
2,2:03.0,Turnover by L. Aldridge (bad pass; steal by K. Irving),,54,42
2,1:55.0,,M. Smart misses 3-pt jump shot from 26 ft,54,42
2,1:53.0,Defensive rebound by Team,,54,42
2,1:52.0,,Loose ball foul by K. Irving (drawn by D. DeRozan),54,42
2,1:34.0,M. Belinelli misses 3-pt jump shot from 27 ft,,54,42
2,1:31.0,,Defensive rebound by D. Theis,54,42
2,1:25.0,,M. Smart makes 2-pt layup from 1 ft (assist by K. Irving),54,44
2,1:03.0,D. White misses 2-pt layup from 4 ft (block by D. Theis),,54,44
2,1:01.0,,Defensive rebound by D. Theis,54,44
2,0:59.0,,G. Hayward makes 2-pt layup from 1 ft (assist by K. Irving),54,46
2,0:59.0,,Shooting foul by L. Aldridge (drawn by G. Hayward),54,46
2,0:59.0,,G. Hayward makes free throw 1 of 1,54,47
2,0:43.0,D. DeRozan misses 2-pt jump shot from 20 ft,,54,47
2,0:41.0,,Defensive rebound by G. Hayward,54,47
2,0:30.0,,M. Morris misses 3-pt jump shot from 25 ft,54,47
2,0:28.0,Defensive rebound by Team,,54,47
2,0:03.0,D. DeRozan misses 2-pt jump shot from 14 ft (block by K. Irving),,54,47
2,0:01.0,,Defensive rebound by M. Morris,54,47
2,0:00.0,,M. Morris misses 3-pt jump shot from 24 ft,54,47
2,0:00.0,,Offensive rebound by Team,54,47
3,11:50.0,,M. Morris misses 3-pt jump shot from 26 ft,54,47
3,11:48.0,Defensive rebound by J. Poeltl,,54,47
3,11:27.0,D. DeRozan misses 2-pt jump shot from 16 ft,,54,47
3,11:21.0,,Defensive rebound by G. Hayward,54,47
3,11:17.0,,Offensive foul by M. Smart (drawn by D. White),54,47
3,11:17.0,,Turnover by M. Smart (offensive foul),54,47
3,11:06.0,L. Aldridge makes 2-pt jump shot from 13 ft,,56,47
3,10:56.0,,K. Irving misses 3-pt jump shot from 26 ft,56,47
3,10:53.0,,Offensive rebound by Team,56,47
3,10:42.0,,K. Irving misses 2-pt jump shot from 19 ft,56,47
3,10:39.0,,Offensive rebound by M. Smart,56,47
3,10:36.0,,M. Morris misses 3-pt jump shot from 23 ft,56,47
3,10:33.0,Defensive rebound by J. Poeltl,,56,47
3,10:23.0,L. Aldridge misses 2-pt jump shot from 20 ft,,56,47
3,10:21.0,,Defensive rebound by M. Morris,56,47
3,10:12.0,,M. Smart misses 2-pt layup from 2 ft,56,47
3,10:11.0,Defensive rebound by J. Poeltl,,56,47
3,9:59.0,Offensive foul by B. Forbes (drawn by A. Baynes),,56,47
3,9:59.0,Turnover by B. Forbes (offensive foul),,56,47
3,9:48.0,,G. Hayward misses 2-pt jump shot from 18 ft,56,47
3,9:46.0,Defensive rebound by L. Aldridge,,56,47
3,9:41.0,D. DeRozan makes 2-pt jump shot from 16 ft (assist by D. White),,58,47
3,9:25.0,,A. Baynes makes 2-pt hook shot from 1 ft (assist by K. Irving),58,49
3,9:13.0,D. White misses 2-pt jump shot from 10 ft,,58,49
3,9:10.0,,Defensive rebound by A. Baynes,58,49
3,9:03.0,,K. Irving makes 2-pt layup from 1 ft,58,51
3,9:03.0,San Antonio full timeout,,58,51
3,8:47.0,D. White misses 3-pt jump shot from 26 ft,,58,51
3,8:45.0,Offensive rebound by L. Aldridge,,58,51
3,8:41.0,Turnover by L. Aldridge (bad pass; steal by M. Morris),,58,51
3,8:36.0,,M. Smart makes 2-pt jump shot from 8 ft (assist by K. Irving),58,53
3,8:23.0,D. DeRozan misses 2-pt jump shot from 14 ft,,58,53
3,8:21.0,,Defensive rebound by A. Baynes,58,53
3,8:09.0,,M. Smart misses 2-pt jump shot from 6 ft,58,53
3,8:07.0,Defensive rebound by D. White,,58,53
3,7:57.0,J. Poeltl makes 2-pt layup at rim (assist by L. Aldridge),,60,53
3,7:42.0,,A. Baynes makes 2-pt hook shot from 4 ft (assist by K. Irving),60,55
3,7:27.0,D. DeRozan makes 2-pt jump shot from 13 ft (assist by L. Aldridge),,62,55
3,7:12.0,,M. Morris makes 2-pt jump shot from 17 ft (assist by K. Irving),62,57
3,6:56.0,L. Aldridge makes 2-pt jump shot from 20 ft (assist by D. White),,64,57
3,6:40.0,Violation by Team (kicked ball),,64,57
3,6:40.0,P. Mills enters the game for D. White,,64,57
3,6:40.0,,J. Brown enters the game for A. Baynes,64,57
3,6:40.0,,D. Theis enters the game for G. Hayward,64,57
3,6:33.0,,K. Irving makes 3-pt jump shot from 27 ft (assist by D. Theis),64,60
3,6:12.0,L. Aldridge makes 2-pt jump shot from 18 ft (assist by D. DeRozan),,66,60
3,5:59.0,,M. Morris misses 3-pt jump shot from 26 ft,66,60
3,5:57.0,Defensive rebound by L. Aldridge,,66,60
3,5:51.0,B. Forbes makes 2-pt jump shot from 7 ft (assist by D. DeRozan),,68,60
3,5:36.0,,K. Irving misses 3-pt jump shot from 26 ft,68,60
3,5:36.0,Defensive rebound by B. Forbes,,68,60
3,5:20.0,Personal foul by K. Irving (drawn by D. DeRozan),,68,60
3,5:09.0,Shooting foul by D. Theis (drawn by L. Aldridge),,68,60
3,5:09.0,L. Aldridge misses free throw 1 of 3,,68,60
3,5:09.0,Offensive rebound by Team,,68,60
3,5:09.0,L. Aldridge makes free throw 2 of 3,,69,60
3,5:09.0,M. Belinelli enters the game for B. Forbes,,69,60
3,5:09.0,R. Gay enters the game for J. Poeltl,,69,60
3,5:09.0,L. Aldridge makes free throw 3 of 3,,70,60
3,4:59.0,,D. Theis misses 3-pt jump shot from 26 ft,70,60
3,4:57.0,Defensive rebound by R. Gay,,70,60
3,4:45.0,D. DeRozan makes 2-pt jump shot from 13 ft,,72,60
3,4:35.0,,J. Brown misses 2-pt layup from 1 ft,72,60
3,4:32.0,,Offensive rebound by D. Theis,72,60
3,4:32.0,,D. Theis makes 2-pt dunk at rim,72,62
3,4:26.0,L. Aldridge makes 2-pt layup from 2 ft (assist by P. Mills),,74,62
3,4:26.0,Shooting foul by D. Theis (drawn by L. Aldridge),,74,62
3,4:26.0,L. Aldridge makes free throw 1 of 1,,75,62
3,4:20.0,,Personal foul by P. Mills (drawn by M. Smart),75,62
3,4:16.0,,Personal foul by P. Mills (drawn by K. Irving),75,62
3,4:16.0,,T. Rozier enters the game for M. Smart,75,62
3,4:05.0,,Turnover by M. Morris (traveling),75,62
3,3:47.0,D. DeRozan makes 2-pt jump shot from 11 ft (assist by P. Mills),,77,62
3,3:45.0,,Boston full timeout,77,62
3,3:45.0,,G. Hayward enters the game for M. Morris,77,62
3,3:35.0,,K. Irving misses 2-pt jump shot from 19 ft,77,62
3,3:33.0,Defensive rebound by R. Gay,,77,62
3,3:22.0,Turnover by R. Gay (lost ball; steal by K. Irving),,77,62
3,3:17.0,,T. Rozier makes 2-pt layup from 2 ft (assist by K. Irving),77,64
3,2:57.0,M. Belinelli misses 3-pt jump shot from 26 ft,,77,64
3,2:55.0,,Defensive rebound by D. Theis,77,64
3,2:41.0,,T. Rozier misses 2-pt jump shot from 10 ft,77,64
3,2:39.0,Defensive rebound by R. Gay,,77,64
3,2:25.0,M. Belinelli misses 3-pt jump shot from 26 ft,,77,64
3,2:23.0,,Defensive rebound by J. Brown,77,64
3,2:17.0,,Personal foul by R. Gay (drawn by J. Brown),77,64
3,2:17.0,J. Poeltl enters the game for L. Aldridge,,77,64
3,2:03.0,,J. Brown makes 2-pt jump shot from 11 ft,77,66
3,1:46.0,R. Gay makes 3-pt jump shot from 23 ft (assist by D. DeRozan),,80,66
3,1:30.0,,D. Theis makes 2-pt dunk from 1 ft (assist by K. Irving),80,68
3,1:13.0,D. DeRozan misses 2-pt jump shot from 16 ft,,80,68
3,1:11.0,,Defensive rebound by G. Hayward,80,68
3,1:07.0,,Personal foul by D. DeRozan (drawn by J. Brown),80,68
3,1:06.0,,D. Theis makes 2-pt layup from 2 ft (assist by K. Irving),80,70
3,0:44.0,D. DeRozan makes 2-pt jump shot from 20 ft (assist by R. Gay),,82,70
3,0:36.0,,G. Hayward misses 2-pt layup from 1 ft,82,70
3,0:35.0,,Offensive rebound by D. Theis,82,70
3,0:35.0,,D. Theis makes 2-pt layup at rim,82,72
3,0:16.0,J. Poeltl makes 2-pt layup from 3 ft (assist by D. DeRozan),,84,72
3,0:02.0,,K. Irving misses 2-pt layup from 2 ft (block by J. Poeltl),84,72
3,0:01.0,Defensive rebound by P. Mills,,84,72
3,0:00.0,Personal foul by J. Brown (drawn by P. Mills),,84,72
4,11:41.0,D. Bertāns misses 3-pt jump shot from 26 ft,,84,72
4,11:38.0,,Defensive rebound by T. Rozier,84,72
4,11:30.0,,J. Brown misses 3-pt jump shot from 27 ft,84,72
4,11:28.0,Defensive rebound by R. Gay,,84,72
4,11:18.0,R. Gay misses 2-pt jump shot from 12 ft,,84,72
4,11:15.0,,Defensive rebound by G. Hayward,84,72
4,11:11.0,,T. Rozier misses 3-pt jump shot from 25 ft,84,72
4,11:09.0,Defensive rebound by D. Bertāns,,84,72
4,11:00.0,P. Mills makes 2-pt layup at rim (assist by R. Gay),,86,72
4,10:36.0,,M. Smart misses 3-pt jump shot from 27 ft,86,72
4,10:33.0,Defensive rebound by L. Aldridge,,86,72
4,10:19.0,P. Mills makes 2-pt layup from 1 ft (assist by L. Aldridge),,88,72
4,10:19.0,,Boston full timeout,88,72
4,10:11.0,,Personal foul by M. Belinelli (drawn by M. Smart),88,72
4,10:07.0,,M. Smart makes 2-pt layup from 2 ft (assist by T. Rozier),88,74
4,9:58.0,P. Mills makes 2-pt layup from 1 ft,,90,74
4,9:58.0,,Violation by Team (def goaltending),90,74
4,9:37.0,,Shooting foul by L. Aldridge (drawn by J. Brown),90,74
4,9:37.0,,J. Brown makes free throw 1 of 2,90,75
4,9:37.0,,A. Baynes enters the game for D. Theis,90,75
4,9:37.0,,J. Brown makes free throw 2 of 2,90,76
4,9:22.0,L. Aldridge misses 2-pt jump shot from 11 ft,,90,76
4,9:20.0,,Defensive rebound by G. Hayward,90,76
4,9:12.0,,M. Smart makes 3-pt jump shot from 26 ft (assist by G. Hayward),90,79
4,8:52.0,L. Aldridge makes 2-pt hook shot from 6 ft,,92,79
4,8:42.0,,G. Hayward misses 2-pt jump shot from 16 ft,92,79
4,8:40.0,Defensive rebound by R. Gay,,92,79
4,8:27.0,D. Bertāns misses 3-pt jump shot from 26 ft,,92,79
4,8:25.0,,Defensive rebound by A. Baynes,92,79
4,8:17.0,,M. Smart misses 3-pt jump shot from 27 ft,92,79
4,8:15.0,Defensive rebound by D. Bertāns,,92,79
4,8:15.0,D. DeRozan enters the game for R. Gay,,92,79
4,8:15.0,D. White enters the game for P. Mills,,92,79
4,7:57.0,L. Aldridge makes 2-pt jump shot from 8 ft (assist by D. Bertāns),,94,79
4,7:45.0,,J. Brown misses 3-pt jump shot from 26 ft,94,79
4,7:44.0,Defensive rebound by D. White,,94,79
4,7:22.0,Turnover by L. Aldridge (lost ball),,94,79
4,7:22.0,Loose ball foul by L. Aldridge (drawn by J. Brown),,94,79
4,7:22.0,,K. Irving enters the game for J. Brown,94,79
4,7:22.0,,M. Morris enters the game for G. Hayward,94,79
4,7:08.0,,T. Rozier makes 2-pt layup from 1 ft (assist by M. Morris),94,81
4,7:01.0,Personal foul by T. Rozier (drawn by D. White),,94,81
4,6:51.0,L. Aldridge misses 2-pt jump shot from 12 ft,,94,81
4,6:48.0,,Defensive rebound by M. Smart,94,81
4,6:37.0,,T. Rozier misses 3-pt jump shot from 23 ft,94,81
4,6:35.0,Defensive rebound by D. Bertāns,,94,81
4,6:27.0,D. Bertāns makes 3-pt jump shot from 25 ft (assist by D. DeRozan),,97,81
4,6:02.0,,T. Rozier misses 3-pt jump shot from 26 ft,97,81
4,6:00.0,Defensive rebound by M. Belinelli,,97,81
4,5:46.0,L. Aldridge misses 2-pt jump shot from 16 ft,,97,81
4,5:42.0,,Defensive rebound by M. Morris,97,81
4,5:30.0,,K. Irving misses 2-pt layup from 2 ft,97,81
4,5:29.0,,Offensive rebound by A. Baynes,97,81
4,5:29.0,,A. Baynes misses 2-pt layup from 2 ft,97,81
4,5:28.0,Defensive rebound by M. Belinelli,,97,81
4,5:06.0,D. DeRozan misses 2-pt jump shot from 9 ft,,97,81
4,5:05.0,Offensive rebound by Team,,97,81
4,5:05.0,San Antonio full timeout,,97,81
4,5:05.0,P. Mills enters the game for M. Belinelli,,97,81
4,5:05.0,,J. Brown enters the game for T. Rozier,97,81
4,4:55.0,D. Bertāns makes 3-pt jump shot from 26 ft (assist by L. Aldridge),,100,81
4,4:35.0,,K. Irving misses 2-pt layup from 1 ft,100,81
4,4:32.0,Defensive rebound by D. White,,100,81
4,4:14.0,D. Bertāns makes 3-pt jump shot from 27 ft (assist by D. White),,103,81
4,4:02.0,,M. Smart misses 2-pt hook shot from 5 ft,103,81
4,4:00.0,Defensive rebound by D. Bertāns,,103,81
4,3:45.0,L. Aldridge makes 3-pt jump shot from 27 ft (assist by D. DeRozan),,106,81
4,3:31.0,,A. Baynes makes 3-pt jump shot from 27 ft (assist by M. Morris),106,84
4,3:22.0,Personal take foul by K. Irving (drawn by D. White),,106,84
4,3:22.0,D. Eubanks enters the game for L. Aldridge,,106,84
4,3:22.0,L. Walker enters the game for D. White,,106,84
4,3:22.0,,P. Dozier enters the game for A. Baynes,106,84
4,3:22.0,,G. Monroe enters the game for J. Brown,106,84
4,3:22.0,,S. Ojeleye enters the game for K. Irving,106,84
4,3:22.0,,B. Wanamaker enters the game for M. Morris,106,84
4,3:22.0,,G. Yabusele enters the game for M. Smart,106,84
4,3:14.0,P. Mills misses 2-pt jump shot from 17 ft,,106,84
4,3:12.0,,Defensive rebound by P. Dozier,106,84
4,3:06.0,,P. Dozier misses 2-pt jump shot from 14 ft,106,84
4,3:04.0,,Offensive rebound by G. Monroe,106,84
4,3:03.0,,G. Monroe makes 2-pt layup from 1 ft,106,86
4,2:44.0,D. DeRozan misses 2-pt jump shot from 14 ft,,106,86
4,2:42.0,,Defensive rebound by P. Dozier,106,86
4,2:37.0,,S. Ojeleye makes 3-pt jump shot from 25 ft (assist by B. Wanamaker),106,89
