QUARTER,TIME_REMAINING,ORLANDO_ACTION,DENVER_ACTION,ORLANDO_SCORE,DENVER_SCORE
3,9:11.0,,Defensive rebound by G. Harris,49,58
3,9:00.0,,N. Jokić misses 3-pt jump shot from 26 ft,49,58
3,8:57.0,Defensive rebound by W. Iwundu,,49,58
3,8:51.0,Turnover by N. Vučević (lost ball; steal by N. Jokić),,49,58
3,8:45.0,,G. Harris misses 3-pt jump shot from 23 ft,49,58
3,8:41.0,,Offensive rebound by N. Jokić,49,58
3,8:40.0,,P. Millsap makes 2-pt jump shot from 6 ft (assist by N. Jokić),49,60
3,8:22.0,E. Fournier misses 3-pt jump shot from 22 ft,,49,60
3,8:20.0,,Defensive rebound by P. Millsap,49,60
3,8:17.0,,G. Harris makes 2-pt layup from 1 ft (assist by P. Millsap),49,62
3,8:17.0,Orlando full timeout,,49,62
3,7:55.0,E. Fournier misses 3-pt jump shot from 26 ft,,49,62
3,7:51.0,,Defensive rebound by N. Jokić,49,62
3,7:45.0,,Personal foul by W. Iwundu (drawn by N. Jokić),49,62
3,7:40.0,,N. Jokić makes 2-pt jump shot from 18 ft (assist by G. Harris),49,64
3,7:19.0,Personal foul by N. Jokić (drawn by N. Vučević),,49,64
3,7:11.0,E. Fournier makes 2-pt layup from 3 ft (assist by D. Augustin),,51,64
3,6:56.0,,Shooting foul by N. Vučević (drawn by N. Jokić),51,64
3,6:56.0,,N. Jokić makes free throw 1 of 2,51,65
3,6:56.0,,N. Jokić makes free throw 2 of 2,51,66
3,6:46.0,Turnover by D. Augustin (bad pass; steal by J. Murray),,51,66
3,6:40.0,,J. Murray misses 3-pt jump shot from 26 ft,51,66
3,6:37.0,Defensive rebound by N. Vučević,,51,66
3,6:22.0,D. Augustin misses 2-pt layup from 5 ft (block by P. Millsap),,51,66
3,6:18.0,,Defensive rebound by J. Murray,51,66
3,6:04.0,,J. Murray misses 2-pt jump shot from 9 ft,51,66
3,6:00.0,Defensive rebound by E. Fournier,,51,66
3,5:55.0,E. Fournier makes 2-pt layup from 3 ft,,53,66
3,5:55.0,Shooting foul by J. Murray (drawn by E. Fournier),,53,66
3,5:55.0,J. Isaac enters the game for W. Iwundu,,53,66
3,5:55.0,E. Fournier makes free throw 1 of 1,,54,66
3,5:45.0,,J. Murray makes 2-pt jump shot from 7 ft (assist by N. Jokić),54,68
3,5:45.0,,Shooting foul by D. Augustin (drawn by J. Murray),54,68
3,5:45.0,,M. Morris enters the game for G. Harris,54,68
3,5:45.0,,J. Murray misses free throw 1 of 1,54,68
3,5:45.0,Defensive rebound by N. Vučević,,54,68
3,5:20.0,A. Gordon misses 3-pt jump shot from 25 ft,,54,68
3,5:16.0,,Defensive rebound by P. Millsap,54,68
3,4:58.0,,N. Jokić misses 3-pt jump shot from 26 ft,54,68
3,4:55.0,,Offensive rebound by Team,54,68
3,4:55.0,J. Grant enters the game for D. Augustin,,54,68
3,4:55.0,T. Ross enters the game for E. Fournier,,54,68
3,4:51.0,,J. Murray makes 2-pt jump shot from 11 ft (assist by N. Jokić),54,70
3,4:34.0,N. Vučević makes 2-pt jump shot from 10 ft (assist by T. Ross),,56,70
3,4:21.0,,J. Murray misses 2-pt layup from 2 ft,56,70
3,4:19.0,Defensive rebound by J. Isaac,,56,70
3,4:11.0,J. Isaac misses 3-pt jump shot from 26 ft,,56,70
3,4:10.0,Offensive rebound by A. Gordon,,56,70
3,4:04.0,A. Gordon misses 3-pt jump shot from 23 ft,,56,70
3,4:03.0,Offensive rebound by N. Vučević,,56,70
3,3:57.0,T. Ross makes 3-pt jump shot from 26 ft,,59,70
3,3:56.0,,Denver full timeout,59,70
3,3:47.0,,N. Jokić misses 2-pt jump shot from 18 ft,59,70
3,3:44.0,Defensive rebound by J. Isaac,,59,70
3,3:39.0,Shooting foul by N. Jokić (drawn by A. Gordon),,59,70
3,3:39.0,A. Gordon makes free throw 1 of 2,,60,70
3,3:39.0,,M. Plumlee enters the game for N. Jokić,60,70
3,3:39.0,A. Gordon misses free throw 2 of 2,,60,70
3,3:36.0,,Defensive rebound by P. Millsap,60,70
3,3:23.0,,M. Morris makes 3-pt jump shot from 26 ft (assist by M. Plumlee),60,73
3,3:10.0,Turnover by J. Grant (bad pass; steal by M. Plumlee),,60,73
3,3:02.0,,Personal foul by T. Ross (drawn by M. Plumlee),60,73
3,3:02.0,,M. Plumlee makes free throw 1 of 2,60,74
3,3:02.0,,M. Plumlee makes free throw 2 of 2,60,75
3,2:45.0,Turnover by A. Gordon (bad pass),,60,75
3,2:45.0,,T. Lyles enters the game for P. Millsap,60,75
3,2:26.0,,T. Lyles makes 2-pt jump shot from 6 ft (assist by M. Plumlee),60,77
3,2:12.0,J. Isaac misses 2-pt jump shot from 18 ft,,60,77
3,2:11.0,,Defensive rebound by M. Plumlee,60,77
3,1:56.0,,J. Murray misses 2-pt jump shot from 12 ft,60,77
3,1:53.0,Defensive rebound by A. Gordon,,60,77
3,1:49.0,Personal foul by M. Plumlee (drawn by N. Vučević),,60,77
3,1:49.0,N. Vučević makes free throw 1 of 2,,61,77
3,1:49.0,,G. Harris enters the game for J. Murray,61,77
3,1:49.0,N. Vučević makes free throw 2 of 2,,62,77
3,1:25.0,,Turnover by G. Harris (bad pass; steal by A. Gordon),62,77
3,1:20.0,Orlando full timeout,,62,77
3,1:11.0,T. Ross makes 3-pt jump shot from 28 ft (assist by J. Grant),,65,77
3,0:57.0,,M. Morris misses 2-pt layup from 4 ft,65,77
3,0:55.0,Defensive rebound by N. Vučević,,65,77
3,0:49.0,N. Vučević misses 3-pt jump shot from 26 ft,,65,77
3,0:48.0,Offensive rebound by Team,,65,77
3,0:48.0,Personal foul by G. Harris (drawn by J. Isaac),,65,77
3,0:48.0,J. Isaac misses free throw 1 of 2,,65,77
3,0:48.0,Offensive rebound by Team,,65,77
3,0:48.0,J. Isaac makes free throw 2 of 2,,66,77
3,0:39.0,,T. Lyles makes 3-pt jump shot from 26 ft (assist by M. Morris),66,80
3,0:19.0,N. Vučević misses 2-pt hook shot from 8 ft (block by M. Plumlee),,66,80
3,0:19.0,Offensive rebound by Team,,66,80
3,0:17.0,N. Vučević makes 2-pt jump shot from 19 ft (assist by J. Grant),,68,80
3,0:00.0,,M. Plumlee misses 2-pt layup from 2 ft (block by A. Gordon),68,80
3,0:00.0,Defensive rebound by A. Gordon,,68,80
4,11:38.0,Turnover by E. Fournier (bad pass; steal by J. Murray),,68,80
4,11:34.0,,J. Murray makes 2-pt layup from 2 ft (assist by T. Lyles),68,82
4,11:14.0,Shooting foul by T. Lyles (drawn by J. Isaac),,68,82
4,11:14.0,J. Isaac makes free throw 1 of 2,,69,82
4,11:14.0,J. Isaac makes free throw 2 of 2,,70,82
4,11:04.0,,M. Plumlee makes 2-pt dunk from 1 ft (assist by M. Morris),70,84
4,10:52.0,Offensive foul by M. Bamba (drawn by J. Murray),,70,84
4,10:52.0,Turnover by M. Bamba (offensive foul),,70,84
4,10:40.0,,J. Murray misses 2-pt jump shot from 7 ft,70,84
4,10:38.0,Defensive rebound by M. Bamba,,70,84
4,10:22.0,M. Bamba makes 3-pt jump shot from 23 ft (assist by J. Grant),,73,84
4,10:03.0,,Personal foul by E. Fournier (drawn by M. Beasley),73,84
4,9:54.0,,T. Lyles misses 2-pt layup from 3 ft,73,84
4,9:50.0,,Offensive rebound by M. Plumlee,73,84
4,9:50.0,,M. Plumlee makes 2-pt layup at rim,73,86
4,9:32.0,M. Bamba misses 2-pt jump shot from 14 ft,,73,86
4,9:29.0,,Defensive rebound by M. Morris,73,86
4,9:09.0,,M. Plumlee makes 2-pt layup from 3 ft (assist by M. Morris),73,88
4,8:54.0,J. Isaac misses 3-pt jump shot from 23 ft,,73,88
4,8:51.0,,Defensive rebound by M. Plumlee,73,88
4,8:46.0,,T. Lyles makes 2-pt layup from 2 ft (assist by J. Murray),73,90
4,8:46.0,Orlando full timeout,,73,90
4,8:25.0,Personal foul by T. Lyles (drawn by M. Bamba),,73,90
4,8:17.0,J. Grant misses 3-pt jump shot from 24 ft,,73,90
4,8:14.0,,Defensive rebound by M. Plumlee,73,90
4,8:02.0,,Turnover by J. Murray (bad pass),73,90
4,8:02.0,Personal foul by M. Plumlee (drawn by J. Grant),,73,90
4,8:02.0,D. Augustin enters the game for J. Grant,,73,90
4,8:02.0,A. Gordon enters the game for J. Isaac,,73,90
4,7:48.0,T. Ross misses 3-pt jump shot from 26 ft,,73,90
4,7:45.0,,Defensive rebound by M. Plumlee,73,90
4,7:35.0,,T. Lyles misses 3-pt jump shot from 26 ft,73,90
4,7:32.0,,Offensive rebound by M. Plumlee,73,90
4,7:32.0,,T. Lyles makes 2-pt layup from 3 ft (assist by M. Plumlee),73,92
4,7:32.0,,Shooting foul by M. Bamba (drawn by T. Lyles),73,92
4,7:32.0,,T. Lyles makes free throw 1 of 1,73,93
4,7:16.0,E. Fournier misses 2-pt jump shot from 8 ft,,73,93
4,7:13.0,,Defensive rebound by J. Murray,73,93
4,7:11.0,,J. Murray makes 3-pt jump shot from 26 ft,73,96
4,7:09.0,Orlando full timeout,,73,96
4,7:09.0,J. Simmons enters the game for E. Fournier,,73,96
4,6:54.0,Shooting foul by M. Morris (drawn by D. Augustin),,73,96
4,6:54.0,D. Augustin misses free throw 1 of 2,,73,96
4,6:54.0,Offensive rebound by Team,,73,96
4,6:54.0,D. Augustin makes free throw 2 of 2,,74,96
4,6:43.0,,J. Murray misses 3-pt jump shot from 26 ft,74,96
4,6:40.0,,Offensive rebound by Team,74,96
4,6:34.0,,M. Beasley makes 3-pt jump shot from 25 ft (assist by J. Murray),74,99
4,6:15.0,A. Gordon misses 2-pt jump shot from 19 ft,,74,99
4,6:12.0,,Defensive rebound by M. Plumlee,74,99
4,6:04.0,,M. Plumlee makes 2-pt dunk from 1 ft (assist by J. Murray),74,101
4,5:50.0,M. Bamba makes 2-pt layup from 2 ft (assist by D. Augustin),,76,101
4,5:33.0,,M. Morris makes 2-pt jump shot from 5 ft,76,103
4,5:32.0,Orlando full timeout,,76,103
4,5:32.0,K. Birch enters the game for D. Augustin,,76,103
4,5:32.0,I. Briscoe enters the game for M. Bamba,,76,103
4,5:32.0,W. Iwundu enters the game for A. Gordon,,76,103
4,5:32.0,J. Martin enters the game for T. Ross,,76,103
4,5:32.0,,T. Welsh enters the game for M. Plumlee,76,103
4,5:12.0,Turnover by I. Briscoe (bad pass; steal by M. Beasley),,76,103
4,5:08.0,,M. Beasley makes 2-pt dunk from 1 ft,76,105
4,4:56.0,Shooting foul by M. Beasley (drawn by J. Simmons),,76,105
4,4:56.0,J. Simmons makes free throw 1 of 2,,77,105
4,4:56.0,,D. Akoon-Purcell enters the game for M. Beasley,77,105
4,4:56.0,,T. Craig enters the game for T. Lyles,77,105
4,4:56.0,,T. Lydon enters the game for J. Murray,77,105
4,4:56.0,J. Simmons misses free throw 2 of 2,,77,105
4,4:51.0,,Defensive rebound by T. Lydon,77,105
4,4:39.0,,T. Lydon misses 2-pt layup from 3 ft (block by J. Simmons),77,105
4,4:36.0,Defensive rebound by J. Simmons,,77,105
4,4:36.0,Shooting foul by T. Craig (drawn by J. Simmons),,77,105
4,4:36.0,J. Simmons makes free throw 1 of 2,,78,105
4,4:36.0,,M. Beasley enters the game for M. Morris,78,105
4,4:36.0,J. Simmons makes free throw 2 of 2,,79,105
4,4:19.0,,Turnover by T. Welsh (lost ball; steal by J. Simmons),79,105
4,4:09.0,J. Martin misses 3-pt jump shot from 23 ft,,79,105
4,4:06.0,,Defensive rebound by T. Craig,79,105
4,3:59.0,,M. Beasley misses 3-pt jump shot from 26 ft,79,105
4,3:56.0,Defensive rebound by J. Martin,,79,105
4,3:48.0,I. Briscoe misses 2-pt jump shot from 21 ft,,79,105
4,3:45.0,,Defensive rebound by T. Craig,79,105
4,3:30.0,,Offensive foul by D. Akoon-Purcell (drawn by I. Briscoe),79,105
4,3:30.0,,Turnover by D. Akoon-Purcell (offensive foul),79,105
4,3:14.0,W. Iwundu misses 2-pt jump shot from 13 ft,,79,105
