QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,MINNESOTA_ACTION,NEW ORLEANS_SCORE,MINNESOTA_SCORE
1,5:34.0,,A. Wiggins misses 2-pt layup from 1 ft,15,16
1,5:32.0,Defensive rebound by W. Johnson,,15,16
1,5:27.0,E. Moore misses 2-pt layup from 1 ft,,15,16
1,5:24.0,,Defensive rebound by K. Towns,15,16
1,5:20.0,,R. Covington makes 3-pt jump shot from 25 ft (assist by J. Teague),15,19
1,5:11.0,W. Johnson makes 3-pt jump shot from 24 ft (assist by E. Moore),,18,19
1,4:58.0,,K. Towns makes 3-pt jump shot from 25 ft (assist by J. Teague),18,22
1,4:48.0,A. Davis misses 2-pt jump shot from 8 ft,,18,22
1,4:46.0,,Defensive rebound by R. Covington,18,22
1,4:39.0,,K. Towns makes 2-pt dunk from 1 ft (assist by J. Teague),18,24
1,4:34.0,A. Davis makes 2-pt dunk from 1 ft (assist by J. Holiday),,20,24
1,4:19.0,,K. Towns makes 2-pt jump shot from 10 ft (assist by R. Covington),20,26
1,4:15.0,New Orleans full timeout,,20,26
1,4:15.0,D. Miller enters the game for W. Johnson,,20,26
1,4:15.0,J. Randle enters the game for N. Mirotić,,20,26
1,4:15.0,,D. Šarić enters the game for T. Gibson,20,26
1,4:02.0,J. Randle misses 2-pt jump shot from 7 ft,,20,26
1,3:59.0,,Defensive rebound by K. Towns,20,26
1,3:54.0,,A. Wiggins misses 2-pt jump shot from 7 ft,20,26
1,3:52.0,Defensive rebound by A. Davis,,20,26
1,3:52.0,,J. Okogie enters the game for R. Covington,20,26
1,3:37.0,E. Moore makes 3-pt jump shot from 24 ft (assist by J. Holiday),,23,26
1,3:13.0,,A. Wiggins makes 3-pt jump shot from 25 ft (assist by D. Šarić),23,29
1,3:00.0,A. Davis misses 2-pt layup at rim,,23,29
1,2:57.0,,Defensive rebound by D. Šarić,23,29
1,2:44.0,,J. Okogie makes 3-pt jump shot from 25 ft (assist by J. Teague),23,32
1,2:32.0,Personal foul by J. Okogie (drawn by A. Davis),,23,32
1,2:32.0,,Minnesota full timeout,23,32
1,2:32.0,I. Clark enters the game for E. Moore,,23,32
1,2:21.0,I. Clark misses 3-pt jump shot from 29 ft,,23,32
1,2:18.0,,Defensive rebound by K. Towns,23,32
1,2:11.0,,Shooting foul by J. Randle (drawn by K. Towns),23,32
1,2:11.0,,K. Towns makes free throw 1 of 2,23,33
1,2:11.0,,K. Towns makes free throw 2 of 2,23,34
1,1:57.0,J. Holiday misses 3-pt jump shot from 26 ft,,23,34
1,1:55.0,,Defensive rebound by D. Šarić,23,34
1,1:44.0,,J. Okogie misses 2-pt jump shot from 19 ft,23,34
1,1:43.0,,Offensive rebound by D. Šarić,23,34
1,1:43.0,T. Frazier enters the game for J. Holiday,,23,34
1,1:26.0,,D. Šarić misses 2-pt jump shot from 16 ft,23,34
1,1:23.0,Defensive rebound by J. Randle,,23,34
1,1:12.0,A. Davis misses 2-pt layup from 7 ft,,23,34
1,1:11.0,Offensive rebound by J. Randle,,23,34
1,1:10.0,J. Randle makes 2-pt layup from 2 ft,,25,34
1,0:59.0,,Turnover by J. Teague (lost ball; steal by T. Frazier),25,34
1,0:59.0,,T. Jones enters the game for J. Teague,25,34
1,0:45.0,Turnover by J. Randle (traveling),,25,34
1,0:37.0,,K. Towns makes 2-pt layup from 2 ft (assist by A. Wiggins),25,36
1,0:30.0,A. Davis makes 3-pt jump shot from 25 ft (assist by T. Frazier),,28,36
1,0:09.0,,A. Wiggins misses 2-pt jump shot from 19 ft,28,36
1,0:06.0,,Offensive rebound by K. Towns,28,36
1,0:03.0,,D. Šarić makes 2-pt layup from 1 ft (assist by J. Okogie),28,38
1,0:02.0,Turnover by J. Randle (bad pass; steal by J. Okogie),,28,38
1,0:00.0,,J. Okogie misses 3-pt jump shot from 24 ft,28,38
1,0:00.0,,Offensive rebound by Team,28,38
2,11:41.0,I. Clark misses 3-pt jump shot from 25 ft (block by R. Covington),,28,38
2,11:36.0,Offensive rebound by C. Diallo,,28,38
2,11:35.0,C. Diallo misses 2-pt layup from 2 ft,,28,38
2,11:33.0,,Defensive rebound by G. Dieng,28,38
2,11:20.0,,R. Covington misses 3-pt jump shot from 26 ft,28,38
2,11:18.0,Defensive rebound by I. Clark,,28,38
2,11:10.0,J. Randle misses 2-pt layup from 2 ft,,28,38
2,11:07.0,,Defensive rebound by R. Covington,28,38
2,11:01.0,,D. Šarić makes 3-pt jump shot from 25 ft (assist by T. Jones),28,41
2,10:55.0,Personal foul by T. Jones (drawn by T. Frazier),,28,41
2,10:50.0,I. Clark misses 2-pt jump shot from 9 ft,,28,41
2,10:47.0,,Defensive rebound by G. Dieng,28,41
2,10:37.0,,J. Okogie makes 3-pt jump shot from 25 ft (assist by T. Jones),28,44
2,10:20.0,J. Randle misses 3-pt jump shot from 25 ft,,28,44
2,10:18.0,,Defensive rebound by R. Covington,28,44
2,10:06.0,,G. Dieng misses 2-pt jump shot from 18 ft,28,44
2,10:04.0,Defensive rebound by I. Clark,,28,44
2,9:44.0,Turnover by J. Randle (lost ball; steal by D. Šarić),,28,44
2,9:34.0,,G. Dieng makes 2-pt jump shot from 21 ft (assist by R. Covington),28,46
2,9:25.0,New Orleans full timeout,,28,46
2,9:06.0,T. Frazier misses 3-pt jump shot from 28 ft,,28,46
2,9:02.0,,Defensive rebound by J. Okogie,28,46
2,8:47.0,,J. Okogie misses 3-pt jump shot from 24 ft,28,46
2,8:45.0,Defensive rebound by D. Miller,,28,46
2,8:32.0,Turnover by I. Clark (lost ball; steal by J. Okogie),,28,46
2,8:21.0,,J. Okogie misses 2-pt layup from 4 ft,28,46
2,8:19.0,,Offensive rebound by J. Okogie,28,46
2,8:19.0,,J. Okogie misses 2-pt layup at rim,28,46
2,8:19.0,Defensive rebound by Team,,28,46
2,8:08.0,Shooting foul by D. Šarić (drawn by J. Randle),,28,46
2,8:08.0,J. Randle misses free throw 1 of 2,,28,46
2,8:08.0,Offensive rebound by Team,,28,46
2,8:08.0,J. Randle makes free throw 2 of 2,,29,46
2,7:56.0,,D. Šarić makes 2-pt jump shot from 21 ft (assist by T. Jones),29,48
2,7:43.0,Turnover by J. Randle (lost ball; steal by D. Šarić),,29,48
2,7:41.0,,Turnover by R. Covington (out of bounds lost ball),29,48
2,7:30.0,C. Diallo makes 2-pt jump shot from 7 ft (assist by T. Frazier),,31,48
2,7:14.0,,Shooting foul by C. Diallo (drawn by R. Covington),31,48
2,7:14.0,,R. Covington makes free throw 1 of 2,31,49
2,7:14.0,A. Davis enters the game for I. Clark,,31,49
2,7:14.0,J. Holiday enters the game for C. Diallo,,31,49
2,7:14.0,N. Mirotić enters the game for T. Frazier,,31,49
2,7:14.0,E. Moore enters the game for J. Randle,,31,49
2,7:14.0,,T. Gibson enters the game for G. Dieng,31,49
2,7:14.0,,J. Teague enters the game for T. Jones,31,49
2,7:14.0,,K. Towns enters the game for D. Šarić,31,49
2,7:14.0,,R. Covington makes free throw 2 of 2,31,50
2,7:08.0,E. Moore misses 2-pt layup from 1 ft,,31,50
2,7:07.0,Offensive rebound by A. Davis,,31,50
2,7:07.0,A. Davis misses 2-pt layup from 1 ft,,31,50
2,7:05.0,Offensive rebound by A. Davis,,31,50
2,7:05.0,A. Davis misses 2-pt layup from 2 ft,,31,50
2,7:04.0,,Defensive rebound by T. Gibson,31,50
2,6:52.0,,T. Gibson makes 2-pt layup at rim,31,52
2,6:45.0,E. Moore makes 2-pt layup from 1 ft (assist by D. Miller),,33,52
2,6:29.0,,J. Teague misses 3-pt jump shot from 25 ft,33,52
2,6:27.0,Defensive rebound by Team,,33,52
2,6:16.0,J. Holiday misses 2-pt layup from 3 ft,,33,52
2,6:15.0,Offensive rebound by Team,,33,52
2,6:15.0,,Loose ball foul by J. Okogie (drawn by A. Davis),33,52
2,6:15.0,,A. Wiggins enters the game for J. Okogie,33,52
2,6:01.0,A. Davis misses 2-pt jump shot from 12 ft,,33,52
2,5:56.0,Offensive rebound by J. Holiday,,33,52
2,5:55.0,J. Holiday makes 2-pt jump shot from 3 ft,,35,52
2,5:40.0,,Turnover by K. Towns (bad pass; steal by A. Davis),35,52
2,5:35.0,N. Mirotić misses 2-pt layup from 2 ft (block by T. Gibson),,35,52
2,5:31.0,,Defensive rebound by T. Gibson,35,52
2,5:27.0,,A. Wiggins makes 3-pt jump shot from 22 ft (assist by J. Teague),35,55
2,5:14.0,E. Moore makes 3-pt jump shot from 26 ft (assist by J. Holiday),,38,55
2,5:05.0,,Personal foul by E. Moore (drawn by A. Wiggins),38,55
2,4:50.0,,Turnover by K. Towns (bad pass; steal by D. Miller),38,55
2,4:44.0,Turnover by J. Holiday (lost ball; steal by A. Wiggins),,38,55
2,4:21.0,,Shooting foul by J. Holiday (drawn by A. Wiggins),38,55
2,4:21.0,,A. Wiggins makes free throw 1 of 2,38,56
2,4:21.0,W. Johnson enters the game for D. Miller,,38,56
2,4:21.0,,A. Wiggins misses free throw 2 of 2,38,56
2,4:19.0,Defensive rebound by N. Mirotić,,38,56
2,4:10.0,N. Mirotić misses 3-pt jump shot from 25 ft,,38,56
2,4:08.0,Offensive rebound by Team,,38,56
2,4:08.0,,Loose ball foul by T. Gibson (drawn by A. Davis),38,56
2,4:05.0,E. Moore makes 2-pt layup from 2 ft (assist by W. Johnson),,40,56
2,4:05.0,,Violation by Team (def goaltending),40,56
2,3:56.0,,Shooting foul by E. Moore (drawn by J. Teague),40,56
2,3:56.0,,J. Teague makes free throw 1 of 2,40,57
2,3:56.0,,J. Teague makes free throw 2 of 2,40,58
2,3:47.0,J. Holiday makes 2-pt jump shot from 5 ft,,42,58
2,3:33.0,,R. Covington misses 3-pt jump shot from 23 ft,42,58
2,3:33.0,Defensive rebound by E. Moore,,42,58
2,3:22.0,E. Moore makes 3-pt jump shot from 26 ft (assist by A. Davis),,45,58
2,3:15.0,,A. Wiggins makes 2-pt layup from 2 ft (assist by J. Teague),45,60
2,3:04.0,Personal foul by R. Covington (drawn by A. Davis),,45,60
2,3:04.0,A. Davis makes free throw 1 of 2,,46,60
2,3:04.0,A. Davis makes free throw 2 of 2,,47,60
2,2:54.0,,K. Towns misses 3-pt jump shot from 25 ft,47,60
2,2:52.0,Defensive rebound by A. Davis,,47,60
2,2:45.0,A. Davis misses 2-pt layup from 2 ft,,47,60
2,2:43.0,,Defensive rebound by A. Wiggins,47,60
2,2:28.0,,K. Towns makes 2-pt layup from 2 ft (assist by J. Teague),47,62
2,2:19.0,J. Holiday misses 2-pt jump shot from 8 ft,,47,62
2,2:16.0,,Defensive rebound by K. Towns,47,62
2,2:10.0,,J. Teague misses 2-pt jump shot from 7 ft,47,62
2,2:07.0,Defensive rebound by N. Mirotić,,47,62
2,1:58.0,N. Mirotić makes 2-pt jump shot from 20 ft (assist by W. Johnson),,49,62
2,1:41.0,,T. Gibson makes 2-pt dunk from 2 ft (assist by J. Teague),49,64
2,1:21.0,Shooting foul by K. Towns (drawn by A. Davis),,49,64
2,1:21.0,,Minnesota full timeout,49,64
2,1:21.0,A. Davis makes free throw 1 of 2,,50,64
2,1:21.0,A. Davis makes free throw 2 of 2,,51,64
2,0:56.0,,J. Teague misses 2-pt jump shot from 12 ft,51,64
2,0:54.0,Defensive rebound by A. Davis,,51,64
2,0:48.0,W. Johnson misses 2-pt jump shot from 19 ft,,51,64
2,0:45.0,Offensive rebound by N. Mirotić,,51,64
2,0:43.0,Turnover by N. Mirotić (lost ball; steal by R. Covington),,51,64
2,0:32.0,,K. Towns makes 3-pt jump shot from 25 ft (assist by J. Teague),51,67
2,0:20.0,N. Mirotić makes 3-pt jump shot from 26 ft (assist by E. Moore),,54,67
2,0:00.0,,J. Teague misses 2-pt layup from 3 ft (block by A. Davis),54,67
2,0:00.0,,Offensive rebound by Team,54,67
3,11:46.0,J. Holiday misses 2-pt layup from 4 ft (block by J. Teague),,54,67
3,11:46.0,Offensive rebound by Team,,54,67
3,11:40.0,A. Davis makes 2-pt dunk from 1 ft,,56,67
3,11:22.0,,K. Towns misses 2-pt jump shot from 5 ft,56,67
3,11:19.0,Defensive rebound by N. Mirotić,,56,67
3,11:18.0,J. Holiday makes 2-pt layup from 2 ft,,58,67
3,11:08.0,,T. Gibson makes 2-pt layup from 1 ft (assist by J. Teague),58,69
3,10:56.0,Turnover by J. Holiday (bad pass; steal by R. Covington),,58,69
3,10:53.0,,R. Covington makes 2-pt dunk from 1 ft,58,71
3,10:41.0,E. Moore makes 2-pt layup from 6 ft,,60,71
3,10:27.0,,A. Wiggins makes 2-pt jump shot from 12 ft,60,73
3,10:14.0,J. Holiday misses 2-pt layup from 3 ft (block by K. Towns),,60,73
3,10:12.0,Offensive rebound by J. Holiday,,60,73
3,10:11.0,Turnover by J. Holiday (bad pass; steal by T. Gibson),,60,73
3,10:01.0,,J. Teague makes 2-pt jump shot from 8 ft,60,75
3,9:49.0,A. Davis misses 2-pt jump shot from 19 ft,,60,75
3,9:49.0,Offensive rebound by Team,,60,75
3,9:43.0,A. Davis misses 2-pt jump shot from 6 ft,,60,75
3,9:41.0,Offensive rebound by Team,,60,75
3,9:39.0,E. Moore makes 2-pt layup from 2 ft (assist by J. Holiday),,62,75
3,9:19.0,,Turnover by K. Towns (bad pass; steal by W. Johnson),62,75
3,9:13.0,E. Moore misses 3-pt jump shot from 23 ft,,62,75
3,9:11.0,,Defensive rebound by T. Gibson,62,75
3,8:57.0,,T. Gibson misses 2-pt layup from 1 ft (block by A. Davis),62,75
3,8:54.0,Defensive rebound by E. Moore,,62,75
3,8:51.0,N. Mirotić misses 3-pt jump shot from 25 ft,,62,75
3,8:48.0,,Defensive rebound by Team,62,75
3,8:37.0,,R. Covington misses 2-pt jump shot from 18 ft,62,75
3,8:35.0,Defensive rebound by N. Mirotić,,62,75
3,8:26.0,Turnover by E. Moore (lost ball; steal by J. Teague),,62,75
3,8:21.0,,Turnover by J. Teague (bad pass),62,75
3,8:08.0,A. Davis misses 2-pt jump shot from 17 ft,,62,75
3,8:08.0,,Defensive rebound by R. Covington,62,75
3,7:51.0,,K. Towns misses 2-pt jump shot from 10 ft,62,75
3,7:49.0,Defensive rebound by N. Mirotić,,62,75
3,7:43.0,A. Davis misses 2-pt layup from 2 ft (block by A. Wiggins),,62,75
3,7:41.0,,Defensive rebound by J. Teague,62,75
3,7:33.0,,Personal foul by W. Johnson (drawn by T. Gibson),62,75
3,7:22.0,,R. Covington misses 2-pt layup from 4 ft (block by J. Holiday),62,75
3,7:19.0,Defensive rebound by J. Holiday,,62,75
3,7:17.0,W. Johnson makes 2-pt layup from 1 ft (assist by J. Holiday),,64,75
3,7:16.0,,Minnesota full timeout,64,75
3,7:06.0,,Turnover by J. Teague (bad pass),64,75
3,6:57.0,Personal foul by T. Gibson (drawn by A. Davis),,64,75
3,6:52.0,J. Holiday makes 2-pt jump shot from 10 ft,,66,75
3,6:35.0,,T. Gibson misses 2-pt hook shot from 6 ft (block by A. Davis),66,75
3,6:32.0,Defensive rebound by W. Johnson,,66,75
3,6:27.0,N. Mirotić makes 3-pt jump shot from 22 ft (assist by J. Holiday),,69,75
3,6:15.0,,Shooting foul by N. Mirotić (drawn by T. Gibson),69,75
3,6:15.0,,T. Gibson makes free throw 1 of 2,69,76
3,6:15.0,,T. Gibson misses free throw 2 of 2,69,76
3,6:12.0,Defensive rebound by N. Mirotić,,69,76
3,6:04.0,N. Mirotić misses 3-pt jump shot from 23 ft,,69,76
3,6:00.0,,Defensive rebound by R. Covington,69,76
3,5:55.0,,Offensive foul by K. Towns (drawn by N. Mirotić),69,76
3,5:55.0,,Turnover by K. Towns (offensive foul),69,76
3,5:48.0,Turnover by J. Holiday (lost ball; steal by A. Wiggins),,69,76
3,5:42.0,,R. Covington makes 3-pt jump shot from 27 ft (assist by A. Wiggins),69,79
3,5:27.0,,Violation by Team (kicked ball),69,79
3,5:27.0,J. Randle enters the game for N. Mirotić,,69,79
3,5:18.0,E. Moore makes 2-pt jump shot from 10 ft (assist by J. Holiday),,71,79
3,4:59.0,,A. Wiggins misses 3-pt jump shot from 25 ft,71,79
3,4:57.0,Defensive rebound by A. Davis,,71,79
3,4:46.0,Shooting foul by K. Towns (drawn by J. Randle),,71,79
3,4:46.0,J. Randle misses free throw 1 of 2,,71,79
3,4:46.0,Offensive rebound by Team,,71,79
3,4:46.0,,G. Dieng enters the game for T. Gibson,71,79
3,4:46.0,,D. Šarić enters the game for K. Towns,71,79
3,4:46.0,J. Randle misses free throw 2 of 2,,71,79
3,4:40.0,,Defensive rebound by G. Dieng,71,79
3,4:40.0,,Personal foul by J. Randle (drawn by G. Dieng),71,79
3,4:26.0,,G. Dieng misses 2-pt jump shot from 21 ft,71,79
3,4:23.0,Defensive rebound by W. Johnson,,71,79
3,4:16.0,J. Holiday makes 2-pt layup from 2 ft,,73,79
3,4:03.0,,Turnover by D. Šarić (traveling),73,79
3,3:53.0,A. Davis misses 3-pt jump shot from 25 ft,,73,79
3,3:51.0,,Defensive rebound by A. Wiggins,73,79
3,3:48.0,,R. Covington makes 3-pt jump shot from 26 ft (assist by A. Wiggins),73,82
3,3:33.0,A. Davis makes 2-pt layup from 2 ft,,75,82
3,3:17.0,,A. Wiggins misses 3-pt jump shot from 26 ft,75,82
3,3:15.0,Defensive rebound by W. Johnson,,75,82
3,3:05.0,Shooting foul by D. Šarić (drawn by A. Davis),,75,82
3,3:05.0,A. Davis makes free throw 1 of 2,,76,82
3,3:05.0,,J. Okogie enters the game for R. Covington,76,82
3,3:05.0,A. Davis makes free throw 2 of 2,,77,82
3,2:47.0,,G. Dieng misses 2-pt jump shot from 11 ft,77,82
3,2:45.0,Defensive rebound by J. Randle,,77,82
3,2:41.0,Personal foul by G. Dieng (drawn by A. Davis),,77,82
3,2:41.0,New Orleans full timeout,,77,82
3,2:41.0,I. Clark enters the game for J. Holiday,,77,82
3,2:41.0,D. Miller enters the game for W. Johnson,,77,82
3,2:29.0,E. Moore makes 2-pt jump shot from 12 ft,,79,82
3,2:15.0,,Shooting foul by E. Moore (drawn by J. Teague),79,82
3,2:15.0,,J. Teague misses free throw 1 of 2,79,82
3,2:15.0,,Offensive rebound by Team,79,82
3,2:15.0,,J. Teague makes free throw 2 of 2,79,83
3,2:00.0,Personal foul by G. Dieng (drawn by E. Moore),,79,83
3,2:00.0,E. Moore misses free throw 1 of 2,,79,83
3,2:00.0,Offensive rebound by Team,,79,83
3,2:00.0,,T. Jones enters the game for J. Teague,79,83
3,2:00.0,E. Moore makes free throw 2 of 2,,80,83
3,1:43.0,,A. Wiggins misses 2-pt jump shot from 12 ft,80,83
3,1:40.0,Defensive rebound by A. Davis,,80,83
3,1:21.0,E. Moore misses 3-pt jump shot from 25 ft,,80,83
3,1:18.0,,Defensive rebound by J. Okogie,80,83
3,1:09.0,,D. Šarić misses 2-pt layup from 1 ft,80,83
3,1:07.0,Defensive rebound by A. Davis,,80,83
3,1:01.0,Offensive foul by J. Randle (drawn by J. Okogie),,80,83
3,1:01.0,Turnover by J. Randle (offensive foul),,80,83
3,0:50.0,,Turnover by A. Wiggins (lost ball; steal by A. Davis),80,83
3,0:35.0,Shooting foul by G. Dieng (drawn by A. Davis),,80,83
3,0:35.0,A. Davis misses free throw 1 of 2,,80,83
3,0:35.0,Offensive rebound by Team,,80,83
3,0:35.0,W. Johnson enters the game for E. Moore,,80,83
3,0:35.0,A. Davis makes free throw 2 of 2,,81,83
3,0:31.0,,Turnover by T. Jones (out of bounds lost ball),81,83
3,0:31.0,E. Moore enters the game for W. Johnson,,81,83
3,0:24.0,A. Davis misses 2-pt layup from 1 ft,,81,83
3,0:24.0,,Defensive rebound by Team,81,83
3,0:24.0,Loose ball foul by J. Randle (drawn by D. Šarić),,81,83
3,0:24.0,,D. Šarić makes free throw 1 of 2,81,84
3,0:24.0,N. Mirotić enters the game for J. Randle,,81,84
3,0:24.0,,D. Šarić makes free throw 2 of 2,81,85
3,0:00.0,Turnover by E. Moore (lost ball; steal by G. Dieng),,81,85
4,11:48.0,,R. Covington misses 3-pt jump shot from 26 ft,81,85
4,11:44.0,Defensive rebound by C. Diallo,,81,85
4,11:33.0,Turnover by D. Miller (bad pass; steal by T. Jones),,81,85
4,11:30.0,,Turnover by T. Jones (bad pass; steal by N. Mirotić),81,85
4,11:27.0,N. Mirotić misses 3-pt jump shot from 25 ft,,81,85
4,11:24.0,,Defensive rebound by G. Dieng,81,85
4,11:11.0,,Turnover by J. Okogie (out of bounds lost ball),81,85
4,11:11.0,,K. Towns enters the game for G. Dieng,81,85
4,10:57.0,D. Miller misses 3-pt jump shot from 24 ft,,81,85
4,10:54.0,Offensive rebound by C. Diallo,,81,85
4,10:47.0,N. Mirotić misses 3-pt jump shot from 26 ft,,81,85
4,10:43.0,,Defensive rebound by J. Okogie,81,85
4,10:29.0,,Shooting foul by C. Diallo (drawn by K. Towns),81,85
4,10:29.0,,K. Towns makes free throw 1 of 2,81,86
4,10:29.0,,K. Towns makes free throw 2 of 2,81,87
4,10:12.0,J. Holiday misses 3-pt jump shot from 25 ft,,81,87
4,10:11.0,,Defensive rebound by Team,81,87
4,10:00.0,,K. Towns misses 3-pt jump shot from 26 ft,81,87
4,9:57.0,Defensive rebound by C. Diallo,,81,87
4,9:46.0,Turnover by N. Mirotić (bad pass; steal by J. Okogie),,81,87
4,9:41.0,,J. Okogie makes 2-pt layup from 1 ft,81,89
4,9:33.0,J. Holiday misses 2-pt layup from 2 ft,,81,89
4,9:33.0,,Defensive rebound by J. Okogie,81,89
4,9:33.0,,Personal foul by J. Holiday (drawn by J. Okogie),81,89
4,9:33.0,A. Davis enters the game for I. Clark,,81,89
4,9:33.0,E. Moore enters the game for C. Diallo,,81,89
4,9:13.0,,K. Towns misses 2-pt layup from 3 ft,81,89
4,9:11.0,,Offensive rebound by K. Towns,81,89
4,9:09.0,,J. Okogie makes 3-pt jump shot from 26 ft (assist by K. Towns),81,92
4,9:07.0,New Orleans full timeout,,81,92
4,8:57.0,J. Holiday makes 2-pt layup from 1 ft,,83,92
4,8:42.0,,Offensive foul by K. Towns (drawn by J. Holiday),83,92
4,8:42.0,,Turnover by K. Towns (offensive foul),83,92
4,8:42.0,W. Johnson enters the game for D. Miller,,83,92
4,8:42.0,,J. Teague enters the game for T. Jones,83,92
4,8:33.0,E. Moore misses 3-pt jump shot from 25 ft,,83,92
4,8:30.0,Offensive rebound by W. Johnson,,83,92
4,8:30.0,Personal foul by J. Okogie (drawn by W. Johnson),,83,92
4,8:30.0,,G. Dieng enters the game for K. Towns,83,92
4,8:25.0,E. Moore misses 2-pt jump shot from 6 ft,,83,92
4,8:21.0,,Defensive rebound by J. Teague,83,92
4,8:08.0,,J. Teague misses 3-pt jump shot from 25 ft,83,92
4,8:05.0,Defensive rebound by W. Johnson,,83,92
4,8:00.0,A. Davis makes 2-pt layup from 2 ft (assist by E. Moore),,85,92
4,7:49.0,,D. Šarić misses 3-pt jump shot from 26 ft,85,92
4,7:48.0,Defensive rebound by Team,,85,92
4,7:48.0,,Loose ball foul by G. Dieng (drawn by A. Davis),85,92
4,7:48.0,,A. Wiggins enters the game for J. Okogie,85,92
4,7:32.0,A. Davis makes 3-pt jump shot from 25 ft (assist by E. Moore),,88,92
4,7:03.0,,A. Wiggins misses 2-pt layup from 2 ft (block by A. Davis),88,92
4,7:01.0,,Offensive rebound by A. Wiggins,88,92
4,7:00.0,,A. Wiggins makes 2-pt layup from 1 ft,88,94
4,6:56.0,Offensive foul by J. Holiday (drawn by J. Teague),,88,94
4,6:56.0,Turnover by J. Holiday (offensive foul),,88,94
4,6:43.0,,D. Šarić misses 2-pt jump shot from 5 ft,88,94
4,6:41.0,Defensive rebound by A. Davis,,88,94
4,6:24.0,N. Mirotić makes 2-pt jump shot from 18 ft (assist by W. Johnson),,90,94
4,6:16.0,,Minnesota full timeout,90,94
4,6:01.0,,J. Teague misses 2-pt layup from 4 ft,90,94
4,6:00.0,Defensive rebound by Team,,90,94
4,5:45.0,E. Moore makes 2-pt jump shot from 6 ft (assist by N. Mirotić),,92,94
4,5:37.0,,Minnesota full timeout,92,94
4,5:37.0,,T. Gibson enters the game for G. Dieng,92,94
4,5:37.0,,K. Towns enters the game for D. Šarić,92,94
4,5:19.0,,A. Wiggins misses 2-pt jump shot from 20 ft,92,94
4,5:17.0,Defensive rebound by W. Johnson,,92,94
4,5:13.0,Shooting foul by J. Teague (drawn by E. Moore),,92,94
4,5:13.0,E. Moore misses free throw 1 of 2,,92,94
4,5:13.0,Offensive rebound by Team,,92,94
