QUARTER,TIME_REMAINING,BROOKLYN_ACTION,INDIANA_ACTION,BROOKLYN_SCORE,INDIANA_SCORE
1,4:50.0,E. Davis misses 2-pt layup from 1 ft,,18,19
1,4:48.0,Offensive rebound by E. Davis,,18,19
1,4:40.0,R. Kurucs makes 2-pt jump shot from 11 ft,,20,19
1,4:14.0,,V. Oladipo misses 2-pt dunk from 1 ft (block by E. Davis),20,19
1,4:11.0,Defensive rebound by C. LeVert,,20,19
1,4:09.0,A. Crabbe misses 3-pt jump shot from 25 ft,,20,19
1,4:05.0,,Defensive rebound by M. Turner,20,19
1,3:56.0,,C. Joseph makes 3-pt jump shot from 22 ft (assist by T. Young),20,22
1,3:54.0,Brooklyn full timeout,,20,22
1,3:54.0,J. Harris enters the game for C. LeVert,,20,22
1,3:54.0,,T. Evans enters the game for D. Collison,20,22
1,3:39.0,J. Harris misses 2-pt jump shot from 8 ft,,20,22
1,3:35.0,,Defensive rebound by C. Joseph,20,22
1,3:32.0,,Shooting foul by S. Dinwiddie (drawn by V. Oladipo),20,22
1,3:32.0,,V. Oladipo misses free throw 1 of 2,20,22
1,3:32.0,,Offensive rebound by Team,20,22
1,3:32.0,,B. Bogdanović enters the game for T. Young,20,22
1,3:32.0,,V. Oladipo misses free throw 2 of 2,20,22
1,3:30.0,Defensive rebound by J. Harris,,20,22
1,3:19.0,Turnover by A. Crabbe (bad pass; steal by T. Evans),,20,22
1,3:10.0,,B. Bogdanović makes 2-pt layup from 1 ft,20,24
1,2:53.0,R. Kurucs makes 2-pt jump shot from 8 ft (assist by E. Davis),,22,24
1,2:37.0,,Shooting foul by S. Dinwiddie (drawn by T. Evans),22,24
1,2:37.0,,T. Evans makes free throw 1 of 2,22,25
1,2:37.0,,K. O'Quinn enters the game for M. Turner,22,25
1,2:37.0,,T. Evans misses free throw 2 of 2,22,25
1,2:37.0,Defensive rebound by E. Davis,,22,25
1,2:25.0,S. Dinwiddie misses 2-pt jump shot from 1 ft,,22,25
1,2:25.0,Offensive rebound by Team,,22,25
1,2:11.0,S. Dinwiddie makes 3-pt jump shot from 27 ft,,25,25
1,1:47.0,,C. Joseph makes 2-pt jump shot from 10 ft,25,27
1,1:31.0,R. Kurucs misses 3-pt jump shot from 28 ft,,25,27
1,1:28.0,,Defensive rebound by V. Oladipo,25,27
1,1:24.0,,V. Oladipo makes 3-pt jump shot from 29 ft,25,30
1,1:11.0,Offensive foul by A. Crabbe (drawn by V. Oladipo),,25,30
1,1:11.0,Turnover by A. Crabbe (offensive foul),,25,30
1,1:11.0,,D. McDermott enters the game for V. Oladipo,25,30
1,1:01.0,,C. Joseph makes 2-pt jump shot from 12 ft,25,32
1,0:49.0,S. Dinwiddie misses 2-pt jump shot from 3 ft,,25,32
1,0:46.0,,Defensive rebound by D. McDermott,25,32
1,0:44.0,,Personal foul by R. Kurucs (drawn by T. Evans),25,32
1,0:44.0,,T. Evans misses free throw 1 of 2,25,32
1,0:44.0,,Offensive rebound by Team,25,32
1,0:44.0,,T. Evans makes free throw 2 of 2,25,33
1,0:33.0,S. Dinwiddie misses 2-pt jump shot from 11 ft,,25,33
1,0:29.0,Offensive rebound by R. Kurucs,,25,33
1,0:24.0,S. Dinwiddie makes 2-pt jump shot from 6 ft,,27,33
1,0:09.0,,T. Evans misses 2-pt layup from 2 ft,27,33
1,0:08.0,,Offensive rebound by K. O'Quinn,27,33
1,0:06.0,,K. O'Quinn misses 2-pt dunk from 3 ft (block by E. Davis),27,33
1,0:06.0,Defensive rebound by R. Kurucs,,27,33
1,0:01.0,R. Kurucs makes 2-pt layup from 2 ft,,29,33
2,11:46.0,,Shooting foul by E. Davis (drawn by B. Bogdanović),29,33
2,11:46.0,,B. Bogdanović makes free throw 1 of 2,29,34
2,11:46.0,,B. Bogdanović makes free throw 2 of 2,29,35
2,11:31.0,J. Harris misses 2-pt layup from 1 ft (block by K. O'Quinn),,29,35
2,11:31.0,Offensive rebound by Team,,29,35
2,11:28.0,Shooting foul by T. Evans (drawn by A. Crabbe),,29,35
2,11:28.0,A. Crabbe makes free throw 1 of 3,,30,35
2,11:28.0,A. Crabbe makes free throw 2 of 3,,31,35
2,11:28.0,A. Crabbe makes free throw 3 of 3,,32,35
2,11:18.0,,Turnover by C. Joseph (bad pass; steal by E. Davis),32,35
2,11:14.0,R. Kurucs misses 2-pt dunk from 1 ft (block by T. Evans),,32,35
2,11:10.0,,Defensive rebound by B. Bogdanović,32,35
2,11:08.0,,D. McDermott makes 3-pt jump shot from 23 ft (assist by C. Joseph),32,38
2,10:58.0,S. Dinwiddie misses 3-pt jump shot from 26 ft,,32,38
2,10:58.0,Offensive rebound by E. Davis,,32,38
2,10:55.0,Shooting foul by D. McDermott (drawn by E. Davis),,32,38
2,10:55.0,E. Davis makes free throw 1 of 2,,33,38
2,10:55.0,E. Davis makes free throw 2 of 2,,34,38
2,10:37.0,,D. McDermott makes 3-pt jump shot from 23 ft (assist by C. Joseph),34,41
2,10:24.0,Shooting foul by C. Joseph (drawn by J. Harris),,34,41
2,10:24.0,J. Harris misses free throw 1 of 3,,34,41
2,10:24.0,Offensive rebound by Team,,34,41
2,10:24.0,J. Harris makes free throw 2 of 3,,35,41
2,10:24.0,J. Harris makes free throw 3 of 3,,36,41
2,10:13.0,,K. O'Quinn misses 2-pt jump shot from 20 ft,36,41
2,10:13.0,Defensive rebound by R. Kurucs,,36,41
2,10:01.0,R. Kurucs misses 3-pt jump shot from 28 ft,,36,41
2,10:00.0,,Defensive rebound by Team,36,41
2,9:48.0,,T. Evans misses 2-pt jump shot from 21 ft,36,41
2,9:46.0,Defensive rebound by R. Kurucs,,36,41
2,9:41.0,Offensive foul by E. Davis (drawn by D. McDermott),,36,41
2,9:41.0,Turnover by E. Davis (offensive foul),,36,41
2,9:36.0,,Personal foul by A. Crabbe (drawn by D. McDermott),36,41
2,9:28.0,,K. O'Quinn misses 2-pt layup from 2 ft,36,41
2,9:26.0,,Offensive rebound by K. O'Quinn,36,41
2,9:25.0,,K. O'Quinn makes 2-pt dunk from 2 ft,36,43
2,9:03.0,J. Harris misses 2-pt jump shot from 14 ft,,36,43
2,9:00.0,,Defensive rebound by C. Joseph,36,43
2,8:56.0,,T. Evans makes 2-pt layup from 2 ft (assist by C. Joseph),36,45
2,8:55.0,Brooklyn full timeout,,36,45
2,8:45.0,A. Crabbe makes 3-pt jump shot from 24 ft (assist by S. Dinwiddie),,39,45
2,8:25.0,,C. Joseph misses 2-pt layup from 1 ft,39,45
2,8:23.0,Defensive rebound by E. Davis,,39,45
2,8:19.0,R. Kurucs makes 3-pt jump shot from 26 ft (assist by S. Dinwiddie),,42,45
2,8:01.0,,Offensive foul by K. O'Quinn (drawn by S. Dinwiddie),42,45
2,8:01.0,,Turnover by K. O'Quinn (offensive foul),42,45
2,8:01.0,D. Russell enters the game for S. Dinwiddie,,42,45
2,8:01.0,,V. Oladipo enters the game for B. Bogdanović,42,45
2,8:01.0,,T. Young enters the game for D. McDermott,42,45
2,7:44.0,D. Russell misses 2-pt jump shot from 20 ft,,42,45
2,7:41.0,,Defensive rebound by T. Young,42,45
2,7:35.0,,V. Oladipo misses 2-pt jump shot from 16 ft,42,45
2,7:30.0,Defensive rebound by E. Davis,,42,45
2,7:26.0,R. Kurucs misses 3-pt jump shot from 26 ft,,42,45
2,7:23.0,,Defensive rebound by C. Joseph,42,45
2,7:14.0,,T. Evans makes 3-pt jump shot from 28 ft (assist by K. O'Quinn),42,48
2,6:59.0,J. Harris makes 3-pt jump shot from 26 ft (assist by D. Russell),,45,48
2,6:41.0,,K. O'Quinn misses 2-pt jump shot from 18 ft,45,48
2,6:41.0,Defensive rebound by E. Davis,,45,48
2,6:33.0,D. Russell misses 2-pt layup from 3 ft (block by K. O'Quinn),,45,48
2,6:33.0,Offensive rebound by Team,,45,48
2,6:33.0,J. Dudley enters the game for A. Crabbe,,45,48
2,6:33.0,C. LeVert enters the game for R. Kurucs,,45,48
2,6:33.0,,M. Turner enters the game for K. O'Quinn,45,48
2,6:20.0,E. Davis makes 2-pt layup from 1 ft (assist by J. Dudley),,47,48
2,6:11.0,,Turnover by V. Oladipo (lost ball; steal by C. LeVert),47,48
2,6:00.0,C. LeVert makes 3-pt jump shot from 24 ft (assist by J. Dudley),,50,48
2,5:57.0,,Indiana full timeout,50,48
2,5:57.0,J. Allen enters the game for E. Davis,,50,48
2,5:57.0,,D. Collison enters the game for T. Evans,50,48
2,5:57.0,,D. McDermott enters the game for C. Joseph,50,48
2,5:37.0,,V. Oladipo makes 2-pt jump shot from 14 ft,50,50
2,5:37.0,S. Dinwiddie enters the game for J. Harris,,50,50
2,5:18.0,J. Allen misses 2-pt layup from 1 ft,,50,50
2,5:16.0,,Defensive rebound by M. Turner,50,50
2,5:10.0,,T. Young misses 2-pt jump shot from 3 ft (block by D. Russell),50,50
2,5:10.0,,Offensive rebound by Team,50,50
2,5:05.0,,D. Collison misses 3-pt jump shot from 28 ft,50,50
2,5:02.0,Defensive rebound by C. LeVert,,50,50
2,4:54.0,J. Allen misses 2-pt hook shot from 5 ft,,50,50
2,4:52.0,,Defensive rebound by M. Turner,50,50
2,4:49.0,,V. Oladipo misses 3-pt jump shot from 27 ft,50,50
2,4:46.0,Defensive rebound by J. Dudley,,50,50
2,4:40.0,D. Russell makes 3-pt jump shot from 27 ft,,53,50
2,4:24.0,,M. Turner makes 3-pt jump shot from 27 ft (assist by D. Collison),53,53
2,4:07.0,D. Russell makes 3-pt jump shot from 27 ft (assist by C. LeVert),,56,53
2,3:50.0,,T. Young makes 2-pt layup from 2 ft (assist by D. Collison),56,55
2,3:27.0,S. Dinwiddie misses 3-pt jump shot from 27 ft,,56,55
2,3:23.0,,Defensive rebound by V. Oladipo,56,55
2,3:17.0,,Turnover by V. Oladipo (lost ball; steal by S. Dinwiddie),56,55
2,3:13.0,D. Russell misses 2-pt jump shot from 12 ft,,56,55
2,3:10.0,,Defensive rebound by D. McDermott,56,55
2,2:53.0,,Shooting foul by J. Dudley (drawn by M. Turner),56,55
2,2:53.0,,M. Turner makes free throw 1 of 2,56,56
2,2:53.0,,M. Turner makes free throw 2 of 2,56,57
2,2:38.0,D. Russell misses 3-pt jump shot from 27 ft,,56,57
2,2:37.0,,Defensive rebound by D. Collison,56,57
2,2:30.0,,V. Oladipo misses 2-pt jump shot from 20 ft,56,57
2,2:27.0,,Offensive rebound by V. Oladipo,56,57
2,2:25.0,,V. Oladipo makes 2-pt layup from 2 ft,56,59
2,2:02.0,J. Allen makes 2-pt layup from 1 ft (assist by D. Russell),,58,59
2,1:46.0,,V. Oladipo misses 2-pt layup from 2 ft,58,59
2,1:44.0,Defensive rebound by C. LeVert,,58,59
2,1:35.0,J. Dudley misses 3-pt jump shot from 25 ft,,58,59
2,1:33.0,,Defensive rebound by D. McDermott,58,59
2,1:11.0,,M. Turner misses 2-pt jump shot from 18 ft,58,59
2,1:08.0,,Offensive rebound by Team,58,59
2,0:56.0,,V. Oladipo makes 3-pt jump shot from 28 ft,58,62
2,0:41.0,Turnover by D. Russell (bad pass; steal by V. Oladipo),,58,62
2,0:38.0,,V. Oladipo makes 2-pt dunk from 2 ft,58,64
2,0:29.0,Turnover by J. Allen (traveling),,58,64
2,0:12.0,,Shooting foul by J. Dudley (drawn by M. Turner),58,64
2,0:12.0,,M. Turner makes free throw 1 of 2,58,65
2,0:12.0,J. Harris enters the game for J. Allen,,58,65
2,0:12.0,,T. Evans enters the game for D. Collison,58,65
2,0:12.0,,C. Joseph enters the game for D. McDermott,58,65
2,0:12.0,,M. Turner makes free throw 2 of 2,58,66
2,0:05.0,Personal take foul by C. Joseph (drawn by S. Dinwiddie),,58,66
2,0:02.0,Turnover by S. Dinwiddie (out of bounds lost ball),,58,66
2,0:00.0,,Shooting foul by S. Dinwiddie (drawn by V. Oladipo),58,66
2,0:00.0,,V. Oladipo misses free throw 1 of 3,58,66
2,0:00.0,,Offensive rebound by Team,58,66
2,0:00.0,J. Allen enters the game for J. Dudley,,58,66
2,0:00.0,E. Davis enters the game for J. Harris,,58,66
2,0:00.0,,V. Oladipo misses free throw 2 of 3,58,66
2,0:00.0,,Offensive rebound by Team,58,66
2,0:00.0,,V. Oladipo makes free throw 3 of 3,58,67
3,11:47.0,,V. Oladipo makes 2-pt jump shot from 20 ft,58,69
3,11:35.0,Personal foul by M. Turner (drawn by J. Allen),,58,69
3,11:33.0,J. Allen makes 2-pt dunk from 3 ft (assist by J. Harris),,60,69
3,11:10.0,,V. Oladipo misses 3-pt jump shot from 27 ft,60,69
3,11:10.0,Defensive rebound by J. Allen,,60,69
3,11:02.0,J. Dudley misses 3-pt jump shot from 27 ft,,60,69
3,10:59.0,,Defensive rebound by V. Oladipo,60,69
3,10:44.0,,T. Young misses 2-pt layup from 5 ft,60,69
3,10:41.0,Defensive rebound by D. Russell,,60,69
3,10:32.0,Turnover by J. Harris (bad pass; steal by T. Young),,60,69
3,10:25.0,,T. Young makes 2-pt layup at rim (assist by D. Collison),60,71
3,10:13.0,J. Harris makes 3-pt jump shot from 26 ft (assist by C. LeVert),,63,71
3,9:56.0,,D. Collison makes 3-pt jump shot from 26 ft,63,74
3,9:44.0,C. LeVert makes 2-pt layup from 1 ft,,65,74
3,9:24.0,,T. Young makes 2-pt hook shot from 7 ft,65,76
3,9:16.0,Personal foul by D. Collison (drawn by D. Russell),,65,76
3,9:12.0,Shooting foul by T. Young (drawn by J. Allen),,65,76
3,9:12.0,J. Allen misses free throw 1 of 2,,65,76
3,9:12.0,Offensive rebound by Team,,65,76
3,9:12.0,J. Allen misses free throw 2 of 2,,65,76
3,9:08.0,Offensive rebound by J. Harris,,65,76
3,9:08.0,J. Harris misses 2-pt layup at rim,,65,76
3,9:07.0,,Defensive rebound by M. Turner,65,76
3,8:51.0,,M. Turner misses 2-pt jump shot from 18 ft,65,76
3,8:47.0,Defensive rebound by J. Allen,,65,76
3,8:35.0,D. Russell misses 2-pt layup from 2 ft,,65,76
3,8:35.0,Offensive rebound by Team,,65,76
3,8:25.0,C. LeVert makes 2-pt jump shot from 19 ft,,67,76
3,8:11.0,,B. Bogdanović misses 2-pt jump shot from 7 ft,67,76
3,8:08.0,Defensive rebound by D. Russell,,67,76
3,8:04.0,D. Russell misses 2-pt jump shot from 2 ft,,67,76
3,8:03.0,Offensive rebound by Team,,67,76
3,7:54.0,D. Russell makes 2-pt jump shot from 2 ft,,69,76
3,7:35.0,,D. Collison misses 2-pt layup from 1 ft,69,76
3,7:32.0,,Offensive rebound by D. Collison,69,76
3,7:25.0,,D. Collison makes 2-pt layup from 2 ft,69,78
3,7:03.0,Turnover by C. LeVert (bad pass; steal by V. Oladipo),,69,78
3,6:58.0,,B. Bogdanović misses 2-pt jump shot from 6 ft (block by J. Harris),69,78
3,6:57.0,,Offensive rebound by T. Young,69,78
3,6:57.0,,T. Young makes 2-pt layup from 1 ft,69,80
3,6:57.0,Brooklyn full timeout,,69,80
3,6:45.0,J. Allen makes 2-pt layup from 1 ft (assist by D. Russell),,71,80
3,6:25.0,,T. Young makes 2-pt dunk from 1 ft (assist by M. Turner),71,82
3,6:03.0,D. Russell misses 2-pt jump shot from 7 ft,,71,82
3,6:00.0,,Defensive rebound by M. Turner,71,82
3,5:53.0,,B. Bogdanović makes 2-pt layup from 1 ft (assist by V. Oladipo),71,84
3,5:39.0,J. Allen makes 2-pt layup from 2 ft (assist by J. Harris),,73,84
3,5:21.0,,V. Oladipo misses 2-pt jump shot from 3 ft (block by C. LeVert),73,84
3,5:19.0,Defensive rebound by J. Dudley,,73,84
3,5:07.0,Offensive foul by C. LeVert (drawn by V. Oladipo),,73,84
3,5:07.0,Turnover by C. LeVert (offensive foul),,73,84
3,5:07.0,S. Dinwiddie enters the game for J. Harris,,73,84
3,4:58.0,,Turnover by B. Bogdanović (bad pass),73,84
3,4:46.0,Turnover by J. Allen (bad pass; steal by D. Collison),,73,84
3,4:43.0,,D. Collison makes 2-pt layup at rim,73,86
3,4:23.0,Shooting foul by V. Oladipo (drawn by C. LeVert),,73,86
3,4:23.0,C. LeVert misses free throw 1 of 2,,73,86
3,4:23.0,Offensive rebound by Team,,73,86
3,4:23.0,A. Crabbe enters the game for J. Allen,,73,86
3,4:23.0,E. Davis enters the game for D. Russell,,73,86
3,4:23.0,,C. Joseph enters the game for B. Bogdanović,73,86
3,4:23.0,C. LeVert makes free throw 2 of 2,,74,86
3,4:12.0,,D. Collison makes 2-pt jump shot from 17 ft,74,88
3,3:48.0,A. Crabbe misses 3-pt jump shot from 25 ft,,74,88
3,3:48.0,,Defensive rebound by M. Turner,74,88
3,3:41.0,,V. Oladipo misses 2-pt dunk from 1 ft,74,88
3,3:41.0,Defensive rebound by A. Crabbe,,74,88
3,3:34.0,C. LeVert makes 2-pt layup from 1 ft (assist by S. Dinwiddie),,76,88
3,3:10.0,,Turnover by C. Joseph (bad pass; steal by C. LeVert),76,88
3,3:07.0,S. Dinwiddie makes 3-pt jump shot from 29 ft (assist by C. LeVert),,79,88
3,2:58.0,,Indiana full timeout,79,88
3,2:58.0,J. Harris enters the game for J. Dudley,,79,88
3,2:58.0,R. Kurucs enters the game for C. LeVert,,79,88
3,2:58.0,,B. Bogdanović enters the game for D. Collison,79,88
3,2:58.0,,T. Evans enters the game for V. Oladipo,79,88
3,2:58.0,,D. McDermott enters the game for T. Young,79,88
3,2:38.0,,T. Evans misses 2-pt jump shot from 5 ft,79,88
3,2:36.0,,Offensive rebound by T. Evans,79,88
3,2:24.0,,B. Bogdanović makes 3-pt jump shot from 27 ft,79,91
3,2:05.0,R. Kurucs makes 3-pt jump shot from 28 ft (assist by J. Harris),,82,91
3,1:41.0,,T. Evans makes 2-pt layup at rim,82,93
3,1:23.0,Turnover by A. Crabbe (step out of bounds),,82,93
3,1:23.0,,K. O'Quinn enters the game for M. Turner,82,93
3,1:03.0,,T. Evans misses 3-pt jump shot from 24 ft,82,93
3,1:00.0,Defensive rebound by S. Dinwiddie,,82,93
3,0:55.0,S. Dinwiddie misses 3-pt jump shot from 26 ft,,82,93
3,0:53.0,,Defensive rebound by B. Bogdanović,82,93
3,0:48.0,,B. Bogdanović misses 2-pt layup from 1 ft,82,93
3,0:48.0,,Offensive rebound by K. O'Quinn,82,93
3,0:40.0,,C. Joseph misses 2-pt jump shot from 20 ft,82,93
3,0:37.0,Defensive rebound by R. Kurucs,,82,93
3,0:31.0,Personal foul by T. Evans (drawn by S. Dinwiddie),,82,93
3,0:31.0,S. Dinwiddie makes free throw 1 of 2,,83,93
3,0:31.0,S. Dinwiddie makes free throw 2 of 2,,84,93
3,0:22.0,,Personal foul by S. Dinwiddie (drawn by T. Evans),84,93
3,0:12.0,,D. McDermott misses 3-pt jump shot from 24 ft,84,93
3,0:12.0,,Offensive rebound by Team,84,93
3,0:08.0,,Turnover by K. O'Quinn (turnover),84,93
3,0:08.0,,Loose ball foul by K. O'Quinn (drawn by A. Crabbe),84,93
3,0:08.0,A. Crabbe makes free throw 1 of 2,,85,93
3,0:08.0,A. Crabbe misses free throw 2 of 2,,85,93
3,0:06.0,Offensive rebound by R. Kurucs,,85,93
3,0:05.0,Turnover by R. Kurucs (lost ball; steal by T. Evans),,85,93
3,0:01.0,,T. Evans makes 2-pt layup from 1 ft,85,95
4,11:48.0,Turnover by R. Kurucs (out of bounds lost ball),,85,95
4,11:37.0,,T. Evans misses 2-pt jump shot from 19 ft,85,95
4,11:34.0,Defensive rebound by E. Davis,,85,95
4,11:28.0,J. Harris makes 3-pt jump shot from 26 ft (assist by S. Dinwiddie),,88,95
4,11:13.0,,K. O'Quinn makes 2-pt jump shot from 6 ft (assist by C. Joseph),88,97
4,10:56.0,S. Dinwiddie makes 2-pt layup from 2 ft,,90,97
4,10:36.0,,K. O'Quinn makes 2-pt jump shot from 18 ft (assist by C. Joseph),90,99
4,10:29.0,Brooklyn full timeout,,90,99
4,10:29.0,C. LeVert enters the game for R. Kurucs,,90,99
4,10:21.0,J. Harris makes 2-pt layup from 1 ft,,92,99
4,10:04.0,,D. McDermott makes 3-pt jump shot from 26 ft (assist by C. Joseph),92,102
4,9:49.0,S. Dinwiddie misses 2-pt layup from 1 ft,,92,102
4,9:47.0,,Defensive rebound by K. O'Quinn,92,102
4,9:44.0,,B. Bogdanović makes 3-pt jump shot from 27 ft (assist by T. Evans),92,105
4,9:28.0,A. Crabbe misses 2-pt jump shot from 20 ft,,92,105
4,9:27.0,Offensive rebound by Team,,92,105
4,9:27.0,J. Allen enters the game for E. Davis,,92,105
4,9:17.0,Shooting foul by T. Evans (drawn by S. Dinwiddie),,92,105
4,9:17.0,S. Dinwiddie misses free throw 1 of 2,,92,105
4,9:17.0,Offensive rebound by Team,,92,105
4,9:17.0,S. Dinwiddie makes free throw 2 of 2,,93,105
4,9:17.0,,Turnover by (5 sec),93,105
4,9:08.0,C. LeVert makes 2-pt jump shot from 5 ft,,95,105
4,8:53.0,,K. O'Quinn misses 2-pt layup from 1 ft,95,105
4,8:51.0,,Offensive rebound by K. O'Quinn,95,105
4,8:51.0,,Shooting foul by J. Harris (drawn by K. O'Quinn),95,105
4,8:51.0,,K. O'Quinn makes free throw 1 of 2,95,106
4,8:51.0,,V. Oladipo enters the game for B. Bogdanović,95,106
4,8:51.0,,K. O'Quinn makes free throw 2 of 2,95,107
4,8:30.0,C. LeVert makes 2-pt layup from 2 ft,,97,107
4,8:14.0,,C. Joseph makes 2-pt layup from 2 ft,97,109
4,8:03.0,Turnover by J. Allen (lost ball; steal by V. Oladipo),,97,109
4,8:03.0,,Personal take foul by J. Harris (drawn by V. Oladipo),97,109
4,8:03.0,Brooklyn full timeout,,97,109
4,8:03.0,D. Russell enters the game for A. Crabbe,,97,109
4,7:53.0,,V. Oladipo misses 2-pt layup at rim (block by J. Allen),97,109
4,7:47.0,,Offensive rebound by K. O'Quinn,97,109
4,7:47.0,,K. O'Quinn makes 2-pt layup from 1 ft,97,111
4,7:38.0,J. Harris misses 3-pt jump shot from 27 ft,,97,111
4,7:36.0,,Defensive rebound by T. Evans,97,111
4,7:26.0,,K. O'Quinn makes 2-pt jump shot from 18 ft (assist by T. Evans),97,113
4,7:11.0,Turnover by C. LeVert (bad pass; steal by T. Evans),,97,113
4,7:08.0,,T. Evans makes 2-pt layup at rim,97,115
4,6:49.0,J. Allen misses 3-pt jump shot from 24 ft,,97,115
4,6:48.0,,Defensive rebound by Team,97,115
4,6:48.0,Loose ball foul by C. LeVert (drawn by C. Joseph),,97,115
4,6:48.0,K. Faried enters the game for J. Allen,,97,115
4,6:37.0,,V. Oladipo makes 3-pt jump shot from 26 ft,97,118
4,6:33.0,Brooklyn full timeout,,97,118
4,6:33.0,A. Crabbe enters the game for S. Dinwiddie,,97,118
4,6:33.0,D. Musa enters the game for J. Harris,,97,118
4,6:33.0,T. Pinson enters the game for C. LeVert,,97,118
4,6:22.0,Turnover by D. Russell (bad pass; steal by V. Oladipo),,97,118
4,6:14.0,,Turnover by V. Oladipo (bad pass; steal by K. Faried),97,118
4,6:09.0,D. Russell misses 3-pt jump shot from 28 ft,,97,118
4,6:07.0,,Defensive rebound by T. Evans,97,118
4,6:01.0,,T. Evans makes 2-pt layup from 1 ft,97,120
4,5:47.0,D. Musa makes 2-pt jump shot from 19 ft,,99,120
4,5:28.0,,K. O'Quinn makes 2-pt layup at rim (assist by V. Oladipo),99,122
4,5:10.0,T. Pinson misses 3-pt jump shot from 22 ft,,99,122
4,5:06.0,,Defensive rebound by V. Oladipo,99,122
4,4:59.0,,T. Evans misses 2-pt layup at rim,99,122
4,4:58.0,Defensive rebound by A. Crabbe,,99,122
4,4:52.0,Turnover by K. Faried (bad pass; steal by K. O'Quinn),,99,122
