QUARTER,TIME_REMAINING,DETROIT_ACTION,ATLANTA_ACTION,DETROIT_SCORE,ATLANTA_SCORE
1,7:10.0,G. Robinson makes 3-pt jump shot from 23 ft (assist by R. Bullock),,21,7
1,6:57.0,,T. Young misses 3-pt jump shot from 29 ft,21,7
1,6:51.0,Defensive rebound by R. Bullock,,21,7
1,6:48.0,G. Robinson makes 2-pt jump shot from 21 ft (assist by B. Griffin),,23,7
1,6:47.0,,Atlanta full timeout,23,7
1,6:47.0,,D. Bembry enters the game for K. Bazemore,23,7
1,6:47.0,,K. Huerter enters the game for T. Prince,23,7
1,6:47.0,,J. Lin enters the game for O. Spellman,23,7
1,6:47.0,,A. Poythress enters the game for T. Young,23,7
1,6:34.0,,Shooting foul by A. Drummond (drawn by D. Bembry),23,7
1,6:34.0,,D. Bembry misses free throw 1 of 2,23,7
1,6:34.0,,Offensive rebound by Team,23,7
1,6:34.0,,D. Bembry makes free throw 2 of 2,23,8
1,6:24.0,,Violation by Team (kicked ball),23,8
1,6:17.0,R. Bullock makes 3-pt jump shot from 25 ft (assist by B. Griffin),,26,8
1,6:00.0,,D. Bembry misses 2-pt layup from 1 ft,26,8
1,5:56.0,Defensive rebound by B. Griffin,,26,8
1,5:37.0,R. Jackson misses 2-pt jump shot from 15 ft,,26,8
1,5:33.0,,Defensive rebound by D. Dedmon,26,8
1,5:29.0,,K. Huerter misses 3-pt jump shot from 26 ft,26,8
1,5:26.0,Defensive rebound by R. Jackson,,26,8
1,5:19.0,A. Drummond misses 2-pt layup from 5 ft,,26,8
1,5:14.0,,Defensive rebound by K. Huerter,26,8
1,5:04.0,,D. Dedmon makes 2-pt jump shot from 11 ft (assist by J. Lin),26,10
1,4:53.0,Detroit full timeout,,26,10
1,4:53.0,L. Galloway enters the game for R. Bullock,,26,10
1,4:53.0,I. Smith enters the game for R. Jackson,,26,10
1,4:44.0,Personal foul by A. Poythress (drawn by B. Griffin),,26,10
1,4:38.0,Turnover by G. Robinson (bad pass; steal by J. Lin),,26,10
1,4:33.0,,J. Lin makes 2-pt layup from 1 ft,26,12
1,4:12.0,A. Drummond makes 2-pt hook shot from 9 ft,,28,12
1,3:58.0,,J. Lin misses 2-pt jump shot from 4 ft,28,12
1,3:54.0,Defensive rebound by B. Griffin,,28,12
1,3:48.0,Shooting foul by A. Poythress (drawn by B. Griffin),,28,12
1,3:48.0,B. Griffin makes free throw 1 of 2,,29,12
1,3:48.0,S. Johnson enters the game for G. Robinson,,29,12
1,3:48.0,B. Griffin misses free throw 2 of 2,,29,12
1,3:46.0,,Defensive rebound by A. Poythress,29,12
1,3:31.0,,A. Poythress misses 3-pt jump shot from 23 ft,29,12
1,3:27.0,Defensive rebound by I. Smith,,29,12
1,3:14.0,Turnover by A. Drummond (lost ball; steal by J. Lin),,29,12
1,3:08.0,,D. Bembry makes 2-pt layup from 1 ft (assist by J. Lin),29,14
1,3:05.0,Personal foul by K. Huerter (drawn by A. Drummond),,29,14
1,2:58.0,I. Smith misses 3-pt jump shot from 26 ft,,29,14
1,2:55.0,,Defensive rebound by K. Huerter,29,14
1,2:48.0,,J. Lin misses 3-pt jump shot from 24 ft,29,14
1,2:44.0,Defensive rebound by S. Johnson,,29,14
1,2:33.0,S. Johnson misses 3-pt jump shot from 25 ft,,29,14
1,2:30.0,,Defensive rebound by D. Bembry,29,14
1,2:09.0,,A. Poythress misses 2-pt dunk from 2 ft (block by A. Drummond),29,14
1,2:06.0,Defensive rebound by S. Johnson,,29,14
1,2:04.0,L. Galloway makes 3-pt jump shot from 26 ft (assist by S. Johnson),,32,14
1,1:47.0,,J. Lin misses 3-pt jump shot from 26 ft,32,14
1,1:43.0,Defensive rebound by B. Griffin,,32,14
1,1:37.0,Shooting foul by A. Poythress (drawn by A. Drummond),,32,14
1,1:37.0,A. Drummond makes free throw 1 of 2,,33,14
1,1:37.0,J. Calderón enters the game for B. Griffin,,33,14
1,1:37.0,,V. Carter enters the game for D. Dedmon,33,14
1,1:37.0,,M. Plumlee enters the game for A. Poythress,33,14
1,1:37.0,A. Drummond makes free throw 2 of 2,,34,14
1,1:32.0,,Personal foul by S. Johnson (drawn by V. Carter),34,14
1,1:22.0,,V. Carter misses 3-pt jump shot from 26 ft,34,14
1,1:16.0,,Offensive rebound by D. Bembry,34,14
1,1:16.0,,D. Bembry misses 2-pt layup from 1 ft,34,14
1,1:16.0,Defensive rebound by A. Drummond,,34,14
1,1:14.0,L. Galloway makes 3-pt jump shot from 23 ft (assist by I. Smith),,37,14
1,1:14.0,Shooting foul by J. Lin (drawn by L. Galloway),,37,14
1,1:14.0,L. Galloway makes free throw 1 of 1,,38,14
1,1:01.0,,M. Plumlee makes 2-pt dunk from 2 ft (assist by V. Carter),38,16
1,0:52.0,S. Johnson misses 3-pt jump shot from 25 ft,,38,16
1,0:52.0,,Defensive rebound by K. Huerter,38,16
1,0:45.0,,J. Lin makes 2-pt layup from 2 ft (assist by K. Huerter),38,18
1,0:31.0,L. Galloway misses 3-pt jump shot from 25 ft,,38,18
1,0:28.0,Offensive rebound by A. Drummond,,38,18
1,0:23.0,A. Drummond makes 2-pt layup from 1 ft,,40,18
1,0:23.0,Shooting foul by M. Plumlee (drawn by A. Drummond),,40,18
1,0:23.0,,T. Young enters the game for D. Bembry,40,18
1,0:23.0,A. Drummond misses free throw 1 of 1,,40,18
1,0:23.0,,Defensive rebound by V. Carter,40,18
1,0:02.0,,T. Young makes 2-pt jump shot from 11 ft,40,20
1,0:00.0,A. Drummond misses 3-pt jump shot from 57 ft,,40,20
1,0:00.0,Offensive rebound by Team,,40,20
2,11:51.0,,M. Plumlee makes 2-pt dunk from 1 ft (assist by T. Young),40,22
2,11:31.0,Z. Pachulia misses 2-pt jump shot from 11 ft,,40,22
2,11:26.0,Offensive rebound by Z. Pachulia,,40,22
2,11:26.0,Z. Pachulia misses 2-pt layup at rim,,40,22
2,11:26.0,,Defensive rebound by T. Young,40,22
2,11:21.0,,T. Young misses 2-pt jump shot from 16 ft (block by I. Smith),40,22
2,11:17.0,Defensive rebound by Z. Pachulia,,40,22
2,11:14.0,J. Calderón makes 2-pt jump shot from 16 ft,,42,22
2,10:52.0,,V. Carter makes 2-pt jump shot from 18 ft,42,24
2,10:33.0,I. Smith makes 3-pt jump shot from 23 ft,,45,24
2,10:23.0,,T. Young makes 2-pt layup from 2 ft,45,26
2,10:04.0,S. Johnson misses 2-pt jump shot from 20 ft,,45,26
2,10:00.0,,Defensive rebound by T. Prince,45,26
2,9:54.0,,Personal foul by S. Johnson (drawn by M. Plumlee),45,26
2,9:46.0,,M. Plumlee makes 2-pt hook shot from 11 ft (assist by K. Huerter),45,28
2,9:36.0,I. Smith makes 2-pt jump shot from 5 ft,,47,28
2,9:18.0,,Turnover by T. Young (bad pass),47,28
2,9:07.0,Z. Pachulia makes 2-pt jump shot from 10 ft (assist by I. Smith),,49,28
2,8:56.0,,Personal foul by I. Smith (drawn by T. Young),49,28
2,8:56.0,,A. Len enters the game for M. Plumlee,49,28
2,8:53.0,,Turnover by A. Len (bad pass; steal by S. Johnson),49,28
2,8:51.0,S. Johnson makes 2-pt dunk from 1 ft,,51,28
2,8:51.0,,Atlanta full timeout,51,28
2,8:51.0,,K. Bazemore enters the game for V. Carter,51,28
2,8:51.0,,O. Spellman enters the game for K. Huerter,51,28
2,8:32.0,,Turnover by T. Prince (lost ball; steal by Z. Pachulia),51,28
2,8:28.0,Turnover by Z. Pachulia (lost ball; steal by T. Prince),,51,28
2,8:23.0,,T. Prince makes 2-pt jump shot from 12 ft,51,30
2,8:15.0,Offensive foul by Z. Pachulia (drawn by T. Young),,51,30
2,8:15.0,Turnover by Z. Pachulia (offensive foul),,51,30
2,8:02.0,,K. Bazemore misses 2-pt layup from 3 ft (block by L. Galloway),51,30
2,7:58.0,Defensive rebound by Z. Pachulia,,51,30
2,7:56.0,S. Johnson makes 2-pt layup from 2 ft (assist by J. Calderón),,53,30
2,7:46.0,,Personal foul by J. Calderón (drawn by T. Young),53,30
2,7:43.0,,Turnover by A. Len (bad pass; steal by S. Johnson),53,30
2,7:41.0,S. Johnson makes 2-pt layup from 2 ft,,55,30
2,7:41.0,Shooting foul by O. Spellman (drawn by S. Johnson),,55,30
2,7:41.0,,D. Dedmon enters the game for A. Len,55,30
2,7:41.0,S. Johnson makes free throw 1 of 1,,56,30
2,7:32.0,,O. Spellman makes 3-pt jump shot from 23 ft (assist by T. Young),56,33
2,7:16.0,Personal foul by D. Dedmon (drawn by Z. Pachulia),,56,33
2,7:16.0,R. Bullock enters the game for J. Calderón,,56,33
2,7:01.0,I. Smith makes 3-pt jump shot from 24 ft (assist by L. Galloway),,59,33
2,6:46.0,,Shooting foul by Z. Pachulia (drawn by D. Dedmon),59,33
2,6:46.0,,D. Dedmon makes free throw 1 of 2,59,34
2,6:46.0,A. Drummond enters the game for Z. Pachulia,,59,34
2,6:46.0,R. Jackson enters the game for I. Smith,,59,34
2,6:46.0,,D. Dedmon makes free throw 2 of 2,59,35
2,6:41.0,L. Galloway misses 3-pt jump shot from 25 ft,,59,35
2,6:37.0,,Defensive rebound by O. Spellman,59,35
2,6:30.0,,D. Dedmon makes 2-pt layup from 1 ft (assist by T. Young),59,37
2,6:01.0,R. Jackson misses 2-pt jump shot from 20 ft,,59,37
2,5:57.0,,Defensive rebound by O. Spellman,59,37
2,5:51.0,,T. Young misses 3-pt jump shot from 26 ft,59,37
2,5:46.0,Defensive rebound by S. Johnson,,59,37
2,5:38.0,S. Johnson makes 3-pt jump shot from 26 ft (assist by L. Galloway),,62,37
2,5:23.0,,D. Dedmon misses 3-pt jump shot from 26 ft,62,37
2,5:19.0,,Offensive rebound by O. Spellman,62,37
2,5:19.0,,O. Spellman makes 2-pt dunk from 1 ft,62,39
2,5:12.0,Detroit full timeout,,62,39
2,5:12.0,B. Griffin enters the game for L. Galloway,,62,39
2,5:12.0,G. Robinson enters the game for S. Johnson,,62,39
2,5:12.0,,D. Bembry enters the game for T. Young,62,39
2,4:59.0,G. Robinson misses 3-pt jump shot from 25 ft,,62,39
2,4:56.0,,Defensive rebound by T. Prince,62,39
2,4:39.0,,K. Bazemore misses 2-pt jump shot from 19 ft,62,39
2,4:35.0,Defensive rebound by B. Griffin,,62,39
2,4:15.0,Shooting foul by D. Bembry (drawn by G. Robinson),,62,39
2,4:15.0,G. Robinson makes free throw 1 of 2,,63,39
2,4:15.0,G. Robinson makes free throw 2 of 2,,64,39
2,4:02.0,,Personal foul by B. Griffin (drawn by O. Spellman),64,39
2,4:02.0,,O. Spellman makes free throw 1 of 2,64,40
2,4:02.0,,O. Spellman makes free throw 2 of 2,64,41
2,3:54.0,Offensive foul by R. Jackson (drawn by D. Dedmon),,64,41
2,3:54.0,Turnover by R. Jackson (offensive foul),,64,41
2,3:42.0,,K. Bazemore makes 2-pt dunk from 1 ft,64,43
2,3:24.0,Turnover by A. Drummond (bad pass; steal by O. Spellman),,64,43
2,3:20.0,,Turnover by O. Spellman (bad pass; steal by B. Griffin),64,43
2,3:14.0,R. Jackson misses 3-pt jump shot from 22 ft,,64,43
2,3:14.0,,Defensive rebound by D. Dedmon,64,43
2,3:07.0,,Shooting foul by G. Robinson (drawn by D. Bembry),64,43
2,3:07.0,,D. Bembry makes free throw 1 of 2,64,44
2,3:07.0,,K. Huerter enters the game for T. Prince,64,44
2,3:07.0,,D. Bembry makes free throw 2 of 2,64,45
2,2:51.0,R. Bullock misses 3-pt jump shot from 25 ft,,64,45
2,2:48.0,,Defensive rebound by K. Huerter,64,45
2,2:45.0,,O. Spellman misses 3-pt jump shot from 26 ft,64,45
2,2:39.0,Defensive rebound by A. Drummond,,64,45
2,2:20.0,B. Griffin misses 3-pt jump shot from 26 ft,,64,45
2,2:17.0,,Defensive rebound by D. Dedmon,64,45
2,2:12.0,,D. Bembry misses 2-pt layup from 2 ft,64,45
2,2:12.0,Defensive rebound by R. Jackson,,64,45
2,2:00.0,R. Jackson makes 2-pt layup from 2 ft,,66,45
2,1:58.0,,Shooting foul by R. Bullock (drawn by K. Bazemore),66,45
2,1:58.0,,K. Bazemore makes free throw 1 of 2,66,46
2,1:58.0,,A. Poythress enters the game for O. Spellman,66,46
2,1:58.0,,K. Bazemore makes free throw 2 of 2,66,47
2,1:44.0,R. Jackson makes 3-pt jump shot from 27 ft (assist by R. Bullock),,69,47
2,1:29.0,,Personal foul by B. Griffin (drawn by D. Dedmon),69,47
2,1:29.0,,D. Dedmon makes free throw 1 of 2,69,48
2,1:29.0,,D. Dedmon makes free throw 2 of 2,69,49
2,1:20.0,Personal foul by A. Poythress (drawn by B. Griffin),,69,49
2,1:20.0,,V. Carter enters the game for A. Poythress,69,49
2,1:10.0,R. Jackson makes 2-pt layup from 1 ft,,71,49
2,1:03.0,,Offensive foul by D. Dedmon (drawn by A. Drummond),71,49
2,1:03.0,,Turnover by D. Dedmon (offensive foul),71,49
2,0:46.0,G. Robinson makes 3-pt jump shot from 23 ft (assist by B. Griffin),,74,49
2,0:38.0,,D. Bembry makes 2-pt layup from 2 ft,74,51
2,0:24.0,A. Drummond misses 2-pt jump shot from 5 ft (block by K. Bazemore),,74,51
2,0:18.0,,Defensive rebound by K. Bazemore,74,51
2,0:18.0,,D. Bembry misses 3-pt jump shot from 24 ft,74,51
2,0:11.0,Defensive rebound by R. Bullock,,74,51
2,0:00.0,B. Griffin misses 2-pt jump shot from 22 ft,,74,51
2,0:00.0,,Defensive rebound by D. Dedmon,74,51
3,11:45.0,,A. Len misses 2-pt dunk from 3 ft (block by A. Drummond),74,51
3,11:45.0,,Offensive rebound by A. Len,74,51
3,11:45.0,,A. Len makes 2-pt dunk at rim,74,53
3,11:24.0,B. Griffin misses 2-pt jump shot from 8 ft,,74,53
3,11:19.0,Offensive rebound by A. Drummond,,74,53
3,11:19.0,A. Drummond makes 2-pt dunk from 1 ft,,76,53
3,11:09.0,,K. Bazemore misses 2-pt jump shot from 16 ft,76,53
3,11:09.0,Defensive rebound by Team,,76,53
3,11:09.0,,Loose ball foul by A. Len (drawn by A. Drummond),76,53
3,10:57.0,R. Bullock makes 3-pt jump shot from 23 ft (assist by G. Robinson),,79,53
3,10:46.0,,T. Young makes 2-pt layup from 1 ft,79,55
3,10:25.0,A. Drummond makes 2-pt hook shot from 9 ft (assist by B. Griffin),,81,55
3,10:16.0,,O. Spellman makes 3-pt jump shot from 23 ft (assist by T. Young),81,58
3,10:08.0,R. Bullock misses 3-pt jump shot from 25 ft,,81,58
3,10:05.0,,Defensive rebound by K. Bazemore,81,58
3,10:00.0,,O. Spellman misses 3-pt jump shot from 26 ft,81,58
3,9:59.0,,Offensive rebound by A. Len,81,58
3,9:58.0,,A. Len misses 2-pt layup from 4 ft,81,58
3,9:55.0,Defensive rebound by B. Griffin,,81,58
3,9:45.0,Turnover by R. Bullock (out of bounds lost ball),,81,58
3,9:45.0,,K. Huerter enters the game for K. Bazemore,81,58
3,9:23.0,,K. Huerter misses 2-pt jump shot from 4 ft,81,58
3,9:20.0,Defensive rebound by B. Griffin,,81,58
3,9:17.0,Personal foul by K. Huerter (drawn by B. Griffin),,81,58
3,9:17.0,,D. Dedmon enters the game for A. Len,81,58
3,9:09.0,G. Robinson misses 2-pt layup from 2 ft,,81,58
3,9:07.0,,Defensive rebound by D. Dedmon,81,58
3,8:59.0,,Personal foul by A. Drummond (drawn by O. Spellman),81,58
3,8:52.0,,Turnover by T. Young (bad pass; steal by B. Griffin),81,58
3,8:40.0,Turnover by B. Griffin (bad pass; steal by T. Prince),,81,58
3,8:30.0,,T. Prince misses 3-pt jump shot from 27 ft,81,58
3,8:30.0,,Offensive rebound by T. Young,81,58
3,8:20.0,,T. Young makes 2-pt layup from 3 ft,81,60
3,8:08.0,A. Drummond makes 2-pt jump shot from 16 ft (assist by R. Bullock),,83,60
3,7:54.0,,Turnover by T. Prince (bad pass),83,60
3,7:45.0,A. Drummond makes 2-pt dunk from 1 ft (assist by B. Griffin),,85,60
3,7:45.0,Technical foul by A. Drummond,,85,60
3,7:45.0,,T. Prince makes technical free throw,85,61
3,7:45.0,,M. Plumlee enters the game for O. Spellman,85,61
3,7:28.0,,Shooting foul by A. Drummond (drawn by T. Young),85,61
3,7:28.0,,T. Young makes free throw 1 of 2,85,62
3,7:28.0,,T. Young makes free throw 2 of 2,85,63
3,7:11.0,A. Drummond misses 2-pt layup from 4 ft,,85,63
3,7:11.0,,Defensive rebound by D. Dedmon,85,63
3,7:04.0,,Turnover by T. Young (bad pass; steal by G. Robinson),85,63
3,6:58.0,R. Jackson misses 3-pt jump shot from 22 ft,,85,63
3,6:55.0,,Defensive rebound by T. Prince,85,63
3,6:50.0,,Atlanta full timeout,85,63
3,6:50.0,L. Galloway enters the game for R. Jackson,,85,63
3,6:50.0,I. Smith enters the game for G. Robinson,,85,63
3,6:50.0,,D. Bembry enters the game for T. Prince,85,63
3,6:50.0,,J. Lin enters the game for T. Young,85,63
3,6:49.0,,Shooting foul by R. Bullock (drawn by D. Bembry),85,63
3,6:49.0,,D. Bembry misses free throw 1 of 2,85,63
3,6:49.0,,Offensive rebound by Team,85,63
3,6:49.0,,D. Bembry misses free throw 2 of 2,85,63
3,6:46.0,Defensive rebound by R. Bullock,,85,63
3,6:31.0,B. Griffin misses 2-pt jump shot from 19 ft,,85,63
3,6:24.0,Offensive rebound by A. Drummond,,85,63
3,6:24.0,A. Drummond makes 2-pt layup from 1 ft,,87,63
3,6:16.0,,M. Plumlee makes 2-pt layup from 2 ft,87,65
3,5:54.0,L. Galloway makes 3-pt jump shot from 26 ft (assist by I. Smith),,90,65
3,5:40.0,,Personal foul by I. Smith (drawn by D. Dedmon),90,65
3,5:26.0,,M. Plumlee makes 2-pt hook shot from 2 ft,90,67
3,5:14.0,B. Griffin makes 3-pt jump shot from 23 ft (assist by R. Bullock),,93,67
3,5:00.0,,M. Plumlee makes 2-pt layup from 1 ft,93,69
3,4:49.0,A. Drummond misses 2-pt layup from 2 ft,,93,69
3,4:49.0,Offensive rebound by A. Drummond,,93,69
3,4:49.0,Shooting foul by K. Huerter (drawn by A. Drummond),,93,69
3,4:49.0,A. Drummond misses free throw 1 of 2,,93,69
3,4:49.0,Offensive rebound by Team,,93,69
3,4:49.0,A. Drummond makes free throw 2 of 2,,94,69
3,4:36.0,,D. Dedmon misses 2-pt jump shot from 13 ft,94,69
3,4:33.0,Defensive rebound by A. Drummond,,94,69
3,4:24.0,B. Griffin misses 3-pt jump shot from 26 ft,,94,69
3,4:20.0,,Defensive rebound by D. Bembry,94,69
3,4:17.0,,Turnover by D. Bembry (bad pass; steal by A. Drummond),94,69
3,4:17.0,J. Calderón enters the game for R. Bullock,,94,69
3,4:17.0,,T. Prince enters the game for K. Huerter,94,69
3,3:56.0,I. Smith misses 3-pt jump shot from 26 ft,,94,69
3,3:51.0,,Defensive rebound by D. Dedmon,94,69
3,3:46.0,,D. Dedmon makes 2-pt jump shot from 10 ft (assist by J. Lin),94,71
3,3:37.0,Detroit full timeout,,94,71
3,3:37.0,Z. Pachulia enters the game for A. Drummond,,94,71
3,3:37.0,,K. Huerter enters the game for D. Bembry,94,71
3,3:37.0,,O. Spellman enters the game for M. Plumlee,94,71
3,3:23.0,B. Griffin makes 2-pt layup from 1 ft,,96,71
3,3:23.0,Shooting foul by D. Dedmon (drawn by B. Griffin),,96,71
3,3:23.0,B. Griffin misses free throw 1 of 1,,96,71
3,3:23.0,,Defensive rebound by O. Spellman,96,71
3,3:12.0,,J. Lin misses 2-pt jump shot from 10 ft,96,71
3,3:07.0,Defensive rebound by L. Galloway,,96,71
3,2:49.0,B. Griffin misses 3-pt jump shot from 23 ft,,96,71
3,2:46.0,,Defensive rebound by J. Lin,96,71
3,2:40.0,,Personal foul by I. Smith (drawn by J. Lin),96,71
3,2:40.0,,J. Lin makes free throw 1 of 2,96,72
3,2:40.0,,J. Lin makes free throw 2 of 2,96,73
3,2:28.0,B. Griffin misses 3-pt jump shot from 25 ft,,96,73
3,2:24.0,,Defensive rebound by T. Prince,96,73
3,2:18.0,,T. Prince misses 2-pt jump shot from 17 ft,96,73
3,2:13.0,Defensive rebound by J. Calderón,,96,73
3,2:07.0,L. Galloway misses 3-pt jump shot from 26 ft,,96,73
3,2:04.0,Offensive rebound by Z. Pachulia,,96,73
3,2:02.0,J. Calderón misses 3-pt jump shot from 24 ft,,96,73
3,1:57.0,,Defensive rebound by D. Dedmon,96,73
3,1:52.0,,D. Dedmon misses 3-pt jump shot from 26 ft,96,73
3,1:47.0,Defensive rebound by B. Griffin,,96,73
3,1:38.0,B. Griffin misses 2-pt layup from 2 ft,,96,73
3,1:38.0,Offensive rebound by Z. Pachulia,,96,73
3,1:38.0,,Loose ball foul by J. Lin (drawn by Z. Pachulia),96,73
3,1:38.0,Z. Pachulia makes free throw 1 of 2,,97,73
3,1:38.0,S. Johnson enters the game for B. Griffin,,97,73
3,1:38.0,,M. Plumlee enters the game for D. Dedmon,97,73
3,1:38.0,,T. Young enters the game for T. Prince,97,73
3,1:38.0,Z. Pachulia makes free throw 2 of 2,,98,73
3,1:27.0,,Shooting foul by S. Johnson (drawn by J. Lin),98,73
3,1:27.0,,J. Lin makes free throw 1 of 2,98,74
3,1:27.0,,J. Lin makes free throw 2 of 2,98,75
3,1:18.0,S. Johnson misses 3-pt jump shot from 27 ft,,98,75
3,1:13.0,,Defensive rebound by K. Huerter,98,75
3,1:03.0,,Turnover by T. Young (bad pass; steal by Z. Pachulia),98,75
3,0:57.0,L. Galloway makes 3-pt jump shot from 23 ft (assist by J. Calderón),,101,75
3,0:50.0,,Personal foul by I. Smith (drawn by T. Young),101,75
3,0:50.0,,T. Young makes free throw 1 of 2,101,76
3,0:50.0,,T. Young makes free throw 2 of 2,101,77
3,0:31.0,I. Smith makes 2-pt layup from 1 ft,,103,77
3,0:27.0,,Shooting foul by L. Galloway (drawn by M. Plumlee),103,77
3,0:27.0,,M. Plumlee misses free throw 1 of 2,103,77
3,0:27.0,,Offensive rebound by Team,103,77
3,0:27.0,,D. Bembry enters the game for O. Spellman,103,77
3,0:27.0,,M. Plumlee misses free throw 2 of 2,103,77
3,0:24.0,Defensive rebound by S. Johnson,,103,77
3,0:01.0,I. Smith misses 2-pt jump shot from 9 ft,,103,77
3,0:01.0,Offensive rebound by Team,,103,77
3,0:01.0,Turnover by Team (shot clock),,103,77
3,0:00.0,,T. Young misses 3-pt jump shot from 44 ft,103,77
3,0:00.0,,Offensive rebound by Team,103,77
4,11:41.0,L. Galloway makes 3-pt jump shot from 25 ft (assist by J. Calderón),,106,77
4,11:32.0,,Personal foul by R. Jackson (drawn by T. Young),106,77
4,11:25.0,,M. Plumlee misses 2-pt dunk from 3 ft (block by A. Drummond),106,77
4,11:21.0,,Offensive rebound by M. Plumlee,106,77
4,11:21.0,,M. Plumlee makes 2-pt dunk from 1 ft,106,79
4,11:08.0,R. Jackson misses 2-pt layup from 1 ft,,106,79
4,11:06.0,,Defensive rebound by T. Young,106,79
4,11:06.0,,Personal foul by J. Calderón (drawn by T. Young),106,79
4,11:02.0,,Shooting foul by R. Jackson (drawn by T. Young),106,79
4,11:02.0,,T. Young makes free throw 1 of 2,106,80
4,11:02.0,,T. Young makes free throw 2 of 2,106,81
4,10:46.0,S. Johnson makes 2-pt layup from 2 ft (assist by R. Jackson),,108,81
4,10:30.0,,Personal foul by L. Galloway (drawn by K. Bazemore),108,81
4,10:19.0,,Shooting foul by J. Calderón (drawn by D. Bembry),108,81
4,10:19.0,,D. Bembry misses free throw 1 of 2,108,81
4,10:19.0,,Offensive rebound by Team,108,81
4,10:19.0,,D. Bembry makes free throw 2 of 2,108,82
4,10:13.0,Personal foul by D. Bembry (drawn by R. Jackson),,108,82
4,10:07.0,S. Johnson makes 3-pt jump shot from 25 ft (assist by R. Jackson),,111,82
4,9:48.0,,Personal foul by R. Jackson (drawn by T. Young),111,82
4,9:48.0,,T. Young makes free throw 1 of 2,111,83
4,9:48.0,I. Smith enters the game for R. Jackson,,111,83
4,9:48.0,,D. Dedmon enters the game for D. Bembry,111,83
4,9:48.0,,T. Dorsey enters the game for M. Plumlee,111,83
4,9:48.0,,T. Young makes free throw 2 of 2,111,84
4,9:31.0,J. Calderón makes 2-pt jump shot from 17 ft,,113,84
4,9:07.0,,D. Dedmon makes 3-pt jump shot from 24 ft (assist by K. Bazemore),113,87
4,8:47.0,Def 3 sec tech foul by Team,,113,87
4,8:47.0,J. Calderón makes technical free throw,,114,87
4,8:42.0,Turnover by A. Drummond (offensive foul),,114,87
4,8:42.0,Offensive foul by A. Drummond (drawn by T. Young),,114,87
4,8:34.0,,T. Dorsey misses 2-pt jump shot from 18 ft,114,87
4,8:34.0,,Offensive rebound by O. Spellman,114,87
4,8:30.0,,O. Spellman misses 2-pt layup at rim,114,87
4,8:30.0,Defensive rebound by Team,,114,87
4,8:22.0,J. Calderón misses 3-pt jump shot from 26 ft,,114,87
4,8:18.0,,Defensive rebound by O. Spellman,114,87
4,8:11.0,,O. Spellman misses 3-pt jump shot from 25 ft,114,87
4,8:07.0,Defensive rebound by A. Drummond,,114,87
4,7:59.0,Shooting foul by D. Dedmon (drawn by A. Drummond),,114,87
4,7:59.0,A. Drummond misses free throw 1 of 2,,114,87
4,7:59.0,Offensive rebound by Team,,114,87
4,7:59.0,,J. Lin enters the game for T. Young,114,87
