QUARTER,TIME_REMAINING,TORONTO_ACTION,MILWAUKEE_ACTION,TORONTO_SCORE,MILWAUKEE_SCORE
1,1:30.0,S. Ibaka misses 2-pt layup from 2 ft (block by P. Connaughton),,15,31
1,1:26.0,,Defensive rebound by P. Connaughton,15,31
1,1:25.0,,G. Hill makes 2-pt layup from 1 ft (assist by P. Connaughton),15,33
1,1:24.0,Toronto full timeout,,15,33
1,1:24.0,,N. Mirotić enters the game for E. İlyasova,15,33
1,1:14.0,S. Ibaka makes 2-pt jump shot from 14 ft (assist by F. VanVleet),,17,33
1,0:57.0,,N. Mirotić makes 2-pt jump shot from 12 ft (assist by M. Brogdon),17,35
1,0:54.0,Personal foul by G. Hill (drawn by K. Lowry),,17,35
1,0:54.0,K. Lowry makes free throw 1 of 2,,18,35
1,0:54.0,K. Lowry misses free throw 2 of 2,,18,35
1,0:52.0,,Defensive rebound by N. Mirotić,18,35
1,0:42.0,,G. Hill misses 2-pt layup from 4 ft (block by F. VanVleet),18,35
1,0:39.0,Defensive rebound by N. Powell,,18,35
1,0:33.0,N. Powell makes 3-pt jump shot from 28 ft (assist by P. Siakam),,21,35
1,0:14.0,,N. Mirotić misses 3-pt jump shot from 29 ft,21,35
1,0:11.0,Defensive rebound by S. Ibaka,,21,35
1,0:01.0,K. Lowry misses 3-pt jump shot from 31 ft,,21,35
1,0:01.0,,Defensive rebound by P. Connaughton,21,35
2,11:52.0,F. VanVleet misses 2-pt jump shot from 19 ft,,21,35
2,11:50.0,,Defensive rebound by E. Bledsoe,21,35
2,11:44.0,,E. Bledsoe misses 2-pt layup from 1 ft,21,35
2,11:41.0,Defensive rebound by N. Powell,,21,35
2,11:32.0,N. Powell misses 3-pt jump shot from 24 ft,,21,35
2,11:28.0,,Defensive rebound by P. Connaughton,21,35
2,11:21.0,,B. Lopez misses 2-pt layup from 4 ft,21,35
2,11:19.0,Defensive rebound by S. Ibaka,,21,35
2,11:01.0,N. Powell makes 2-pt jump shot from 12 ft,,23,35
2,10:39.0,,G. Hill misses 3-pt jump shot from 28 ft,23,35
2,10:39.0,Defensive rebound by Team,,23,35
2,10:39.0,K. Leonard enters the game for P. Siakam,,23,35
2,10:39.0,,G. Antetokounmpo enters the game for P. Connaughton,23,35
2,10:39.0,,K. Middleton enters the game for N. Mirotić,23,35
2,10:14.0,J. Meeks misses 2-pt jump shot from 19 ft,,23,35
2,10:12.0,,Defensive rebound by G. Antetokounmpo,23,35
2,10:10.0,,Shooting foul by J. Meeks (drawn by G. Antetokounmpo),23,35
2,10:10.0,,G. Antetokounmpo makes free throw 1 of 2,23,36
2,10:10.0,,E. İlyasova enters the game for B. Lopez,23,36
2,10:10.0,,G. Antetokounmpo misses free throw 2 of 2,23,36
2,10:09.0,Defensive rebound by N. Powell,,23,36
2,9:46.0,F. VanVleet misses 2-pt hook shot from 7 ft,,23,36
2,9:46.0,Offensive rebound by Team,,23,36
2,9:46.0,,Loose ball foul by E. Bledsoe (drawn by S. Ibaka),23,36
2,9:39.0,Shooting foul by E. İlyasova (drawn by S. Ibaka),,23,36
2,9:39.0,S. Ibaka misses free throw 1 of 2,,23,36
2,9:39.0,Offensive rebound by Team,,23,36
2,9:39.0,,M. Brogdon enters the game for G. Hill,23,36
2,9:39.0,S. Ibaka misses free throw 2 of 2,,23,36
2,9:36.0,,Defensive rebound by G. Antetokounmpo,23,36
2,9:16.0,,K. Middleton misses 2-pt jump shot from 16 ft,23,36
2,9:13.0,Defensive rebound by S. Ibaka,,23,36
2,8:59.0,J. Meeks misses 2-pt jump shot from 16 ft,,23,36
2,8:57.0,,Defensive rebound by M. Brogdon,23,36
2,8:52.0,,Personal foul by N. Powell (drawn by G. Antetokounmpo),23,36
2,8:52.0,K. Lowry enters the game for J. Meeks,,23,36
2,8:39.0,,Shooting foul by K. Leonard (drawn by M. Brogdon),23,36
2,8:39.0,,M. Brogdon makes free throw 1 of 2,23,37
2,8:39.0,,M. Brogdon misses free throw 2 of 2,23,37
2,8:37.0,Defensive rebound by S. Ibaka,,23,37
2,8:25.0,S. Ibaka makes 2-pt jump shot from 13 ft (assist by F. VanVleet),,25,37
2,8:16.0,,E. İlyasova misses 2-pt layup from 5 ft,25,37
2,8:15.0,,Offensive rebound by E. İlyasova,25,37
2,8:15.0,,E. İlyasova makes 2-pt layup from 1 ft,25,39
2,8:00.0,K. Leonard misses 2-pt jump shot from 11 ft,,25,39
2,7:58.0,Offensive rebound by S. Ibaka,,25,39
2,7:58.0,S. Ibaka makes 2-pt dunk from 2 ft,,27,39
2,7:31.0,,E. İlyasova makes 2-pt jump shot from 8 ft (assist by M. Brogdon),27,41
2,7:20.0,Offensive foul by K. Leonard (drawn by E. İlyasova),,27,41
2,7:20.0,Turnover by K. Leonard (offensive foul),,27,41
2,7:20.0,,Milwaukee full timeout,27,41
2,7:20.0,P. Siakam enters the game for N. Powell,,27,41
2,7:08.0,,Personal foul by K. Lowry (drawn by E. Bledsoe),27,41
2,7:00.0,,E. İlyasova makes 2-pt layup from 2 ft (assist by E. Bledsoe),27,43
2,6:35.0,K. Lowry makes 2-pt jump shot from 7 ft,,29,43
2,6:20.0,,E. Bledsoe misses 3-pt jump shot from 26 ft,29,43
2,6:18.0,Defensive rebound by K. Leonard,,29,43
2,6:16.0,Personal foul by K. Middleton (drawn by K. Leonard),,29,43
2,6:11.0,Offensive foul by S. Ibaka (drawn by K. Middleton),,29,43
2,6:11.0,Turnover by S. Ibaka (offensive foul),,29,43
2,5:57.0,,G. Antetokounmpo misses 2-pt jump shot from 20 ft,29,43
2,5:55.0,Defensive rebound by S. Ibaka,,29,43
2,5:53.0,Turnover by S. Ibaka (bad pass; steal by E. İlyasova),,29,43
2,5:48.0,,E. İlyasova makes 2-pt layup from 3 ft,29,45
2,5:34.0,S. Ibaka misses 3-pt jump shot from 27 ft,,29,45
2,5:32.0,,Defensive rebound by E. Bledsoe,29,45
2,5:27.0,,M. Brogdon makes 3-pt jump shot from 27 ft (assist by E. Bledsoe),29,48
2,5:10.0,K. Leonard makes 3-pt jump shot from 27 ft (assist by S. Ibaka),,32,48
2,4:58.0,,E. İlyasova makes 3-pt jump shot from 24 ft (assist by E. Bledsoe),32,51
2,4:43.0,Shooting foul by E. İlyasova (drawn by K. Leonard),,32,51
2,4:43.0,K. Leonard makes free throw 1 of 2,,33,51
2,4:43.0,M. Gasol enters the game for S. Ibaka,,33,51
2,4:43.0,D. Green enters the game for F. VanVleet,,33,51
2,4:43.0,,G. Hill enters the game for G. Antetokounmpo,33,51
2,4:43.0,,N. Mirotić enters the game for E. Bledsoe,33,51
2,4:43.0,K. Leonard makes free throw 2 of 2,,34,51
2,4:26.0,,Shooting foul by P. Siakam (drawn by E. İlyasova),34,51
2,4:26.0,,E. İlyasova misses free throw 1 of 2,34,51
2,4:26.0,,Offensive rebound by Team,34,51
2,4:26.0,,B. Lopez enters the game for K. Middleton,34,51
2,4:26.0,,E. İlyasova makes free throw 2 of 2,34,52
2,4:09.0,K. Leonard makes 2-pt jump shot from 15 ft,,36,52
2,3:56.0,,N. Mirotić makes 3-pt jump shot from 23 ft (assist by B. Lopez),36,55
2,3:34.0,P. Siakam misses 2-pt layup from 4 ft,,36,55
2,3:31.0,,Defensive rebound by E. İlyasova,36,55
2,3:09.0,,G. Hill makes 2-pt layup from 1 ft,36,57
2,3:08.0,Toronto full timeout,,36,57
2,3:08.0,,G. Antetokounmpo enters the game for E. İlyasova,36,57
2,2:50.0,K. Lowry misses 2-pt jump shot from 17 ft,,36,57
2,2:47.0,Offensive rebound by P. Siakam,,36,57
2,2:46.0,P. Siakam misses 2-pt layup from 2 ft,,36,57
2,2:46.0,,Defensive rebound by N. Mirotić,36,57
2,2:33.0,,B. Lopez misses 3-pt jump shot from 23 ft,36,57
2,2:30.0,,Offensive rebound by G. Hill,36,57
2,2:28.0,,M. Brogdon misses 3-pt jump shot from 26 ft,36,57
2,2:28.0,Defensive rebound by D. Green,,36,57
2,2:28.0,Personal foul by G. Hill (drawn by D. Green),,36,57
2,2:28.0,D. Green makes free throw 1 of 2,,37,57
2,2:28.0,,K. Middleton enters the game for M. Brogdon,37,57
2,2:28.0,D. Green makes free throw 2 of 2,,38,57
2,2:06.0,,N. Mirotić misses 3-pt jump shot from 27 ft,38,57
2,2:05.0,,Offensive rebound by G. Antetokounmpo,38,57
2,2:05.0,,G. Antetokounmpo makes 2-pt layup from 2 ft,38,59
2,1:40.0,M. Gasol misses 2-pt jump shot from 21 ft,,38,59
2,1:37.0,,Defensive rebound by N. Mirotić,38,59
2,1:27.0,,Personal foul by K. Lowry (drawn by B. Lopez),38,59
2,1:27.0,,B. Lopez makes free throw 1 of 2,38,60
2,1:27.0,,E. Bledsoe enters the game for K. Middleton,38,60
2,1:27.0,,B. Lopez makes free throw 2 of 2,38,61
2,1:19.0,Personal foul by N. Mirotić (drawn by K. Lowry),,38,61
2,1:19.0,K. Lowry misses free throw 1 of 2,,38,61
2,1:19.0,Offensive rebound by Team,,38,61
2,1:19.0,,K. Middleton enters the game for G. Hill,38,61
2,1:19.0,K. Lowry makes free throw 2 of 2,,39,61
2,1:03.0,,K. Middleton misses 3-pt jump shot from 26 ft (block by D. Green),39,61
2,1:03.0,,Offensive rebound by Team,39,61
2,1:03.0,Loose ball foul by K. Lowry (drawn by N. Mirotić),,39,61
2,1:03.0,,N. Mirotić makes free throw 1 of 2,39,62
2,1:03.0,F. VanVleet enters the game for K. Lowry,,39,62
2,1:03.0,,P. Connaughton enters the game for K. Middleton,39,62
2,1:03.0,,N. Mirotić misses free throw 2 of 2,39,62
2,1:00.0,Defensive rebound by D. Green,,39,62
2,0:52.0,M. Gasol misses 2-pt jump shot from 12 ft,,39,62
2,0:49.0,,Defensive rebound by G. Antetokounmpo,39,62
2,0:30.0,,E. Bledsoe misses 3-pt jump shot from 23 ft,39,62
2,0:30.0,,Offensive rebound by Team,39,62
2,0:30.0,Loose ball foul by P. Siakam (drawn by N. Mirotić),,39,62
2,0:30.0,,N. Mirotić makes free throw 1 of 2,39,63
2,0:30.0,N. Powell enters the game for P. Siakam,,39,63
2,0:30.0,,N. Mirotić makes free throw 2 of 2,39,64
2,0:18.0,D. Green misses 3-pt jump shot from 29 ft,,39,64
2,0:15.0,,Defensive rebound by G. Antetokounmpo,39,64
2,0:00.0,,B. Lopez misses 3-pt jump shot from 29 ft,39,64
2,0:00.0,,Offensive rebound by Team,39,64
3,11:45.0,K. Lowry misses 3-pt jump shot from 27 ft,,39,64
3,11:40.0,,Defensive rebound by G. Antetokounmpo,39,64
3,11:38.0,,G. Antetokounmpo makes 2-pt layup from 2 ft,39,66
3,11:38.0,,Shooting foul by P. Siakam (drawn by G. Antetokounmpo),39,66
3,11:38.0,,G. Antetokounmpo makes free throw 1 of 1,39,67
3,11:21.0,M. Gasol misses 2-pt hook shot from 4 ft,,39,67
3,11:18.0,,Defensive rebound by B. Lopez,39,67
3,11:16.0,,E. Bledsoe misses 3-pt jump shot from 24 ft,39,67
3,11:14.0,Defensive rebound by M. Gasol,,39,67
3,11:14.0,Personal foul by K. Middleton (drawn by M. Gasol),,39,67
3,10:51.0,M. Gasol misses 3-pt jump shot from 26 ft,,39,67
3,10:49.0,,Defensive rebound by N. Mirotić,39,67
3,10:36.0,,G. Antetokounmpo misses 2-pt jump shot from 18 ft,39,67
3,10:34.0,Defensive rebound by M. Gasol,,39,67
3,10:22.0,P. Siakam makes 2-pt layup from 2 ft,,41,67
3,10:10.0,,B. Lopez misses 3-pt jump shot from 24 ft,41,67
3,10:08.0,Defensive rebound by K. Leonard,,41,67
3,9:47.0,P. Siakam misses 3-pt jump shot from 27 ft,,41,67
3,9:44.0,Offensive rebound by K. Leonard,,41,67
3,9:43.0,K. Leonard makes 2-pt layup from 2 ft,,43,67
3,9:43.0,Shooting foul by N. Mirotić (drawn by K. Leonard),,43,67
3,9:43.0,K. Leonard makes free throw 1 of 1,,44,67
3,9:26.0,,Shooting foul by P. Siakam (drawn by B. Lopez),44,67
3,9:26.0,,B. Lopez misses free throw 1 of 2,44,67
3,9:26.0,,Offensive rebound by Team,44,67
3,9:26.0,S. Ibaka enters the game for P. Siakam,,44,67
3,9:26.0,,B. Lopez makes free throw 2 of 2,44,68
3,9:13.0,K. Leonard misses 3-pt jump shot from 27 ft,,44,68
3,9:11.0,,Defensive rebound by G. Antetokounmpo,44,68
3,9:02.0,,E. Bledsoe makes 2-pt layup from 2 ft (assist by G. Antetokounmpo),44,70
3,8:41.0,D. Green makes 3-pt jump shot from 23 ft (assist by M. Gasol),,47,70
3,8:29.0,,G. Antetokounmpo misses 2-pt jump shot from 6 ft,47,70
3,8:29.0,Defensive rebound by Team,,47,70
3,8:29.0,,Loose ball foul by E. Bledsoe (drawn by K. Leonard),47,70
3,8:21.0,K. Leonard makes 2-pt jump shot from 17 ft,,49,70
3,8:09.0,,Milwaukee full timeout,49,70
3,8:05.0,,Turnover by G. Antetokounmpo (palming),49,70
3,7:41.0,K. Leonard makes 2-pt layup from 4 ft,,51,70
3,7:34.0,,K. Middleton makes 2-pt layup from 1 ft,51,72
3,7:18.0,K. Leonard misses 2-pt jump shot from 14 ft,,51,72
3,7:16.0,Offensive rebound by S. Ibaka,,51,72
3,7:16.0,Personal foul by N. Mirotić (drawn by S. Ibaka),,51,72
3,7:16.0,,M. Brogdon enters the game for N. Mirotić,51,72
3,7:09.0,K. Leonard makes 2-pt jump shot from 4 ft,,53,72
3,7:09.0,Shooting foul by B. Lopez (drawn by K. Leonard),,53,72
3,7:09.0,,E. İlyasova enters the game for B. Lopez,53,72
3,7:09.0,K. Leonard makes free throw 1 of 1,,54,72
3,6:56.0,,G. Antetokounmpo makes 2-pt dunk from 2 ft (assist by E. Bledsoe),54,74
3,6:46.0,K. Lowry misses 3-pt jump shot from 27 ft,,54,74
3,6:43.0,,Defensive rebound by G. Antetokounmpo,54,74
3,6:39.0,,Shooting foul by M. Gasol (drawn by G. Antetokounmpo),54,74
3,6:39.0,,G. Antetokounmpo misses free throw 1 of 2,54,74
3,6:39.0,,Offensive rebound by Team,54,74
3,6:39.0,,G. Antetokounmpo makes free throw 2 of 2,54,75
3,6:39.0,N. Powell enters the game for M. Gasol,,54,75
3,6:12.0,K. Lowry makes 3-pt jump shot from 26 ft (assist by S. Ibaka),,57,75
3,6:01.0,,G. Antetokounmpo misses 3-pt jump shot from 25 ft,57,75
3,5:58.0,Defensive rebound by D. Green,,57,75
3,5:53.0,K. Leonard misses 3-pt jump shot from 27 ft,,57,75
3,5:50.0,,Defensive rebound by E. İlyasova,57,75
3,5:44.0,,K. Middleton makes 3-pt jump shot from 24 ft (assist by G. Antetokounmpo),57,78
3,5:34.0,Personal foul by E. Bledsoe (drawn by K. Lowry),,57,78
3,5:34.0,K. Lowry misses free throw 1 of 2,,57,78
3,5:34.0,Offensive rebound by Team,,57,78
3,5:34.0,,G. Hill enters the game for G. Antetokounmpo,57,78
3,5:34.0,,B. Lopez enters the game for E. Bledsoe,57,78
3,5:34.0,K. Lowry makes free throw 2 of 2,,58,78
3,5:16.0,,M. Brogdon misses 3-pt jump shot from 26 ft,58,78
3,5:13.0,Defensive rebound by N. Powell,,58,78
3,5:09.0,N. Powell makes 2-pt layup from 1 ft,,60,78
3,4:48.0,,K. Middleton misses 2-pt jump shot from 20 ft,60,78
3,4:45.0,Defensive rebound by K. Lowry,,60,78
3,4:42.0,K. Leonard makes 2-pt jump shot from 16 ft (assist by K. Lowry),,62,78
3,4:42.0,Shooting foul by K. Middleton (drawn by K. Leonard),,62,78
3,4:42.0,F. VanVleet enters the game for D. Green,,62,78
3,4:42.0,,P. Connaughton enters the game for K. Middleton,62,78
3,4:42.0,K. Leonard makes free throw 1 of 1,,63,78
3,4:30.0,,E. İlyasova makes 2-pt layup from 1 ft (assist by B. Lopez),63,80
3,4:16.0,S. Ibaka makes 2-pt layup from 1 ft (assist by N. Powell),,65,80
3,3:59.0,,M. Brogdon misses 3-pt jump shot from 25 ft,65,80
3,3:56.0,Defensive rebound by K. Leonard,,65,80
3,3:52.0,F. VanVleet makes 2-pt layup from 5 ft,,67,80
3,3:31.0,,B. Lopez makes 2-pt layup from 3 ft (assist by E. İlyasova),67,82
3,3:31.0,,Shooting foul by K. Leonard (drawn by B. Lopez),67,82
3,3:31.0,,G. Antetokounmpo enters the game for E. İlyasova,67,82
3,3:31.0,,B. Lopez makes free throw 1 of 1,67,83
3,3:21.0,S. Ibaka misses 2-pt jump shot from 21 ft,,67,83
3,3:18.0,,Defensive rebound by P. Connaughton,67,83
3,3:08.0,,P. Connaughton misses 3-pt jump shot from 27 ft,67,83
3,3:05.0,Defensive rebound by S. Ibaka,,67,83
3,2:51.0,F. VanVleet makes 3-pt jump shot from 23 ft (assist by S. Ibaka),,70,83
3,2:37.0,,Turnover by G. Antetokounmpo (bad pass),70,83
3,2:37.0,Toronto full timeout,,70,83
3,2:23.0,K. Lowry misses 2-pt jump shot from 5 ft,,70,83
3,2:20.0,,Defensive rebound by B. Lopez,70,83
3,2:15.0,,M. Brogdon misses 2-pt layup from 2 ft (block by K. Leonard),70,83
3,2:13.0,,Offensive rebound by M. Brogdon,70,83
3,2:12.0,,M. Brogdon makes 2-pt layup from 2 ft,70,85
3,1:58.0,Turnover by K. Leonard (lost ball; steal by M. Brogdon),,70,85
3,1:55.0,,G. Hill makes 2-pt layup from 2 ft (assist by M. Brogdon),70,87
3,1:55.0,Violation by Team (def goaltending),,70,87
3,1:40.0,Turnover by S. Ibaka (bad pass; steal by P. Connaughton),,70,87
3,1:36.0,,G. Hill makes 2-pt layup from 1 ft (assist by M. Brogdon),70,89
3,1:18.0,Personal foul by M. Brogdon (drawn by K. Leonard),,70,89
3,1:18.0,K. Leonard makes free throw 1 of 2,,71,89
3,1:18.0,J. Meeks enters the game for K. Lowry,,71,89
3,1:18.0,,E. Bledsoe enters the game for P. Connaughton,71,89
3,1:18.0,,N. Mirotić enters the game for B. Lopez,71,89
3,1:18.0,K. Leonard makes free throw 2 of 2,,72,89
3,1:08.0,,Personal foul by F. VanVleet (drawn by G. Hill),72,89
3,1:08.0,,G. Hill makes free throw 1 of 2,72,90
3,1:08.0,,G. Hill makes free throw 2 of 2,72,91
3,0:51.0,N. Powell makes 3-pt jump shot from 30 ft (assist by K. Leonard),,75,91
3,0:39.0,,Shooting foul by S. Ibaka (drawn by G. Antetokounmpo),75,91
3,0:39.0,,G. Antetokounmpo makes free throw 1 of 2,75,92
3,0:39.0,,G. Antetokounmpo makes free throw 2 of 2,75,93
3,0:23.0,F. VanVleet misses 2-pt layup from 3 ft (block by G. Antetokounmpo),,75,93
3,0:23.0,Offensive rebound by Team,,75,93
3,0:16.0,K. Leonard misses 2-pt jump shot from 7 ft,,75,93
3,0:15.0,Offensive rebound by Team,,75,93
3,0:15.0,Turnover by Team (shot clock),,75,93
3,0:04.0,,E. Bledsoe makes 2-pt jump shot from 18 ft,75,95
3,0:00.0,J. Meeks makes 3-pt jump shot from 26 ft,,78,95
4,11:40.0,,G. Antetokounmpo misses 2-pt layup from 5 ft,78,95
4,11:37.0,,Offensive rebound by G. Antetokounmpo,78,95
4,11:37.0,,G. Antetokounmpo misses 2-pt layup from 2 ft (block by F. VanVleet),78,95
4,11:37.0,,Offensive rebound by G. Antetokounmpo,78,95
4,11:30.0,,G. Antetokounmpo misses 2-pt layup from 2 ft,78,95
4,11:30.0,Defensive rebound by S. Ibaka,,78,95
4,11:23.0,N. Powell makes 2-pt dunk from 1 ft (assist by K. Lowry),,80,95
4,11:12.0,,Personal foul by N. Powell (drawn by K. Middleton),80,95
4,11:04.0,,G. Antetokounmpo makes 2-pt dunk from 2 ft (assist by E. Bledsoe),80,97
4,10:36.0,S. Ibaka misses 2-pt jump shot from 10 ft,,80,97
4,10:34.0,,Defensive rebound by N. Mirotić,80,97
4,10:29.0,,G. Hill misses 3-pt jump shot from 28 ft,80,97
4,10:26.0,Defensive rebound by S. Ibaka,,80,97
4,10:24.0,N. Powell makes 2-pt dunk from 2 ft (assist by K. Lowry),,82,97
4,10:10.0,,G. Antetokounmpo makes 3-pt jump shot from 26 ft (assist by G. Hill),82,100
4,9:59.0,P. Siakam makes 2-pt hook shot from 3 ft,,84,100
4,9:59.0,,Violation by Team (def goaltending),84,100
4,9:59.0,,Milwaukee full timeout,84,100
4,9:59.0,K. Leonard enters the game for P. Siakam,,84,100
4,9:59.0,,B. Lopez enters the game for G. Hill,84,100
4,9:44.0,,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by E. Bledsoe),84,102
4,9:30.0,K. Leonard misses 3-pt jump shot from 24 ft,,84,102
4,9:28.0,,Defensive rebound by G. Antetokounmpo,84,102
4,9:17.0,,E. Bledsoe makes 3-pt jump shot from 27 ft,84,105
4,9:07.0,Shooting foul by G. Antetokounmpo (drawn by K. Leonard),,84,105
4,9:07.0,K. Leonard makes free throw 1 of 2,,85,105
4,9:07.0,K. Leonard makes free throw 2 of 2,,86,105
4,8:55.0,,N. Mirotić misses 3-pt jump shot from 23 ft,86,105
4,8:52.0,Defensive rebound by K. Leonard,,86,105
4,8:45.0,K. Lowry makes 3-pt jump shot from 25 ft (assist by N. Powell),,89,105
4,8:23.0,,N. Mirotić misses 3-pt jump shot from 27 ft,89,105
4,8:21.0,,Offensive rebound by K. Middleton,89,105
