"node1","node2","Pin_Pout","Pin_Nout","Nin_Pout","Nin_Nout","Pin_Pin","Pin_Nin","Nin_Pin","Nin_Nin","Pout_Pin","Pout_Nin","Nout_Pin","Nout_Nin","Pout_Pout","Pout_Nout","Nout_Pout","Nout_Nout"
NA,NA,Inf,6,Inf,5,Inf,1,Inf,1,Inf,1,1,1,Inf,5,1,1
NA,NA,Inf,Inf,Inf,Inf,2,Inf,2,Inf,2,2,2,Inf,2,2,Inf,Inf
NA,NA,7,7,7,5,2,4,2,4,2,2,2,2,2,2,4,4
NA,NA,Inf,Inf,Inf,Inf,2,Inf,2,Inf,2,2,2,Inf,2,2,Inf,Inf
NA,NA,8,5,7,5,2,1,2,1,2,1,1,1,2,2,1,1
NA,NA,9,6,7,5,2,1,2,1,2,1,1,1,2,2,1,1
NA,NA,8,6,6,4,2,5,2,4,2,2,2,4,2,2,6,5
NA,NA,Inf,Inf,Inf,Inf,Inf,1,Inf,1,Inf,1,1,1,10,Inf,1,1
NA,NA,Inf,Inf,Inf,Inf,2,Inf,2,Inf,2,2,2,6,2,2,Inf,Inf
NA,NA,Inf,Inf,Inf,Inf,Inf,1,Inf,1,9,1,1,1,13,6,1,1
NA,NA,9,7,Inf,Inf,2,6,2,Inf,2,2,2,4,2,2,6,4
NA,NA,Inf,Inf,Inf,Inf,2,Inf,2,Inf,2,2,2,5,2,2,4,3
NA,NA,Inf,Inf,Inf,Inf,2,Inf,2,Inf,2,2,2,6,2,2,5,8
NA,NA,Inf,Inf,Inf,Inf,Inf,1,Inf,1,Inf,1,1,1,6,Inf,1,1
NA,NA,Inf,Inf,Inf,Inf,Inf,1,Inf,1,9,1,1,1,Inf,Inf,1,1
NA,NA,5,4,5,3,2,5,2,3,2,2,2,4,2,2,5,4
NA,NA,Inf,Inf,Inf,Inf,Inf,1,Inf,1,5,1,1,1,5,4,1,1
NA,NA,Inf,Inf,Inf,Inf,Inf,1,Inf,1,Inf,1,1,1,Inf,Inf,1,1
NA,NA,Inf,Inf,Inf,Inf,2,Inf,2,Inf,2,2,2,Inf,2,2,Inf,Inf
NA,NA,Inf,Inf,Inf,Inf,2,Inf,2,Inf,2,2,2,Inf,2,2,Inf,Inf
NA,NA,Inf,Inf,Inf,Inf,Inf,1,Inf,1,Inf,1,1,1,Inf,Inf,1,1
NA,NA,Inf,Inf,Inf,Inf,7,1,6,1,10,1,1,1,Inf,Inf,1,1
NA,NA,Inf,Inf,Inf,Inf,2,9,2,Inf,2,2,2,5,2,2,Inf,Inf
NA,NA,7,5,7,5,2,4,2,4,2,2,2,4,2,2,6,5
NA,NA,7,5,6,4,2,5,2,3,2,2,2,5,2,2,6,5
NA,NA,6,4,5,3,5,1,4,1,6,1,1,1,6,5,1,1
NA,NA,6,5,4,3,2,3,2,2,2,2,2,2,2,2,4,3
NA,NA,8,Inf,7,Inf,2,5,2,4,2,2,2,6,2,2,4,Inf
NA,NA,Inf,Inf,Inf,Inf,2,1,2,1,2,1,1,1,2,2,1,1
NA,NA,Inf,Inf,Inf,Inf,2,5,2,4,2,2,2,4,2,2,Inf,Inf
NA,NA,Inf,Inf,Inf,Inf,2,Inf,2,Inf,2,2,2,Inf,2,2,Inf,Inf
NA,NA,Inf,Inf,Inf,Inf,8,1,8,1,10,1,1,1,Inf,Inf,1,1
NA,NA,Inf,Inf,Inf,Inf,2,Inf,2,8,2,2,2,9,2,2,Inf,Inf
NA,NA,Inf,Inf,Inf,Inf,2,Inf,2,Inf,2,2,2,8,2,2,Inf,Inf
NA,NA,Inf,Inf,Inf,Inf,2,Inf,2,Inf,2,2,2,Inf,2,2,Inf,Inf
NA,NA,Inf,Inf,Inf,Inf,Inf,1,Inf,1,Inf,1,1,1,Inf,Inf,1,1
NA,NA,Inf,Inf,Inf,Inf,Inf,1,10,1,6,1,1,1,Inf,Inf,1,1
NA,NA,Inf,Inf,Inf,Inf,2,Inf,2,5,2,2,2,5,2,2,Inf,Inf
NA,NA,Inf,Inf,Inf,Inf,Inf,1,Inf,1,Inf,1,1,1,Inf,Inf,1,1
NA,NA,Inf,Inf,Inf,Inf,2,7,2,7,2,2,2,Inf,2,2,Inf,Inf
NA,NA,Inf,Inf,Inf,Inf,Inf,1,Inf,1,Inf,1,1,1,Inf,Inf,1,1
NA,NA,Inf,Inf,Inf,Inf,Inf,1,Inf,1,9,1,1,1,Inf,Inf,1,1
NA,NA,Inf,Inf,Inf,Inf,Inf,1,Inf,1,Inf,1,1,1,Inf,Inf,1,1
NA,NA,Inf,Inf,Inf,Inf,6,1,8,1,11,1,1,1,Inf,Inf,1,1
NA,NA,Inf,Inf,Inf,Inf,Inf,1,Inf,1,Inf,1,1,1,Inf,Inf,1,1
NA,NA,Inf,Inf,Inf,Inf,2,Inf,2,Inf,2,2,2,Inf,2,2,Inf,Inf
NA,NA,Inf,Inf,Inf,Inf,2,Inf,2,Inf,2,2,2,Inf,2,2,Inf,Inf
NA,NA,Inf,Inf,Inf,Inf,Inf,1,Inf,1,Inf,1,1,1,Inf,Inf,1,1
NA,NA,Inf,Inf,Inf,Inf,Inf,1,Inf,1,Inf,1,1,1,Inf,Inf,1,1
NA,NA,Inf,Inf,Inf,Inf,2,Inf,2,Inf,2,2,2,Inf,2,2,Inf,Inf
NA,NA,Inf,Inf,Inf,Inf,Inf,1,Inf,1,Inf,1,1,1,Inf,Inf,1,1
NA,NA,Inf,Inf,Inf,Inf,Inf,1,Inf,1,Inf,1,1,1,Inf,Inf,1,1
NA,NA,Inf,Inf,Inf,Inf,2,Inf,2,Inf,2,2,2,Inf,2,2,Inf,Inf
NA,NA,5,6,4,3,5,1,5,1,6,1,1,1,5,5,1,1
NA,NA,Inf,Inf,Inf,Inf,Inf,1,Inf,1,Inf,1,1,1,Inf,Inf,1,1
NA,NA,4,6,Inf,Inf,6,1,Inf,1,Inf,1,1,1,Inf,Inf,1,1
NA,NA,Inf,Inf,Inf,Inf,2,Inf,2,Inf,2,2,2,4,2,2,4,4
NA,NA,Inf,Inf,Inf,Inf,Inf,1,Inf,1,Inf,1,1,1,6,Inf,1,1
NA,NA,8,Inf,Inf,Inf,Inf,1,Inf,1,Inf,1,1,1,9,Inf,1,1
NA,NA,Inf,Inf,Inf,Inf,2,Inf,2,Inf,2,2,2,10,2,2,5,6
NA,NA,Inf,Inf,Inf,Inf,2,1,2,1,2,1,1,1,2,2,1,1
NA,NA,Inf,Inf,Inf,Inf,Inf,1,Inf,1,11,1,1,1,7,7,1,1
NA,NA,Inf,Inf,Inf,Inf,2,Inf,2,Inf,2,2,2,Inf,2,2,7,6
NA,NA,Inf,Inf,Inf,Inf,2,Inf,2,Inf,2,2,2,Inf,2,2,Inf,Inf
NA,NA,Inf,Inf,Inf,Inf,2,Inf,2,Inf,2,2,2,Inf,2,2,Inf,Inf
NA,NA,Inf,Inf,Inf,Inf,Inf,1,Inf,1,6,1,1,1,5,4,1,1
NA,NA,Inf,Inf,Inf,Inf,2,Inf,2,Inf,2,2,2,6,2,2,5,3
NA,NA,8,6,6,4,8,1,6,1,7,1,1,1,6,4,1,1
NA,NA,7,6,5,4,2,1,2,1,2,1,1,1,2,2,1,1
NA,NA,8,7,5,5,8,1,6,1,8,1,1,1,5,5,1,1
NA,NA,Inf,Inf,10,Inf,Inf,1,7,1,Inf,1,1,1,Inf,Inf,1,1
NA,NA,Inf,Inf,Inf,Inf,Inf,1,Inf,1,7,1,1,1,6,5,1,1
NA,NA,7,6,Inf,Inf,2,Inf,2,Inf,2,2,2,Inf,2,2,5,4
NA,NA,Inf,Inf,Inf,Inf,2,Inf,2,Inf,2,2,2,Inf,2,2,5,5
NA,NA,Inf,Inf,Inf,Inf,2,Inf,2,Inf,2,2,2,4,2,2,5,5
NA,NA,Inf,Inf,Inf,Inf,Inf,1,Inf,1,8,1,1,1,6,6,1,1
