id,players,team
79,"{'C. Joseph', 'T. Evans', 'D. Sabonis', 'T. Young', 'E. Sumner'}",IND
80,"{'B. Bogdanović', 'D. McDermott', 'C. Joseph', 'T. Evans', 'D. Sabonis'}",IND
81,"{'B. Bogdanović', 'D. McDermott', 'V. Oladipo', 'D. Sabonis', 'D. Collison'}",IND
82,"{'B. Bogdanović', 'D. McDermott', 'T. Evans', 'D. Sabonis', 'D. Collison'}",IND
83,"{'C. Joseph', 'T. Evans', 'D. Sabonis', 'T. Young', 'D. Collison'}",IND
84,"{'B. Bogdanović', 'C. Joseph', 'M. Turner', 'V. Oladipo', 'D. Sabonis'}",IND
85,"{'C. Joseph', 'M. Turner', 'T. Evans', 'V. Oladipo', 'D. Sabonis'}",IND
86,"{'B. Bogdanović', 'D. McDermott', 'C. Joseph', 'V. Oladipo', 'D. Sabonis'}",IND
87,"{'B. Bogdanović', 'D. McDermott', 'C. Joseph', 'A. Holiday', ""K. O'Quinn""}",IND
88,"{'D. McDermott', 'C. Joseph', 'A. Holiday', ""K. O'Quinn"", 'E. Sumner'}",IND
89,"{'M. Gortat', 'A. Bradley', 'P. Beverley', 'T. Harris', 'D. Gallinari'}",LAC
90,"{'A. Bradley', 'P. Beverley', 'M. Harrell', 'T. Harris', 'D. Gallinari'}",LAC
91,"{'S. Gilgeous-Alexander', 'M. Harrell', 'L. Williams', 'T. Harris', 'D. Gallinari'}",LAC
92,"{'S. Gilgeous-Alexander', 'L. Mbah a Moute', 'M. Harrell', 'L. Williams', 'T. Harris'}",LAC
93,"{'S. Gilgeous-Alexander', 'M. Scott', 'L. Mbah a Moute', 'M. Harrell', 'L. Williams'}",LAC
94,"{'S. Gilgeous-Alexander', 'M. Scott', 'B. Marjanović', 'L. Mbah a Moute', 'L. Williams'}",LAC
95,"{'S. Gilgeous-Alexander', 'B. Marjanović', 'L. Mbah a Moute', 'L. Williams', 'D. Gallinari'}",LAC
96,"{'S. Gilgeous-Alexander', 'A. Bradley', 'B. Marjanović', 'L. Williams', 'D. Gallinari'}",LAC
97,"{'P. Beverley', 'A. Bradley', 'B. Marjanović', 'T. Harris', 'D. Gallinari'}",LAC
98,"{'S. Gilgeous-Alexander', 'M. Gortat', 'A. Bradley', 'T. Harris', 'D. Gallinari'}",LAC
99,"{'S. Gilgeous-Alexander', 'M. Gortat', 'A. Bradley', 'L. Mbah a Moute', 'T. Harris'}",LAC
100,"{'M. Gortat', 'A. Bradley', 'L. Mbah a Moute', 'L. Williams', 'T. Harris'}",LAC
101,"{'S. Gilgeous-Alexander', 'A. Bradley', 'M. Harrell', 'T. Harris', 'D. Gallinari'}",LAC
102,"{'S. Gilgeous-Alexander', 'A. Bradley', 'M. Harrell', 'L. Williams', 'D. Gallinari'}",LAC
103,"{'S. Gilgeous-Alexander', 'A. Bradley', 'M. Harrell', 'L. Williams', 'T. Harris'}",LAC
104,"{'S. Gilgeous-Alexander', 'B. Marjanović', 'M. Harrell', 'L. Williams', 'T. Harris'}",LAC
105,"{'M. Scott', 'B. Marjanović', 'M. Harrell', 'L. Williams', 'T. Harris'}",LAC
106,"{'S. Gilgeous-Alexander', 'B. Marjanović', 'L. Williams', 'T. Harris', 'D. Gallinari'}",LAC
107,"{'S. Gilgeous-Alexander', 'B. Marjanović', 'A. Bradley', 'T. Harris', 'D. Gallinari'}",LAC
108,"{'P. Beverley', 'M. Harrell', 'L. Williams', 'T. Harris', 'D. Gallinari'}",LAC
109,"{'S. Gilgeous-Alexander', 'P. Beverley', 'L. Williams', 'T. Harris', 'D. Gallinari'}",LAC
110,"{'S. Gilgeous-Alexander', 'P. Beverley', 'A. Bradley', 'L. Williams', 'T. Harris'}",LAC
111,"{'F. Ntilikina', 'T. Hardaway', 'T. Burke', 'L. Thomas', 'E. Freedom'}",NYK
112,"{'F. Ntilikina', 'K. Knox', 'T. Hardaway', 'T. Burke', 'E. Freedom'}",NYK
113,"{'F. Ntilikina', 'K. Knox', 'T. Hardaway', 'R. Baker', 'E. Freedom'}",NYK
114,"{'F. Ntilikina', 'K. Knox', 'M. Robinson', 'T. Hardaway', 'R. Baker'}",NYK
115,"{'F. Ntilikina', 'K. Knox', 'A. Trier', 'M. Robinson', 'R. Baker'}",NYK
116,"{'F. Ntilikina', 'K. Knox', 'A. Trier', 'R. Baker', 'N. Vonleh'}",NYK
117,"{'K. Knox', 'A. Trier', 'M. Hezonja', 'R. Baker', 'N. Vonleh'}",NYK
118,"{'K. Knox', 'T. Hardaway', 'M. Hezonja', 'T. Burke', 'N. Vonleh'}",NYK
119,"{'F. Ntilikina', 'T. Hardaway', 'R. Baker', 'L. Thomas', 'E. Freedom'}",NYK
120,"{'F. Ntilikina', 'A. Trier', 'R. Baker', 'L. Thomas', 'E. Freedom'}",NYK
121,"{'F. Ntilikina', 'K. Knox', 'A. Trier', 'R. Baker', 'E. Freedom'}",NYK
122,"{'K. Knox', 'A. Trier', 'T. Hardaway', 'R. Baker', 'N. Vonleh'}",NYK
123,"{'A. Trier', 'T. Hardaway', 'M. Hezonja', 'R. Baker', 'N. Vonleh'}",NYK
124,"{'F. Ntilikina', 'A. Trier', 'M. Hezonja', 'R. Baker', 'E. Freedom'}",NYK
125,"{'F. Ntilikina', 'K. Knox', 'A. Trier', 'M. Hezonja', 'R. Baker'}",NYK
126,"{'N. Vučević', 'J. Isaac', 'A. Gordon', 'E. Fournier', 'D. Augustin'}",ORL
127,"{'N. Vučević', 'T. Ross', 'M. Bamba', 'E. Fournier', 'D. Augustin'}",ORL
128,"{'T. Ross', 'J. Grant', 'A. Gordon', 'J. Simmons', 'M. Bamba'}",ORL
129,"{'N. Vučević', 'J. Isaac', 'J. Grant', 'J. Simmons', 'E. Fournier'}",ORL
130,"{'N. Vučević', 'J. Isaac', 'J. Simmons', 'E. Fournier', 'D. Augustin'}",ORL
131,"{'N. Vučević', 'T. Ross', 'A. Gordon', 'J. Simmons', 'D. Augustin'}",ORL
132,"{'N. Vučević', 'J. Isaac', 'A. Gordon', 'J. Simmons', 'D. Augustin'}",ORL
